dataset,fold,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,fusion4,fusion24
oral_diseases,10,0.4913606860975282,0.5562207529312793,0.572677979914822,0.6212543304648568,0.6539326170905119,0.6706380607696396,0.7157636953689586,0.6718562139614771,0.685427438059017,0.7221337872653661,0.7634590555643186,0.7654431825484457,0.7167766444082233,0.6576606872659505,0.6958392484708273,0.6980037506353296,0.7163450584503216,0.7582822878875509,0.7655681306997096,0.7849916895969528,0.8133398034713825,0.7893637794953584,0.8122575523891313,0.7929143225195857,0.8357395528448162,0.8069697115749748
oral_diseases,11,0.449083883952305,0.4919410268094478,0.5818912812333865,0.582396331738437,0.5681799194957089,0.5872066529961266,0.5639714817346396,0.6177688539530645,0.615607199817726,0.6264505961874384,0.6310833902939167,0.6106468823574087,0.6483661806030228,0.6633582061213641,0.6459852282220703,0.6550039872408293,0.6495357712462975,0.6466497683602946,0.6596367813473076,0.6699542416647679,0.6649037366142629,0.682941254651781,0.682454241664768,0.6849462671831094,0.6675732892838155,0.6669087491455913
oral_diseases,12,0.46685748462064247,0.5009483937115516,0.5371316548948128,0.5730415052783473,0.5844801397432977,0.5921318447634238,0.7126224652540442,0.6504262550315182,0.6118857750436698,0.6538894584947216,0.7323735475051264,0.7036037062352852,0.7598238019290652,0.7320460241512874,0.7435330751120225,0.7107047922837396,0.6906166932482722,0.6628389154704944,0.6759132680185311,0.6871772233614338,0.698664274322169,0.7494161540214173,0.7252696134275082,0.7739709121288069,0.768662185767449,0.7323735475051264
oral_diseases,13,0.5257853257853258,0.5999777999778001,0.6110889110889112,0.6600510600510601,0.6812631812631812,0.702952602952603,0.6938394938394937,0.7014097014097015,0.7011211011211012,0.6915972915972917,0.6852480852480853,0.6817848817848818,0.6853701853701855,0.705883005883006,0.7438561438561438,0.7436896436896436,0.7263514263514264,0.7247641247641248,0.7247641247641248,0.7408036408036408,0.7296481296481296,0.7342879342879343,0.7312798312798314,0.7233433233433233,0.7247641247641248,0.7292818292818294
oral_diseases,14,0.49739492963177173,0.5240031167662746,0.5780725853094274,0.5806310648415911,0.6447488914594178,0.7092980849559797,0.621631803868646,0.6935511856564488,0.705700147805411,0.6735323886639676,0.6373658505237453,0.6699055330634278,0.6587944219523167,0.6734978471820577,0.6531625538204487,0.6670056551635499,0.7037120043698992,0.7121979628558576,0.7260105391684339,0.7469201850780799,0.7350571942677206,0.7317604909710173,0.7615015101857207,0.7837237324079428,0.7723170104749052,0.708626534284429
aptos2019,0,0.5199464318175525,0.5421566664737236,0.6065490950433905,0.5882159012277327,0.6207747394398411,0.612641478520346,0.6254681138501974,0.6481711410421209,0.6607260158199639,0.671222862079522,0.6629001623487281,0.637689545190273,0.6414738031974991,0.6221965126307584,0.6414792679434682,0.6727613038030898,0.6685356594066393,0.6629095905289624,0.6844591753158352,0.6686486735718156,0.6367044270865108,0.661115063038205,0.656115372104996,0.6513815944755426,0.6622170992967275,
aptos2019,1,0.46356571603005703,0.5284381657043753,0.5535172324339422,0.5966512311898012,0.6295196117178838,0.6224838649337452,0.622802425043657,0.6391768303894225,0.6501411584723946,0.6492180419195301,0.6363112681314005,0.6486439282789347,0.6500956744412305,0.6483572998215,0.6409476813597196,0.6549272752728313,0.6327114429905171,0.6403463813595275,0.6124644609143411,0.6120948022930744,0.6267364460676823,0.6235514545124385,0.6203505041263622,0.6358481336761537,0.6341412179170759,
aptos2019,2,0.4766670304277703,0.5313149075644967,0.5256460524095156,0.5593777984755026,0.6453810748633041,0.6205820232646375,0.627209858856462,0.6114649387168285,0.6476770321662101,0.6320224043001638,0.6389565136289865,0.6695367159732153,0.6568210612603307,0.6397691808903603,0.6598772889984683,0.6474638804258035,0.6519086557800582,0.6492370280041063,0.6359220646065099,0.6692457823803426,0.6763694653853816,0.6614441078949271,0.651636069705087,0.6509276047727148,0.6798703936106631,
aptos2019,3,0.45974677151446014,0.5299378691805097,0.5229138495272586,0.5681758019346169,0.6419103053943657,0.6147556375568958,0.6356058931836668,0.6261989231825374,0.6387771193419816,0.6499124714648448,0.6768374622333494,0.6724229205025487,0.6498602243729245,0.6610794301978395,0.6851805680510316,0.6749568549722548,0.6692799966500139,0.657239034188891,0.6770035047959363,0.6502921225841081,0.6734934402452596,0.6692769321742043,0.6566800966420198,0.6622186132326984,0.6734131078352872,
aptos2019,4,0.5090285346361492,0.5017947017060382,0.557702756990878,0.5727091682970896,0.6060530306767833,0.5915863097563421,0.5810687172224187,0.6071563363739536,0.6378327398326216,0.6273045825599901,0.6342067186388092,0.6321614959905714,0.6420186148418134,0.6182949127602202,0.6515009071767699,0.6409105816008162,0.6326888292539355,0.6468132171996818,0.6321971237061501,0.6580419178756186,0.646509119411261,0.6376732578394203,0.6176272519009491,0.6332944915897002,0.6638440763765731,
