dataset,comparison,n_folds,mean_diff,sd,wins,wilcoxon_p,ttest_p_naive,ttest_p_nb,se_nb,sig_naive,sig_nb,tost_delta,tost_p,equivalent,mde_80
aptos2019,fusion4 - L23,15,0.008982270632128886,0.016326992390986957,11,0.072998046875,0.05132552832736608,0.3448447739844624,0.009187711838983245,False,False,0.02,0.12518046672686506,False,0.0276811192380772
oral_diseases,L0 - L23,15,-0.28873085978349144,0.05389822297602857,0,6.103515625e-05,6.535716118631728e-12,1.712928089348233e-07,0.03033022429840686,True,True,0.02,0.999999795438626,False,0.0913801575447253
oral_diseases,L1 - L23,15,-0.216556440635388,0.044195668014089265,0,6.103515625e-05,2.1877518875967326e-11,5.038889588258093e-07,0.02487029163246123,True,True,0.02,0.9999992113245593,False,0.07493024598822187
oral_diseases,L2 - L23,15,-0.18053111605743186,0.05264014191241364,0,6.103515625e-05,2.514194974134586e-09,2.7686756186747116e-05,0.0296222625375527,True,True,0.02,0.9999547904077836,False,0.08924718099282118
oral_diseases,L3 - L23,15,-0.13806065766592085,0.046699708502331634,0,6.103515625e-05,1.7042200474351165e-08,0.00012205051637230105,0.026279393926881243,True,True,0.02,0.9997468033728638,False,0.07917564781558319
oral_diseases,L4 - L23,15,-0.13215232136284774,0.04668617193123586,0,6.103515625e-05,2.9567906400204708e-08,0.00018393136183271703,0.026271776472818816,True,True,0.02,0.9996104857200042,False,0.07915269763409208
oral_diseases,L5 - L23,15,-0.10261218313849899,0.04486007693109837,0,6.103515625e-05,4.0977246843224436e-07,0.0011592281465254942,0.025244175415006533,True,True,0.02,0.9972210161189405,False,0.07605669855303862
oral_diseases,L6 - L23,15,-0.09940538019485394,0.03989610119449071,0,6.103515625e-05,1.4497691257476846e-07,0.0005734375608211952,0.022450790231043766,True,True,0.02,0.9983572301071649,False,0.06764067183057793
oral_diseases,L15 - L23,15,-0.06182614656298868,0.0358446032263504,1,0.0001220703125,1.0434313346584311e-05,0.008394116004002866,0.020170884970106173,True,True,0.02,0.9714756974746694,False,0.06077167871395041
oral_diseases,L16 - L23,15,-0.05832843569685677,0.0312816596738515,1,0.0001220703125,4.413809665376422e-06,0.005122629508503548,0.017603173202135402,True,True,0.02,0.9764736787215919,False,0.053035570217748525
oral_diseases,L17 - L23,15,-0.05219151705993814,0.03552623768990956,1,0.0001220703125,5.5852892858541435e-05,0.02054663926759462,0.019991730675289664,True,True,0.02,0.9351727652780825,False,0.060231915225092636
oral_diseases,L18 - L23,15,-0.04095451819136031,0.03648535340497036,1,0.00018310546875,0.0006693515406482896,0.06591905201988382,0.020531455236874167,True,False,0.02,0.8376225620486839,False,0.061858019766328765
oral_diseases,L19 - L23,15,-0.03466551479709379,0.030065364912403945,2,0.00152587890625,0.0005332306884710244,0.05969510694628352,0.016918725907016065,True,False,0.02,0.7996736265139137,False,0.05097343902334284
oral_diseases,L20 - L23,15,-0.027031102425839282,0.027460531540051635,4,0.0042724609375,0.0019035679458654017,0.10212519847445943,0.015452904288396858,True,False,0.02,0.6719581394430525,False,0.04655715086391359
oral_diseases,L21 - L23,15,-0.015551397919819002,0.02248628008520855,2,0.01806640625,0.017997003588646966,0.2393307800921045,0.012653736634777415,True,False,0.02,0.36520004598022815,False,0.03812370247707527
oral_diseases,L22 - L23,15,-0.0061444111444111695,0.01859169633392859,6,0.30279541015625,0.22135214324190783,0.5663541835346774,0.010462131936088411,False,False,0.02,0.10329962604966308,False,0.03152074495616829
oral_diseases,fusion4 - L23,15,-0.003662307478096956,0.026143294074167364,6,0.5994873046875,0.5959711513805193,0.8070227093954125,0.01471165336047102,False,False,0.02,0.14274090437048634,False,0.04432387932897163
oral_diseases,fusion24 - L23,15,-0.026820051293735526,0.03679411629476954,3,0.01507568359375,0.01354962363612829,0.21615951547855042,0.020705205820577055,True,False,0.02,0.6266307816088615,False,0.062381502730254355
