dataset,fold,wce,selected_lr,epochs_run,grid_edge_selected,e0_bacc,probe_bacc,train_ce_best,probe_train_ce,scaler_fitted_on
aptos2019,5,True,1e-05,4,True,0.6825653442602595,0.6934289439374185,0.6269090637768785,0.06024644896388054,train fold only (nested LR initialization npz)
aptos2019,6,True,1e-05,13,True,0.6844972395057285,0.6180589448840722,0.5734922592867493,0.06162067875266075,train fold only (nested LR initialization npz)
aptos2019,7,True,1e-05,0,True,0.6909150591357593,0.6270647546979137,,0.060191843658685684,train fold only (nested LR initialization npz)
aptos2019,8,True,0.0001,8,True,0.6869176862533,0.6377247465903677,0.529641809432664,0.0608038529753685,train fold only (nested LR initialization npz)
aptos2019,9,True,0.0001,3,True,0.6711360482314692,0.6274913089811462,0.458173444104276,0.058185964822769165,train fold only (nested LR initialization npz)
aptos2019,10,True,0.0001,11,True,0.6403325024751423,0.627952435239149,0.49768035373733144,0.05989338830113411,train fold only (nested LR initialization npz)
aptos2019,11,True,1e-05,8,True,0.6685391535595289,0.614117934200009,0.40194305221429855,0.06270338594913483,train fold only (nested LR initialization npz)
aptos2019,12,True,1e-05,4,True,0.6753609936575053,0.6340626027719051,0.40767464824160765,0.06240865960717201,train fold only (nested LR initialization npz)
aptos2019,13,True,1e-05,12,True,0.7119565238625463,0.6314634784084328,0.583144799792477,0.05904441326856613,train fold only (nested LR initialization npz)
aptos2019,14,True,0.0001,9,True,0.6957106694189166,0.6609399406835357,0.3967873833414718,0.058296848088502884,train fold only (nested LR initialization npz)
oral_diseases,0,False,1e-05,15,True,0.7984642341785199,0.7902700474129045,0.23286904789815563,0.01172042079269886,train fold only (nested LR initialization npz)
oral_diseases,1,False,1e-05,0,True,0.7149835691852499,0.7392599464028036,,0.011095596477389336,train fold only (nested LR initialization npz)
oral_diseases,2,False,0.0001,5,True,0.735616169544741,0.7072802197802197,0.15989446119371667,0.010803816840052605,train fold only (nested LR initialization npz)
oral_diseases,3,False,1e-05,1,True,0.6555795395081108,0.6491692830978545,0.26554653564463515,0.009447416290640831,train fold only (nested LR initialization npz)
oral_diseases,4,False,1e-05,0,True,0.7298442104114373,0.6869952526465131,,0.011418142355978489,train fold only (nested LR initialization npz)
oral_diseases,5,False,1e-05,0,True,0.7519575662432805,0.7205603919889633,,0.011676318012177944,train fold only (nested LR initialization npz)
oral_diseases,6,False,0.0001,14,True,0.7440679375663896,0.7559906553714603,0.1216562086573014,0.01070514414459467,train fold only (nested LR initialization npz)
oral_diseases,7,False,1e-05,0,True,0.7408008658008658,0.7294213139801374,,0.010165936313569546,train fold only (nested LR initialization npz)
oral_diseases,8,False,0.0001,6,True,0.7478174603174603,0.7035714285714285,0.14004257965732264,0.01045103371143341,train fold only (nested LR initialization npz)
oral_diseases,9,False,1e-05,0,True,0.8156834504136583,0.8124685280810888,,0.012035219930112362,train fold only (nested LR initialization npz)
oral_diseases,10,False,0.0001,1,True,0.7860416366810229,0.833811258363688,0.003912469040817366,0.010534612461924553,train fold only (nested LR initialization npz)
oral_diseases,11,False,0.0001,12,True,0.6258392401249544,0.6779315922173065,0.08938046114109278,0.010524298064410686,train fold only (nested LR initialization npz)
oral_diseases,12,False,0.0001,7,True,0.7657715717866095,0.7881847475832437,0.2377677180418154,0.010048647411167622,train fold only (nested LR initialization npz)
oral_diseases,13,False,0.0001,9,True,0.8004432075860647,0.7516903731189445,0.22845648706396518,0.012027549557387829,train fold only (nested LR initialization npz)
oral_diseases,14,False,1e-05,1,True,0.7959134322625371,0.763600507092469,0.07053841614230126,0.011979565024375916,train fold only (nested LR initialization npz)
oral_diseases,0,True,1e-05,9,True,0.7977839620696764,0.7902700474129045,0.24607362117790538,0.011550039984285831,train fold only (nested LR initialization npz)
oral_diseases,1,True,1e-05,3,True,0.7149835691852499,0.7392599464028036,0.0018751976234739776,0.010996720753610134,train fold only (nested LR initialization npz)
oral_diseases,2,True,0.0001,5,True,0.7555337519623233,0.7182692307692308,0.15191269840102598,0.010707263834774494,train fold only (nested LR initialization npz)
oral_diseases,3,True,1e-05,18,True,0.6445905285190998,0.6600536368393511,0.1860010876133136,0.009512439370155334,train fold only (nested LR initialization npz)
