mean_diff,sd,se_nb,wins,ci_lo,ci_hi,p_nb,tost_p,equivalent,mde_post,n_folds,family,metric,seed,arm,base,mean_arm,mean_base,improved,holm_p,sig_holm,sig_improve
0.030025735916531716,0.02012798636046344,0.011326650625562294,14,0.005732486436139772,0.05431898539692366,0.018995983168018003,0.8044862036996339,False,0.03412540271494163,15,F3,mae_plain,3,B4,B0,0.260418708579907,0.23039297266337525,False,0.018995983168018003,True,False
0.045121385941940456,0.023908154445967028,0.013453870032591643,14,0.016265704595073423,0.07397706728880749,0.004728225275810326,0.9585253023373979,False,0.04053437755911029,15,F3,mae_plain,3,B1d,B0d,0.29094115795529535,0.24581977201335486,False,0.009456450551620652,True,False
-0.050016527459382495,0.018559875063689044,0.010444225107058908,0,-0.07241716243461019,-0.027615892484154803,0.00028851392697393376,0.9938720255871811,False,0.031466794519072236,15,F3,mcc,4,B1,B0,0.6905330377561516,0.7405495652155343,False,0.0008090231137501999,True,False
-0.05287949469766895,0.020167407311183196,0.011348834033685385,0,-0.07722032285649592,-0.028538666538841972,0.0003684109223032514,0.9941463244203319,False,0.034192237806869155,15,F3,mcc,4,B4,B0,0.6876700705178652,0.7405495652155343,False,0.0008090231137501999,True,False
-0.037704488446223365,0.013886944192420455,0.007814620017489232,0,-0.054465181430863416,-0.020943795461583314,0.0002696743712500666,0.9800670684319146,False,0.02354421125687591,15,F3,mcc,4,B1d,B0d,0.6791364775242368,0.7168409659704602,False,0.0008090231137501999,True,False
-0.03132460892787835,0.02257599077540306,0.01270421966010414,1,-0.05857245013524222,-0.0040767677205144764,0.02720963452074048,0.8061122086855532,False,0.03827579982927305,15,F3,macro_mae_true,4,B1,B0,0.43521927903586183,0.46654388796374013,True,0.05441926904148096,False,False
-0.04902470413673694,0.024552024349074858,0.01381619586639398,1,-0.07865749710863162,-0.01939191116484225,0.0032114304825713856,0.9728722987849918,False,0.041626007856651846,15,F3,macro_mae_true,4,B4,B0,0.41751918382700315,0.46654388796374013,True,0.009634291447714157,True,True
-0.03223490081664022,0.02905296056992645,0.016349014159716336,2,-0.06730004874696516,0.0028302471136847293,0.06874004110414234,0.7666842082336258,False,0.049256987845416676,15,F3,macro_mae_true,4,B1d,B0d,0.44683904125083146,0.47907394206747167,True,0.06874004110414234,False,False
0.05773631609104112,0.021781754205278468,0.012257277776165037,15,0.03144706988662235,0.08402556229545989,0.00033456580377130856,0.9959144878748791,False,0.03692923478689633,15,F3,mae_plain,4,B1,B0,0.28657327713051417,0.2288369610394731,False,0.0006691316075426171,True,False
0.03668928998888844,0.019881234138946508,0.011187795394137183,15,0.0126938553604047,0.06068472461737219,0.005482421647281016,0.9210228407129976,False,0.033707053915450605,15,F3,mae_plain,4,B4,B0,0.26552625102836147,0.2288369610394731,False,0.005482421647281016,True,False
0.043825936612429645,0.014795581825704065,0.008325938975736193,15,0.02596857353286196,0.06168329969199733,0.00011980209084062897,0.993721042339097,False,0.025084734218410773,15,F3,mae_plain,4,B1d,B0d,0.2922508797266923,0.24842494311426264,False,0.0003594062725218869,True,False
