seed,family,frontier_base,axis,recall_level,n_folds_valid,bacc_mean,bacc_ci_lo,bacc_ci_hi
0,panderm,B0,tau,0.89,4,0.5411276595065132,0.44024273965904914,0.6420125793539773
0,panderm,B0,tau,0.9,4,0.540992261645105,0.4399869474869311,0.641997575803279
0,panderm,B0,tau,0.91,3,0.5118784408869702,0.4014622495829526,0.6222946321909878
0,panderm,B0,tau,0.92,3,0.5115142262568275,0.4023114766390218,0.6207169758746333
0,panderm,B0,tau,0.93,2,0.5110424272870309,0.15790315627772317,0.8641816982963386
0,panderm,B0,tau,0.94,2,0.5110424272870309,0.15790315627772317,0.8641816982963386
0,panderm,B0,tau,0.95,0,,,
0,panderm,B0,tau,0.96,0,,,
0,panderm,B0,tau,0.97,0,,,
0,panderm,B0,tau,0.98,0,,,
0,panderm,B0,tau,0.99,0,,,
0,panderm,B0,tau,1.0,0,,,
0,panderm,B0,offset,0.0,15,0.676364512092896,0.6584597355081019,0.6942692886776902
0,panderm,B0,offset,0.01,15,0.676364512092896,0.6584597355081019,0.6942692886776902
0,panderm,B0,offset,0.02,15,0.676364512092896,0.6584597355081019,0.6942692886776902
0,panderm,B0,offset,0.03,15,0.676364512092896,0.6584597355081019,0.6942692886776902
0,panderm,B0,offset,0.04,15,0.676364512092896,0.6584597355081019,0.6942692886776902
0,panderm,B0,offset,0.05,15,0.676364512092896,0.6584597355081019,0.6942692886776902
0,panderm,B0,offset,0.06,15,0.676364512092896,0.6584597355081019,0.6942692886776902
0,panderm,B0,offset,0.07,15,0.676364512092896,0.6584597355081019,0.6942692886776902
0,panderm,B0,offset,0.08,15,0.676364512092896,0.6584597355081019,0.6942692886776902
0,panderm,B0,offset,0.09,15,0.676364512092896,0.6584597355081019,0.6942692886776902
0,panderm,B0,offset,0.1,15,0.676364512092896,0.6584597355081019,0.6942692886776902
0,panderm,B0,offset,0.11,15,0.676364512092896,0.6584597355081019,0.6942692886776902
0,panderm,B0,offset,0.12,15,0.676364512092896,0.6584597355081019,0.6942692886776902
0,panderm,B0,offset,0.13,15,0.676364512092896,0.6584597355081019,0.6942692886776902
0,panderm,B0,offset,0.14,15,0.676364512092896,0.6584597355081019,0.6942692886776902
0,panderm,B0,offset,0.15,15,0.676364512092896,0.6584597355081019,0.6942692886776902
0,panderm,B0,offset,0.16,15,0.676364512092896,0.6584597355081019,0.6942692886776902
0,panderm,B0,offset,0.17,15,0.676364512092896,0.6584597355081019,0.6942692886776902
0,panderm,B0,offset,0.18,15,0.676364512092896,0.6584597355081019,0.6942692886776902
0,panderm,B0,offset,0.19,15,0.676364512092896,0.6584597355081019,0.6942692886776902
0,panderm,B0,offset,0.2,15,0.676364512092896,0.6584597355081019,0.6942692886776902
0,panderm,B0,offset,0.21,15,0.676364512092896,0.6584597355081019,0.6942692886776902
0,panderm,B0,offset,0.22,15,0.676364512092896,0.6584597355081019,0.6942692886776902
0,panderm,B0,offset,0.23,15,0.676364512092896,0.6584597355081019,0.6942692886776902
0,panderm,B0,offset,0.24,15,0.676364512092896,0.6584597355081019,0.6942692886776902
0,panderm,B0,offset,0.25,15,0.676364512092896,0.6584597355081019,0.6942692886776902
0,panderm,B0,offset,0.26,15,0.676364512092896,0.6584597355081019,0.6942692886776902
0,panderm,B0,offset,0.27,15,0.676364512092896,0.6584597355081019,0.6942692886776902
0,panderm,B0,offset,0.28,15,0.676364512092896,0.6584597355081019,0.6942692886776902
0,panderm,B0,offset,0.29,15,0.676364512092896,0.6584597355081019,0.6942692886776902
0,panderm,B0,offset,0.3,15,0.676364512092896,0.6584597355081019,0.6942692886776902
0,panderm,B0,offset,0.31,15,0.676364512092896,0.6584597355081019,0.6942692886776902
0,panderm,B0,offset,0.32,15,0.676364512092896,0.6584597355081019,0.6942692886776902
0,panderm,B0,offset,0.33,15,0.676364512092896,0.6584597355081019,0.6942692886776902
0,panderm,B0,offset,0.34,15,0.676364512092896,0.6584597355081019,0.6942692886776902
0,panderm,B0,offset,0.35,15,0.676364512092896,0.6584597355081019,0.6942692886776902
0,panderm,B0,offset,0.36,15,0.676364512092896,0.6584597355081019,0.6942692886776902
0,panderm,B0,offset,0.37,15,0.676364512092896,0.6584597355081019,0.6942692886776902
0,panderm,B0,offset,0.38,15,0.676364512092896,0.6584597355081019,0.6942692886776902
0,panderm,B0,offset,0.39,15,0.676364512092896,0.6584597355081019,0.6942692886776902
0,panderm,B0,offset,0.4,15,0.676364512092896,0.6584597355081019,0.6942692886776902
0,panderm,B0,offset,0.41,15,0.676364512092896,0.6584597355081019,0.6942692886776902
0,panderm,B0,offset,0.42,15,0.676364512092896,0.6584597355081019,0.6942692886776902
0,panderm,B0,offset,0.43,15,0.676364512092896,0.6584597355081019,0.6942692886776902
0,panderm,B0,offset,0.44,15,0.676364512092896,0.6584597355081019,0.6942692886776902
0,panderm,B0,offset,0.45,15,0.676364512092896,0.6584597355081019,0.6942692886776902
0,panderm,B0,offset,0.46,15,0.676364512092896,0.6584597355081019,0.6942692886776902
0,panderm,B0,offset,0.47,15,0.676364512092896,0.6584597355081019,0.6942692886776902
0,panderm,B0,offset,0.48,15,0.6756050385854294,0.6576996242105784,0.6935104529602805
0,panderm,B0,offset,0.49,15,0.6756050385854294,0.6576996242105784,0.6935104529602805
0,panderm,B0,offset,0.5,15,0.6756050385854294,0.6576996242105784,0.6935104529602805
0,panderm,B0,offset,0.51,15,0.6752085888751355,0.6570237749570901,0.6933934027931808
0,panderm,B0,offset,0.52,15,0.6750378337043803,0.6568450193330201,0.6932306480757405
0,panderm,B0,offset,0.53,15,0.6750378337043803,0.6568450193330201,0.6932306480757405
0,panderm,B0,offset,0.54,15,0.6750378337043803,0.6568450193330201,0.6932306480757405
0,panderm,B0,offset,0.55,15,0.6748310034975501,0.656581689570783,0.6930803174243172
0,panderm,B0,offset,0.56,15,0.6747014583131157,0.6566706586923783,0.6927322579338531
0,panderm,B0,offset,0.57,15,0.6745231110596362,0.656669337379224,0.6923768847400485
0,panderm,B0,offset,0.58,15,0.673909458469609,0.6555988650494665,0.6922200518897516
0,panderm,B0,offset,0.59,15,0.6736402972293282,0.6557381864666817,0.6915424079919746
0,panderm,B0,offset,0.6,15,0.6736402972293282,0.6557381864666817,0.6915424079919746
0,panderm,B0,offset,0.61,15,0.6736402972293282,0.6557381864666817,0.6915424079919746
0,panderm,B0,offset,0.62,15,0.673318235048342,0.6557052030614737,0.6909312670352102
0,panderm,B0,offset,0.63,15,0.673318235048342,0.6557052030614737,0.6909312670352102
0,panderm,B0,offset,0.64,15,0.6732793500745733,0.655689663916404,0.6908690362327425
0,panderm,B0,offset,0.65,15,0.6718051812145754,0.6559790052414172,0.6876313571877337
0,panderm,B0,offset,0.66,15,0.6718051812145754,0.6559790052414172,0.6876313571877337
0,panderm,B0,offset,0.67,15,0.6710755319304501,0.6558843361809426,0.6862667276799577
0,panderm,B0,offset,0.68,15,0.6710687252979242,0.6558811051059961,0.6862563454898523
0,panderm,B0,offset,0.69,15,0.6706973023506541,0.655155648905554,0.6862389557957541
