seed,arm,family,frontier_base,axis,primary,main_contrast,target_class,target_idx,recall_mean,recall_ci_lo,recall_ci_hi,bacc_mean,bacc_ci_lo,bacc_ci_hi,frontier_mean,frontier_ci_lo,frontier_ci_hi,n_folds_total,n_folds_unreachable,comparable,gap_n_folds,gap_mean,gap_sd,gap_n_above,gap_ci_lo,gap_ci_hi,gap_ttest_p_nb,gap_se_nb,gap_mde_post,gap_tost_p,gap_equivalent,gap_zero_var,gap_noise_flag,above_band,mde_floor,exploratory,ps7_denominator,ps7_above
1,B0,panderm,B0,tau,False,False,severe,3,0.3508338595275577,0.2657617229927507,0.4359059960623647,0.6531991444326675,0.630045022216397,0.6763532666489379,0.698306126298888,0.6765071640299267,0.7201050885678493,15,0,True,15,-0.04510698186622046,0.020847174259420485,0,-0.07026824718981473,-0.019945716542626196,0.0017850874020591,0.011731360263165165,0.0353447286942075,0.9747838213081629,False,False,False,False,0.019,탐색적/exploratory,15,0
1,B0,panderm,B0,offset,False,False,severe,3,0.3508338595275577,0.2657617229927507,0.4359059960623647,0.6531991444326675,0.630045022216397,0.6763532666489379,0.6795755233818619,0.6568043765557089,0.7023466702080149,15,0,True,15,-0.026376378949194416,0.013130071340858682,0,-0.04222357265583205,-0.010529185242556784,0.0030773737715230156,0.007388703872471738,0.022260993432648552,0.7986574877441537,False,False,False,False,0.019,탐색적/exploratory,15,0
1,B0,panderm,B0,union,True,False,severe,3,0.3508338595275577,0.2657617229927507,0.4359059960623647,0.6531991444326675,0.630045022216397,0.6763532666489379,0.698306126298888,0.6765071640299267,0.7201050885678493,15,0,True,15,-0.04510698186622046,0.020847174259420485,0,-0.07026824718981473,-0.019945716542626196,0.0017850874020591,0.011731360263165165,0.0353447286942075,0.9747838213081629,False,False,False,False,0.019,탐색적/exploratory,15,0
1,B1,panderm,B0,tau,False,True,severe,3,0.5733240244186014,0.4397595215136455,0.7068885273235573,0.6810432140717382,0.6531215854377319,0.7089648427057444,0.6979311946528235,0.6760735517321671,0.7197888375734799,15,0,True,15,-0.01688798058108516,0.01894977075318142,1,-0.039759195826318046,0.005983234664147727,0.1355846922478607,0.01066363166746713,0.03212783170294485,0.38734630676471477,False,False,False,False,0.019,탐색적/exploratory,15,0
1,B1,panderm,B0,offset,False,True,severe,3,0.5733240244186014,0.4397595215136455,0.7068885273235573,0.6810432140717382,0.6531215854377319,0.7089648427057444,0.6765672403072336,0.6542757030488915,0.6988587775655757,15,0,True,15,0.004475973764504593,0.02113493560851034,9,-0.0210326019218384,0.029984549450847584,0.7123029326174644,0.011893292619751191,0.03583260521337959,0.10642218352313584,False,False,True,False,0.019,탐색적/exploratory,15,0
1,B1,panderm,B0,union,True,True,severe,3,0.5733240244186014,0.4397595215136455,0.7068885273235573,0.6810432140717382,0.6531215854377319,0.7089648427057444,0.6979311946528235,0.6760735517321671,0.7197888375734799,15,0,True,15,-0.01688798058108516,0.01894977075318142,1,-0.039759195826318046,0.005983234664147727,0.1355846922478607,0.01066363166746713,0.03212783170294485,0.38734630676471477,False,False,False,False,0.019,탐색적/exploratory,15,0
1,B4,panderm,B0,tau,False,True,severe,3,0.658305458091736,0.5345395093815903,0.7820714068018817,0.6798266767425953,0.6513555279722886,0.7082978255129021,0.681915511776695,0.6358314327638842,0.7279995907895057,15,0,True,15,-0.0020888350340993417,0.047683988935247223,6,-0.05964049562641794,0.05546282555821926,0.9390530389991185,0.02683327946622714,0.0808444171378436,0.2576534167724802,False,False,True,False,0.019,탐색적/exploratory,15,0
1,B4,panderm,B0,offset,False,True,severe,3,0.658305458091736,0.5345395093815903,0.7820714068018817,0.6798266767425953,0.6513555279722886,0.7082978255129021,0.6705916047854509,0.6459168277006667,0.695266381870235,15,0,True,15,0.009235071957144465,0.02525167630378405,7,-0.021242158167121335,0.039712302081410265,0.5262755172291522,0.01420991201407823,0.042812212193596634,0.23063659973755185,False,False,True,False,0.019,탐색적/exploratory,15,0
1,B4,panderm,B0,union,True,True,severe,3,0.658305458091736,0.5345395093815903,0.7820714068018817,0.6798266767425953,0.6513555279722886,0.7082978255129021,0.6873958115915293,0.6575121095848416,0.717279513598217,15,0,True,15,-0.007569134848933837,0.03325969256776859,6,-0.04771155121985473,0.03257328152198705,0.6920186094438614,0.018716274488773638,0.05638916793384201,0.25868447302930564,False,False,True,False,0.019,탐색적/exploratory,15,0
1,B0_tau,panderm,B0,tau,False,False,severe,3,0.5871577898113401,0.45340766420782985,0.7209079154148504,0.6851527832017499,0.6678385249228491,0.7024670414806506,0.6961219075022987,0.676151283250546,0.7160925317540515,15,0,True,15,-0.010969124300548772,0.010264737240996602,0,-0.023358034854264936,0.0014197862531673926,0.07836989606281475,0.0057762903059364835,0.017403046973448102,0.07013313433797512,False,False,False,False,0.019,탐색적/exploratory,15,0
