seed,arm,fold,bacc,mcc,mae_plain,macro_mae_true,qwk,lr,wd,epoch,grid_edge_wd,grid_edge_epoch,per_class_recall
0,B1d,0,0.6697842807906416,0.6715233070788504,0.3,0.4680945726493205,0.8583020301931773,0.01,30.0,290,False,False,"[0.9758064516129032, 0.5915492957746479, 0.5505050505050505, 0.6060606060606061, 0.625]"
0,B1d,1,0.6768170084067199,0.6877723307886555,0.27445652173913043,0.421029417012521,0.8795574532168496,0.01,30.0,220,False,False,"[0.9703504043126685, 0.6857142857142857, 0.587378640776699, 0.5588235294117647, 0.5818181818181818]"
0,B1d,2,0.7037272768656343,0.6986374333583221,0.28205128205128205,0.42017013256529545,0.8697169706484023,0.01,30.0,120,False,False,"[0.952247191011236, 0.6753246753246753, 0.6381909547738693, 0.6666666666666666, 0.5862068965517241]"
0,B1d,3,0.6509257938043269,0.6886529522127861,0.290633608815427,0.4738477103552162,0.8639573649431811,0.01,30.0,250,False,False,"[0.9667590027700831, 0.6578947368421053, 0.6649214659685864, 0.4166666666666667, 0.5483870967741935]"
0,B1d,4,0.640922609847688,0.6564612735702107,0.32647462277091904,0.5015711657600646,0.8502045175803783,0.01,30.0,120,False,False,"[0.9739130434782609, 0.6578947368421053, 0.5756097560975609, 0.5128205128205128, 0.484375]"
0,B1d,5,0.6695772024585585,0.6799071778509425,0.3059299191374663,0.46573415285279685,0.8609589484157338,0.01,30.0,300,False,False,"[0.9830508474576272, 0.7564102564102564, 0.5380952380952381, 0.4857142857142857, 0.5846153846153846]"
0,B1d,6,0.6953194722294891,0.6923110314777506,0.28416779431664413,0.41573872066232004,0.8708339870216976,0.01,30.0,290,False,False,"[0.9590643274853801, 0.6103896103896104, 0.6589861751152074, 0.7027027027027027, 0.5454545454545454]"
0,B1d,7,0.6726050755312258,0.6803211847623053,0.2910344827586207,0.4577065488315707,0.8604822514700146,0.01,30.0,620,False,False,"[0.9865229110512129, 0.6901408450704225, 0.5364583333333334, 0.6818181818181818, 0.46808510638297873]"
0,B1d,8,0.6480760733412911,0.6298548555034185,0.3314917127071823,0.46543445838836445,0.8599215767206687,0.01,30.0,290,False,False,"[0.9473684210526315, 0.6986301369863014, 0.45918367346938777, 0.5897435897435898, 0.5454545454545454]"
0,B1d,9,0.678431610346723,0.6896926317984022,0.25956284153005466,0.4131521074302367,0.892700432369623,0.01,30.0,260,False,False,"[0.9761273209549072, 0.5915492957746479, 0.5978260869565217, 0.7105263157894737, 0.5161290322580645]"
0,B1d,10,0.6643359765099085,0.6680336363531685,0.29542302357836336,0.4452781687433345,0.8741958223295503,0.01,30.0,420,False,False,"[0.9797687861271677, 0.5921052631578947, 0.5510204081632653, 0.5526315789473685, 0.6461538461538462]"
0,B1d,11,0.6824041772313791,0.7015543042440409,0.25407608695652173,0.4173685569675607,0.888911087156497,0.01,30.0,240,False,False,"[0.9709762532981531, 0.72, 0.6063829787234043, 0.5789473684210527, 0.5357142857142857]"
0,B1d,12,0.6639023960535588,0.6829602280601685,0.28240109140518416,0.4429241249706366,0.8719392822834999,0.01,30.0,540,False,False,"[0.9715909090909091, 0.5833333333333334, 0.641860465116279, 0.5227272727272727, 0.6]"
0,B1d,13,0.6788508782195235,0.6848193928801217,0.3004059539918809,0.4478945091851233,0.8545980494043451,0.01,30.0,330,False,False,"[0.9753424657534246, 0.6282051282051282, 0.5893719806763285, 0.5806451612903226, 0.6206896551724138]"
0,B1d,14,0.6854941340923031,0.6743345700911318,0.30013642564802184,0.4361973701136904,0.867390250972808,0.001,3.0,70,False,False,"[0.9504132231404959, 0.7391304347826086, 0.5647668393782384, 0.6428571428571429, 0.5303030303030303]"
1,B0,0,0.6518018997005821,0.7545789171758704,0.20821917808219179,0.4537984341369167,0.896780223598912,0.01,10.0,610,False,False,"[0.9865591397849462, 0.5774647887323944, 0.8383838383838383, 0.30303030303030304, 0.5535714285714286]"
1,B0,1,0.6653660239096055,0.7479311201068509,0.21467391304347827,0.4301679566729188,0.8976836616559859,0.01,0.01,50,False,False,"[0.9865229110512129, 0.6142857142857143, 0.7912621359223301, 0.35294117647058826, 0.5818181818181818]"
1,B0,2,0.6514819965806008,0.7253645968932698,0.25775978407557354,0.48507020338214624,0.8694450863181375,0.001,0.0001,270,False,False,"[0.9831460674157303, 0.5974025974025974, 0.8090452261306532, 0.3333333333333333, 0.5344827586206896]"
1,B0,3,0.6585262642230634,0.7578367762179723,0.21487603305785125,0.4566044381733036,0.891025810371701,0.01,10.0,730,False,False,"[0.9861495844875346, 0.5657894736842105, 0.8795811518324608, 0.3611111111111111, 0.5]"
1,B0,4,0.6015797416291361,0.708966132504614,0.2661179698216735,0.5376477146042363,0.8666440181884701,0.01,3.0,50,False,False,"[0.9855072463768116, 0.5263157894736842, 0.8390243902439024, 0.28205128205128205, 0.375]"
1,B0,5,0.6522667163345129,0.7456564257237587,0.23450134770889489,0.4673458744645186,0.8831994767677104,0.01,3.0,540,False,False,"[0.9858757062146892, 0.6025641025641025, 0.8333333333333334, 0.2857142857142857, 0.5538461538461539]"
1,B0,6,0.6530064361982867,0.7361813839197483,0.2368064952638701,0.45664305409636474,0.8860662831826391,0.01,0.1,50,False,False,"[0.9824561403508771, 0.5714285714285714, 0.8294930875576036, 0.35135135135135137, 0.5303030303030303]"
1,B0,7,0.6376052165945076,0.7201920873660911,0.24,0.49295518566247065,0.877357916514543,0.01,0.01,160,False,False,"[0.9811320754716981, 0.5211267605633803, 0.7916666666666666, 0.3409090909090909, 0.5531914893617021]"
1,B0,8,0.6571030267316947,0.7271706794736698,0.2292817679558011,0.4438324826382569,0.8935130062054378,0.01,3.0,460,False,False,"[0.9750692520775623, 0.589041095890411, 0.7806122448979592, 0.358974358974359, 0.5818181818181818]"
1,B0,9,0.6723043681811464,0.7539499147037758,0.21994535519125682,0.45399404137830873,0.8902237354085603,0.01,3.0,500,False,False,"[0.9893899204244032, 0.6056338028169014, 0.8369565217391305, 0.5263157894736842, 0.4032258064516129]"
1,B0,10,0.6396414303242066,0.75439062072171,0.21636615811373092,0.46360949537663,0.8982389680504589,0.01,10.0,670,False,False,"[0.9855491329479769, 0.4868421052631579, 0.9132653061224489, 0.2894736842105263, 0.5230769230769231]"
1,B0,11,0.6460204076406701,0.7397808340203798,0.22146739130434784,0.4593875849169322,0.893210772910763,0.01,10.0,440,False,False,"[0.9815303430079155, 0.6133333333333333, 0.8297872340425532, 0.39473684210526316, 0.4107142857142857]"
1,B0,12,0.6560359408033827,0.7414013465848595,0.22100954979536153,0.44438536528071404,0.8923298715544599,0.01,1.0,140,False,False,"[0.9772727272727273, 0.625, 0.827906976744186, 0.25, 0.6]"
1,B0,13,0.6887082174719885,0.75796549817959,0.21921515561569688,0.42616205374996985,0.8889627313758011,0.01,3.0,460,False,False,"[0.9917808219178083, 0.7051282051282052, 0.7777777777777778, 0.45161290322580644, 0.5172413793103449]"
1,B0,14,0.6665394801666279,0.7361832047119861,0.24693042291950887,0.45738453454359984,0.8818374880647059,0.01,3.0,720,False,False,"[0.9862258953168044, 0.6376811594202898, 0.7823834196891192, 0.38095238095238093, 0.5454545454545454]"
1,B1,0,0.6514438701285589,0.6381681052971243,0.32465753424657534,0.4742715989649202,0.8568979168373058,0.01,30.0,140,False,False,"[0.9731182795698925, 0.676056338028169, 0.43434343434343436, 0.7272727272727273, 0.44642857142857145]"
1,B1,1,0.6727462292349203,0.7011753943934578,0.26902173913043476,0.4236723146685109,0.880285260418427,0.01,10.0,260,False,False,"[0.9784366576819407, 0.7142857142857143, 0.6116504854368932, 0.4411764705882353, 0.6181818181818182]"
1,B1,2,0.6876390357417665,0.6965986417959354,0.29284750337381915,0.4425219799688893,0.864090531720588,0.01,10.0,220,False,False,"[0.9719101123595506, 0.7402597402597403, 0.6080402010050251, 0.5490196078431373, 0.5689655172413793]"
1,B1,3,0.69437356142321,0.7114881121200871,0.2727272727272727,0.41981673755228693,0.8747246566996297,0.01,10.0,700,False,False,"[0.9722991689750693, 0.7894736842105263, 0.6178010471204188, 0.5277777777777778, 0.5645161290322581]"
1,B1,4,0.6832663846683353,0.6780838927462071,0.29492455418381347,0.42043824229388227,0.8748626089951034,0.01,10.0,390,False,False,"[0.9797101449275363, 0.7631578947368421, 0.526829268292683, 0.6153846153846154, 0.53125]"
1,B1,5,0.7160352641708574,0.7106472995704418,0.2803234501347709,0.39601043024771837,0.8732209963128357,0.01,3.0,40,False,False,"[0.9717514124293786, 0.7692307692307693, 0.5952380952380952, 0.6285714285714286, 0.6153846153846154]"
1,B1,6,0.673057475264606,0.6908864900809939,0.2922868741542625,0.4626230313836426,0.8601287465608722,0.01,30.0,540,False,False,"[0.9736842105263158, 0.7012987012987013, 0.631336405529954, 0.5135135135135135, 0.5454545454545454]"
1,B1,7,0.665270313810163,0.6922144951802155,0.27586206896551724,0.4545664234240645,0.8700182710974078,0.01,10.0,170,False,False,"[0.9838274932614556, 0.7183098591549296, 0.59375, 0.4772727272727273, 0.5531914893617021]"
1,B1,8,0.6548189390861139,0.6578872836139426,0.3149171270718232,0.47074486227019685,0.8595937786856633,0.01,30.0,250,False,False,"[0.9473684210526315, 0.7123287671232876, 0.5561224489795918, 0.5128205128205128, 0.5454545454545454]"
1,B1,9,0.6757836132554805,0.6971313188237701,0.2581967213114754,0.4170690565372574,0.8916928402025511,0.01,10.0,650,False,False,"[0.986737400530504, 0.7323943661971831, 0.5706521739130435, 0.6052631578947368, 0.4838709677419355]"
1,B1,10,0.6479086444434786,0.6782616678064055,0.289875173370319,0.4593393029674485,0.8747437545603002,0.01,10.0,140,False,False,"[0.9797687861271677, 0.631578947368421, 0.6071428571428571, 0.42105263157894735, 0.6]"
1,B1,11,0.6648730689633194,0.7148822505094529,0.25407608695652173,0.4448846253904565,0.8819800176881113,0.01,10.0,600,False,False,"[0.978891820580475, 0.68, 0.7021276595744681, 0.5526315789473685, 0.4107142857142857]"
1,B1,12,0.6961435870331218,0.7015578885365594,0.27148703956343795,0.401582217524078,0.8737351748358954,0.01,10.0,60,False,False,"[0.9630681818181818, 0.7916666666666666, 0.6232558139534884, 0.5227272727272727, 0.58]"
1,B1,13,0.7191179580451228,0.6909655043280839,0.28416779431664413,0.3923347911686089,0.8710453241885802,0.01,10.0,320,False,False,"[0.9835616438356164, 0.7564102564102564, 0.5169082125603864, 0.8387096774193549, 0.5]"
1,B1,14,0.7131702658070186,0.7066978283260535,0.28512960436562074,0.40776111598573667,0.8693535504516234,0.01,10.0,260,False,False,"[0.9614325068870524, 0.8115942028985508, 0.5958549222797928, 0.6666666666666666, 0.5303030303030303]"
