seed,arm,fold,lr_match,wd_match,epoch_match,score_absdiff,inner_best_absdiff,inner_epoch_match,n_tied_match,n_inner_valid,n_cands,lr_mine,wd_mine,epoch_mine
2,B1,1,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,290
2,B1,2,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,280
2,B1,3,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,590
2,B1,4,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,300
2,B1,5,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,580
2,B1,6,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,350
2,B1,7,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,70
2,B1,8,True,True,True,0.0,0.0,True,True,3,16,0.01,30.0,280
2,B1,9,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,690
2,B1,10,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,280
2,B1,11,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,240
2,B1,12,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,200
2,B1,13,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,530
2,B1,14,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,560
2,B4,0,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,110
2,B4,1,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,80
2,B4,2,True,True,True,0.0,0.0,True,True,3,16,0.001,0.01,120
2,B4,3,True,True,True,0.0,0.0,True,True,3,16,0.01,3.0,60
2,B4,4,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,260
2,B4,5,True,True,True,0.0,0.0,True,True,3,16,0.01,3.0,40
2,B4,6,True,True,True,0.0,0.0,True,True,3,16,0.01,1.0,60
2,B4,7,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,430
2,B4,8,True,True,True,0.0,0.0,True,True,3,16,0.01,3.0,30
2,B4,9,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,550
2,B4,10,True,True,True,0.0,0.0,True,True,3,16,0.01,3.0,40
2,B4,11,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,270
2,B4,12,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,500
2,B4,13,True,True,True,0.0,0.0,True,True,3,16,0.01,0.0001,50
2,B4,14,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,160
2,B0d,0,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,520
2,B0d,1,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,430
2,B0d,2,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,430
2,B0d,3,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,420
2,B0d,4,True,True,True,0.0,0.0,True,True,3,16,0.01,3.0,100
2,B0d,5,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,670
2,B0d,6,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,530
2,B0d,7,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,520
2,B0d,8,True,True,True,0.0,0.0,True,True,3,16,0.01,30.0,600
2,B0d,9,True,True,True,0.0,0.0,True,True,3,16,0.01,0.1,50
2,B0d,10,True,True,True,0.0,0.0,True,True,3,16,0.001,1.0,350
2,B0d,11,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,640
2,B0d,12,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,580
2,B0d,13,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,400
2,B0d,14,True,True,True,0.0,0.0,True,True,3,16,0.01,1.0,60
2,B1d,0,True,True,True,0.0,0.0,True,True,3,16,0.01,30.0,340
2,B1d,1,True,True,True,0.0,0.0,True,True,3,16,0.01,30.0,250
2,B1d,2,True,True,True,0.0,0.0,True,True,3,16,0.01,30.0,720
2,B1d,3,True,True,True,0.0,0.0,True,True,3,16,0.01,30.0,270
2,B1d,4,True,True,True,0.0,0.0,True,True,3,16,0.001,30.0,40
2,B1d,5,True,True,True,0.0,0.0,True,True,3,16,0.01,30.0,370
2,B1d,6,True,True,True,0.0,0.0,True,True,3,16,0.01,30.0,280
2,B1d,7,True,True,True,0.0,0.0,True,True,3,16,0.01,30.0,280
2,B1d,8,True,True,True,0.0,0.0,True,True,3,16,0.01,30.0,380
2,B1d,9,True,True,True,0.0,0.0,True,True,3,16,0.01,30.0,280
2,B1d,10,True,True,True,0.0,0.0,True,True,3,16,0.01,30.0,500
2,B1d,11,True,True,True,0.0,0.0,True,True,3,16,0.01,30.0,500
2,B1d,12,True,True,True,0.0,0.0,True,True,3,16,0.01,30.0,220
2,B1d,13,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,70
2,B1d,14,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,30
3,B0,0,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,730
3,B0,1,True,True,True,0.0,0.0,True,True,3,16,0.01,0.1,40
3,B0,2,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,260
3,B0,3,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,540
3,B0,4,True,True,True,0.0,0.0,True,True,3,16,0.01,3.0,410
3,B0,5,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,670
3,B0,6,True,True,True,0.0,0.0,True,True,3,16,0.01,3.0,320
3,B0,7,True,True,True,0.0,0.0,True,True,3,16,0.01,0.0001,260
3,B0,8,True,True,True,0.0,0.0,True,True,3,16,0.001,1.0,230
3,B0,9,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,300
3,B0,10,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,430
3,B0,11,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,600
3,B0,12,True,True,True,0.0,0.0,True,True,3,16,0.01,3.0,470
3,B0,13,True,True,True,0.0,0.0,True,True,3,16,0.01,3.0,620
3,B0,14,True,True,True,0.0,0.0,True,True,3,16,0.01,1.0,260
3,B1,0,True,True,True,0.0,0.0,True,True,3,16,0.01,30.0,190
3,B1,1,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,330
3,B1,2,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,330
3,B1,3,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,180
3,B1,4,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,500
3,B1,5,True,True,True,0.0,0.0,True,True,3,16,0.01,3.0,40
3,B1,6,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,120
3,B1,7,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,30
3,B1,8,True,True,True,0.0,0.0,True,True,3,16,0.01,30.0,340
3,B1,9,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,560
3,B1,10,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,120
3,B1,11,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,540
3,B1,12,True,True,True,0.0,0.0,True,True,3,16,0.001,10.0,130
3,B1,13,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,610
3,B1,14,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,400
3,B4,0,True,True,True,0.0,0.0,True,True,3,16,0.01,3.0,60
3,B4,1,True,True,True,0.0,0.0,True,True,3,16,0.001,1.0,140
3,B4,2,True,True,True,0.0,0.0,True,True,3,16,0.001,1.0,190
3,B4,3,True,True,True,0.0,0.0,True,True,3,16,0.01,1.0,50
3,B4,4,True,True,True,0.0,0.0,True,True,3,16,0.001,1.0,130
3,B4,5,True,True,True,0.0,0.0,True,True,3,16,0.001,3.0,180
3,B4,6,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,270
3,B4,7,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,180
3,B4,8,True,True,True,0.0,0.0,True,True,3,16,0.01,1.0,60
3,B4,9,True,True,True,0.0,0.0,True,True,3,16,0.01,0.01,60
3,B4,10,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,240
3,B4,11,True,True,True,0.0,0.0,True,True,3,16,0.01,3.0,30
3,B4,12,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,260
3,B4,13,True,True,True,0.0,0.0,True,True,3,16,0.01,3.0,80
3,B4,14,True,True,True,0.0,0.0,True,True,3,16,0.01,3.0,240
3,B0d,0,True,True,True,0.0,0.0,True,True,3,16,0.001,0.1,330
3,B0d,1,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,540
3,B0d,2,True,True,True,0.0,0.0,True,True,3,16,0.001,1.0,190
3,B0d,3,True,True,True,0.0,0.0,True,True,3,16,0.01,1.0,70
3,B0d,4,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,390
3,B0d,5,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,600
3,B0d,6,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,470
3,B0d,7,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,660
3,B0d,8,True,True,True,0.0,0.0,True,True,3,16,0.01,1.0,20
3,B0d,9,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,530
3,B0d,10,True,True,True,0.0,0.0,True,True,3,16,0.001,3.0,220
3,B0d,11,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,560
3,B0d,12,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,710
3,B0d,13,True,True,True,0.0,0.0,True,True,3,16,0.001,0.1,250
3,B0d,14,True,True,True,0.0,0.0,True,True,3,16,0.001,1.0,120
3,B1d,0,True,True,True,0.0,0.0,True,True,3,16,0.01,30.0,250
3,B1d,1,True,True,True,0.0,0.0,True,True,3,16,0.01,30.0,780
3,B1d,2,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,170
3,B1d,3,True,True,True,0.0,0.0,True,True,3,16,0.01,30.0,130
3,B1d,4,True,True,True,0.0,0.0,True,True,3,16,0.01,30.0,270
3,B1d,5,True,True,True,0.0,0.0,True,True,3,16,0.01,30.0,280
3,B1d,6,True,True,True,0.0,0.0,True,True,3,16,0.01,30.0,240
3,B1d,7,True,True,True,0.0,0.0,True,True,3,16,0.01,30.0,150
3,B1d,8,True,True,True,0.0,0.0,True,True,3,16,0.01,30.0,330
3,B1d,9,True,True,True,0.0,0.0,True,True,3,16,0.01,30.0,290
3,B1d,10,True,True,True,0.0,0.0,True,True,3,16,0.01,30.0,500
3,B1d,11,True,True,True,0.0,0.0,True,True,3,16,0.01,30.0,200
3,B1d,12,True,True,True,0.0,0.0,True,True,3,16,0.01,30.0,90
3,B1d,13,True,True,True,0.0,0.0,True,True,3,16,0.01,30.0,240
3,B1d,14,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,340
4,B0,0,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,680
4,B0,1,True,True,True,0.0,0.0,True,True,3,16,0.01,3.0,420
4,B0,2,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,640
4,B0,3,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,600
4,B0,4,True,True,True,0.0,0.0,True,True,3,16,0.001,0.1,190
4,B0,5,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,240
4,B0,6,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,190
4,B0,7,True,True,True,0.0,0.0,True,True,3,16,0.01,3.0,590
4,B0,8,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,770
4,B0,9,True,True,True,0.0,0.0,True,True,3,16,0.01,3.0,720
4,B0,10,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,800
4,B0,11,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,690
4,B0,12,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,700
4,B0,13,True,True,True,0.0,0.0,True,True,3,16,0.01,3.0,700
4,B0,14,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,630
4,B1,0,True,True,True,0.0,0.0,True,True,3,16,0.01,30.0,120
4,B1,1,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,320
4,B1,2,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,370
4,B1,3,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,710
4,B1,4,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,370
4,B1,5,True,True,True,0.0,0.0,True,True,3,16,0.01,30.0,230
4,B1,6,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,120
4,B1,7,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,260
4,B1,8,True,True,True,0.0,0.0,True,True,3,16,0.01,30.0,190
4,B1,9,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,280
4,B1,10,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,110
4,B1,11,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,570
4,B1,12,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,120
4,B1,13,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,280
4,B1,14,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,610
