seed,arm,family,frontier_base,axis,fold,recall_target,bacc,frontier_bacc,gap,exploratory
2,B0_tau,panderm,B0,union,3,0.6666666666666666,0.7195650472058777,0.7195650472058777,0.0,탐색적/exploratory
2,B0_tau,panderm,B0,tau,4,0.5384615384615384,0.6760258619517633,0.6816638617099073,-0.005637999758144052,탐색적/exploratory
2,B0_tau,panderm,B0,offset,4,0.5384615384615384,0.6760258619517633,0.6536191535971423,0.022406708354620997,탐색적/exploratory
2,B0_tau,panderm,B0,union,4,0.5384615384615384,0.6760258619517633,0.6816638617099073,-0.005637999758144052,탐색적/exploratory
2,B0_tau,panderm,B0,tau,5,0.6857142857142857,0.7365791270876018,0.7387458868814801,-0.00216675979387837,탐색적/exploratory
2,B0_tau,panderm,B0,offset,5,0.6857142857142857,0.7365791270876018,0.6888234928912895,0.047755634196312235,탐색적/exploratory
2,B0_tau,panderm,B0,union,5,0.6857142857142857,0.7365791270876018,0.7387458868814801,-0.00216675979387837,탐색적/exploratory
2,B0_tau,panderm,B0,tau,6,0.6216216216216216,0.68469078299299,0.6874557599515154,-0.0027649769585254003,탐색적/exploratory
2,B0_tau,panderm,B0,offset,6,0.6216216216216216,0.68469078299299,0.6570116143970133,0.027679168595976744,탐색적/exploratory
2,B0_tau,panderm,B0,union,6,0.6216216216216216,0.68469078299299,0.6874557599515154,-0.0027649769585254003,탐색적/exploratory
2,B0_tau,panderm,B0,tau,7,0.6136363636363636,0.6603675732484515,0.6771958932958603,-0.01682832004740875,탐색적/exploratory
2,B0_tau,panderm,B0,offset,7,0.6136363636363636,0.6603675732484515,0.6610966596845161,-0.0007290864360646188,탐색적/exploratory
2,B0_tau,panderm,B0,union,7,0.6136363636363636,0.6603675732484515,0.6771958932958603,-0.01682832004740875,탐색적/exploratory
2,B0_tau,panderm,B0,tau,8,0.7948717948717948,0.7113378860750534,0.7155071438058466,-0.00416925773079313,탐색적/exploratory
2,B0_tau,panderm,B0,offset,8,0.7948717948717948,0.7113378860750534,0.6833323244093501,0.028005561665703338,탐색적/exploratory
2,B0_tau,panderm,B0,union,8,0.7948717948717948,0.7113378860750534,0.7155071438058466,-0.00416925773079313,탐색적/exploratory
2,B0_tau,panderm,B0,tau,9,0.6052631578947368,0.6821486903366932,0.7005144668200658,-0.018365776483372565,탐색적/exploratory
2,B0_tau,panderm,B0,offset,9,0.6052631578947368,0.6821486903366932,0.6815987184712684,0.0005499718654248253,탐색적/exploratory
2,B0_tau,panderm,B0,union,9,0.6052631578947368,0.6821486903366932,0.7005144668200658,-0.018365776483372565,탐색적/exploratory
2,B0_tau,panderm,B0,tau,10,0.3684210526315789,0.6582926891006338,0.6611800685732625,-0.002887379472628737,탐색적/exploratory
2,B0_tau,panderm,B0,offset,10,0.3684210526315789,0.6582926891006338,0.6592440081974612,-0.000951319096827441,탐색적/exploratory
2,B0_tau,panderm,B0,union,10,0.3684210526315789,0.6582926891006338,0.6611800685732625,-0.002887379472628737,탐색적/exploratory
2,B0_tau,panderm,B0,tau,11,0.6842105263157895,0.6804453484803908,0.6864512697845213,-0.006005921304130468,탐색적/exploratory
2,B0_tau,panderm,B0,offset,11,0.6842105263157895,0.6804453484803908,0.6821953152403267,-0.0017499667599358837,탐색적/exploratory
2,B0_tau,panderm,B0,union,11,0.6842105263157895,0.6804453484803908,0.6864512697845213,-0.006005921304130468,탐색적/exploratory
2,B0_tau,panderm,B0,tau,12,0.5454545454545454,0.7001136950904393,0.7022761921540992,-0.002162497063659896,탐색적/exploratory
2,B0_tau,panderm,B0,offset,12,0.5454545454545454,0.7001136950904393,0.6762112990368804,0.023902396053558927,탐색적/exploratory
2,B0_tau,panderm,B0,union,12,0.5454545454545454,0.7001136950904393,0.7022761921540992,-0.002162497063659896,탐색적/exploratory
2,B0_tau,panderm,B0,tau,13,0.8064516129032258,0.7106024912241071,0.7237491098429167,-0.013146618618809613,탐색적/exploratory
2,B0_tau,panderm,B0,offset,13,0.8064516129032258,0.7106024912241071,0.6640801675598065,0.04652232366430065,탐색적/exploratory
2,B0_tau,panderm,B0,union,13,0.8064516129032258,0.7106024912241071,0.7237491098429167,-0.013146618618809613,탐색적/exploratory
2,B0_tau,panderm,B0,tau,14,0.6904761904761905,0.7037783859017143,0.7126195055294566,-0.008841119627742366,탐색적/exploratory
2,B0_tau,panderm,B0,offset,14,0.6904761904761905,0.7037783859017143,0.6852093342089042,0.01856905169281009,탐색적/exploratory
2,B0_tau,panderm,B0,union,14,0.6904761904761905,0.7037783859017143,0.7126195055294566,-0.008841119627742366,탐색적/exploratory
2,B0d,dinov2,B0d,tau,0,0.3333333333333333,0.6405182807499937,0.6897178771554056,-0.04919959640541183,탐색적/exploratory
2,B0d,dinov2,B0d,offset,0,0.3333333333333333,0.6405182807499937,0.669808161448325,-0.029289880698331272,탐색적/exploratory
2,B0d,dinov2,B0d,union,0,0.3333333333333333,0.6405182807499937,0.6897178771554056,-0.04919959640541183,탐색적/exploratory
2,B0d,dinov2,B0d,tau,1,0.20588235294117646,0.6052889691905672,0.6729537012560189,-0.06766473206545176,탐색적/exploratory
2,B0d,dinov2,B0d,offset,1,0.20588235294117646,0.6052889691905672,0.648952159657848,-0.043663190467280844,탐색적/exploratory
2,B0d,dinov2,B0d,union,1,0.20588235294117646,0.6052889691905672,0.6729537012560189,-0.06766473206545176,탐색적/exploratory
2,B0d,dinov2,B0d,tau,2,0.2549019607843137,0.60542870561818,0.7022706899340793,-0.0968419843158993,탐색적/exploratory
2,B0d,dinov2,B0d,offset,2,0.2549019607843137,0.60542870561818,0.6622781353011635,-0.056849429682983565,탐색적/exploratory
2,B0d,dinov2,B0d,union,2,0.2549019607843137,0.60542870561818,0.7022706899340793,-0.0968419843158993,탐색적/exploratory
2,B0d,dinov2,B0d,tau,3,0.3055555555555556,0.6407070934847556,0.6813566685894907,-0.0406495751047351,탐색적/exploratory
2,B0d,dinov2,B0d,offset,3,0.3055555555555556,0.6407070934847556,0.6688048247238482,-0.028097731239092538,탐색적/exploratory
2,B0d,dinov2,B0d,union,3,0.3055555555555556,0.6407070934847556,0.6813566685894907,-0.0406495751047351,탐색적/exploratory
2,B0d,dinov2,B0d,tau,4,0.2564102564102564,0.6054485667887395,0.6457995119589903,-0.04035094517025084,탐색적/exploratory
2,B0d,dinov2,B0d,offset,4,0.2564102564102564,0.6054485667887395,0.6449653494818701,-0.039516782693130637,탐색적/exploratory
2,B0d,dinov2,B0d,union,4,0.2564102564102564,0.6054485667887395,0.6457995119589903,-0.04035094517025084,탐색적/exploratory
2,B0d,dinov2,B0d,tau,5,0.2,0.6102775190910784,0.6559210281244179,-0.04564350903333947,탐색적/exploratory
2,B0d,dinov2,B0d,offset,5,0.2,0.6102775190910784,0.6312510088781276,-0.02097348978704916,탐색적/exploratory
2,B0d,dinov2,B0d,union,5,0.2,0.6102775190910784,0.6559210281244179,-0.04564350903333947,탐색적/exploratory
2,B0d,dinov2,B0d,tau,6,0.35135135135135137,0.6529836519649762,0.7201959616221075,-0.06721230965713132,탐색적/exploratory
2,B0d,dinov2,B0d,offset,6,0.35135135135135137,0.6529836519649762,0.700707999689324,-0.04772434772434775,탐색적/exploratory
2,B0d,dinov2,B0d,union,6,0.35135135135135137,0.6529836519649762,0.7201959616221075,-0.06721230965713132,탐색적/exploratory
2,B0d,dinov2,B0d,tau,7,0.3409090909090909,0.621473876668157,0.6867544130150781,-0.0652805363469211,탐색적/exploratory
