dataset,fold,arm,label,recall
aptos2019,4,full_llrd,4,0.703125
aptos2019,4,full_llrd_ema,0,0.9855072463768116
aptos2019,4,full_llrd_ema,1,0.7368421052631579
aptos2019,4,full_llrd_ema,2,0.7121951219512195
aptos2019,4,full_llrd_ema,3,0.46153846153846156
aptos2019,4,full_llrd_ema,4,0.578125
aptos2019,4,selected_surgical,0,0.9681159420289855
aptos2019,4,selected_surgical,1,0.7894736842105263
aptos2019,4,selected_surgical,2,0.47804878048780486
aptos2019,4,selected_surgical,3,0.6153846153846154
aptos2019,4,selected_surgical,4,0.484375
aptos2019,5,emb,0,0.9745762711864406
aptos2019,5,emb,1,0.7692307692307693
aptos2019,5,emb,2,0.5666666666666667
aptos2019,5,emb,3,0.5142857142857142
aptos2019,5,emb,4,0.6615384615384615
aptos2019,5,emb_ema,0,0.9745762711864406
aptos2019,5,emb_ema,1,0.7692307692307693
aptos2019,5,emb_ema,2,0.5666666666666667
aptos2019,5,emb_ema,3,0.5142857142857142
aptos2019,5,emb_ema,4,0.6615384615384615
aptos2019,5,first2,0,0.9745762711864406
aptos2019,5,first2,1,0.7692307692307693
aptos2019,5,first2,2,0.5666666666666667
aptos2019,5,first2,3,0.5142857142857142
aptos2019,5,first2,4,0.6615384615384615
aptos2019,5,first2_ema,0,0.9745762711864406
aptos2019,5,first2_ema,1,0.7692307692307693
aptos2019,5,first2_ema,2,0.5666666666666667
aptos2019,5,first2_ema,3,0.5142857142857142
aptos2019,5,first2_ema,4,0.6615384615384615
aptos2019,5,full_llrd,0,0.9943502824858758
aptos2019,5,full_llrd,1,0.8076923076923077
aptos2019,5,full_llrd,2,0.780952380952381
aptos2019,5,full_llrd,3,0.2571428571428571
aptos2019,5,full_llrd,4,0.6153846153846154
aptos2019,5,full_llrd_ema,0,0.9943502824858758
aptos2019,5,full_llrd_ema,1,0.8333333333333334
aptos2019,5,full_llrd_ema,2,0.6952380952380952
aptos2019,5,full_llrd_ema,3,0.45714285714285713
aptos2019,5,full_llrd_ema,4,0.6923076923076923
aptos2019,5,selected_surgical,0,0.9943502824858758
aptos2019,5,selected_surgical,1,0.8076923076923077
aptos2019,5,selected_surgical,2,0.780952380952381
aptos2019,5,selected_surgical,3,0.2571428571428571
aptos2019,5,selected_surgical,4,0.6153846153846154
aptos2019,6,emb,0,0.9736842105263158
aptos2019,6,emb,1,0.7532467532467533
aptos2019,6,emb,2,0.6129032258064516
aptos2019,6,emb,3,0.6216216216216216
aptos2019,6,emb,4,0.5
aptos2019,6,emb_ema,0,0.9736842105263158
aptos2019,6,emb_ema,1,0.7532467532467533
aptos2019,6,emb_ema,2,0.6129032258064516
aptos2019,6,emb_ema,3,0.5675675675675675
aptos2019,6,emb_ema,4,0.5
aptos2019,6,first2,0,0.9736842105263158
aptos2019,6,first2,1,0.7532467532467533
