dataset,fold,arm,reference,disagreement,correctness_disagreement,sampling_sd_floor
aptos2019,0,selected_surgical,last2,0.10684931506849316,0.08904109589041095,0.02027909464460167
aptos2019,0,selected_surgical,full,0.1589041095890411,0.13424657534246576,0.025326911712575336
aptos2019,0,selected_surgical,selected_training,0.15342465753424658,0.12191780821917808,0.023091125211328306
aptos2019,1,emb,frozen_lr,0.04076086956521739,0.03125,0.01304016174861989
aptos2019,1,emb,last2,0.16032608695652173,0.13858695652173914,0.02319594292470573
aptos2019,1,emb,full,0.20244565217391305,0.17798913043478262,0.024107792321624175
aptos2019,1,emb,selected_training,0.125,0.09782608695652174,0.02110305291378201
aptos2019,1,emb_ema,frozen_lr,0.08288043478260869,0.06521739130434782,0.016410614531387993
aptos2019,1,emb_ema,last2,0.15489130434782608,0.13179347826086957,0.02284683996607955
aptos2019,1,emb_ema,full,0.19429347826086957,0.17119565217391305,0.023145085234718806
aptos2019,1,emb_ema,selected_training,0.11956521739130435,0.09918478260869565,0.01960880783390633
aptos2019,1,first2,frozen_lr,0.04755434782608696,0.04076086956521739,0.016079272719812646
aptos2019,1,first2,last2,0.15760869565217392,0.13451086956521738,0.025117596432915692
aptos2019,1,first2,full,0.18885869565217392,0.16304347826086957,0.022544027323792758
aptos2019,1,first2,selected_training,0.10869565217391304,0.08831521739130435,0.020724417266942952
aptos2019,1,first2_ema,frozen_lr,0.0,0.0,0.0
aptos2019,1,first2_ema,last2,0.17391304347826086,0.15081521739130435,0.02428448140405902
aptos2019,1,first2_ema,full,0.21467391304347827,0.19021739130434784,0.026307497794264608
aptos2019,1,first2_ema,selected_training,0.13451086956521738,0.11277173913043478,0.02431033168868148
aptos2019,1,full_llrd,frozen_lr,0.12771739130434784,0.10869565217391304,0.021105392713837212
aptos2019,1,full_llrd,last2,0.11956521739130435,0.10461956521739131,0.022804990046338427
aptos2019,1,full_llrd,full,0.1453804347826087,0.12771739130434784,0.024257094008299417
aptos2019,1,full_llrd,selected_training,0.10461956521739131,0.08288043478260869,0.022471896231654208
aptos2019,1,full_llrd_ema,frozen_lr,0.125,0.10869565217391304,0.02174315626221192
aptos2019,1,full_llrd_ema,last2,0.12092391304347826,0.10733695652173914,0.022205362247553043
aptos2019,1,full_llrd_ema,full,0.13451086956521738,0.11684782608695653,0.023419631369659338
aptos2019,1,full_llrd_ema,selected_training,0.08695652173913043,0.07472826086956522,0.021466645615014074
aptos2019,1,selected_surgical,frozen_lr,0.12771739130434784,0.10869565217391304,0.021105392713837212
aptos2019,1,selected_surgical,last2,0.11956521739130435,0.10461956521739131,0.022804990046338427
aptos2019,1,selected_surgical,full,0.1453804347826087,0.12771739130434784,0.024257094008299417
aptos2019,1,selected_surgical,selected_training,0.10461956521739131,0.08288043478260869,0.022471896231654208
aptos2019,2,emb,frozen_lr,0.0,0.0,0.0
aptos2019,2,emb,last2,0.0,0.0,0.0
aptos2019,2,emb,full,0.0,0.0,0.0
aptos2019,2,emb,selected_training,0.024291497975708502,0.014844804318488529,0.007907880810511464
aptos2019,2,emb_ema,frozen_lr,0.06747638326585695,0.05128205128205128,0.013227206225432395
aptos2019,2,emb_ema,last2,0.06747638326585695,0.05128205128205128,0.013227206225432395
aptos2019,2,emb_ema,full,0.06747638326585695,0.05128205128205128,0.013227206225432395
aptos2019,2,emb_ema,selected_training,0.07152496626180836,0.0553306342780027,0.012927129559983225
aptos2019,2,first2,frozen_lr,0.0,0.0,0.0
aptos2019,2,first2,last2,0.0,0.0,0.0
aptos2019,2,first2,full,0.0,0.0,0.0
aptos2019,2,first2,selected_training,0.024291497975708502,0.014844804318488529,0.007907880810511464
aptos2019,2,first2_ema,frozen_lr,0.0,0.0,0.0
aptos2019,2,first2_ema,last2,0.0,0.0,0.0
aptos2019,2,first2_ema,full,0.0,0.0,0.0
aptos2019,2,first2_ema,selected_training,0.024291497975708502,0.014844804318488529,0.007907880810511464
aptos2019,2,full_llrd,frozen_lr,0.15654520917678813,0.1349527665317139,0.022739355831145232
aptos2019,2,full_llrd,last2,0.15654520917678813,0.1349527665317139,0.022739355831145232
aptos2019,2,full_llrd,full,0.15654520917678813,0.1349527665317139,0.022739355831145232
