dataset,fold,arm,actual_arm,seed,bacc,epoch,lr,inner_bacc,n_train,n_test,predictions_sha256,ref_frozen_lr,ref_lora,ref_last2,ref_full,ref_selected_training,previous_bt
aptos2019,8,first2_ema,first2_ema,0,0.682702390550887,3,0.0001,0.6783028802897393,2938,724,04bb5316d1045d9aa09809ca681c6ddddb0851b5d4fbcb411a6c3ac82ec4228c,0.6777761514758115,0.6839661607968279,0.6891726047116867,0.6767847037325708,0.6891726047116867,last2
aptos2019,8,full_llrd,full_llrd,0,0.6938042239033723,4,1e-05,0.6706078136723826,2938,724,b992567b222b5322695eb4ea14fe6ad7fbb2e8ae59daf122edc70ffb33cada90,0.6777761514758115,0.6839661607968279,0.6891726047116867,0.6767847037325708,0.6891726047116867,last2
aptos2019,8,full_llrd_ema,full_llrd_ema,0,0.7450591277995043,7,0.0001,0.6914220964141444,2938,724,aaeabe1e9eebff08ed4440a3a8f813c23a4990b8f29f56e3917666ec2b34e12e,0.6777761514758115,0.6839661607968279,0.6891726047116867,0.6767847037325708,0.6891726047116867,last2
aptos2019,8,selected_surgical,first2,0,0.6663832693589674,10,1e-05,0.671135146747282,2938,724,368d024f4a1f36477d08475f78a6db85a916c092020266a4010fced0d1ee5061,0.6777761514758115,0.6839661607968279,0.6891726047116867,0.6767847037325708,0.6891726047116867,last2
aptos2019,9,emb,emb,0,0.6825152372208718,0,1e-05,0.6842523102300048,2930,732,2b68907e634df5ef7b019e0013495a00e4f45b876a9ca8b9feae2fc118d576c6,0.6825152372208718,0.6841718588729813,0.6262168294401749,0.6825152372208718,0.6841718588729813,lora
aptos2019,9,emb_ema,emb_ema,0,0.6825152372208718,0,1e-05,0.6842523102300048,2930,732,2b68907e634df5ef7b019e0013495a00e4f45b876a9ca8b9feae2fc118d576c6,0.6825152372208718,0.6841718588729813,0.6262168294401749,0.6825152372208718,0.6841718588729813,lora
aptos2019,9,first2,first2,0,0.6825152372208718,0,1e-05,0.6842523102300048,2930,732,2b68907e634df5ef7b019e0013495a00e4f45b876a9ca8b9feae2fc118d576c6,0.6825152372208718,0.6841718588729813,0.6262168294401749,0.6825152372208718,0.6841718588729813,lora
aptos2019,9,first2_ema,first2_ema,0,0.6825152372208718,0,1e-05,0.6842523102300048,2930,732,2b68907e634df5ef7b019e0013495a00e4f45b876a9ca8b9feae2fc118d576c6,0.6825152372208718,0.6841718588729813,0.6262168294401749,0.6825152372208718,0.6841718588729813,lora
aptos2019,9,full_llrd,full_llrd,0,0.649916834372988,3,1e-05,0.6853558614256618,2930,732,30c3e2dc148b4a74d26a4f37ba03e8ee153bc96f8df1d3b2eee2279da8249cdf,0.6825152372208718,0.6841718588729813,0.6262168294401749,0.6825152372208718,0.6841718588729813,lora
aptos2019,9,full_llrd_ema,full_llrd_ema,0,0.6969038325394525,5,0.0001,0.7123204776663612,2930,732,92c9c0ee64450ff2fa9f77e3368a791984c97407475f3bf03ef4a7a5d9e81b84,0.6825152372208718,0.6841718588729813,0.6262168294401749,0.6825152372208718,0.6841718588729813,lora
aptos2019,9,selected_surgical,full_llrd,0,0.649916834372988,3,1e-05,0.6853558614256618,2930,732,30c3e2dc148b4a74d26a4f37ba03e8ee153bc96f8df1d3b2eee2279da8249cdf,0.6825152372208718,0.6841718588729813,0.6262168294401749,0.6825152372208718,0.6841718588729813,lora
aptos2019,10,emb,emb,0,0.6333641589841338,3,1e-05,0.6818163756506935,2941,721,162501bb091545b8e7ab07c3bb580245117e8630285858c733db50dd310f2cd3,0.6250047401422949,0.6407560300102348,0.6231121362448234,0.674075868066915,0.6407560300102348,lora
aptos2019,10,emb_ema,emb_ema,0,0.6466580683430612,3,0.0001,0.6790889241365088,2941,721,835494c572eccb40ca814d15d6f11bdae6fd52a9111085289385e4a7510c089e,0.6250047401422949,0.6407560300102348,0.6231121362448234,0.674075868066915,0.6407560300102348,lora
aptos2019,10,first2,first2,0,0.6346053312153533,5,1e-05,0.6822262363052293,2941,721,4672c7df13eef505be57000b71425a6cbe208279de7754b20528abdb2481b66e,0.6250047401422949,0.6407560300102348,0.6231121362448234,0.674075868066915,0.6407560300102348,lora
aptos2019,10,first2_ema,first2_ema,0,0.6406046702222112,5,1e-05,0.6833535121131029,2941,721,86d1f63240cfdf0e7691737754c1cde88114e988c6d97d9b529e89d7fc512abb,0.6250047401422949,0.6407560300102348,0.6231121362448234,0.674075868066915,0.6407560300102348,lora
aptos2019,10,full_llrd,full_llrd,0,0.6326084632912397,5,0.0001,0.6934155315304721,2941,721,54018771d8e3e84d94c2025f5ac91dae23206749eef711dc8fb33e8d48dcfee7,0.6250047401422949,0.6407560300102348,0.6231121362448234,0.674075868066915,0.6407560300102348,lora
aptos2019,10,full_llrd_ema,full_llrd_ema,0,0.6983442312826467,3,0.0001,0.7053864996885567,2941,721,d267739bd771da8e6d7c5d4e4f0d4a44a64c19039746f657658ba37da29f377d,0.6250047401422949,0.6407560300102348,0.6231121362448234,0.674075868066915,0.6407560300102348,lora
aptos2019,10,selected_surgical,full_llrd,0,0.6326084632912397,5,0.0001,0.6934155315304721,2941,721,54018771d8e3e84d94c2025f5ac91dae23206749eef711dc8fb33e8d48dcfee7,0.6250047401422949,0.6407560300102348,0.6231121362448234,0.674075868066915,0.6407560300102348,lora
