condition,seed,arm,fold,bacc,mcc,macro_mae,lr,wd,epoch,per_class_recall
seed,4,B4,4,0.6668505935525337,0.6955462350982301,0.25546448087431695,0.01,3.0,140,"[0.9778393351800554, 0.581081081081081, 0.6432160804020101, 0.5897435897435898, 0.5423728813559322]"
seed,4,B4,5,0.6962443803383284,0.6963224194041335,0.2578444747612551,0.001,3.0,130,"[0.9806094182825484, 0.6891891891891891, 0.585, 0.717948717948718, 0.5084745762711864]"
seed,4,B4,6,0.7074144899973343,0.7318806810160012,0.21828103683492497,0.01,10.0,760,"[0.9861495844875346, 0.7162162162162162, 0.66, 0.6153846153846154, 0.559322033898305]"
seed,4,B4,7,0.6930953172525547,0.7100602945323604,0.24316939890710382,0.01,10.0,740,"[0.9750692520775623, 0.7837837837837838, 0.625, 0.6578947368421053, 0.423728813559322]"
seed,4,B4,8,0.648047559649419,0.6545703436996488,0.2855191256830601,0.01,10.0,80,"[0.9667590027700831, 0.7027027027027027, 0.54, 0.6578947368421053, 0.3728813559322034]"
seed,4,B4,9,0.6805138635730394,0.6888903771806553,0.2773224043715847,0.01,10.0,490,"[0.9695290858725761, 0.7162162162162162, 0.592964824120603, 0.6153846153846154, 0.5084745762711864]"
seed,4,B4,10,0.6918803207748229,0.7051293779325605,0.25102319236016374,0.001,0.1,210,"[0.9722991689750693, 0.7432432432432432, 0.62, 0.6153846153846154, 0.5084745762711864]"
seed,4,B4,11,0.6345709972360988,0.6443485509995687,0.3042291950886767,0.01,3.0,30,"[0.9556786703601108, 0.7432432432432432, 0.52, 0.5641025641025641, 0.3898305084745763]"
seed,4,B4,12,0.6615261076842841,0.691557376497253,0.2718579234972678,0.01,1.0,50,"[0.9806094182825484, 0.7432432432432432, 0.615, 0.5789473684210527, 0.3898305084745763]"
seed,4,B4,13,0.7007611079317263,0.7095803192122828,0.24316939890710382,0.01,10.0,290,"[0.9750692520775623, 0.7162162162162162, 0.635, 0.7368421052631579, 0.4406779661016949]"
seed,4,B4,14,0.6977339238791342,0.6971074928440968,0.25136612021857924,0.01,10.0,110,"[0.9750692520775623, 0.6081081081081081, 0.6030150753768844, 0.6923076923076923, 0.6101694915254238]"
seed,4,B0d,0,0.6663981119952762,0.7672132931106885,0.20463847203274216,0.001,3.0,150,"[0.9916897506925207, 0.5945945945945946, 0.87, 0.3333333333333333, 0.5423728813559322]"
seed,4,B0d,1,0.6282288561011506,0.7138412786271455,0.24420190995907232,0.001,0.01,210,"[0.9833795013850416, 0.6081081081081081, 0.76, 0.1794871794871795, 0.6101694915254238]"
seed,4,B0d,2,0.6561543823273013,0.7255534201270942,0.24043715846994534,0.001,1.0,240,"[0.9833795013850416, 0.581081081081081, 0.785, 0.47368421052631576, 0.4576271186440678]"
seed,4,B0d,3,0.6241640325710001,0.7069685951096593,0.2540983606557377,0.01,3.0,30,"[0.9695290858725761, 0.527027027027027, 0.8, 0.3157894736842105, 0.5084745762711864]"
seed,4,B0d,4,0.5852145275795289,0.676031664519445,0.29508196721311475,0.01,1.0,30,"[0.9778393351800554, 0.3783783783783784, 0.7788944723618091, 0.3333333333333333, 0.4576271186440678]"
seed,4,B0d,5,0.6159920576114294,0.6986666338175901,0.2673942701227831,0.01,0.1,60,"[0.9806094182825484, 0.6216216216216216, 0.755, 0.28205128205128205, 0.4406779661016949]"
seed,4,B0d,6,0.657469073327048,0.7308646585041647,0.22646657571623466,0.01,1.0,50,"[0.9778393351800554, 0.5540540540540541, 0.795, 0.3333333333333333, 0.6271186440677966]"
seed,4,B0d,7,0.6195657669501042,0.6792409534392494,0.2923497267759563,0.01,0.01,250,"[0.9833795013850416, 0.47297297297297297, 0.695, 0.42105263157894735, 0.5254237288135594]"
seed,4,B0d,8,0.6494779376775714,0.7321863873210935,0.2336065573770492,0.001,0.1,120,"[0.9778393351800554, 0.5405405405405406, 0.82, 0.3157894736842105, 0.5932203389830508]"
seed,4,B0d,9,0.6287752549746825,0.7115622602503285,0.2609289617486339,0.01,1.0,40,"[0.9778393351800554, 0.527027027027027, 0.7889447236180904, 0.3076923076923077, 0.5423728813559322]"
seed,4,B0d,10,0.6262634356611538,0.7197102459970328,0.24556616643929058,0.01,1.0,60,"[0.9833795013850416, 0.5135135135135135, 0.81, 0.28205128205128205, 0.5423728813559322]"
seed,4,B0d,11,0.6204578289442368,0.6959703253570728,0.2728512960436562,0.01,3.0,100,"[0.9750692520775623, 0.5675675675675675, 0.76, 0.358974358974359, 0.4406779661016949]"
