arm,base_arm,recipe,dataset,fold,bacc,mcc,macro_mae,per_class_recall,n_train,n_test,lr,wd,epoch,train_ce_best,train_ce_best_epoch,train_loss_final,grad_norm_final,w_norm,count_mode,seconds
A1_sel,A1,sel,oral_diseases,6,0.8108130173919648,0.7967887982773058,0.33980582524271846,"[0.875, 0.9333333333333333, 0.6666666666666666, 0.8888888888888888, 0.6363636363636364, 0.8421052631578947, 0.8333333333333334]",2065,103,0.001,0.1,300,0.05190815031528473,300,0.05190815031528473,0.03479676693677902,4.725180149078369,train,13.604730367660522
A1_sel,A1,sel,oral_diseases,7,0.6970532391585023,0.6585113621701137,0.4563106796116505,"[0.75, 0.9333333333333333, 0.6666666666666666, 0.6111111111111112, 0.5454545454545454, 0.7894736842105263, 0.5833333333333334]",2065,103,0.001,3.0,30,0.4702996611595154,30,0.4702996611595154,0.3781355917453766,1.844053030014038,train,13.499479532241821
A1_sel,A1,sel,oral_diseases,8,0.8076812076812078,0.7736732480090747,0.42718446601941745,"[0.8666666666666667, 1.0, 0.6923076923076923, 0.7777777777777778, 0.7272727272727273, 0.6666666666666666, 0.9230769230769231]",2065,103,0.01,10.0,180,0.14906474947929382,180,0.14906474947929382,0.12084725499153137,2.5351758003234863,train,13.484384775161743
A1_sel,A1,sel,oral_diseases,9,0.7516057772636721,0.7153809209635067,0.42718446601941745,"[0.8125, 1.0, 0.75, 0.7222222222222222, 0.6, 0.6842105263157895, 0.6923076923076923]",2065,103,0.001,10.0,100,0.2747628688812256,100,0.2747628688812256,0.22613702714443207,1.850155234336853,train,13.490216493606567
A1_sel,A1,sel,oral_diseases,10,0.7400921446974078,0.6965026920350579,0.36538461538461536,"[0.8125, 1.0, 0.75, 0.5, 0.6363636363636364, 0.7894736842105263, 0.6923076923076923]",2060,104,0.001,10.0,30,0.49298039078712463,30,0.49298039078712463,0.37402644753456116,1.5846196413040161,train,13.279019832611084
A1_sel,A1,sel,oral_diseases,11,0.6516793878635985,0.6016084819012707,0.6601941747572816,"[0.8125, 0.9333333333333333, 0.6666666666666666, 0.5555555555555556, 0.5454545454545454, 0.631578947368421, 0.4166666666666667]",2065,103,0.001,3.0,50,0.3210354447364807,50,0.3210354447364807,0.24132972955703735,2.027740955352783,train,13.43961477279663
A1_sel,A1,sel,oral_diseases,12,0.7661245917824866,0.727062324444345,0.4854368932038835,"[0.8125, 1.0, 0.75, 0.7222222222222222, 0.7272727272727273, 0.6842105263157895, 0.6666666666666666]",2065,103,0.001,1.0,30,0.4661661386489868,30,0.4661661386489868,0.3653830289840698,1.9295088052749634,train,13.07716417312622
A1_sel,A1,sel,oral_diseases,13,0.7597291597291598,0.727328300906035,0.4368932038834951,"[0.8666666666666667, 1.0, 0.8461538461538461, 0.7777777777777778, 0.5454545454545454, 0.6666666666666666, 0.6153846153846154]",2065,103,0.01,3.0,60,0.0983656793832779,60,0.0983656793832779,0.07544512301683426,3.3206398487091064,train,13.477644681930542
A1_sel,A1,sel,oral_diseases,14,0.7565660947239895,0.7271501354533585,0.4077669902912621,"[0.875, 1.0, 0.6666666666666666, 0.7777777777777778, 0.6, 0.6842105263157895, 0.6923076923076923]",2065,103,0.001,10.0,60,0.3526192307472229,60,0.3526192307472229,0.28250956535339355,1.6893603801727295,train,13.59255075454712
A2_200,A2,200,oral_diseases,0,0.6886837577627052,0.6641283759487757,0.5865384615384616,"[0.9375, 1.0, 0.5, 0.6111111111111112, 0.5454545454545454, 0.8421052631578947, 0.38461538461538464]",412,104,0.01,0.0001,200,0.00148811808321625,200,0.00148811808321625,0.0017052253242582083,7.390411376953125,train,0.17954015731811523
