dataset,arm,wave,fold,bacc_regen,bacc_archived,abs_diff,match
aptos2019,B3d,w2,8,0.6387706833083142,0.6387706833083142,0.0,True
aptos2019,B3d,w2,9,0.6473152060512781,0.6473152060512781,0.0,True
aptos2019,B3d,w2,10,0.6244032138586343,0.6244032138586343,0.0,True
aptos2019,B3d,w2,11,0.6291198558347719,0.6291198558347719,0.0,True
aptos2019,B3d,w2,12,0.6079233474988675,0.6079233474988675,0.0,True
aptos2019,B3d,w2,13,0.626835061410065,0.626835061410065,0.0,True
aptos2019,B3d,w2,14,0.6359587670410766,0.6359587670410766,0.0,True
aptos2019,B4d,w2,0,0.6770344561805663,0.6770344561805663,0.0,True
aptos2019,B4d,w2,1,0.6368293786351911,0.6368293786351911,0.0,True
aptos2019,B4d,w2,2,0.6450672293966345,0.6450672293966345,0.0,True
aptos2019,B4d,w2,3,0.63930507459429,0.63930507459429,0.0,True
aptos2019,B4d,w2,4,0.626500604956762,0.626500604956762,0.0,True
aptos2019,B4d,w2,5,0.6183417095021396,0.6183417095021396,0.0,True
aptos2019,B4d,w2,6,0.6416541397494024,0.6416541397494024,0.0,True
aptos2019,B4d,w2,7,0.6201199333048246,0.6201199333048246,0.0,True
aptos2019,B4d,w2,8,0.6355170436881314,0.6355170436881314,0.0,True
aptos2019,B4d,w2,9,0.6429376611076933,0.6429376611076933,0.0,True
aptos2019,B4d,w2,10,0.6286640847437128,0.6286640847437128,0.0,True
aptos2019,B4d,w2,11,0.6274997378675016,0.6274997378675016,0.0,True
aptos2019,B4d,w2,12,0.6307670148198812,0.6307670148198812,0.0,True
aptos2019,B4d,w2,13,0.6406672943660595,0.6406672943660595,0.0,True
aptos2019,B4d,w2,14,0.6445938737743081,0.6445938737743081,0.0,True
oral_diseases,A0,w1,0,0.6886837577627052,0.6886837577627052,0.0,True
oral_diseases,A0,w1,1,0.7911900964532543,0.7911900964532543,0.0,True
oral_diseases,A0,w1,2,0.7217190704032809,0.7217190704032809,0.0,True
oral_diseases,A0,w1,3,0.7454878454878455,0.7454878454878455,0.0,True
oral_diseases,A0,w1,4,0.770840562945826,0.770840562945826,0.0,True
oral_diseases,A0,w1,5,0.7423967845020477,0.7423967845020477,0.0,True
oral_diseases,A0,w1,6,0.7286426293005241,0.7286426293005241,0.0,True
oral_diseases,A0,w1,7,0.7395192526771474,0.7395192526771474,0.0,True
oral_diseases,A0,w1,8,0.7984459984459985,0.7984459984459985,0.0,True
