axis,param,bacc,recall_target,fold,frontier_base,family,pareto_union,marked_tau,dataset,exploratory
tau,1.8,0.6516480472715038,0.5384615384615384,1,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,1.85,0.6523507499742065,0.5384615384615384,1,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,1.9,0.6492427167332092,0.5384615384615384,1,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,1.95,0.6544991269896195,0.5897435897435898,1,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,2.0,0.6523910937486223,0.5897435897435898,1,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,2.05,0.6565192988768274,0.6153846153846154,1,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,2.1,0.6576679849590314,0.6153846153846154,1,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,2.15,0.6525599517180343,0.6153846153846154,1,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,2.2,0.6532626544207369,0.6153846153846154,1,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,2.25,0.6497086378002385,0.6153846153846154,1,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,2.3,0.6476006045592412,0.6153846153846154,1,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,2.35,0.654431512390149,0.6410256410256411,1,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,2.4,0.6508774957696503,0.6410256410256411,1,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,2.45,0.6537288845545571,0.6410256410256411,1,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,2.5,0.6527288845545571,0.6410256410256411,1,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,2.55,0.652600370359561,0.6666666666666666,1,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,2.6,0.6510463537390623,0.6666666666666666,1,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,2.65,0.6441025066100892,0.6666666666666666,1,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,2.7,0.6378457872868879,0.6666666666666666,1,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,2.75,0.6352917706663892,0.6666666666666666,1,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,2.8,0.6378659591740957,0.6923076923076923,1,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,2.85,0.6378659591740957,0.6923076923076923,1,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,2.9,0.6367579259330984,0.6923076923076923,1,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,2.95,0.6353882673118317,0.717948717948718,1,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,3.0,0.6338749035325401,0.717948717948718,1,B0,panderm,False,False,aptos2019,탐색적/exploratory
offset,0.0,0.6427510783418102,0.358974358974359,1,B0,panderm,False,False,aptos2019,탐색적/exploratory
offset,3.3674107193946843,0.666965204525982,0.8205128205128205,1,B0,panderm,True,False,aptos2019,탐색적/exploratory
offset,3.5699663162231445,0.660313748637238,0.8461538461538461,1,B0,panderm,True,False,aptos2019,탐색적/exploratory
offset,4.237248420715333,0.6441082761279954,0.8717948717948718,1,B0,panderm,True,False,aptos2019,탐색적/exploratory
offset,4.584839820861816,0.634846650747726,0.8974358974358975,1,B0,panderm,True,False,aptos2019,탐색적/exploratory
offset,4.8057913780212385,0.6308823226647539,0.9230769230769231,1,B0,panderm,True,False,aptos2019,탐색적/exploratory
offset,6.183179438114166,0.5626947484707474,0.9487179487179487,1,B0,panderm,True,False,aptos2019,탐색적/exploratory
offset,6.467318296432494,0.5622689369784538,0.9743589743589743,1,B0,panderm,True,False,aptos2019,탐색적/exploratory
offset,11.894809126853943,0.33411207352711647,1.0,1,B0,panderm,True,False,aptos2019,탐색적/exploratory
tau,0.0,0.669678888616773,0.39473684210526316,2,B0,panderm,False,True,aptos2019,탐색적/exploratory
tau,0.05,0.6676788886167729,0.39473684210526316,2,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,0.1,0.663678888616773,0.39473684210526316,2,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,0.15,0.6743538904884507,0.4473684210526316,2,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,0.2,0.6760565931911534,0.4473684210526316,2,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,0.25,0.6750565931911534,0.4473684210526316,2,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,0.3,0.6727592958938561,0.4473684210526316,2,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,0.35,0.6707592958938562,0.4473684210526316,2,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,0.4,0.6697592958938561,0.4473684210526316,2,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,0.45,0.676858267676569,0.47368421052631576,2,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,0.5,0.675858267676569,0.47368421052631576,2,B0,panderm,False,True,aptos2019,탐색적/exploratory
tau,0.55,0.6775609703792717,0.47368421052631576,2,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,0.6,0.6755609703792718,0.47368421052631576,2,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,0.65,0.6782636730819743,0.47368421052631576,2,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,0.7,0.6809663757846771,0.47368421052631576,2,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,0.75,0.6804123591641785,0.47368421052631576,2,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,0.8,0.6822481730521546,0.47368421052631576,2,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,0.85,0.6822481730521546,0.47368421052631576,2,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,0.9,0.681694156431656,0.47368421052631576,2,B0,panderm,False,False,aptos2019,탐색적/exploratory
