bacc,mcc,macro_mae,classmean_mae,per_class_recall,arm,dataset,fold,alpha,epochs
0.6156070737153417,0.6953041155236924,0.252387448840382,0.47019459081382176,"[0.9861495844875346, 0.527027027027027, 0.74, 0.3333333333333333, 0.4915254237288136]",B6s20,aptos2019,6,2.0,500
0.6315355333266504,0.7027819303519376,0.2650273224043716,0.5024067479376649,"[0.9833795013850416, 0.5675675675675675, 0.745, 0.42105263157894735, 0.4406779661016949]",B6s20,aptos2019,7,2.0,500
0.6159866025939551,0.7024110800700675,0.2677595628415301,0.5129070226618938,"[0.9833795013850416, 0.6351351351351351, 0.75, 0.23684210526315788, 0.4745762711864407]",B6s20,aptos2019,8,2.0,500
0.580339256853501,0.689509414565175,0.2718579234972678,0.5546675539421324,"[0.9889196675900277, 0.5, 0.7839195979899497, 0.20512820512820512, 0.423728813559322]",B6s20,aptos2019,9,2.0,500
0.6366282630924632,0.7283309180583588,0.2373806275579809,0.4722768545414679,"[0.9861495844875346, 0.5675675675675675, 0.805, 0.28205128205128205, 0.5423728813559322]",B6s20,aptos2019,10,2.0,500
0.6218070066115045,0.7012943439670332,0.26193724420190995,0.4949501333633453,"[0.9833795013850416, 0.5540540540540541, 0.755, 0.358974358974359, 0.4576271186440678]",B6s20,aptos2019,11,2.0,500
0.5870513854856781,0.682320234488361,0.273224043715847,0.5353599509176297,"[0.9833795013850416, 0.5540540540540541, 0.76, 0.3157894736842105, 0.3220338983050847]",B6s20,aptos2019,12,2.0,500
0.6499280615889846,0.7440832279861972,0.22404371584699453,0.46890333894625175,"[0.9889196675900277, 0.6216216216216216, 0.83, 0.3684210526315789, 0.4406779661016949]",B6s20,aptos2019,13,2.0,500
0.6255294421734396,0.7241185086177995,0.24453551912568305,0.5018262068328354,"[0.9861495844875346, 0.5675675675675675, 0.8090452261306532, 0.2564102564102564, 0.5084745762711864]",B6s20,aptos2019,14,2.0,500
0.652951185992972,0.7265750185250175,0.2373806275579809,0.4473390902920459,"[0.9833795013850416, 0.5945945945945946, 0.785, 0.41025641025641024, 0.4915254237288136]",B0_ce,aptos2019,0,,500
0.6336475672239793,0.6875442071088014,0.28512960436562074,0.4951253972699111,"[0.96398891966759, 0.6081081081081081, 0.72, 0.38461538461538464, 0.4915254237288136]",B0_ce,aptos2019,1,,500
0.6570201379838921,0.7179701055959159,0.25546448087431695,0.463923201571448,"[0.9861495844875346, 0.6081081081081081, 0.735, 0.4473684210526316, 0.5084745762711864]",B0_ce,aptos2019,2,,500
0.6591810248673011,0.7245695983194607,0.25136612021857924,0.4643602833783594,"[0.9806094182825484, 0.6351351351351351, 0.76, 0.39473684210526316, 0.5254237288135594]",B0_ce,aptos2019,3,,500
0.6184422787955264,0.6916942136664386,0.27595628415300544,0.5182681052401503,"[0.9778393351800554, 0.47297297297297297, 0.7487437185929648, 0.3333333333333333, 0.559322033898305]",B0_ce,aptos2019,4,,500
0.6392907123102907,0.7107928076380498,0.2551159618008186,0.4697630165387337,"[0.9944598337950139, 0.581081081081081, 0.72, 0.3076923076923077, 0.5932203389830508]",B0_ce,aptos2019,5,,500
