bacc,mcc,macro_mae,per_class_recall,n_train,n_test,fold,arm,dataset,backbone,lever,loss,repeat,fold_in_repeat,splitter,count_mode
0.6585096914840565,0.6746336892241518,0.2978142076502732,"[0.9750692520775623, 0.6081081081081081, 0.605, 0.5789473684210527, 0.5254237288135594]",2930,732,1,B1,aptos2019,panderm,rebalance,ce,0,1,"StratifiedGroupKFold(5,shuffle,rs=0)",pool
0.6386694635926056,0.6948325205893681,0.2728512960436562,"[0.9833795013850416, 0.6351351351351351, 0.69, 0.41025641025641024, 0.4745762711864407]",2929,733,2,B1,aptos2019,panderm,rebalance,ce,0,2,"StratifiedGroupKFold(5,shuffle,rs=0)",pool
0.6404659614776991,0.6792204083097745,0.3128415300546448,"[0.96398891966759, 0.6486486486486487, 0.645, 0.3684210526315789, 0.576271186440678]",2930,732,3,B1,aptos2019,panderm,rebalance,ce,0,3,"StratifiedGroupKFold(5,shuffle,rs=0)",pool
0.635633973004803,0.6936592028957601,0.27459016393442626,"[0.9750692520775623, 0.6486486486486487, 0.7035175879396985, 0.41025641025641024, 0.4406779661016949]",2930,732,4,B1,aptos2019,panderm,rebalance,ce,0,4,"StratifiedGroupKFold(5,shuffle,rs=0)",pool
0.6615876895108315,0.702346923741158,0.2728512960436562,"[0.9833795013850416, 0.6621621621621622, 0.675, 0.5128205128205128, 0.4745762711864407]",2929,733,5,B1,aptos2019,panderm,rebalance,ce,1,0,"StratifiedGroupKFold(5,shuffle,rs=1)",pool
0.6712286262939345,0.7072307765060657,0.28512960436562074,"[0.9695290858725761, 0.7027027027027027, 0.68, 0.46153846153846156, 0.5423728813559322]",2929,733,6,B1,aptos2019,panderm,rebalance,ce,1,1,"StratifiedGroupKFold(5,shuffle,rs=1)",pool
0.6687190846417101,0.7052504909499099,0.26639344262295084,"[0.9750692520775623, 0.6216216216216216, 0.68, 0.47368421052631576, 0.5932203389830508]",2930,732,7,B1,aptos2019,panderm,rebalance,ce,1,2,"StratifiedGroupKFold(5,shuffle,rs=1)",pool
0.6704039087147409,0.7055883781517127,0.2718579234972678,"[0.9778393351800554, 0.6351351351351351, 0.6834170854271356, 0.5641025641025641, 0.4915254237288136]",2930,732,8,B1,aptos2019,panderm,rebalance,ce,1,3,"StratifiedGroupKFold(5,shuffle,rs=1)",pool
0.6419115032681397,0.696296560467613,0.2855191256830601,"[0.9778393351800554, 0.6891891891891891, 0.675, 0.34210526315789475, 0.5254237288135594]",2930,732,9,B1,aptos2019,panderm,rebalance,ce,1,4,"StratifiedGroupKFold(5,shuffle,rs=1)",pool
0.6513065852440472,0.7056102240041061,0.27694406548431105,"[0.9889196675900277, 0.7297297297297297, 0.67, 0.41025641025641024, 0.4576271186440678]",2929,733,10,B1,aptos2019,panderm,rebalance,ce,2,0,"StratifiedGroupKFold(5,shuffle,rs=2)",pool
