dataset,arm,base,row,from_pred,to_pred,n,exploratory,n_moderate_images,base_recall_moderate,arm_recall_moderate,delta_recall_moderate_pt,n_lost_from_moderate_cell,n_to_severe_or_prolif,n_to_mild_or_nodr,share_decision_neutral,wilson_lo,wilson_hi,share_by_repeat_min,share_by_repeat_max,share_by_fold_mean,share_by_fold_sd,n_referral_lost,n_referral_gained,p6a_threshold,p6a_supported
aptos2019,B5s,B0,transition,severe,moderate,41.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B5s,B0,transition,severe,severe,114.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B5s,B0,transition,severe,proliferative,4.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B5s,B0,transition,proliferative,no_dr,2.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B5s,B0,transition,proliferative,mild,4.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B5s,B0,transition,proliferative,moderate,35.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B5s,B0,transition,proliferative,severe,7.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B5s,B0,transition,proliferative,proliferative,145.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B1,B0,summary,,,,탐색적/exploratory,2997.0,0.7727727727727728,0.6656656656656657,-10.710710710710714,325.0,219.0,106.0,0.6738461538461539,0.6211051580951945,0.7225254790064826,0.6464646464646465,0.6909090909090909,0.6802637635822218,0.08369726645378449,107.0,11.0,0.7,0.0
aptos2019,B1d,B0d,summary,,,,탐색적/exploratory,2997.0,0.7257257257257257,0.6773440106773441,-4.838171504838162,158.0,101.0,57.0,0.6392405063291139,0.5618766264044966,0.7099943782232366,0.5952380952380952,0.6607142857142857,0.6035943685943687,0.19874098122503034,60.0,17.0,0.7,0.0
aptos2019,B2,B0,summary,,,,탐색적/exploratory,2997.0,0.7727727727727728,0.8044711378044711,3.1698365031698317,153.0,67.0,86.0,0.43790849673202614,0.3617695037194032,0.5170890573851492,0.4,0.47368421052631576,0.4187138787138787,0.17432553915503946,93.0,132.0,0.7,0.0
aptos2019,B3,B0,summary,,,,탐색적/exploratory,2997.0,0.7727727727727728,0.5829162495829162,-18.985652318985657,653.0,535.0,118.0,0.8192955589586524,0.7879435941432409,0.846912799892376,0.7927927927927928,0.845,0.8195638803988378,0.059063511188786354,120.0,70.0,0.7,1.0
aptos2019,B3d,B0d,summary,,,,탐색적/exploratory,2997.0,0.7257257257257257,0.5555555555555556,-17.01701701701701,627.0,525.0,102.0,0.8373205741626795,0.8063928206254222,0.8641401541583905,0.8333333333333334,0.8411214953271028,0.8359152236058305,0.05242258664029711,109.0,99.0,0.7,1.0
aptos2019,B4,B0,summary,,,,탐색적/exploratory,2997.0,0.7727727727727728,0.6523189856523189,-12.045378712045384,434.0,320.0,114.0,0.7373271889400922,0.693970576017532,0.7765193601224846,0.7355371900826446,0.74,0.7417710312270717,0.07978473611938044,119.0,50.0,0.7,1.0
aptos2019,B4d,B0d,summary,,,,탐색적/exploratory,2997.0,0.7257257257257257,0.6546546546546547,-7.107107107107103,340.0,229.0,111.0,0.6735294117647059,0.621988473274318,0.7211929464553327,0.63,0.7043478260869566,0.6710699546013468,0.09792032074548772,133.0,70.0,0.7,0.0
aptos2019,B5,B0,summary,,,,탐색적/exploratory,2997.0,0.7727727727727728,0.7660994327660995,-0.6673340006673301,163.0,82.0,81.0,0.5030674846625767,0.42712894689432734,0.57886476718051,0.4444444444444444,0.5490196078431373,0.4841137387355875,0.16268903883256544,93.0,76.0,0.7,0.0
aptos2019,B5s,B0,summary,,,,탐색적/exploratory,2997.0,0.7727727727727728,0.760427093760427,-1.2345679012345734,166.0,57.0,109.0,0.3433734939759036,0.2754166330584429,0.41841548331016587,0.2903225806451613,0.40816326530612246,0.3280734788087729,0.1609828473703466,121.0,58.0,0.7,0.0
