dataset,loss,wd,fold,bacc,bacc_leakex,train_acc,wnorm,exploratory
aptos2019,wce,0.0001,6,0.7017784607029173,0.690918472723162,0.9573233185387504,9.020856857299805,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wce,0.01,6,0.7017784607029173,0.690918472723162,0.9569819050870604,8.952911376953125,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wce,0.1,6,0.7031682912113918,0.6924574207573139,0.9549334243769204,8.3828706741333,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wce,0.3,6,0.7099991990422996,0.7009115270375073,0.9504950495049505,7.366786003112793,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wce,1.0,6,0.7078304159399985,0.7021302580851804,0.9283031751451007,5.320446968078613,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength,0.0,6,0.6681058110445875,0.6663083196991153,0.9624445203141003,8.00554084777832,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength,0.25,6,0.6721210768747273,0.661948142614684,0.9668828951860703,8.387253761291504,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength,0.5,6,0.6875830345074911,0.6760654243869949,0.9696142027995903,8.628145217895508,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength,0.75,6,0.6972091782522789,0.6862689879718444,0.9651758279276204,8.742685317993164,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength,1.0,6,0.7017784607029173,0.690918472723162,0.9573233185387504,9.020856857299805,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength,1.25,6,0.6946301585546151,0.6840337400429471,0.9399112325025606,8.791777610778809,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength_effnum,0.99,6,0.6749723907925234,0.6680902903490105,0.9638101741208603,8.195751190185547,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength_effnum,0.999,6,0.6949319779750786,0.6837928052066162,0.9644930010242404,8.807941436767578,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength_effnum,0.9999,6,0.6976502555747122,0.6864802356033606,0.9562990781836804,8.873331069946289,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ce,0.0001,7,0.6499067993294952,0.6544588416011566,0.9665529010238908,8.201751708984375,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ce,0.01,7,0.6499067993294952,0.6544588416011566,0.9655290102389078,8.136380195617676,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ce,0.1,7,0.6519067993294951,0.6566093792355653,0.9638225255972697,7.5912675857543945,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ce,0.3,7,0.6483682827388165,0.6553036956718171,0.9593856655290103,6.6353607177734375,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ce,1.0,7,0.648730869232536,0.6588305773922473,0.9402730375426621,4.761480808258057,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wce,0.0001,7,0.6726985888184067,0.6696074817023583,0.9621160409556314,9.267382621765137,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wce,0.01,7,0.6726985888184067,0.6696074817023583,0.9610921501706484,9.197115898132324,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wce,0.1,7,0.6866147351163548,0.6853721875847113,0.9593856655290103,8.608131408691406,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wce,0.3,7,0.6962832984164972,0.6931204481792717,0.9549488054607509,7.560973167419434,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wce,1.0,7,0.6837725575239544,0.6818617511520737,0.9337883959044369,5.463443279266357,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength,0.0,7,0.6499067993294952,0.6544588416011566,0.9665529010238908,8.201751708984375,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength,0.25,7,0.6469067993294952,0.6512330351495437,0.9723549488054608,8.526752471923828,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength,0.5,7,0.6426095020321979,0.6437225987169061,0.9733788395904437,8.83163833618164,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength,0.75,7,0.6682931834130013,0.664800397578386,0.9679180887372013,8.876955032348633,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength,1.0,7,0.6726985888184067,0.6696074817023583,0.9621160409556314,9.267382621765137,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength,1.25,7,0.6919860011192,0.6885347429294298,0.9443686006825939,8.526118278503418,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength_effnum,0.99,7,0.6489067993294952,0.6533835727839523,0.9692832764505119,8.361246109008789,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength_effnum,0.999,7,0.6725563413077381,0.6696074817023583,0.967235494880546,8.946371078491211,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength_effnum,0.9999,7,0.6779617467131435,0.6754898346435348,0.9627986348122867,9.221222877502441,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
