kind,arm,dataset,epoch,mean_bacc,sd_bacc,n_folds,mean_diff,sd,se_nb,wins,ci_lo,ci_hi,p_nb,tost_p,mde_post
arm,A3n,oral_diseases,75,0.7291927030084925,0.03704532592986691,15,,,,,,,,,
arm,A3n,oral_diseases,100,0.7303817868291553,0.03743508100889016,15,,,,,,,,,
arm,A3n,oral_diseases,125,0.7292792830950726,0.0345053223736156,15,,,,,,,,,
arm,A3n,oral_diseases,150,0.7305131369605055,0.03520508596265771,15,,,,,,,,,
arm,A3n,oral_diseases,175,0.7305131369605055,0.03520508596265771,15,,,,,,,,,
arm,A3n,oral_diseases,200,0.7305131369605055,0.03520508596265771,15,,,,,,,,,
contrast,B1-B0,aptos2019,25,,,15,0.03567108331301039,0.0216631273094678,0.012190522692989815,14.0,0.009525012522325935,0.061817154103694844,0.01105585895680603,0.8902644452608061,0.03672811230401851
contrast,B1-B0,aptos2019,50,,,15,0.027308952541845614,0.013350617380769335,0.007512812061745261,15.0,0.011195573242986069,0.04342233184070516,0.002704172279760277,0.8264347459341467,0.022634911731999784
contrast,B1-B0,aptos2019,75,,,15,0.018147757909302988,0.013021901216208873,0.007327833143125531,14.0,0.002431118932644468,0.033864396885961504,0.02664569861186841,0.4020605143751067,0.02207759957500358
contrast,B1-B0,aptos2019,100,,,15,0.016161228887822336,0.016181625717059108,0.009105909442126749,13.0,-0.0033690044650361503,0.03569146224068082,0.09766678444734726,0.33987034503897195,0.02743466158452548
contrast,B1-B0,aptos2019,125,,,15,0.013762024435905632,0.017228646041152113,0.009695100690395829,11.0,-0.0070318984628780536,0.03455594733468932,0.17764006711038888,0.26517679746736206,0.029209801410762435
contrast,B1-B0,aptos2019,150,,,15,0.01295140484927002,0.015087900006421432,0.008490435604717881,13.0,-0.0052587684103522405,0.03116157810889228,0.14942610637375545,0.21018427491169311,0.02558033648380299
contrast,B1-B0,aptos2019,175,,,15,0.011057373037786703,0.015764250345723124,0.008871039200952353,13.0,-0.007969113748412894,0.0300838598239863,0.23304983433866366,0.1652636174330777,0.02672703478196961
contrast,B1-B0,aptos2019,200,,,15,0.009751165242207397,0.013488027591129157,0.007590137106449578,11.0,-0.006528059783176615,0.026030390267591408,0.21974223648336125,0.09917537822264239,0.022867879833313978
contrast,B3-B0,aptos2019,25,,,15,-0.11050223771928917,0.029778461861167588,0.016757276541611823,0.0,-0.1464430213714955,-0.07456145406708284,1.2005698690528684e-05,0.9999532591711338,0.05048701768003248
contrast,B3-B0,aptos2019,50,,,15,-0.0501919428837979,0.01785544949236444,0.01004782269525192,0.0,-0.0717423792431326,-0.028641506524463192,0.00019621640104752018,0.9952696962109615,0.03027249689418931
contrast,B3-B0,aptos2019,75,,,15,-0.015026619543849295,0.019883875960168627,0.011189282029981536,4.0,-0.039025242689111596,0.008972003601413007,0.2006569981931044,0.3317457062309419,0.033711532913582296
contrast,B3-B0,aptos2019,100,,,15,0.00324599697732119,0.01801209549220824,0.010135972323354201,10.0,-0.018493501530912195,0.024985495485554576,0.7535120984242407,0.06029339511053543,0.03053807774925468
contrast,B3-B0,aptos2019,125,,,15,0.014342517632023396,0.01681299813567966,0.009461202548563781,13.0,-0.0059497436458302005,0.03463477890987699,0.15178732814768986,0.2797059354717115,0.028505103389417644
contrast,B3-B0,aptos2019,150,,,15,0.017516268036703534,0.016882222538110985,0.009500157295802834,13.0,-0.002859542864459587,0.037892078937866655,0.08648062772980689,0.3987796307480605,0.02862246786733239
contrast,B3-B0,aptos2019,175,,,15,0.018589750933712564,0.01295172742997389,0.007288344147777352,13.0,0.002957807428596068,0.03422169443882906,0.023089890473060072,0.4246757494151273,0.021958625492230672
contrast,B3-B0,aptos2019,200,,,15,0.01795024887602316,0.012030525455120893,0.006769954839583402,15.0,0.0034301398582799666,0.03247035789376635,0.018975038676836788,0.38325790307367735,0.020396800687171365
contrast,B3n-B0,aptos2019,25,,,15,-0.09123655351156239,0.027489866524049965,0.015469412006004825,0.0,-0.1244151424519574,-0.05805796457116739,3.882361085624413e-05,0.9997957184043174,0.04660688600008926
contrast,B3n-B0,aptos2019,50,,,15,-0.03186033378271776,0.030548822304332198,0.01719078257839145,1.0,-0.06873089541174104,0.005010227846305525,0.08502560290575567,0.7492403695862646,0.051793102644909994
contrast,B3n-B0,aptos2019,75,,,15,-0.0012207928010326294,0.02885903002205874,0.016239883344443325,8.0,-0.036051878411532734,0.03361029280946748,0.9411410650201788,0.13344227107342516,0.04892819399957885
contrast,B3n-B0,aptos2019,100,,,15,0.006144345884029404,0.02325361558020274,0.013085540438135715,9.0,-0.021921347051894184,0.03421003881995299,0.6459044324425023,0.1537974424186224,0.03942465888251028
contrast,B3n-B0,aptos2019,125,,,15,0.01513502958279683,0.019849732140531845,0.011170068229399492,12.0,-0.008822384058752797,0.039092443224346456,0.19689073656383094,0.33490655600336483,0.03365364477840249
contrast,B3n-B0,aptos2019,150,,,15,0.016045183992656722,0.015355260826044777,0.008640887942105487,13.0,-0.0024876774373605963,0.034578045422674036,0.08449003802266238,0.32710019433257737,0.026033625525063848
contrast,B3n-B0,aptos2019,175,,,15,0.017758192646234742,0.016199632690556662,0.009116042532142708,12.0,-0.0017937740231974489,0.03731015931566693,0.07174951229684111,0.40465686266762163,0.027465190978339486
contrast,B3n-B0,aptos2019,200,,,15,0.02169240764053868,0.018023957345376325,0.010142647360995845,13.0,-6.140739956985233e-05,0.04344622268064721,0.05056640820343501,0.5650670818476632,0.030558188579471735
