dataset,target_prior,method,source_prior,arm,base,metric,metric_label,n_folds,mean_base,mean_arm,mean_diff,sd,wins,ci_lo,ci_hi,p_nb,se_nb,mde_post,mde_floor_bacc_ref,note,exploratory,gate,holm_p_within_w11_family
aptos2019,uniform,argmax_p,none,B3,B0,rec_2,moderate,15,0.7727638190954774,0.6172948073701843,-0.15546901172529318,0.027768430762160845,0,-0.18898381067753706,-0.12195421277304928,9.948413139964063e-08,0.015626168859142184,0.04707916954784593,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),2.984523941989219e-07
aptos2019,uniform,argmax_p,none,B3,B0,rec_3,severe,15,0.3595141700404858,0.5114709851551957,0.15195681511470985,0.06518731511629315,15,0.07327970948091908,0.23063392074850061,0.000996142087426435,0.036682951305601334,0.11051991691625604,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),0.002988426262279305
aptos2019,uniform,argmax_p,none,B3,B0,rec_4,proliferative,15,0.5107344632768361,0.5875706214689266,0.0768361581920904,0.0409527977040159,14,0.02740863406089953,0.12626368232328128,0.004916915513391702,0.023045426573015504,0.06943221686092743,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),0.014750746540175108
aptos2019,uniform,argmax_p,none,B4,B0,bacc,BACC,15,0.6457036359493563,0.6617792137144641,0.01607557776510778,0.019792062394746027,12,-0.007812232017578042,0.039963387547793605,0.1709213976690793,0.011137615650662454,0.03355587030339213,0.019,잡음 수준 — 부호 해석 금지,탐색적/exploratory,없음 (서술 · 판정 아님),0.3418427953381586
aptos2019,uniform,argmax_p,none,B4,B0,rec_0,no_dr,15,0.9819021237303784,0.9778393351800553,-0.00406278855032316,0.005220986430450637,2,-0.010364200108205886,0.002238623007559567,0.18837515890690582,0.0029380131802292406,0.008851767947259443,0.019,잡음 수준 — 부호 해석 금지,탐색적/exploratory,없음 (서술 · 판정 아님),0.2749558195964083
aptos2019,uniform,argmax_p,none,B4,B0,rec_1,mild,15,0.6036036036036035,0.709009009009009,0.10540540540540544,0.04369933225303757,15,0.05266298191910639,0.15814782889170448,0.0007531904603061215,0.024590987897963087,0.07408874811434658,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),0.0012993899975679338
aptos2019,uniform,argmax_p,none,B4,B0,rec_2,moderate,15,0.7727638190954774,0.6486700167504188,-0.12409380234505862,0.03468172733701892,0,-0.16595252777943315,-0.0822350769106841,1.7732502735640124e-05,0.019516498153488493,0.05880011497576678,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),1.7732502735640124e-05
aptos2019,uniform,argmax_p,none,B4,B0,rec_3,severe,15,0.3595141700404858,0.42874493927125507,0.06923076923076925,0.08070726707944742,11,-0.028177969970964695,0.1666395084325032,0.1496882472518984,0.045416516127438314,0.1368327631878365,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),0.1496882472518984
aptos2019,uniform,argmax_p,none,B4,B0,rec_4,proliferative,15,0.5107344632768361,0.544632768361582,0.03389830508474576,0.04249377427308534,9,-0.017389083593521225,0.08518569376301274,0.17818096837752198,0.023912582527289776,0.07204482028046731,0.019,잡음 수준 — 부호 해석 금지,탐색적/exploratory,없음 (서술 · 판정 아님),0.34069629151088876
aptos2019,uniform,em,train,B1,B0,bacc,BACC,15,0.6570028801856294,0.6599299211259955,0.0029270409403663175,0.014995825679049864,7,-0.015172004232942682,0.02102608611367532,0.7338532285697854,0.008438622486453358,0.02542423177243281,0.019,잡음 수준 — 부호 해석 금지,탐색적/exploratory,없음 (서술 · 판정 아님),1.0
aptos2019,uniform,em,train,B1,B0,rec_0,no_dr,15,0.9739612188365652,0.9577100646352723,-0.016251154201292712,0.009179368447572006,0,-0.02733009095014798,-0.005172217452437445,0.007147062009097163,0.005165519168533674,0.015562890362327437,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),0.013648445945848863
aptos2019,uniform,em,train,B1,B0,rec_1,mild,15,0.6531531531531533,0.7297297297297297,0.07657657657657659,0.03671338951247341,15,0.03226575905488035,0.12088739409827282,0.002346675400140215,0.02065977832262375,0.06224463688056613,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),0.00469335080028043
aptos2019,uniform,em,train,B1,B0,rec_2,moderate,15,0.6803601340033503,0.4938676716917922,-0.18649246231155783,0.03269615638882986,0,-0.22595472495320398,-0.14703019966991168,7.900824447313078e-08,0.01839915496676119,0.055433737087159166,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),7.900824447313078e-08
aptos2019,uniform,em,train,B1,B0,rec_3,severe,15,0.43742690058479533,0.5398110661268556,0.1023841655420603,0.07097882633007345,15,0.01671705980268169,0.1880512712814389,0.022527581474456493,0.0399420167152127,0.12033896433406542,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),0.06758274442336948
aptos2019,uniform,em,train,B1,B0,rec_4,proliferative,15,0.5401129943502825,0.5785310734463276,0.0384180790960452,0.02752917669839128,13,0.005192045177534181,0.07164411301455623,0.02647213369308815,0.01549153307677764,0.046673533279462796,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),0.02647213369308815
aptos2019,uniform,em,train,B3,B0,bacc,BACC,15,0.6570028801856294,0.3603251642502311,-0.2966777159353981,0.03444009365602198,0,-0.3382448042834689,-0.2551106275873273,3.888109548802756e-10,0.019380523285709522,0.058390444255315886,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),1.166432864640827e-09
aptos2019,uniform,em,train,B3,B0,rec_0,no_dr,15,0.9739612188365652,0.0,-0.9739612188365652,0.00975446917543436,0,-0.9857342670185325,-0.9621881706545978,7.181920718443232e-25,0.005489146425743992,0.016537927983503207,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),2.1545762155329697e-24
aptos2019,uniform,em,train,B3,B0,rec_1,mild,15,0.6531531531531533,0.5036036036036037,-0.14954954954954955,0.07444999320851166,1,-0.2394061415820849,-0.059692957517014214,0.0030787621237321774,0.041895351429922234,0.12622405216630786,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),0.00469335080028043
aptos2019,uniform,em,train,B3,B0,rec_2,moderate,15,0.6803601340033503,0.0,-0.6803601340033503,0.040257052936887694,0,-0.7289479367188049,-0.6317723312878957,4.109450166871057e-14,0.022653909122601106,0.06825263685029571,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),1.232835050061317e-13
aptos2019,uniform,em,train,B3,B0,rec_3,severe,15,0.43742690058479533,0.4596041385515069,0.022177237966711654,0.11528927100310887,7,-0.11696986660374765,0.16132434253717096,0.7375515553237459,0.06487689678153763,0.19546380503428032,0.019,잡음 수준 — 부호 해석 금지,탐색적/exploratory,없음 (서술 · 판정 아님),0.7375515553237459
aptos2019,uniform,em,train,B3,B0,rec_4,proliferative,15,0.5401129943502825,0.8384180790960453,0.2983050847457627,0.07011765405799239,15,0.2136773613110325,0.38293280818049297,2.6282340883235785e-06,0.03945740800773446,0.11887891512370619,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),7.884702264970735e-06
aptos2019,uniform,em,train,B4,B0,bacc,BACC,15,0.6570028801856294,0.6505164145986609,-0.006486465586968289,0.022284460187704098,7,-0.033382447190938046,0.02040951601700147,0.6130531993332355,0.01254016623447101,0.03778153286532723,0.019,잡음 수준 — 부호 해석 금지,탐색적/exploratory,없음 (서술 · 판정 아님),1.0
aptos2019,uniform,em,train,B4,B0,rec_0,no_dr,15,0.9739612188365652,0.958264081255771,-0.01569713758079411,0.008801386264404305,0,-0.026319872933722534,-0.005074402227865687,0.006824222972924432,0.0049528167126219715,0.014922051582497433,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),0.013648445945848863
aptos2019,uniform,em,train,B4,B0,rec_1,mild,15,0.6531531531531533,0.8117117117117117,0.1585585585585586,0.05144947611972877,15,0.09646218505009743,0.22065493206701978,8.158238424632906e-05,0.02895223746877383,0.08722850168001621,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),0.00024474715273898717
aptos2019,uniform,em,train,B4,B0,rec_2,moderate,15,0.6803601340033503,0.28070016750418764,-0.3996599664991624,0.05753157196763617,0,-0.4690970580084643,-0.3302228749898605,6.496668098396274e-09,0.03237482398620845,0.09754021227261003,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),1.2993336196792548e-08
