dataset,arm,wave,fold,variant,n_test,n_excluded,n_leaked_in_fold,n_conflict_in_fold,n_leaked_and_conflict,bacc,mcc,per_class_recall,per_class_n,recall_c0,recall_c1,recall_c2,recall_c3,recall_c4,recall_c5,recall_c6
aptos2019,B0,w1,11,conflict_excluded,697,36,34,10,8,0.6128460993930607,0.6953666666483707,"[0.975, 0.5846153846153846, 0.7458563535911602, 0.35135135135135137, 0.4074074074074074]","[360, 65, 181, 37, 54]",0.975,0.5846153846153846,0.7458563535911602,0.35135135135135137,0.4074074074074074,,
aptos2019,B0,w1,11,leaked_only,34,699,34,10,8,0.6950000000000001,0.7675937496146414,"[1.0, 0.875, 1.0, 0.0, 0.6]","[1, 8, 18, 2, 5]",1.0,0.875,1.0,0.0,0.6,,
aptos2019,B0,w1,12,full,732,0,39,14,10,0.6377742198276025,0.7209997845774234,"[0.9833795013850416, 0.6891891891891891, 0.775, 0.3684210526315789, 0.3728813559322034]","[361, 74, 200, 38, 59]",0.9833795013850416,0.6891891891891891,0.775,0.3684210526315789,0.3728813559322034,,
aptos2019,B0,w1,12,leakfree,693,39,39,14,10,0.6311687771238332,0.718152407915177,"[0.9833333333333333, 0.6666666666666666, 0.7640449438202247, 0.37142857142857144, 0.37037037037037035]","[360, 66, 178, 35, 54]",0.9833333333333333,0.6666666666666666,0.7640449438202247,0.37142857142857144,0.37037037037037035,,
aptos2019,B0,w1,12,conflict_excluded,689,43,39,14,10,0.6340814217229311,0.7202832883681609,"[0.9833333333333333, 0.676923076923077, 0.7613636363636364, 0.37142857142857144, 0.37735849056603776]","[360, 65, 176, 35, 53]",0.9833333333333333,0.676923076923077,0.7613636363636364,0.37142857142857144,0.37735849056603776,,
aptos2019,B0,w1,12,leaked_only,39,693,39,14,10,0.6943939393939395,0.6336531814788131,"[1.0, 0.875, 0.8636363636363636, 0.3333333333333333, 0.4]","[1, 8, 22, 3, 5]",1.0,0.875,0.8636363636363636,0.3333333333333333,0.4,,
aptos2019,B0,w1,13,full,732,0,44,15,11,0.668620569675267,0.7486921087462012,"[0.9806094182825484, 0.6486486486486487, 0.82, 0.3684210526315789, 0.5254237288135594]","[361, 74, 200, 38, 59]",0.9806094182825484,0.6486486486486487,0.82,0.3684210526315789,0.5254237288135594,,
aptos2019,B0,w1,13,leakfree,688,44,44,15,11,0.6529565910404646,0.7454753139402056,"[0.9859943977591037, 0.5967741935483871, 0.8212290502793296, 0.35135135135135137, 0.5094339622641509]","[357, 62, 179, 37, 53]",0.9859943977591037,0.5967741935483871,0.8212290502793296,0.35135135135135137,0.5094339622641509,,
aptos2019,B0,w1,13,conflict_excluded,684,48,44,15,11,0.6553449863256675,0.7474896530214388,"[0.9859943977591037, 0.5901639344262295, 0.8202247191011236, 0.3611111111111111, 0.5192307692307693]","[357, 61, 178, 36, 52]",0.9859943977591037,0.5901639344262295,0.8202247191011236,0.3611111111111111,0.5192307692307693,,
aptos2019,B0,w1,13,leaked_only,44,688,44,15,11,0.7785714285714286,0.7110910471193131,"[0.5, 0.9166666666666666, 0.8095238095238095, 1.0, 0.6666666666666666]","[4, 12, 21, 1, 6]",0.5,0.9166666666666666,0.8095238095238095,1.0,0.6666666666666666,,
aptos2019,B0,w1,14,full,732,0,43,13,11,0.6603350055989561,0.7290015290539137,"[0.9806094182825484, 0.5675675675675675, 0.7839195979899497, 0.41025641025641024, 0.559322033898305]","[361, 74, 199, 39, 59]",0.9806094182825484,0.5675675675675675,0.7839195979899497,0.41025641025641024,0.559322033898305,,
aptos2019,B0,w1,14,leakfree,689,43,43,13,11,0.6569805882214379,0.7291501790451006,"[0.9805555555555555, 0.5625, 0.7640449438202247, 0.4117647058823529, 0.5660377358490566]","[360, 64, 178, 34, 53]",0.9805555555555555,0.5625,0.7640449438202247,0.4117647058823529,0.5660377358490566,,
aptos2019,B0,w1,14,conflict_excluded,687,45,43,13,11,0.6561748302102239,0.7300637037308515,"[0.9805555555555555, 0.5625, 0.768361581920904, 0.4117647058823529, 0.5576923076923077]","[360, 64, 177, 34, 52]",0.9805555555555555,0.5625,0.768361581920904,0.4117647058823529,0.5576923076923077,,
aptos2019,B0,w1,14,leaked_only,43,689,43,13,11,0.6904761904761905,0.6190404473387926,"[1.0, 0.6, 0.9523809523809523, 0.4, 0.5]","[1, 10, 21, 5, 6]",1.0,0.6,0.9523809523809523,0.4,0.5,,
aptos2019,B1,w1,0,full,733,0,39,9,7,0.653690343902936,0.7049616648752951,"[0.9806094182825484, 0.6621621621621622, 0.69, 0.41025641025641024, 0.5254237288135594]","[361, 74, 200, 39, 59]",0.9806094182825484,0.6621621621621622,0.69,0.41025641025641024,0.5254237288135594,,
aptos2019,B1,w1,0,leakfree,694,39,39,9,7,0.6359441326004631,0.6993858044438992,"[0.9832869080779945, 0.6153846153846154, 0.6813186813186813, 0.37142857142857144, 0.5283018867924528]","[359, 65, 182, 35, 53]",0.9832869080779945,0.6153846153846154,0.6813186813186813,0.37142857142857144,0.5283018867924528,,
aptos2019,B1,w1,0,conflict_excluded,692,41,39,9,7,0.6363147830377062,0.7000197071140103,"[0.9832869080779945, 0.6153846153846154, 0.6813186813186813, 0.38235294117647056, 0.5192307692307693]","[359, 65, 182, 34, 52]",0.9832869080779945,0.6153846153846154,0.6813186813186813,0.38235294117647056,0.5192307692307693,,
aptos2019,B1,w1,0,leaked_only,39,694,39,9,7,0.7055555555555555,0.6862287873166092,"[0.5, 1.0, 0.7777777777777778, 0.75, 0.5]","[2, 9, 18, 4, 6]",0.5,1.0,0.7777777777777778,0.75,0.5,,
aptos2019,B1,w1,1,full,733,0,31,11,7,0.6559923879247322,0.6823980184757836,"[0.96398891966759, 0.7027027027027027, 0.635, 0.4358974358974359, 0.5423728813559322]","[361, 74, 200, 39, 59]",0.96398891966759,0.7027027027027027,0.635,0.4358974358974359,0.5423728813559322,,
aptos2019,B1,w1,1,leakfree,702,31,31,11,7,0.6508363461869934,0.6794296254514871,"[0.9637883008356546, 0.6857142857142857, 0.625, 0.47058823529411764, 0.509090909090909]","[359, 70, 184, 34, 55]",0.9637883008356546,0.6857142857142857,0.625,0.47058823529411764,0.509090909090909,,
