dataset,arm,family,loss,fold,repeat,n_train_fold,n_inner_train,n_inner_val,T,T_converged,T_insample,nll_val_T1,nll_val_T,secs,n_test,n_pred_changed,bacc_T1,bacc_T,exploratory
aptos2019,B2,softmax,ce,10,2,2929,2636,293,1.382151837751295,True,0.7385871235333978,0.47713037094524924,0.45186420592363236,1.57,733,0,0.6370491685276887,0.6370491685276887,탐색적/exploratory
aptos2019,B2,softmax,ce,11,2,2929,2636,293,1.5729546369922558,True,0.7173092360857404,0.5320791747799886,0.47446530646674095,1.63,733,0,0.6440437786488306,0.6440437786488306,탐색적/exploratory
aptos2019,B2,softmax,ce,12,2,2930,2637,293,1.4847803712000405,True,0.7093537629799845,0.4598352775913885,0.42345754000069574,1.54,732,0,0.6305140515415646,0.6305140515415646,탐색적/exploratory
aptos2019,B2,softmax,ce,13,2,2930,2637,293,1.6162775410170513,True,0.739172634879342,0.5527921702741319,0.49393663560753853,1.57,732,0,0.637812072131289,0.637812072131289,탐색적/exploratory
aptos2019,B2,softmax,ce,14,2,2930,2637,293,1.435821289904309,True,0.7246421680062228,0.49959953414842817,0.4693732274115208,1.57,732,0,0.6942684409300319,0.6942684409300319,탐색적/exploratory
aptos2019,B3,coral,coral,0,0,2929,2636,293,0.9563460628111452,True,0.5189134716026489,0.8760233749383837,0.8751955065002278,0.24,733,0,0.6945449340783865,0.6945449340783865,탐색적/exploratory
aptos2019,B3,coral,coral,1,0,2929,2636,293,0.8457588927986643,True,0.49316244790894903,0.7858454292955442,0.7753463666013387,0.24,733,0,0.6695709392230355,0.6695709392230355,탐색적/exploratory
aptos2019,B3,coral,coral,2,0,2930,2637,293,1.0297393644440884,True,0.4930206034080555,0.9444787677931199,0.9441255851594735,0.23,732,0,0.6723366685150806,0.6723366685150806,탐색적/exploratory
aptos2019,B3,coral,coral,3,0,2930,2637,293,0.955012721791189,True,0.4921819337874077,0.8920299602559816,0.8911757791438574,0.25,732,0,0.6642890606461667,0.6642890606461667,탐색적/exploratory
aptos2019,B3,coral,coral,4,0,2930,2637,293,0.9628766414275658,True,0.5048351235232844,0.8726705181028985,0.8721048362478993,0.24,732,0,0.6442905882279614,0.6442905882279614,탐색적/exploratory
aptos2019,B3,coral,coral,5,1,2929,2636,293,0.944853429309369,True,0.4950907250776505,0.8541588593801873,0.8528542104378508,0.28,733,0,0.6482167057644779,0.6482167057644779,탐색적/exploratory
aptos2019,B3,coral,coral,6,1,2929,2636,293,1.0765108540021975,True,0.4995747157884581,0.9874749603954593,0.9851171427181179,0.24,733,0,0.6986790627535734,0.6986790627535734,탐색적/exploratory
aptos2019,B3,coral,coral,7,1,2930,2637,293,0.8921814975501008,True,0.5153099386164063,0.7998009412768659,0.7946469044588593,0.22,732,0,0.6610944911764669,0.6610944911764669,탐색적/exploratory
aptos2019,B3,coral,coral,8,1,2930,2637,293,1.010431364271718,True,0.5090220050754446,0.9110204436799431,0.9109765077856906,0.22,732,0,0.6831477711807304,0.6831477711807304,탐색적/exploratory
aptos2019,B3,coral,coral,9,1,2930,2637,293,0.9754057982020569,True,0.5001524337515251,0.9201582878436867,0.9199114172196775,0.24,732,0,0.612489678210012,0.612489678210012,탐색적/exploratory
aptos2019,B3,coral,coral,10,2,2929,2636,293,0.7767597281317736,True,0.5044426556591685,0.7867867059465636,0.7635457320494418,0.26,733,0,0.6833396972004419,0.6833396972004419,탐색적/exploratory
aptos2019,B3,coral,coral,11,2,2929,2636,293,0.9513936888341356,True,0.4894405449890353,0.8694364973013915,0.868414844313694,0.26,733,0,0.6405587536490397,0.6405587536490397,탐색적/exploratory
aptos2019,B3,coral,coral,12,2,2930,2637,293,0.8944183037296434,True,0.5142313040152884,0.8231668085365029,0.8185452382595376,0.28,732,0,0.6465779131871436,0.6465779131871436,탐색적/exploratory
aptos2019,B3,coral,coral,13,2,2930,2637,293,1.0075815041114715,True,0.5051743962925787,0.9376030340057804,0.937578866586351,0.23,732,0,0.671303277783629,0.671303277783629,탐색적/exploratory
aptos2019,B3,coral,coral,14,2,2930,2637,293,0.9707742033694035,True,0.48576740769702575,0.8951204709198267,0.8947601254922078,0.23,732,0,0.6643687307845462,0.6643687307845462,탐색적/exploratory
aptos2019,B3d,coral,coral,0,0,2929,2636,293,1.0515531564836373,True,0.42459054989247963,0.9252788276697383,0.9242785818523779,0.3,733,0,0.6533423935226836,0.6533423935226836,탐색적/exploratory
aptos2019,B3d,coral,coral,1,0,2929,2636,293,1.052933645509971,True,0.41193578322391283,0.939343291592498,0.9382990852426839,0.27,733,0,0.6436925997098306,0.6436925997098306,탐색적/exploratory
aptos2019,B3d,coral,coral,2,0,2930,2637,293,1.1349805783854747,True,0.39445959631670197,0.9868168021547246,0.9799647604241973,0.26,732,0,0.6765525103957425,0.6765525103957425,탐색적/exploratory
aptos2019,B3d,coral,coral,3,0,2930,2637,293,1.1102320320347812,True,0.4061189363790357,0.9475863191355405,0.9431345404069934,0.25,732,0,0.6342479484508219,0.6342479484508219,탐색적/exploratory
aptos2019,B3d,coral,coral,4,0,2930,2637,293,1.0587799175596915,True,0.42097012408681234,0.9439203969287199,0.9425989257279105,0.23,732,0,0.606021777685439,0.606021777685439,탐색적/exploratory
aptos2019,B3d,coral,coral,5,1,2929,2636,293,1.190150185749948,True,0.42093555677173167,1.0291084317828099,1.016457516166857,0.25,733,0,0.6494043202064705,0.6494043202064705,탐색적/exploratory
aptos2019,B3d,coral,coral,6,1,2929,2636,293,1.1046020019339324,True,0.4292106100235472,0.9998239347010544,0.9955234471335368,0.23,733,0,0.6297206235984583,0.6297206235984583,탐색적/exploratory
aptos2019,B3d,coral,coral,7,1,2930,2637,293,1.0275425967755407,True,0.41737381437008414,0.8781345491430391,0.8778392767000945,0.26,732,0,0.6313526075960931,0.6313526075960931,탐색적/exploratory
aptos2019,B3d,coral,coral,8,1,2930,2637,293,1.2443136906581325,True,0.4042410229779719,1.0584424250660962,1.0369334357943862,0.24,732,0,0.6387706833083142,0.6387706833083142,탐색적/exploratory
aptos2019,B3d,coral,coral,9,1,2930,2637,293,1.1939550017489582,True,0.3991766144041171,1.0521445730639127,1.0386618857054348,0.24,732,0,0.6473152060512781,0.6473152060512781,탐색적/exploratory
aptos2019,B3d,coral,coral,10,2,2929,2636,293,1.032205256934639,True,0.40497529308578545,0.9280995495806063,0.9276903827848731,0.26,733,0,0.6244032138586343,0.6244032138586343,탐색적/exploratory
aptos2019,B3d,coral,coral,11,2,2929,2636,293,1.1294734910872584,True,0.3968220339277194,0.9828787412070827,0.9764614636752723,0.24,733,0,0.6291198558347719,0.6291198558347719,탐색적/exploratory
aptos2019,B3d,coral,coral,12,2,2930,2637,293,1.2030043282831262,True,0.422901358225326,1.006636928506048,0.991435221828544,0.25,732,0,0.6079233474988675,0.6079233474988675,탐색적/exploratory
aptos2019,B3d,coral,coral,13,2,2930,2637,293,1.2376813140387897,True,0.4010272932589443,1.0523706307940321,1.0325322103654242,0.25,732,0,0.626835061410065,0.626835061410065,탐색적/exploratory
aptos2019,B3d,coral,coral,14,2,2930,2637,293,1.2607039819235497,True,0.4081939009501297,1.1077927876791323,1.0838904523246768,0.22,732,0,0.6359587670410766,0.6359587670410766,탐색적/exploratory
aptos2019,B4,corn,corn,0,0,2929,2636,293,1.7852104864252598,True,0.7125587001725785,0.2878024935164812,0.24740253819022673,0.33,733,25,0.6656601257019117,0.6676700861186518,탐색적/exploratory
aptos2019,B4,corn,corn,1,0,2929,2636,293,1.6687745585650553,True,0.6781250678485954,0.2547392475017011,0.22851997146739678,0.32,733,20,0.6550806332124235,0.6697011624770206,탐색적/exploratory
aptos2019,B4,corn,corn,2,0,2930,2637,293,2.122479168467145,True,0.6957797957208112,0.3506435747515064,0.27939577246138875,0.33,732,42,0.6523972410835175,0.6653456703334633,탐색적/exploratory
aptos2019,B4,corn,corn,3,0,2930,2637,293,2.0733051952719674,True,0.68726504433773,0.3318629072961597,0.26993998822055404,0.3,732,32,0.6953603315978545,0.6884111790554817,탐색적/exploratory
aptos2019,B4,corn,corn,4,0,2930,2637,293,1.8352117078851105,True,0.7035227288182888,0.28660024515162585,0.24378369559030755,0.32,732,27,0.6698928076051497,0.6534870063258283,탐색적/exploratory
