bacc,mcc,macro_mae,classmean_mae,per_class_recall,arm,dataset,fold,n_train,n_test
0.657577750763581,0.7445943382045037,0.2226775956284153,0.44849862510992133,"[0.9806094182825484, 0.6486486486486487, 0.825, 0.34210526315789475, 0.4915254237288136]",w16_fz_ce,aptos2019,13,2930,732
0.6642736329455893,0.7173910138637649,0.2581967213114754,0.45244406221330025,"[0.9750692520775623, 0.6891891891891891, 0.72, 0.39473684210526316, 0.5423728813559322]",w16_fz_wce,aptos2019,13,2930,732
0.6548889031508948,0.7246913065385205,0.24316939890710382,0.4633645905282977,"[0.9806094182825484, 0.5540540540540541, 0.7788944723618091, 0.38461538461538464, 0.576271186440678]",w16_fz_ce,aptos2019,14,2930,732
0.678671853515908,0.7093689257179335,0.2691256830601093,0.44656548287662207,"[0.9806094182825484, 0.6351351351351351, 0.6633165829145728, 0.48717948717948717, 0.6271186440677966]",w16_fz_wce,aptos2019,14,2930,732
0.681164960770224,0.6523999861146879,0.5961538461538461,0.624061245771772,"[0.9375, 1.0, 0.5, 0.6111111111111112, 0.5454545454545454, 0.7894736842105263, 0.38461538461538464]",w16_fz_ce,oral_diseases,0,412,104
0.6930697226749859,0.6640819723919449,0.5576923076923077,0.5764421981527245,"[0.9375, 1.0, 0.5833333333333334, 0.6111111111111112, 0.5454545454545454, 0.7894736842105263, 0.38461538461538464]",w16_fz_wce,oral_diseases,0,412,104
0.7911900964532543,0.7330677470401644,0.42718446601941745,0.37676767676767675,"[1.0, 0.9333333333333333, 0.8333333333333334, 0.5555555555555556, 0.9090909090909091, 0.47368421052631576, 0.8333333333333334]",w16_fz_ce,oral_diseases,1,413,103
0.8041771094402673,0.7451827973625833,0.4077669902912621,0.3507936507936508,"[1.0, 0.9333333333333333, 0.8333333333333334, 0.5555555555555556, 1.0, 0.47368421052631576, 0.8333333333333334]",w16_fz_wce,oral_diseases,1,413,103
0.6957450444292549,0.6578269730451711,0.5242718446601942,0.5417616009721273,"[0.875, 1.0, 0.6666666666666666, 0.6666666666666666, 0.36363636363636365, 0.631578947368421, 0.6666666666666666]",w16_fz_ce,oral_diseases,2,413,103
0.6838402825244929,0.6463049055226983,0.5533980582524272,0.577475886686413,"[0.875, 1.0, 0.6666666666666666, 0.6666666666666666, 0.36363636363636365, 0.631578947368421, 0.5833333333333334]",w16_fz_wce,oral_diseases,2,413,103
