dataset,family,frontier_base,axis,recall_level,n_folds_valid,n_folds,bacc_mean,bacc_ci_lo,bacc_ci_hi,bacc_min,bacc_max,exploratory
oral_diseases,dinov2,A0d,tau,0.01,15,15,0.7098225410067515,0.6741367280806727,0.7455083539328302,0.6663372446267184,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.02,15,15,0.7098225410067515,0.6741367280806727,0.7455083539328302,0.6663372446267184,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.03,15,15,0.7098225410067515,0.6741367280806727,0.7455083539328302,0.6663372446267184,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.04,15,15,0.7098225410067515,0.6741367280806727,0.7455083539328302,0.6663372446267184,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.05,15,15,0.7098225410067515,0.6741367280806727,0.7455083539328302,0.6663372446267184,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.06,15,15,0.7098225410067515,0.6741367280806727,0.7455083539328302,0.6663372446267184,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.07,15,15,0.7098225410067515,0.6741367280806727,0.7455083539328302,0.6663372446267184,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.08,15,15,0.7098225410067515,0.6741367280806727,0.7455083539328302,0.6663372446267184,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.09,15,15,0.7098225410067515,0.6741367280806727,0.7455083539328302,0.6663372446267184,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.1,15,15,0.7098225410067515,0.6741367280806727,0.7455083539328302,0.6663372446267184,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.11,15,15,0.7098225410067515,0.6741367280806727,0.7455083539328302,0.6663372446267184,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.12,15,15,0.7098225410067515,0.6741367280806727,0.7455083539328302,0.6663372446267184,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.13,15,15,0.7098225410067515,0.6741367280806727,0.7455083539328302,0.6663372446267184,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.14,15,15,0.7098225410067515,0.6741367280806727,0.7455083539328302,0.6663372446267184,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.15,15,15,0.7098225410067515,0.6741367280806727,0.7455083539328302,0.6663372446267184,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.16,15,15,0.7098225410067515,0.6741367280806727,0.7455083539328302,0.6663372446267184,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.17,15,15,0.7098225410067515,0.6741367280806727,0.7455083539328302,0.6663372446267184,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.18,15,15,0.7098225410067515,0.6741367280806727,0.7455083539328302,0.6663372446267184,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.19,15,15,0.7098225410067515,0.6741367280806727,0.7455083539328302,0.6663372446267184,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.2,15,15,0.7098225410067515,0.6741367280806727,0.7455083539328302,0.6663372446267184,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.21,15,15,0.7098225410067515,0.6741367280806727,0.7455083539328302,0.6663372446267184,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.22,15,15,0.7098225410067515,0.6741367280806727,0.7455083539328302,0.6663372446267184,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.23,15,15,0.7098225410067515,0.6741367280806727,0.7455083539328302,0.6663372446267184,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.24,15,15,0.7098225410067515,0.6741367280806727,0.7455083539328302,0.6663372446267184,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.25,15,15,0.7098225410067515,0.6741367280806727,0.7455083539328302,0.6663372446267184,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.26,15,15,0.7098225410067515,0.6741367280806727,0.7455083539328302,0.6663372446267184,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.27,15,15,0.7098225410067515,0.6741367280806727,0.7455083539328302,0.6663372446267184,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.28,15,15,0.7098225410067515,0.6741367280806727,0.7455083539328302,0.6663372446267184,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.29,15,15,0.7098225410067515,0.6741367280806727,0.7455083539328302,0.6663372446267184,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.3,15,15,0.7098225410067515,0.6741367280806727,0.7455083539328302,0.6663372446267184,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.31,15,15,0.7098225410067515,0.6741367280806727,0.7455083539328302,0.6663372446267184,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.32,15,15,0.7098225410067515,0.6741367280806727,0.7455083539328302,0.6663372446267184,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.33,15,15,0.7098225410067515,0.6741367280806727,0.7455083539328302,0.6663372446267184,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.34,15,15,0.7098225410067515,0.6741367280806727,0.7455083539328302,0.6663372446267184,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.35,15,15,0.7098225410067515,0.6741367280806727,0.7455083539328302,0.6663372446267184,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.36,15,15,0.7098225410067515,0.6741367280806727,0.7455083539328302,0.6663372446267184,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.37,15,15,0.7098225410067515,0.6741367280806727,0.7455083539328302,0.6663372446267184,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.38,15,15,0.7098225410067515,0.6741367280806727,0.7455083539328302,0.6663372446267184,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.39,15,15,0.7098225410067515,0.6741367280806727,0.7455083539328302,0.6663372446267184,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.4,15,15,0.7098225410067515,0.6741367280806727,0.7455083539328302,0.6663372446267184,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.41,15,15,0.7098225410067515,0.6741367280806727,0.7455083539328302,0.6663372446267184,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.42,15,15,0.7098225410067515,0.6741367280806727,0.7455083539328302,0.6663372446267184,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.43,15,15,0.708736492552282,0.6707013821111203,0.7467716029934437,0.6500465178096757,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.44,15,15,0.708736492552282,0.6707013821111203,0.7467716029934437,0.6500465178096757,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.45,14,15,0.7091757918355662,0.669178740309096,0.7491728433620365,0.6500465178096757,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.46,14,15,0.7091757918355662,0.669178740309096,0.7491728433620365,0.6500465178096757,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.47,14,15,0.7091757918355662,0.669178740309096,0.7491728433620365,0.6500465178096757,0.7739986621565569,탐색적/exploratory
