dataset,estimator,arm,value,rank,exploratory
oral_diseases,ece_top_db,A4,0.24165949612711113,7,탐색적/exploratory
oral_diseases,cwece_ew,A4,0.06241204343537434,4,탐색적/exploratory
oral_diseases,cwece_em,A4,0.055081348592323935,7,탐색적/exploratory
oral_diseases,cwece_db,A4,0.08779801652380244,7,탐색적/exploratory
oral_diseases,ece_top_ew,A5,0.10150434455407294,1,탐색적/exploratory
oral_diseases,ece_top_em,A5,0.10040297871248478,1,탐색적/exploratory
oral_diseases,ece_top_db,A5,0.09822530874669648,1,탐색적/exploratory
oral_diseases,cwece_ew,A5,0.044887363371233314,1,탐색적/exploratory
oral_diseases,cwece_em,A5,0.03980191336828371,2,탐색적/exploratory
oral_diseases,cwece_db,A5,0.047234101679455305,1,탐색적/exploratory
oral_diseases,ece_top_ew,A5s,0.12904342785683487,2,탐색적/exploratory
oral_diseases,ece_top_em,A5s,0.12514385675211034,2,탐색적/exploratory
oral_diseases,ece_top_db,A5s,0.14561842517923115,2,탐색적/exploratory
oral_diseases,cwece_ew,A5s,0.04696906729368951,2,탐색적/exploratory
oral_diseases,cwece_em,A5s,0.03817708488935458,1,탐색적/exploratory
oral_diseases,cwece_db,A5s,0.051094127395267495,2,탐색적/exploratory
