axis,param,bacc,recall_target,fold,frontier_base,family,pareto_union,marked_tau,dataset,exploratory
tau,0.6,0.8041771094402673,0.47368421052631576,1,A0,panderm,False,False,oral_diseases,탐색적/exploratory
tau,0.65,0.8041771094402673,0.47368421052631576,1,A0,panderm,False,False,oral_diseases,탐색적/exploratory
tau,0.7,0.8041771094402673,0.47368421052631576,1,A0,panderm,False,False,oral_diseases,탐색적/exploratory
tau,0.75,0.8041771094402673,0.47368421052631576,1,A0,panderm,False,False,oral_diseases,탐색적/exploratory
tau,0.8,0.8041771094402673,0.47368421052631576,1,A0,panderm,False,False,oral_diseases,탐색적/exploratory
tau,0.85,0.8041771094402673,0.47368421052631576,1,A0,panderm,False,False,oral_diseases,탐색적/exploratory
tau,0.9,0.8041771094402673,0.47368421052631576,1,A0,panderm,False,False,oral_diseases,탐색적/exploratory
tau,0.95,0.8041771094402673,0.47368421052631576,1,A0,panderm,False,False,oral_diseases,탐색적/exploratory
tau,1.0,0.8041771094402673,0.47368421052631576,1,A0,panderm,False,True,oral_diseases,탐색적/exploratory
tau,1.05,0.8041771094402673,0.47368421052631576,1,A0,panderm,False,False,oral_diseases,탐색적/exploratory
tau,1.1,0.8041771094402673,0.47368421052631576,1,A0,panderm,False,False,oral_diseases,탐색적/exploratory
tau,1.15,0.8041771094402673,0.47368421052631576,1,A0,panderm,False,False,oral_diseases,탐색적/exploratory
tau,1.2,0.8041771094402673,0.47368421052631576,1,A0,panderm,False,False,oral_diseases,탐색적/exploratory
tau,1.25,0.8041771094402673,0.47368421052631576,1,A0,panderm,False,False,oral_diseases,탐색적/exploratory
tau,1.3,0.8041771094402673,0.47368421052631576,1,A0,panderm,False,False,oral_diseases,탐색적/exploratory
tau,1.35,0.8041771094402673,0.47368421052631576,1,A0,panderm,False,False,oral_diseases,탐색적/exploratory
tau,1.4,0.8041771094402673,0.47368421052631576,1,A0,panderm,False,False,oral_diseases,탐색적/exploratory
tau,1.45,0.8041771094402673,0.47368421052631576,1,A0,panderm,False,False,oral_diseases,탐색적/exploratory
tau,1.5,0.8041771094402673,0.47368421052631576,1,A0,panderm,False,False,oral_diseases,탐색적/exploratory
tau,1.55,0.8041771094402673,0.47368421052631576,1,A0,panderm,False,False,oral_diseases,탐색적/exploratory
tau,1.6,0.7962406015037594,0.47368421052631576,1,A0,panderm,False,False,oral_diseases,탐색적/exploratory
tau,1.65,0.7962406015037594,0.47368421052631576,1,A0,panderm,False,False,oral_diseases,탐색적/exploratory
tau,1.7,0.7962406015037594,0.47368421052631576,1,A0,panderm,False,False,oral_diseases,탐색적/exploratory
tau,1.75,0.7962406015037594,0.47368421052631576,1,A0,panderm,False,False,oral_diseases,탐색적/exploratory
tau,1.8,0.7883040935672515,0.47368421052631576,1,A0,panderm,False,False,oral_diseases,탐색적/exploratory
tau,1.85,0.7883040935672515,0.47368421052631576,1,A0,panderm,False,False,oral_diseases,탐색적/exploratory
tau,1.9,0.7883040935672515,0.47368421052631576,1,A0,panderm,False,False,oral_diseases,탐색적/exploratory
tau,1.95,0.7728487886382621,0.42105263157894735,1,A0,panderm,False,False,oral_diseases,탐색적/exploratory
tau,2.0,0.7728487886382621,0.42105263157894735,1,A0,panderm,False,False,oral_diseases,탐색적/exploratory
tau,2.05,0.7728487886382621,0.42105263157894735,1,A0,panderm,False,False,oral_diseases,탐색적/exploratory
tau,2.1,0.7728487886382621,0.42105263157894735,1,A0,panderm,False,False,oral_diseases,탐색적/exploratory
tau,2.15,0.7728487886382621,0.42105263157894735,1,A0,panderm,False,False,oral_diseases,탐색적/exploratory
tau,2.2,0.7728487886382621,0.42105263157894735,1,A0,panderm,False,False,oral_diseases,탐색적/exploratory
tau,2.25,0.7728487886382621,0.42105263157894735,1,A0,panderm,False,False,oral_diseases,탐색적/exploratory
tau,2.3,0.7728487886382621,0.42105263157894735,1,A0,panderm,False,False,oral_diseases,탐색적/exploratory
tau,2.35,0.7728487886382621,0.42105263157894735,1,A0,panderm,False,False,oral_diseases,탐색적/exploratory
tau,2.4,0.7728487886382621,0.42105263157894735,1,A0,panderm,False,False,oral_diseases,탐색적/exploratory
tau,2.45,0.7728487886382621,0.42105263157894735,1,A0,panderm,False,False,oral_diseases,탐색적/exploratory
tau,2.5,0.7728487886382621,0.42105263157894735,1,A0,panderm,False,False,oral_diseases,탐색적/exploratory
tau,2.55,0.7728487886382621,0.42105263157894735,1,A0,panderm,False,False,oral_diseases,탐색적/exploratory
tau,2.6,0.7728487886382621,0.42105263157894735,1,A0,panderm,False,False,oral_diseases,탐색적/exploratory
tau,2.65,0.7728487886382621,0.42105263157894735,1,A0,panderm,False,False,oral_diseases,탐색적/exploratory
