dataset,arm,scaling,metric,n_repeats,mean,lo,hi,range,exploratory
aptos2019,B1,none,ece_top_ew,3,0.10669883794455708,0.10442851858470198,0.1100166525059102,0.005588133921208216,탐색적/exploratory
aptos2019,B1,none,ece_top_em,3,0.10631295493345223,0.10442859246651373,0.10885772889899568,0.004429136432481953,탐색적/exploratory
aptos2019,B1,none,ece_top_db,3,0.13734515488101723,0.13403292020916308,0.14246231431817338,0.008429394109010308,탐색적/exploratory
aptos2019,B1,none,ece_top_rms_em,3,0.13914265400206935,0.13587974160467098,0.14421044680352163,0.008330705198850652,탐색적/exploratory
aptos2019,B1,none,ece_top_bias_corr,3,0.0017974991210521114,0.0017481324853482472,0.0018468213955079027,9.868891015965553e-05,탐색적/exploratory
aptos2019,B1,none,ece_dep_em,3,0.10631295493345223,0.10442859246651373,0.10885772889899568,0.004429136432481953,탐색적/exploratory
aptos2019,B1,none,cwece_ew,3,0.04920889317324826,0.048457272688174936,0.04979751787083718,0.0013402451826622433,탐색적/exploratory
aptos2019,B1,none,cwece_em,3,0.04700596129899989,0.0461513765394307,0.04821726118630961,0.0020658846468789085,탐색적/exploratory
aptos2019,B1,none,cwece_db,3,0.09024937684655913,0.0890658855670782,0.09115215162933779,0.0020862660622595897,탐색적/exploratory
aptos2019,B1,none,cwece_rms_em,3,0.09157779468796469,0.09041447706588707,0.09248612554367748,0.0020716484777904137,탐색적/exploratory
aptos2019,B1,none,brier_multiclass,3,0.3071735287497896,0.30316755883113533,0.3120681934956741,0.008900634664538776,탐색적/exploratory
aptos2019,B1,none,brier_balanced,3,0.5293038763744565,0.520634116872753,0.5363419460596073,0.015707829186854316,탐색적/exploratory
aptos2019,B1,none,brier_ovr_mean,3,0.06143470574995791,0.06063351176622707,0.06241363869913482,0.001780126932907751,탐색적/exploratory
aptos2019,B1,none,nll,3,0.6703555912357407,0.6586827183043074,0.6790093034230295,0.020326585118722096,탐색적/exploratory
aptos2019,B1,none,acc,3,0.79601310759148,0.792190060076461,0.7987438558164938,0.006553795740032786,탐색적/exploratory
aptos2019,B1,none,bacc,3,0.6554072101092213,0.650315793897786,0.6605114759061125,0.010195682008326434,탐색적/exploratory
