family,dataset,base_arm,tau,fold,n_train,n_test,bacc,mcc,mae_sample,mae_class,recall_0,recall_1,recall_2,recall_3,recall_4,pi_0,pi_1,pi_2,pi_3,pi_4,recall_5,recall_6,pi_5,pi_6,exploratory
panderm,aptos2019,B0,1.0,3,2930,732,0.7160057482713945,0.7233313691913553,0.26229508196721313,0.3900600916424194,0.9778393351800554,0.7567567567567568,0.63,0.6052631578947368,0.6101694915254238,0.4928327645051195,0.10102389078498293,0.2726962457337884,0.052901023890784986,0.08054607508532423,,,,,탐색적/exploratory
panderm,aptos2019,B0,0.0,4,2930,732,0.6217396951613836,0.6958101207929825,0.2691256830601093,0.5061754529604131,0.9806094182825484,0.47297297297297297,0.7537688442211056,0.358974358974359,0.5423728813559322,0.4928327645051195,0.10102389078498293,0.27303754266211605,0.05255972696245734,0.08054607508532423,,,,,탐색적/exploratory
panderm,aptos2019,B0,0.5,4,2930,732,0.6295978844374137,0.6834693838598088,0.2855191256830601,0.5013077606370377,0.9750692520775623,0.5405405405405406,0.6884422110552764,0.38461538461538464,0.559322033898305,0.4928327645051195,0.10102389078498293,0.27303754266211605,0.05255972696245734,0.08054607508532423,,,,,탐색적/exploratory
panderm,aptos2019,B0,1.0,4,2930,732,0.6319120324770907,0.6714872218763563,0.3046448087431694,0.507044862893735,0.9722991689750693,0.5675675675675675,0.6331658291457286,0.41025641025641024,0.576271186440678,0.4928327645051195,0.10102389078498293,0.27303754266211605,0.05255972696245734,0.08054607508532423,,,,,탐색적/exploratory
panderm,aptos2019,B0,0.0,5,2929,733,0.6216648776322939,0.7116133714718393,0.252387448840382,0.49116851223367963,0.997229916897507,0.5540540540540541,0.75,0.23076923076923078,0.576271186440678,0.4930010242403551,0.101058381700239,0.2727893479003073,0.05257767156025948,0.0805735745988392,,,,,탐색적/exploratory
panderm,aptos2019,B0,0.5,5,2929,733,0.634859994760929,0.688352999497666,0.28240109140518416,0.49321461439842584,0.9944598337950139,0.5945945945945946,0.65,0.358974358974359,0.576271186440678,0.4930010242403551,0.101058381700239,0.2727893479003073,0.05257767156025948,0.0805735745988392,,,,,탐색적/exploratory
panderm,aptos2019,B0,1.0,5,2929,733,0.6598598508507895,0.6779360152248285,0.29058663028649384,0.458153300024139,0.9833795013850416,0.6216216216216216,0.58,0.48717948717948717,0.6271186440677966,0.4930010242403551,0.101058381700239,0.2727893479003073,0.05257767156025948,0.0805735745988392,,,,,탐색적/exploratory
panderm,aptos2019,B0,0.0,6,2929,733,0.6681058110445875,0.7335939014819487,0.2291950886766712,0.4088964045143209,0.9861495844875346,0.5945945945945946,0.765,0.38461538461538464,0.6101694915254238,0.4930010242403551,0.101058381700239,0.2727893479003073,0.05257767156025948,0.0805735745988392,,,,,탐색적/exploratory
panderm,aptos2019,B0,0.5,6,2929,733,0.69189069157786,0.722606421494774,0.252387448840382,0.40006603994988427,0.9806094182825484,0.6621621621621622,0.685,0.5384615384615384,0.5932203389830508,0.4930010242403551,0.101058381700239,0.2727893479003073,0.05257767156025948,0.0805735745988392,,,,,탐색적/exploratory
panderm,aptos2019,B0,1.0,6,2929,733,0.697609368533825,0.7082601230682899,0.2660300136425648,0.38410091315424905,0.9806094182825484,0.7162162162162162,0.6,0.5641025641025641,0.6271186440677966,0.4930010242403551,0.101058381700239,0.2727893479003073,0.05257767156025948,0.0805735745988392,,,,,탐색적/exploratory
panderm,aptos2019,B0,0.0,7,2930,732,0.6499067993294952,0.7215755642917921,0.2581967213114754,0.49828193177449015,0.9833795013850416,0.6081081081081081,0.77,0.4473684210526316,0.4406779661016949,0.4928327645051195,0.10102389078498293,0.2726962457337884,0.052901023890784986,0.08054607508532423,,,,,탐색적/exploratory
