bacc,mcc,macro_mae,per_class_recall,arm,dataset,fold,n_train,n_test,head,feats,lever,rank_violation_rows,bias_ordered,biases
0.5465661507213223,0.6123927423800882,0.3956343792633015,"[0.9944598337950139, 0.28378378378378377, 0.505, 0.05128205128205128, 0.8983050847457628]",B3nc,aptos2019,0,2929,733,coral_true,panderm,none,0,True,"[0.22865256667137146, -0.4980786442756653, -1.6145581007003784, -1.673431396484375]"
0.5496687786610318,0.6141203611306353,0.3888130968622101,"[0.9806094182825484, 0.43243243243243246, 0.53, 0.02564102564102564, 0.7796610169491526]",B3nc,aptos2019,1,2929,733,coral_true,panderm,none,0,True,"[0.2293333262205124, -0.5006847381591797, -1.6163798570632935, -1.6749258041381836]"
0.524126031802026,0.5784881933483091,0.43579234972677594,"[0.9778393351800554, 0.36486486486486486, 0.455, 0.02631578947368421, 0.7966101694915254]",B3nc,aptos2019,2,2930,732,coral_true,panderm,none,0,True,"[0.22412312030792236, -0.5048669576644897, -1.6165016889572144, -1.6752249002456665]"
0.5357259318100203,0.5905813841439467,0.42213114754098363,"[0.9750692520775623, 0.33783783783783783, 0.475, 0.02631578947368421, 0.864406779661017]",B3nc,aptos2019,3,2930,732,coral_true,panderm,none,0,True,"[0.23678065836429596, -0.49380168318748474, -1.614761233329773, -1.6740039587020874]"
0.5543860645663617,0.6276035082502902,0.37841530054644806,"[0.9944598337950139, 0.3108108108108108, 0.542713567839196, 0.02564102564102564, 0.8983050847457628]",B3nc,aptos2019,4,2930,732,coral_true,panderm,none,0,True,"[0.22036637365818024, -0.50657719373703, -1.6168428659439087, -1.6751664876937866]"
0.5517252560212793,0.6109505706733037,0.39017735334242837,"[0.9833795013850416, 0.40540540540540543, 0.505, 0.05128205128205128, 0.8135593220338984]",B3nc,aptos2019,5,2929,733,coral_true,panderm,none,0,True,"[0.22603560984134674, -0.5010430812835693, -1.616503119468689, -1.6750874519348145]"
0.5486279180725399,0.6161551453058125,0.4024556616643929,"[0.9916897506925207, 0.2972972972972973, 0.505, 0.0, 0.9491525423728814]",B3nc,aptos2019,6,2929,733,coral_true,panderm,none,0,True,"[0.21517808735370636, -0.5112536549568176, -1.6162750720977783, -1.6745779514312744]"
0.5479511346174101,0.620829469683161,0.3948087431693989,"[0.9889196675900277, 0.3783783783783784, 0.525, 0.0, 0.847457627118644]",B3nc,aptos2019,7,2930,732,coral_true,panderm,none,0,True,"[0.2411922961473465, -0.4880423843860626, -1.6141728162765503, -1.6736561059951782]"
0.5487811114086056,0.6124175208777223,0.40710382513661203,"[0.9916897506925207, 0.3108108108108108, 0.515, 0.07894736842105263, 0.847457627118644]",B3nc,aptos2019,8,2930,732,coral_true,panderm,none,0,True,"[0.22315792739391327, -0.5072957277297974, -1.6165250539779663, -1.6751972436904907]"
0.513292831210463,0.5795906576492983,0.4275956284153005,"[0.9750692520775623, 0.2972972972972973, 0.49748743718592964, 0.0, 0.7966101694915254]",B3nc,aptos2019,9,2930,732,coral_true,panderm,none,0,True,"[0.2339806854724884, -0.4954338073730469, -1.6157091856002808, -1.6743862628936768]"
0.5619774532213144,0.627947238059049,0.3888130968622101,"[0.9861495844875346, 0.4864864864864865, 0.515, 0.02564102564102564, 0.7966101694915254]",B3nc,aptos2019,10,2929,733,coral_true,panderm,none,0,True,"[0.22141103446483612, -0.5056711435317993, -1.6167576313018799, -1.6751856803894043]"
0.538827526479482,0.5996125748296026,0.40654843110504774,"[0.9833795013850416, 0.35135135135135137, 0.495, 0.0, 0.864406779661017]",B3nc,aptos2019,11,2929,733,coral_true,panderm,none,0,True,"[0.23407615721225739, -0.4960360825061798, -1.6153736114501953, -1.674116611480713]"
0.5330388040042484,0.5866386866559374,0.43306010928961747,"[0.9750692520775623, 0.35135135135135137, 0.465, 0.02631578947368421, 0.847457627118644]",B3nc,aptos2019,12,2930,732,coral_true,panderm,none,0,True,"[0.24389885365962982, -0.48666131496429443, -1.6134332418441772, -1.6729627847671509]"
0.5594489983668819,0.6382702433786611,0.3620218579234973,"[0.9944598337950139, 0.3783783783783784, 0.56, 0.0, 0.864406779661017]",B3nc,aptos2019,13,2930,732,coral_true,panderm,none,0,True,"[0.2174767106771469, -0.5093494653701782, -1.6166796684265137, -1.6753572225570679]"
0.5101330686536636,0.5905538474625587,0.4030054644808743,"[0.9916897506925207, 0.20270270270270271, 0.542713567839196, 0.0, 0.8135593220338984]",B3nc,aptos2019,14,2930,732,coral_true,panderm,none,0,True,"[0.22508549690246582, -0.5033160448074341, -1.6165965795516968, -1.6750223636627197]"
0.5126154611418708,0.457991243822005,0.5525238744884038,"[0.7479224376731302, 0.6216216216216216, 0.32, 0.07692307692307693, 0.7966101694915254]",B3dc,aptos2019,0,2929,733,coral_true,dinov2,rebalance,0,True,"[1.1012895107269287, -0.32224297523498535, -1.3940743207931519, -1.707292914390564]"
0.549664734047522,0.4976054557068061,0.49113233287858116,"[0.8005540166204986, 0.5675675675675675, 0.345, 0.15384615384615385, 0.8813559322033898]",B3dc,aptos2019,1,2929,733,coral_true,dinov2,rebalance,0,True,"[1.112216591835022, -0.3137194812297821, -1.3928430080413818, -1.7070674896240234]"
0.5112068108767953,0.4722655987377505,0.5,"[0.7950138504155124, 0.5135135135135135, 0.355, 0.07894736842105263, 0.8135593220338984]",B3dc,aptos2019,2,2930,732,coral_true,dinov2,rebalance,0,True,"[1.1000592708587646, -0.3283810615539551, -1.3990284204483032, -1.7098639011383057]"
0.4795777076198223,0.42563724283499305,0.5669398907103825,"[0.7063711911357341, 0.5405405405405406, 0.345, 0.02631578947368421, 0.7796610169491526]",B3dc,aptos2019,3,2930,732,coral_true,dinov2,rebalance,0,True,"[1.0986590385437012, -0.33136430382728577, -1.402221441268921, -1.7112239599227905]"
0.4601066617201095,0.4219859414878085,0.5887978142076503,"[0.7229916897506925, 0.40540540540540543, 0.36683417085427134, 0.02564102564102564, 0.7796610169491526]",B3dc,aptos2019,4,2930,732,coral_true,dinov2,rebalance,0,True,"[1.104188084602356, -0.3191165328025818, -1.3975791931152344, -1.7099121809005737]"
0.5218337071320309,0.447973696163362,0.538881309686221,"[0.7285318559556787, 0.5, 0.345, 0.20512820512820512, 0.8305084745762712]",B3dc,aptos2019,5,2929,733,coral_true,dinov2,rebalance,0,True,"[1.0996053218841553, -0.3265150785446167, -1.3987915515899658, -1.7100043296813965]"
0.4953164643839324,0.4409843755822166,0.5634379263301501,"[0.7506925207756233, 0.4189189189189189, 0.34, 0.10256410256410256, 0.864406779661017]",B3dc,aptos2019,6,2929,733,coral_true,dinov2,rebalance,0,True,"[1.1068276166915894, -0.3188023269176483, -1.3945627212524414, -1.7081397771835327]"
0.5283008338165857,0.4593300626163674,0.5573770491803278,"[0.7008310249307479, 0.5540540540540541, 0.4, 0.10526315789473684, 0.8813559322033898]",B3dc,aptos2019,7,2930,732,coral_true,dinov2,rebalance,0,True,"[1.1115213632583618, -0.31375065445899963, -1.3940726518630981, -1.7080081701278687]"
0.5066869336588573,0.4534567938723522,0.5314207650273224,"[0.739612188365651, 0.5, 0.375, 0.10526315789473684, 0.8135593220338984]",B3dc,aptos2019,8,2930,732,coral_true,dinov2,rebalance,0,True,"[1.0913002490997314, -0.33799177408218384, -1.400930404663086, -1.7097889184951782]"
0.5024403520444456,0.4533114623605085,0.5491803278688525,"[0.7728531855955678, 0.5405405405405406, 0.3165829145728643, 0.10256410256410256, 0.7796610169491526]",B3dc,aptos2019,9,2930,732,coral_true,dinov2,rebalance,0,True,"[1.1041263341903687, -0.32407090067863464, -1.3981975317001343, -1.7092061042785645]"
0.5019294507139007,0.4555001925467179,0.557980900409277,"[0.775623268698061, 0.527027027027027, 0.3, 0.02564102564102564, 0.8813559322033898]",B3dc,aptos2019,10,2929,733,coral_true,dinov2,rebalance,0,True,"[1.1066356897354126, -0.3189968764781952, -1.3958802223205566, -1.7086312770843506]"
