arm,fold,bacc,mae_plain,macro_mae_true,repro_dbacc,repro_dmae
B2,6,0.6769720663033024,0.20600272851296045,0.39792734656089745,0.0,5.551115123125783e-17
B2,7,0.6539629522005221,0.2336065573770492,0.46224540170011785,0.0,0.0
B2,8,0.6690589813250971,0.22540983606557377,0.43305918054774806,0.0,8.326672684688674e-17
B2,9,0.588779246732943,0.27459016393442626,0.55394659080448,0.0,5.551115123125783e-17
B2,10,0.6370491685276887,0.22373806275579808,0.4500811192792506,0.0,8.326672684688674e-17
B2,11,0.6440437786488306,0.24829467939972716,0.4760565420108122,0.0,5.551115123125783e-17
B2,12,0.6305140515415646,0.24453551912568305,0.4983848042605731,0.0,5.551115123125783e-17
B2,13,0.637812072131289,0.21994535519125682,0.4493337905725811,0.0,2.7755575615628914e-17
B2,14,0.6942684409300319,0.20901639344262296,0.3995742228617955,0.0,5.551115123125783e-17
B3,0,0.6945449340783865,0.2551159618008186,0.362826231678666,0.0,0.0
B3,1,0.6695709392230355,0.27967257844474763,0.41554913711343594,0.0,5.551115123125783e-17
B3,2,0.6723366685150806,0.28688524590163933,0.40537348029281917,0.0,5.551115123125783e-17
B3,3,0.6642890606461667,0.29508196721311475,0.4094848127624314,0.0,5.551115123125783e-17
B3,4,0.6442905882279614,0.2814207650273224,0.43544467472308945,0.0,0.0
B3,5,0.6482167057644779,0.28512960436562074,0.4172928017241365,0.0,5.551115123125783e-17
B3,6,0.6986790627535734,0.2592087312414734,0.35714835586651167,0.0,0.0
B3,7,0.6610944911764669,0.2923497267759563,0.4391033267644845,0.0,0.0
B3,8,0.6831477711807304,0.27595628415300544,0.38376191116700065,0.0,5.551115123125783e-17
B3,9,0.612489678210012,0.31420765027322406,0.484696552251308,0.0,5.551115123125783e-17
B3,10,0.6833396972004419,0.27012278308321963,0.3836875214356317,0.0,5.551115123125783e-17
B3,11,0.6405587536490397,0.31105047748976805,0.44713589512904034,0.0,5.551115123125783e-17
B3,12,0.6465779131871436,0.3087431693989071,0.44840790393661417,0.0,0.0
B3,13,0.671303277783629,0.26366120218579236,0.40432721495616464,0.0,5.551115123125783e-17
B3,14,0.6643687307845462,0.25546448087431695,0.4039660770196164,0.0,5.551115123125783e-17
B4,0,0.6656601257019117,0.25375170532060026,0.4157933037827869,0.0,5.551115123125783e-17
B4,1,0.6550806332124235,0.2660300136425648,0.43857795971472663,0.0,0.0
B4,2,0.6523972410835175,0.27595628415300544,0.47399852042285956,0.0,5.551115123125783e-17
B4,3,0.6953603315978545,0.25956284153005466,0.3970498221588883,0.0,5.551115123125783e-17
B4,4,0.6698928076051497,0.26639344262295084,0.4469190079120571,0.0,5.551115123125783e-17
B4,5,0.6389113164419986,0.2755798090040928,0.4623676574471448,0.0,0.0
B4,6,0.7208816627539573,0.22646657571623466,0.3585821110813833,0.0,5.551115123125783e-17
B4,7,0.6745185359546129,0.2691256830601093,0.4572548552590339,0.0,0.0
B4,8,0.6762499825521563,0.2650273224043716,0.421998757713533,0.0,0.0
B4,9,0.6192744777151151,0.29918032786885246,0.5169169614783052,0.0,5.551115123125783e-17
B4,10,0.6719828254327057,0.2551159618008186,0.41622915055893134,0.0,0.0
B4,11,0.6282434773453132,0.2987721691678035,0.4934925481195259,0.0,0.0
B4,12,0.6747672521105545,0.2691256830601093,0.4501772954700322,0.0,0.0
B4,13,0.6624598325260798,0.25,0.43736095718235724,0.0,0.0
B4,14,0.6690050162108798,0.2568306010928962,0.4472222664479785,0.0,0.0
B0d,0,0.6452128113732415,0.2673942701227831,0.47598073406665353,0.0,0.0
B0d,1,0.6254897884807271,0.2592087312414734,0.4666871491498939,0.0,0.0
B0d,2,0.672061542034076,0.26366120218579236,0.44459356168225134,0.0,5.551115123125783e-17
B0d,3,0.6249031156138533,0.2718579234972678,0.48783958262220145,0.0,0.0
B0d,4,0.597586598604718,0.2814207650273224,0.5291229321876477,0.0,0.0
B0d,5,0.6054022942067921,0.27694406548431105,0.5142268902619623,0.0,5.551115123125783e-17
B0d,6,0.6526229899555408,0.24283765347885403,0.41715358120691703,0.0,2.7755575615628914e-17
B0d,7,0.619692439563842,0.2827868852459016,0.5047029552205851,0.0,0.0
B0d,8,0.6134048102753206,0.27049180327868855,0.5051474907462982,0.0,5.551115123125783e-17
B0d,9,0.6276639447903062,0.273224043715847,0.4939576225979131,0.0,0.0
B0d,10,0.6176578631599055,0.286493860845839,0.5088174795474668,0.0,0.0
B0d,11,0.6254063479305978,0.29195088676671216,0.5203622441743481,0.0,5.551115123125783e-17
B0d,12,0.6255257955264998,0.2650273224043716,0.4773539196739347,0.0,0.0
B0d,13,0.626715369202716,0.29098360655737704,0.5300869054885207,0.0,5.551115123125783e-17
B0d,14,0.6440748867814003,0.26639344262295084,0.47100359420910964,0.0,5.551115123125783e-17
B1d,0,0.6625615206411488,0.286493860845839,0.46418604141924485,0.0,0.0
B1d,1,0.6327823294551779,0.2755798090040928,0.4674620634423442,0.0,0.0
B1d,2,0.6744578111140861,0.26639344262295084,0.44006418141696796,0.0,5.551115123125783e-17
B1d,3,0.6140582402675927,0.30191256830601093,0.5061823217179338,0.0,5.551115123125783e-17
B1d,4,0.6026030654131957,0.3005464480874317,0.5386657010609677,0.0,0.0
