dataset,arm,source,family,frontier_base,axis,fold,recall_target,bacc,frontier_bacc,gap,exploratory
aptos2019,S1_la__B3,w10_decouple,panderm,B0,offset,1,0.48717948717948717,0.6776905839266985,0.666965204525982,0.010725379400716495,탐색적/exploratory
aptos2019,S1_la__B3,w10_decouple,panderm,B0,union,1,0.48717948717948717,0.6776905839266985,0.666965204525982,0.010725379400716495,탐색적/exploratory
aptos2019,S1_la__B3,w10_decouple,dinov2,B0d,tau,1,0.48717948717948717,0.6776905839266985,0.6646625466654575,0.01302803726124091,탐색적/exploratory
aptos2019,S1_la__B3,w10_decouple,dinov2,B0d,offset,1,0.48717948717948717,0.6776905839266985,0.6381963246983672,0.039494259228331274,탐색적/exploratory
aptos2019,S1_la__B3,w10_decouple,dinov2,B0d,union,1,0.48717948717948717,0.6776905839266985,0.6646625466654575,0.01302803726124091,탐색적/exploratory
aptos2019,S1_la__B4,w10_decouple,panderm,B0,tau,1,0.5128205128205128,0.7051481941912948,0.6576679849590314,0.04748020923226337,탐색적/exploratory
aptos2019,S1_la__B4,w10_decouple,panderm,B0,offset,1,0.5128205128205128,0.7051481941912948,0.666965204525982,0.03818298966531286,탐색적/exploratory
aptos2019,S1_la__B4,w10_decouple,panderm,B0,union,1,0.5128205128205128,0.7051481941912948,0.666965204525982,0.03818298966531286,탐색적/exploratory
aptos2019,S1_la__B4,w10_decouple,dinov2,B0d,tau,1,0.5128205128205128,0.7051481941912948,0.6646625466654575,0.040485647525837276,탐색적/exploratory
aptos2019,S1_la__B4,w10_decouple,dinov2,B0d,offset,1,0.5128205128205128,0.7051481941912948,0.6381963246983672,0.06695186949292764,탐색적/exploratory
aptos2019,S1_la__B4,w10_decouple,dinov2,B0d,union,1,0.5128205128205128,0.7051481941912948,0.6646625466654575,0.040485647525837276,탐색적/exploratory
aptos2019,S1_la__ldam,w10_decouple,panderm,B0,tau,1,0.23076923076923078,0.626299167022863,0.6612491072479334,-0.034949940225070364,탐색적/exploratory
aptos2019,S1_la__ldam,w10_decouple,panderm,B0,offset,1,0.23076923076923078,0.626299167022863,0.666965204525982,-0.040666037503118924,탐색적/exploratory
