n_folds,mean_diff,sd,se_nb,wins,ci_lo,ci_hi,p_nb,tost_p,equivalent,mde_post,dataset,arm,ref,family,mde_floor,passes_floor,scoring,exploratory,holm_p,gate_pass
15,0.02272079836227537,0.013012322540864363,0.00732244292141433,14,0.007015720261387963,0.03842587646316278,0.007787424969415786,0.6421118334219575,False,0.022061359691502407,aptos2019,affine_scale,B0,descriptive,0.019,True,full,탐색적/exploratory (w13 · 판정 아님 / not a verdict),,False
15,0.0208957710273524,0.014820520548341081,0.008339972778884637,14,0.0030083084336037756,0.03878323362110102,0.025197618802379116,0.5420049074144146,False,0.025127015842518162,aptos2019,affine_scale,B0,descriptive,0.019,True,leak_excluded,탐색적/exploratory (w13 · 판정 아님 / not a verdict),,False
15,-0.009711525602567762,0.013445765756172753,0.007566355043466535,4,-0.025939743175854523,0.006516691970719,0.22015057505912577,0.09770065249417396,False,0.022796228247728995,aptos2019,affine_taunorm,B1,descriptive,0.019,False,full,탐색적/exploratory (w13 · 판정 아님 / not a verdict),,False
15,-0.005273499155517151,0.012511783911625447,0.00704077410087482,5,-0.020374457719709912,0.009827459408675607,0.4662595754168028,0.0275916707777919,True,0.021212736188322798,aptos2019,affine_taunorm,B1,descriptive,0.019,False,leak_excluded,탐색적/exploratory (w13 · 판정 아님 / not a verdict),,False
15,3.963963963963627e-05,0.00015352366417397463,8.639259167377177e-05,1,-0.00014565404091698792,0.00022493332019626045,0.6533976653313035,8.924008220821063e-27,True,0.0002602871828501796,aptos2019,affine_taunorm,B0,descriptive,0.019,False,full,탐색적/exploratory (w13 · 판정 아님 / not a verdict),,False
15,5.228758169934326e-05,0.0002025089331350161,0.00011395814231478196,1,-0.00019212832491724368,0.00029670348831593017,0.6533976653313034,4.341335395633683e-25,True,0.00034333781695033446,aptos2019,affine_taunorm,B0,descriptive,0.019,False,leak_excluded,탐색적/exploratory (w13 · 판정 아님 / not a verdict),,False
15,0.001583096850146785,0.0052021899636689045,0.0029274358175254444,8,-0.004695628521015561,0.007861822221309132,0.5971593143775547,9.92323696997768e-06,True,0.008819900030267766,aptos2019,ordcost,B1,holm4,0.019,False,full,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.8607419436630519,False
15,0.0022852628132519204,0.0049926332583962885,0.002809511672290074,9,-0.003740540421025518,0.008311066047529358,0.42960471494524355,9.690649655164236e-06,True,0.008464613275250223,aptos2019,ordcost,B1,descriptive,0.019,False,leak_excluded,탐색적/exploratory (w13 · 판정 아님 / not a verdict),,False
15,0.011334262092354183,0.014135010476970532,0.007954214713489182,11,-0.005725831737977345,0.02839435592268571,0.17608597587039299,0.14717623959359946,False,0.023964787945910202,aptos2019,ordcost,B0,descriptive,0.019,False,full,탐색적/exploratory (w13 · 판정 아님 / not a verdict),,False
15,0.007611049550468415,0.013862125267396472,0.007800653628223346,10,-0.009119688508402734,0.024341787609339565,0.3457749906185766,0.06728216102209204,False,0.02350213274012367,aptos2019,ordcost,B0,descriptive,0.019,False,leak_excluded,탐색적/exploratory (w13 · 판정 아님 / not a verdict),,False
15,0.007858834323789731,0.017198472151855437,0.009678120894406441,9,-0.012898670534592356,0.028616339182171817,0.43037097183152595,0.11510106734624904,False,0.02915864397726238,aptos2019,vs,B1,holm4,0.019,False,full,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.8607419436630519,False
15,0.01090138068495236,0.019618733166053823,0.011040077845268715,12,-0.012777231311156252,0.03457999268106097,0.3401878090142515,0.21183815455871807,False,0.033262004358460266,aptos2019,vs,B1,descriptive,0.019,False,leak_excluded,탐색적/exploratory (w13 · 판정 아님 / not a verdict),,False
15,0.01760999956599713,0.013420602409484403,0.007552194837303604,12,0.0014121526143867948,0.03380784651760746,0.03516299587078654,0.37815970697384066,False,0.022753565791384996,aptos2019,vs,B0,descriptive,0.019,False,full,탐색적/exploratory (w13 · 판정 아님 / not a verdict),,False
15,0.016227167422168853,0.01578960604548475,0.008885307650236018,13,-0.0028299221441115824,0.03528425698844929,0.0892037792532745,0.338785320673473,False,0.02677002335767654,aptos2019,vs,B0,descriptive,0.019,False,leak_excluded,탐색적/exploratory (w13 · 판정 아님 / not a verdict),,False
15,0.006731134132551109,0.011540680585518482,0.0064943037337376166,11,-0.007197762062864221,0.020660030327966438,0.3175558329759676,0.03016644812319076,True,0.01956630760437248,aptos2019,vs_la_corner,B1,descriptive,0.019,False,full,탐색적/exploratory (w13 · 판정 아님 / not a verdict),,False
15,0.008304746987190192,0.013235402642760803,0.007447977107022632,11,-0.0076695751638685035,0.02427906913824889,0.2836112023004608,0.06933754365869849,False,0.0224395742917399,aptos2019,vs_la_corner,B1,descriptive,0.019,False,leak_excluded,탐색적/exploratory (w13 · 판정 아님 / not a verdict),,False
15,0.016482299374758504,0.016491566434129027,0.009280322826258553,12,-0.0034220134825805708,0.036386612232097576,0.09745462119200511,0.3551690221420905,False,0.02796014146106929,aptos2019,vs_la_corner,B0,descriptive,0.019,False,full,탐색적/exploratory (w13 · 판정 아님 / not a verdict),,False
15,0.013630533724406686,0.015102898184838552,0.008498875551164003,12,-0.004597741419999956,0.03185880886881333,0.13107181152137312,0.2329973341854651,False,0.025605764704456014,aptos2019,vs_la_corner,B0,descriptive,0.019,False,leak_excluded,탐색적/exploratory (w13 · 판정 아님 / not a verdict),,False
15,-0.00796443472975589,0.017608705232088427,0.009908971943867325,4,-0.029217065845913534,0.013288196386401753,0.4349713196965478,0.12230181320724845,False,0.029854161592350006,aptos2019,wd_ce,B1,descriptive,0.019,False,full,탐색적/exploratory (w13 · 판정 아님 / not a verdict),,False
15,-0.0030513466223894468,0.014994692891060122,0.008437985031043618,5,-0.021149024589821493,0.0150463313450426,0.7230352426718746,0.03213504693858285,True,0.025422311220339402,aptos2019,wd_ce,B1,descriptive,0.019,False,leak_excluded,탐색적/exploratory (w13 · 판정 아님 / not a verdict),,False
15,0.0017867305124515064,0.010946305312957696,0.006159830084351937,8,-0.01142479105230213,0.014998252077205143,0.7760209677456056,0.005202637707831536,True,0.018558591523056587,aptos2019,wd_ce,B0,descriptive,0.019,False,full,탐색적/exploratory (w13 · 판정 아님 / not a verdict),,False
15,0.0022744401148270476,0.010762202719844093,0.006056229768149725,9,-0.01071488087087201,0.015263761100526105,0.7128775970458666,0.005520298585386751,True,0.01824646019415182,aptos2019,wd_ce,B0,descriptive,0.019,False,leak_excluded,탐색적/exploratory (w13 · 판정 아님 / not a verdict),,False
15,0.01898385273546983,0.01799338757233851,0.01012544478878116,14,-0.0027330664567546993,0.04070077192769436,0.08182623681525329,0.46074241499028673,False,0.030506359956521685,aptos2019,wd_wce,wd_ce,holm4,0.019,False,full,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.2542483901399186,False
15,0.017681808938076398,0.01720461223973852,0.009681576114864983,14,-0.0030831066311489894,0.038446724507301785,0.0891968893067463,0.40711582089076986,False,0.029169054008746052,aptos2019,wd_wce,wd_ce,descriptive,0.019,False,leak_excluded,탐색적/exploratory (w13 · 판정 아님 / not a verdict),,False
15,0.02077058324792134,0.014496614611558434,0.008157700726639565,14,0.003274055325407404,0.03826711117043527,0.0232914320745901,0.5369591300008743,False,0.024577859044787854,aptos2019,wd_wce,B0,descriptive,0.019,True,full,탐색적/exploratory (w13 · 판정 아님 / not a verdict),,False
15,0.019956249052903444,0.015267499213224836,0.00859150172388448,14,0.001529310526293147,0.03838318757951374,0.03576881135164329,0.4980043805493179,False,0.025884832678787044,aptos2019,wd_wce,B0,descriptive,0.019,True,leak_excluded,탐색적/exploratory (w13 · 판정 아님 / not a verdict),,False
15,-0.001393450603976946,0.014307128366661577,0.008051070860349898,7,-0.01866128020873835,0.015874379000784457,0.8650687292593656,0.01828717056493025,True,0.02425660016174575,oral_diseases,affine,A2,descriptive,0.032,False,full,탐색적/exploratory (w13 · 판정 아님 / not a verdict),,False
15,0.0017404573983521132,0.01751144391663397,0.009854239944361446,7,-0.019394785253862196,0.02287570005056642,0.8623363170515798,0.04254116682948961,True,0.029689262754531397,oral_diseases,affine,A0,descriptive,0.032,False,full,탐색적/exploratory (w13 · 판정 아님 / not a verdict),,False
15,-0.0018822600401547484,0.009434878888958201,0.005309302925583975,6,-0.013269582277070308,0.009505062196760812,0.7282316564076201,0.0021036908564177432,True,0.015996088028205534,oral_diseases,affine_offset,A2,descriptive,0.032,False,full,탐색적/exploratory (w13 · 판정 아님 / not a verdict),,False
15,0.0012516479621743108,0.01102631598847153,0.0062048546065088354,7,-0.012056441598331302,0.014559737522679923,0.8430367014692791,0.004575900916210927,True,0.018694243270554196,oral_diseases,affine_offset,A0,descriptive,0.032,False,full,탐색적/exploratory (w13 · 판정 아님 / not a verdict),,False
15,-0.002319566398513806,0.01627359218839931,0.00915766186641209,8,-0.02196079766204697,0.017321664865019355,0.8037238614477017,0.037015735051912725,True,0.02759058343455823,oral_diseases,affine_scale,A2,descriptive,0.032,False,full,탐색적/exploratory (w13 · 판정 아님 / not a verdict),,False
15,0.0008143416038152532,0.017549122432269457,0.00987544282949114,8,-0.020366376714170676,0.021995059921801185,0.9354473036303846,0.036216783177934996,True,0.02975314368612266,oral_diseases,affine_scale,A0,descriptive,0.032,False,full,탐색적/exploratory (w13 · 판정 아님 / not a verdict),,False
15,-0.005834813334813327,0.0144085097179943,0.008108121333553155,3,-0.023225004035040485,0.01155537736541383,0.48359641620994454,0.05126049752310698,False,0.024428484193265706,oral_diseases,affine_taunorm,A2,descriptive,0.032,False,full,탐색적/exploratory (w13 · 판정 아님 / not a verdict),,False
15,-0.0027009053324842675,0.009775390831763223,0.005500919699408892,1,-0.014499204675081267,0.009097394010112732,0.63103935252365,0.0035829142732673783,True,0.016573398990632298,oral_diseases,affine_taunorm,A0,descriptive,0.032,False,full,탐색적/exploratory (w13 · 판정 아님 / not a verdict),,False
