dataset,arm,config,fold,exploratory,bacc,per_class_recall,qwk,macro_mae,bacc_leakex,n_leaked,train_acc,a_ratio,pair_cos,row_cos,wnorm_ratio,wnorm_spearman
aptos2019,affine_scale,scale,3,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6909021474171481,"[0.9806094182825484, 0.7162162162162162, 0.565, 0.6842105263157895, 0.5084745762711864]",0.8614074340143592,0.2923497267759563,0.6801618945318764,36,,1.4523488283157349,0.9976619064807892,1.0,,
aptos2019,affine_taunorm,tau=0.1,3,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6585280364640897,"[0.9806094182825484, 0.6351351351351351, 0.8, 0.3684210526315789, 0.5084745762711864]",0.8744576627011896,0.24453551912568305,0.6511391743326858,36,,,,,2.262864589691162,-0.7
aptos2019,vs,"g=0.4,t=0.0",3,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6782302125591482,"[0.9722991689750693, 0.7702702702702703, 0.36, 0.7631578947368421, 0.5254237288135594]",0.8544605430746324,0.3483606557377049,0.6753626588363603,36,0.8232081911262799,,0.9740486860275268,0.9801637530326843,,
aptos2019,vs_la_corner,"g=0,t=1",3,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.70340891273921,"[0.9750692520775623, 0.7567567567567568, 0.63, 0.5789473684210527, 0.576271186440678]",0.8801854694157928,0.26366120218579236,0.6877934002446537,36,,,0.9778607368469239,0.9763799905776978,,
aptos2019,wd_ce,wd=1.0,3,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6424082592381575,"[0.9806094182825484, 0.6486486486486487, 0.8, 0.34210526315789475, 0.4406779661016949]",0.8772914892679068,0.24726775956284153,0.6409586576815809,36,0.9382252559726962,,,0.9797326922416687,,
aptos2019,wd_wce,wd=1.0,3,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6990440853079006,"[0.9722991689750693, 0.7027027027027027, 0.665, 0.5789473684210527, 0.576271186440678]",0.8828324565514419,0.25546448087431695,0.6821382579649006,36,0.9382252559726962,,,0.9298112988471985,,
aptos2019,ordcost,"abs,lam=0.1,wce",3,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.68506534756739,"[0.9778393351800554, 0.7162162162162162, 0.655, 0.5, 0.576271186440678]",0.8731118620265941,0.2677595628415301,0.6679396723096543,36,0.962457337883959,,0.9521492779254913,0.9451445937156677,,
aptos2019,B0,ce·wd1e-4,4,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6217396951613836,"[0.9806094182825484, 0.47297297297297297, 0.7537688442211056, 0.358974358974359, 0.5423728813559322]",0.8704641827707178,0.2691256830601093,0.6092852313614848,43,0.9662116040955632,,,,,
aptos2019,B1,wce·wd1e-4,4,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.639772900608512,"[0.9750692520775623, 0.5675675675675675, 0.678391959798995, 0.38461538461538464, 0.5932203389830508]",0.8621109372283081,0.2855191256830601,0.6262801343424602,43,0.9665529010238908,,,,,
aptos2019,affine,full,4,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.635344879115212,"[0.9778393351800554, 0.5945945945945946, 0.5577889447236181, 0.48717948717948717, 0.559322033898305]",0.8578097609308707,0.31010928961748635,0.6261658696101593,43,,1.500511884689331,0.9962448835372925,1.0,,
