dataset,arm,fold,config,inner_mean,exploratory
oral_diseases,vs,4,"g=0.0,t=1.0",0.7205136926565496,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,4,"g=0.0,t=1.5",0.7221803593232163,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,4,"g=0.1,t=0.0",0.7240851212279782,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,4,"g=0.1,t=0.5",0.7212279783708354,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,4,"g=0.1,t=1.0",0.7189490668062095,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,4,"g=0.1,t=1.5",0.7221236699808127,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,4,"g=0.2,t=0.0",0.7270216291644862,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,4,"g=0.2,t=0.5",0.7249808128379556,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,4,"g=0.2,t=1.0",0.7278379556950985,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,4,"g=0.2,t=1.5",0.7259331937903365,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,4,"g=0.3,t=0.0",0.7259331937903365,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,4,"g=0.3,t=0.5",0.7259331937903365,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,4,"g=0.3,t=1.0",0.7240284318855746,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,4,"g=0.3,t=1.5",0.722939996511425,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,4,"g=0.4,t=0.0",0.7221236699808127,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,4,"g=0.4,t=0.5",0.7261145996860282,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,4,"g=0.4,t=1.0",0.7292892028606314,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,4,"g=0.4,t=1.5",0.7321463457177743,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,5,"g=0.0,t=0.0",0.7169134833420548,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,5,"g=0.0,t=0.5",0.7150087214372929,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,5,"g=0.0,t=1.0",0.7063012384440956,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,5,"g=0.0,t=1.5",0.7005546834118261,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,5,"g=0.1,t=0.0",0.7141583813012384,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,5,"g=0.1,t=0.5",0.7110064538635968,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,5,"g=0.1,t=1.0",0.7151334379905809,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,5,"g=0.1,t=1.5",0.713253096110239,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,5,"g=0.2,t=0.0",0.7162218733647305,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,5,"g=0.2,t=0.5",0.711323914181057,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,5,"g=0.2,t=1.0",0.7125937554508983,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,5,"g=0.2,t=1.5",0.7192848421419851,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,5,"g=0.3,t=0.0",0.720212803069946,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,5,"g=0.3,t=0.5",0.7265620094191523,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,5,"g=0.3,t=1.0",0.7256096284667714,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,5,"g=0.3,t=1.5",0.7204186289900576,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,5,"g=0.4,t=0.0",0.7322762951334381,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,5,"g=0.4,t=0.5",0.7264259549973835,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,5,"g=0.4,t=1.0",0.7226164311878598,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,5,"g=0.4,t=1.5",0.7232757718472004,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,6,"g=0.0,t=0.0",0.7295817674389102,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,6,"g=0.0,t=0.5",0.7308516087087515,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,6,"g=0.0,t=1.0",0.7298992277563707,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,6,"g=0.0,t=1.5",0.7308516087087517,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,6,"g=0.1,t=0.0",0.7356135134706564,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,6,"g=0.1,t=0.5",0.7289468468039898,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,6,"g=0.1,t=1.0",0.7326203161917448,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,6,"g=0.1,t=1.5",0.7397858490715634,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,6,"g=0.2,t=0.0",0.7349785928357357,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,6,"g=0.2,t=0.5",0.7369287062144205,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,6,"g=0.2,t=1.0",0.7406021756021756,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,6,"g=0.2,t=1.5",0.7425069375069374,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,6,"g=0.3,t=0.0",0.7434593184593185,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,6,"g=0.3,t=0.5",0.7425069375069375,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,6,"g=0.3,t=1.0",0.7466339216339216,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,6,"g=0.3,t=1.5",0.74504662004662,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,6,"g=0.4,t=0.0",0.7437767787767788,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,6,"g=0.4,t=0.5",0.7498085248085248,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,6,"g=0.4,t=1.0",0.7458629465772322,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
