dataset,n_train,n_test,draw,bacc,mcc
oral_diseases,407,54,155,0.7213718820861678,0.6783654159442557
oral_diseases,407,54,156,0.7744331065759636,0.7414214641314303
oral_diseases,407,54,157,0.7740362811791383,0.7205469018346089
oral_diseases,407,54,158,0.6796485260770975,0.6329190218483824
oral_diseases,407,54,159,0.774829931972789,0.7431348952611838
oral_diseases,407,54,160,0.7189342403628117,0.6793664803261359
oral_diseases,407,54,161,0.6998299319727892,0.6545519192876933
oral_diseases,407,54,162,0.7098072562358277,0.661559872771596
oral_diseases,407,54,163,0.7153061224489797,0.6388565976415647
oral_diseases,407,54,164,0.6933106575963718,0.6357427523473874
oral_diseases,407,54,165,0.6475056689342403,0.5872422692799505
oral_diseases,407,54,166,0.6092403628117914,0.5515205986590749
oral_diseases,407,54,167,0.7579365079365079,0.6974693696238222
oral_diseases,407,54,168,0.8014172335600908,0.7639727195791054
oral_diseases,407,54,169,0.7575963718820862,0.74181066354489
oral_diseases,407,54,170,0.6726757369614512,0.6196013340428557
oral_diseases,407,54,171,0.8208616780045351,0.7686432376671697
oral_diseases,407,54,172,0.6955215419501133,0.6552324236428092
oral_diseases,407,54,173,0.8456916099773243,0.8275030825756836
oral_diseases,407,54,174,0.7333900226757369,0.6983198040401448
oral_diseases,407,54,175,0.7959183673469388,0.7441673370876911
oral_diseases,407,54,176,0.7474489795918366,0.6780830723624441
oral_diseases,407,54,177,0.759750566893424,0.721694421962957
oral_diseases,407,54,178,0.7159297052154195,0.6747293024933624
oral_diseases,407,54,179,0.8195011337868481,0.7844490444977295
oral_diseases,407,54,180,0.7098072562358276,0.6739590285819991
oral_diseases,407,54,181,0.8149659863945578,0.7835281997270316
oral_diseases,407,54,182,0.6522108843537415,0.5876674570103478
oral_diseases,407,54,183,0.7791950113378684,0.7260659694288013
oral_diseases,407,54,184,0.7941043083900227,0.7623643559589388
oral_diseases,407,54,185,0.6720521541950113,0.6142422111616487
oral_diseases,407,54,186,0.7796485260770974,0.7615051791079053
oral_diseases,407,54,187,0.7762471655328799,0.724235339420425
oral_diseases,407,54,188,0.7959183673469388,0.7465737050077503
oral_diseases,407,54,189,0.710204081632653,0.6846672296452256
oral_diseases,407,54,190,0.7684807256235828,0.7478514358472238
oral_diseases,407,54,191,0.753798185941043,0.720097182863367
oral_diseases,407,54,192,0.6912698412698414,0.6542647390983525
oral_diseases,407,54,193,0.8068027210884353,0.7624072347313211
oral_diseases,407,54,194,0.7261904761904762,0.6791986273596373
oral_diseases,407,54,195,0.6827664399092971,0.6104856576414408
oral_diseases,407,54,196,0.7072562358276645,0.6825307747230214
oral_diseases,407,54,197,0.7411564625850339,0.6970194386138018
oral_diseases,407,54,198,0.7954648526077097,0.7473808117158668
oral_diseases,407,54,199,0.7018707482993197,0.6750752081735587
oral_diseases,407,109,0,0.8317085004778503,0.7907111773955733
oral_diseases,407,109,1,0.7116453206236487,0.66819677197202
oral_diseases,407,109,2,0.7215116153196649,0.6880822314749392
oral_diseases,407,109,3,0.6204027783362148,0.5710512770934354
oral_diseases,407,109,4,0.682630682011487,0.645685565390207
oral_diseases,407,109,5,0.7352189606059575,0.6994372867247705
oral_diseases,407,109,6,0.7539267234313675,0.7010569501913487
oral_diseases,407,109,7,0.740140355001036,0.6900198167460704
oral_diseases,407,109,8,0.7495190567945986,0.7204917521457082
oral_diseases,407,109,9,0.7771295268199293,0.7436856721749168
oral_diseases,407,109,10,0.7585784184855393,0.7001683348418478
oral_diseases,407,109,11,0.715638541025538,0.6687800345721182
oral_diseases,407,109,12,0.714754556588922,0.6677564040341043
oral_diseases,407,109,13,0.7350840722744748,0.7007234733511327
oral_diseases,407,109,14,0.7802336595293251,0.7341507369349626
oral_diseases,407,109,15,0.7299149766642027,0.7000264619990889
oral_diseases,407,109,16,0.6868527757072649,0.6449624688605086
oral_diseases,407,109,17,0.7605129004122813,0.7202535273588253
oral_diseases,407,109,18,0.7641281319299896,0.7320400408202618
oral_diseases,407,109,19,0.7174155565796433,0.679013066643798
oral_diseases,407,109,20,0.7309297513631877,0.6692342770133607
oral_diseases,407,109,21,0.7278643956662533,0.6884516646369743
oral_diseases,407,109,22,0.7805052532606712,0.753533184710684
oral_diseases,407,109,23,0.7617634687294129,0.7237339535035401
oral_diseases,407,109,24,0.7399114817071473,0.6902996447309301
oral_diseases,407,109,25,0.7273898701917278,0.6685106788851144
oral_diseases,407,109,26,0.6705429245676923,0.6066248922988452
oral_diseases,407,109,27,0.6817343647065008,0.6244076391068072
oral_diseases,407,109,28,0.6792012940619753,0.6337250994054406
oral_diseases,407,109,29,0.7655621468314967,0.7210198953101398
oral_diseases,407,109,30,0.744610729827448,0.7000318777874438
oral_diseases,407,109,31,0.7421383569990381,0.688211992092037
oral_diseases,407,109,32,0.7945719528149869,0.7647588744778442
oral_diseases,407,109,33,0.7588334266352842,0.7202644714637341
oral_diseases,407,109,34,0.7740451112355137,0.7317844820734782
oral_diseases,407,109,35,0.7988814590981773,0.7648167670640208
