epoch,train_loss,train_acc,bacc,per_class_recall,arm,dataset,fold,n_train,n_test
75,0.22946861386299133,0.9208191126279863,0.6622878141045766,"[0.9833795013850416, 0.527027027027027, 0.8140703517587939, 0.46153846153846156, 0.5254237288135594]",B0,aptos2019,4,2930,732
100,0.19713403284549713,0.932764505119454,0.6310672622810097,"[0.9833795013850416, 0.47297297297297297, 0.7889447236180904, 0.38461538461538464, 0.5254237288135594]",B0,aptos2019,4,2930,732
125,0.17412683367729187,0.9426621160409556,0.6219189566502921,"[0.9833795013850416, 0.47297297297297297, 0.7688442211055276, 0.358974358974359, 0.5254237288135594]",B0,aptos2019,4,2930,732
150,0.15586605668067932,0.9494880546075085,0.6232987369075104,"[0.9833795013850416, 0.47297297297297297, 0.7587939698492462, 0.358974358974359, 0.5423728813559322]",B0,aptos2019,4,2930,732
175,0.1408182829618454,0.9573378839590444,0.6227447202870118,"[0.9806094182825484, 0.47297297297297297, 0.7587939698492462, 0.358974358974359, 0.5423728813559322]",B0,aptos2019,4,2930,732
200,0.1281038075685501,0.9662116040955632,0.6217396951613836,"[0.9806094182825484, 0.47297297297297297, 0.7537688442211056, 0.358974358974359, 0.5423728813559322]",B0,aptos2019,4,2930,732
25,0.42237910628318787,0.8600204848071014,0.6342691235768376,"[0.9944598337950139, 0.527027027027027, 0.825, 0.3333333333333333, 0.4915254237288136]",B0,aptos2019,5,2929,733
50,0.2796359658241272,0.902697166268351,0.6547417500494641,"[0.9944598337950139, 0.6081081081081081, 0.795, 0.38461538461538464, 0.4915254237288136]",B0,aptos2019,5,2929,733
75,0.22708603739738464,0.9259132809832707,0.6350643594907176,"[0.9944598337950139, 0.5540540540540541, 0.785, 0.3333333333333333, 0.5084745762711864]",B0,aptos2019,5,2929,733
100,0.19567446410655975,0.9388869921474906,0.6353772316849458,"[0.9944598337950139, 0.5675675675675675, 0.79, 0.3333333333333333, 0.4915254237288136]",B0,aptos2019,5,2929,733
125,0.17305614054203033,0.9457152611812906,0.6268079492343073,"[0.9944598337950139, 0.5540540540540541, 0.795, 0.28205128205128205, 0.5084745762711864]",B0,aptos2019,5,2929,733
150,0.15495605766773224,0.9535677705701605,0.6166440721890744,"[0.9944598337950139, 0.5675675675675675, 0.765, 0.23076923076923078, 0.5254237288135594]",B0,aptos2019,5,2929,733
175,0.13986432552337646,0.9590303857972005,0.6261059549547272,"[0.997229916897507, 0.5675675675675675, 0.75, 0.2564102564102564, 0.559322033898305]",B0,aptos2019,5,2929,733
200,0.12703554332256317,0.9662000682826903,0.6216648776322939,"[0.997229916897507, 0.5540540540540541, 0.75, 0.23076923076923078, 0.576271186440678]",B0,aptos2019,5,2929,733
