variant,family,dataset,arm,base,n_folds,mean_base,mean_arm,mean_diff,sd,wins,ci_lo,ci_hi,ttest_p_nb,se_nb,mde_floor,mde_post,tost_p,equivalent,holm_p,sig_nb,sig_holm,passes_mde_gate,tost_significant,verdict_code,verdict,mean_diff_full,delta_delta_vs_full
conflict_excluded,aptos_w1,aptos2019,B2,B0,15,0.6397721564837303,0.6419071107064659,0.0021349542227355376,0.021396331027913145,8,-0.02368910976050286,0.02795901820597393,0.8617999461405323,0.012040388038919079,0.019,0.036275780392228875,0.08001734536168069,False,1.0,False,False,False,False,undetectable,검출 불가 (검정력 부족),0.00035650141390869785,0.0017784528088268397
conflict_excluded,aptos_w1,aptos2019,B3,B0,15,0.6397721564837303,0.6633793157860322,0.02360715930230175,0.014476165782853991,15,0.006135311866370161,0.04107900673823334,0.011689597445752521,0.008146193527941728,0.019,0.02454318967935352,0.6676634425381704,False,0.046758389783010085,True,True,True,False,gate_passed,완화 성공,0.01795024887602316,0.00565691042627859
conflict_excluded,aptos_w1,aptos2019,B4,B0,15,0.6397721564837303,0.6590536280904065,0.01928147160667614,0.022488475398367867,12,-0.007860743888836137,0.046423687102188416,0.1498677408587952,0.012654972006499355,0.019,0.03812742445622935,0.47776207967442247,False,0.44960322257638563,False,False,False,False,undetectable,검출 불가 (검정력 부족),0.019275398600259064,6.0730064170774756e-06
conflict_excluded,aptos_mixup,aptos2019,B5,B0,15,0.6397721564837303,0.6390289619322632,-0.0007431945514672004,0.020051024584388507,7,-0.02494355587141624,0.02345716676848184,0.948415430386579,0.011283341814958377,0.019,0.03399492013437045,0.05497936456360423,False,1.0,False,False,False,False,undetectable,검출 불가 (검정력 부족),-0.0016552426324812687,0.0009120480810140682
conflict_excluded,aptos_mixup,aptos2019,B5s,B0,15,0.6397721564837303,0.6405325412463366,0.0007603847626061071,0.017877250211166963,7,-0.020816363732042945,0.022337133257255157,0.9408193068509809,0.010060090645003085,0.019,0.030309458281945055,0.03824839112867442,True,1.0,False,False,False,True,undetectable,검출 불가 (검정력 부족 · TOST 유의),0.0005720958116253394,0.00018828895098076765
conflict_excluded,aptos_d2,aptos2019,B1d,B0d,15,0.6168361556811072,0.620853941818577,0.004017786137469711,0.009809078831497486,11,-0.00782117256207358,0.015856744837013,0.47868720841356716,0.0055198769958036045,0.019,0.01663051431935942,0.005874256017324292,True,0.8667071686906374,False,False,False,True,equivalent_within_prespecified_margin,등가 (TOST · 사후 MDE ≤ 하한),0.0038582719254135257,0.00015951421205618503
conflict_excluded,aptos_d2,aptos2019,B3d,B0d,15,0.6168361556811072,0.6271804872431709,0.010344331562063536,0.016675709655643425,13,-0.009782230910327004,0.030470894034454077,0.2889023895635458,0.009383946005339,0.019,0.02827234167220172,0.160475167365879,False,0.8667071686906374,False,False,False,False,undetectable,검출 불가 (검정력 부족),0.007416021244600679,0.002928310317462857
conflict_excluded,aptos_d2,aptos2019,B4d,B0d,15,0.6168361556811072,0.6264684349490217,0.009632279267914457,0.01772359226045094,12,-0.0117590134705282,0.031023572006357115,0.35054432466369984,0.009973622486070956,0.019,0.030048943426925163,0.15809323233660402,False,0.8667071686906374,False,False,False,False,undetectable,검출 불가 (검정력 부족),0.008805242612504113,0.0008270366554103438
full,oral_w1,oral_diseases,A1,A0,15,0.7438928663928664,0.739904043325096,-0.003988823067770457,0.02993775349659571,7,-0.0401218619893463,0.032144215853805384,0.8162654961368381,0.01684691495201997,0.032,0.050757084000167985,0.17901632668334452,False,1.0,False,False,False,False,undetectable,검출 불가 (검정력 부족),-0.003988823067770457,0.0
full,oral_w1,oral_diseases,A2,A0,15,0.7438928663928664,0.7470267743951955,0.003133908002329059,0.01302350416528001,4,-0.012584665635899283,0.0188524816405574,0.6754327424381351,0.007328735172954754,0.032,0.022080317247879767,0.018626873757097817,True,1.0,False,False,False,True,equivalent_within_prespecified_margin,등가 (TOST · 사후 MDE ≤ 하한),0.003133908002329059,0.0
full,oral_w1,oral_diseases,A3,A0,15,0.7438928663928664,0.7333181535813115,-0.010574712811554931,0.03251963056982425,7,-0.049823919577464834,0.02867449395435497,0.5725371371576791,0.018299818339516882,0.032,0.05513445157715971,0.3072774746047976,False,1.0,False,False,False,False,undetectable,검출 불가 (검정력 부족),-0.010574712811554931,0.0
full,oral_w1,oral_diseases,A4,A0,15,0.7438928663928664,0.7344494345810136,-0.009443431811852905,0.02917708400955642,5,-0.044658389148423676,0.025771525524717863,0.5743127833475061,0.01641886232087633,0.032,0.04946742928194044,0.2653221845335456,False,1.0,False,False,False,False,undetectable,검출 불가 (검정력 부족),-0.009443431811852905,0.0
full,oral_mixup,oral_diseases,A5,A0,15,0.7438928663928664,0.7071168159326054,-0.036776050460260994,0.03991709172682694,2,-0.0849535407708002,0.011401439850278208,0.12385882139756972,0.022462602263403054,0.032,0.06767625961150876,0.766241984702859,False,0.24771764279513944,False,False,False,False,undetectable,검출 불가 (검정력 부족),-0.036776050460260994,0.0
full,oral_mixup,oral_diseases,A5s,A0,15,0.7438928663928664,0.7383364101785155,-0.005556456214350977,0.033623416048353096,7,-0.046137864598571623,0.03502495216986967,0.7733210043754614,0.01892095312453556,0.032,0.05700583221559756,0.22895945232284684,False,0.7733210043754614,False,False,False,False,undetectable,검출 불가 (검정력 부족),-0.005556456214350977,0.0
full,oral_d2,oral_diseases,A2d,A0d,15,0.6974539495592127,0.6955247822353086,-0.0019291673239041796,0.012306558445285666,4,-0.016782431291914326,0.012924096644105968,0.7846482330715068,0.006925287279934563,0.032,0.020864792705016132,0.010298500154202412,True,0.7846482330715068,False,False,False,True,equivalent_within_prespecified_margin,등가 (TOST · 사후 MDE ≤ 하한),-0.0019291673239041796,0.0
leakfree,oral_w1,oral_diseases,A1,A0,15,0.7283383209334117,0.7236247454447365,-0.0047135754886749705,0.032913606788689695,7,-0.04443828747417522,0.035011136496825274,0.802815649406158,0.018521521142070164,0.032,0.055802406974591115,0.2115118118905248,False,1.0,False,False,False,False,undetectable,검출 불가 (검정력 부족),-0.003988823067770457,-0.0007247524209045139
leakfree,oral_w1,oral_diseases,A2,A0,15,0.7283383209334117,0.7321399000445883,0.0038015791111766597,0.014495102668595604,4,-0.013693123988578635,0.021296282210931956,0.6483412315343193,0.00815684990880816,0.032,0.02457529566554243,0.033494964396603336,True,1.0,False,False,False,True,equivalent_within_prespecified_margin,등가 (TOST · 사후 MDE ≤ 하한),0.003133908002329059,0.0006676711088476005
leakfree,oral_w1,oral_diseases,A3,A0,15,0.7283383209334117,0.7185496515295277,-0.009788669403883898,0.03742729985226833,7,-0.05496113307739506,0.03538379426962726,0.6492451894063711,0.02106151811179198,0.032,0.0634550151773104,0.3176462628310608,False,1.0,False,False,False,False,undetectable,검출 불가 (검정력 부족),-0.010574712811554931,0.0007860434076710325
leakfree,oral_w1,oral_diseases,A4,A0,15,0.7283383209334117,0.7180646442112607,-0.010273676722150819,0.03215843145843281,5,-0.049086938234124765,0.028539584789823123,0.5792201535319975,0.018096560245650598,0.032,0.05452206716295288,0.29969197085845184,False,1.0,False,False,False,False,undetectable,검출 불가 (검정력 부족),-0.009443431811852905,-0.0008302449102979143
leakfree,oral_mixup,oral_diseases,A5,A0,15,0.7283383209334117,0.6879493308794502,-0.040388990053961314,0.04243463667824437,2,-0.09160500326925777,0.010827023161335138,0.11289387780732343,0.023879303943749226,0.032,0.07194455718393095,0.7962155212223153,False,0.22578775561464687,False,False,False,False,undetectable,검출 불가 (검정력 부족),-0.036776050460260994,-0.0036129395937003206
leakfree,oral_mixup,oral_diseases,A5s,A0,15,0.7283383209334117,0.7217165939700217,-0.00662172696338994,0.035296552587077666,7,-0.04922250890153206,0.035979054974752185,0.7437888528945609,0.01986247964803423,0.032,0.05984250237020519,0.2557839078794833,False,0.7437888528945609,False,False,False,False,undetectable,검출 불가 (검정력 부족),-0.005556456214350977,-0.0010652707490389638
leakfree,oral_d2,oral_diseases,A2d,A0d,15,0.67579133047731,0.6736862720796821,-0.002105058397628068,0.013216221112993561,4,-0.018056229614474756,0.013846112819218619,0.7812843465789067,0.0074371830572728705,0.032,0.02240705353103024,0.015253822206572641,True,0.7812843465789067,False,False,False,True,equivalent_within_prespecified_margin,등가 (TOST · 사후 MDE ≤ 하한),-0.0019291673239041796,-0.0001758910737238884
conflict_excluded,oral_w1,oral_diseases,A1,A0,15,0.7283383209334117,0.7236247454447365,-0.0047135754886749705,0.032913606788689695,7,-0.04443828747417522,0.035011136496825274,0.802815649406158,0.018521521142070164,0.032,0.055802406974591115,0.2115118118905248,False,1.0,False,False,False,False,undetectable,검출 불가 (검정력 부족),-0.003988823067770457,-0.0007247524209045139
conflict_excluded,oral_w1,oral_diseases,A2,A0,15,0.7283383209334117,0.7321399000445883,0.0038015791111766597,0.014495102668595604,4,-0.013693123988578635,0.021296282210931956,0.6483412315343193,0.00815684990880816,0.032,0.02457529566554243,0.033494964396603336,True,1.0,False,False,False,True,equivalent_within_prespecified_margin,등가 (TOST · 사후 MDE ≤ 하한),0.003133908002329059,0.0006676711088476005
conflict_excluded,oral_w1,oral_diseases,A3,A0,15,0.7283383209334117,0.7185496515295277,-0.009788669403883898,0.03742729985226833,7,-0.05496113307739506,0.03538379426962726,0.6492451894063711,0.02106151811179198,0.032,0.0634550151773104,0.3176462628310608,False,1.0,False,False,False,False,undetectable,검출 불가 (검정력 부족),-0.010574712811554931,0.0007860434076710325
conflict_excluded,oral_w1,oral_diseases,A4,A0,15,0.7283383209334117,0.7180646442112607,-0.010273676722150819,0.03215843145843281,5,-0.049086938234124765,0.028539584789823123,0.5792201535319975,0.018096560245650598,0.032,0.05452206716295288,0.29969197085845184,False,1.0,False,False,False,False,undetectable,검출 불가 (검정력 부족),-0.009443431811852905,-0.0008302449102979143
conflict_excluded,oral_mixup,oral_diseases,A5,A0,15,0.7283383209334117,0.6879493308794502,-0.040388990053961314,0.04243463667824437,2,-0.09160500326925777,0.010827023161335138,0.11289387780732343,0.023879303943749226,0.032,0.07194455718393095,0.7962155212223153,False,0.22578775561464687,False,False,False,False,undetectable,검출 불가 (검정력 부족),-0.036776050460260994,-0.0036129395937003206
conflict_excluded,oral_mixup,oral_diseases,A5s,A0,15,0.7283383209334117,0.7217165939700217,-0.00662172696338994,0.035296552587077666,7,-0.04922250890153206,0.035979054974752185,0.7437888528945609,0.01986247964803423,0.032,0.05984250237020519,0.2557839078794833,False,0.7437888528945609,False,False,False,False,undetectable,검출 불가 (검정력 부족),-0.005556456214350977,-0.0010652707490389638
conflict_excluded,oral_d2,oral_diseases,A2d,A0d,15,0.67579133047731,0.6736862720796821,-0.002105058397628068,0.013216221112993561,4,-0.018056229614474756,0.013846112819218619,0.7812843465789067,0.0074371830572728705,0.032,0.02240705353103024,0.015253822206572641,True,0.7812843465789067,False,False,False,True,equivalent_within_prespecified_margin,등가 (TOST · 사후 MDE ≤ 하한),-0.0019291673239041796,-0.0001758910737238884
