dataset,arm,target_prior,target_prior_source,target_assumed,method,source_prior,class_names,bacc,bacc_weighted,acc,acc_weighted,em_prior_l1_err,em_min_prior,em_degenerate,changed_vs_raw,changed_vs_argmax_p,rec_0,rec_1,rec_2,rec_3,rec_4,rec_5,rec_6,recw_0,recw_1,recw_2,recw_3,recw_4,recw_5,recw_6,n_folds,bacc_sd,exploratory
aptos2019,B4,ddr_like,가정 · DDR 등급 분포로 알려진 값(ungradable 1151 제외) — 미검증,True,em,train,no_dr|mild|moderate|severe|proliferative,0.6594573122182442,0.6594573122182442,0.7720741171471384,0.766915590085091,0.33181702931413215,0.0837927039198604,0.0,0.05843689506159034,0.05051824351356926,0.9772853185595568,0.7216216216216217,0.5332462311557788,0.4945119208277103,0.5706214689265536,,,0.9772853185595568,0.7216216216216217,0.5332462311557788,0.4945119208277102,0.5706214689265537,,,15,0.029585347047265453,탐색적/exploratory
aptos2019,B4,ddr_like,가정 · DDR 등급 분포로 알려진 값(ungradable 1151 제외) — 미검증,True,em,uniform,no_dr|mild|moderate|severe|proliferative,0.5900405108767879,0.5900405108767879,0.8167671842889341,0.8652666867399221,0.0466966084800889,0.024972615023795313,0.0,0.13781077837168906,0.13926673077926627,0.9876269621421976,0.45495495495495497,0.8732244556113903,0.19032838506522717,0.4440677966101695,,,0.9876269621421976,0.45495495495495497,0.8732244556113903,0.19032838506522717,0.44406779661016954,,,15,0.018726725375211833,탐색적/exploratory
aptos2019,B4,ddr_like,가정 · DDR 등급 분포로 알려진 값(ungradable 1151 제외) — 미검증,True,oracle,train,no_dr|mild|moderate|severe|proliferative,0.6400216120763139,0.6400216120763139,0.8123078796372917,0.8389370770038035,,,,0.07054448494969148,0.06799513937035463,0.982825484764543,0.5963963963963964,0.7577671691792295,0.30944669365721994,0.5536723163841809,,,0.9828254847645429,0.5963963963963964,0.7577671691792295,0.30944669365721994,0.5536723163841809,,,15,0.026888242890493283,탐색적/exploratory
aptos2019,B4,ddr_like,가정 · DDR 등급 분포로 알려진 값(ungradable 1151 제외) — 미검증,True,oracle,uniform,no_dr|mild|moderate|severe|proliferative,0.587718006289602,0.5877180062896019,0.8174028433192435,0.8673911089076377,,,,0.14272632617409306,0.14427335326290885,0.9881809787626962,0.44684684684684683,0.8772227805695143,0.16419253261358524,0.46214689265536724,,,0.9881809787626962,0.4468468468468469,0.8772227805695142,0.16419253261358524,0.46214689265536724,,,15,0.02003894921368739,탐색적/exploratory
aptos2019,B4,ddr_like,가정 · DDR 등급 분포로 알려진 값(ungradable 1151 제외) — 미검증,True,raw,none,no_dr|mild|moderate|severe|proliferative,0.6649790345496154,0.6649790345496153,0.7974701615488411,0.8046111275643931,,,,0.0,0.02102756593285075,0.9776546629732226,0.6990990990990991,0.6523333333333333,0.47377417903733693,0.5220338983050847,,,0.9776546629732225,0.6990990990990991,0.6523333333333333,0.4737741790373369,0.5220338983050847,,,15,0.025117442908815107,탐색적/exploratory
aptos2019,B4,idrid_like,가정 · IDRiD 공개 등급 분포로 알려진 값(413 train + 103 test) — 미검증,True,argmax_p,none,no_dr|mild|moderate|severe|proliferative,0.661779213714464,0.661779213714464,0.797014788142648,0.7066265646127707,,,,0.02102756593285075,0.0,0.9778393351800554,0.709009009009009,0.6486700167504188,0.42874493927125507,0.5446327683615819,,,0.9778393351800555,0.7090090090090089,0.6486700167504188,0.42874493927125507,0.544632768361582,,,15,0.026986291798856917,탐색적/exploratory
aptos2019,B4,idrid_like,가정 · IDRiD 공개 등급 분포로 알려진 값(413 train + 103 test) — 미검증,True,em,train,no_dr|mild|moderate|severe|proliferative,0.656558302394792,0.656558302394792,0.7472230298421786,0.6666527311848003,0.30830423584712646,0.10091576595360015,0.0,0.10158430185603491,0.09994620008598047,0.9735918744228994,0.7054054054054054,0.4308190954773869,0.5707152496626181,0.6022598870056497,,,0.9735918744228994,0.7054054054054054,0.4308190954773869,0.5707152496626181,0.6022598870056498,,,15,0.02479863720058964,탐색적/exploratory
aptos2019,B4,idrid_like,가정 · IDRiD 공개 등급 분포로 알려진 값(413 train + 103 test) — 미검증,True,em,uniform,no_dr|mild|moderate|severe|proliferative,0.6148302833371009,0.6148302833371009,0.8137632107987486,0.7312933007558854,0.17081953055195054,0.04772846950396952,0.0,0.10895700231352054,0.11013960642815786,0.9865189289012003,0.43513513513513513,0.8305175879396985,0.33045434098065674,0.4915254237288135,,,0.9865189289012004,0.4351351351351351,0.8305175879396985,0.33045434098065674,0.49152542372881364,,,15,0.022936204090629412,탐색적/exploratory
aptos2019,B4,idrid_like,가정 · IDRiD 공개 등급 분포로 알려진 값(413 train + 103 test) — 미검증,True,oracle,train,no_dr|mild|moderate|severe|proliferative,0.6588115439583153,0.6588115439583153,0.7844538128359388,0.7146114898571623,,,,0.06899720936242754,0.07191122641439104,0.9802400738688828,0.5963963963963964,0.6156348408710218,0.5616734143049932,0.5401129943502825,,,0.9802400738688828,0.5963963963963963,0.6156348408710218,0.5616734143049933,0.5401129943502826,,,15,0.025511702060244855,탐색적/exploratory
aptos2019,B4,idrid_like,가정 · IDRiD 공개 등급 분포로 알려진 값(413 train + 103 test) — 미검증,True,oracle,uniform,no_dr|mild|moderate|severe|proliferative,0.6224575569740411,0.6224575569740411,0.8094846887681186,0.73168170011797,,,,0.09357457562677521,0.09639577850836321,0.9868882733148662,0.45765765765765765,0.7984790619765494,0.3958164642375169,0.4734463276836158,,,0.9868882733148662,0.4576576576576576,0.7984790619765494,0.3958164642375169,0.4734463276836159,,,15,0.02383112620488888,탐색적/exploratory
