metric,variant,family,arm,base,n_folds,mean_base,mean_arm,mean_diff,sd,se_nb,ci_lo,ci_hi,ttest_p_nb,tost_p,improves,holm_p,sig_holm
classmean_mae,leakfree,aptos_w1,B4,B0,15,0.48130037252725005,0.454087731625612,-0.027212640901638052,0.035414884627928536,0.01992906880705514,-0.06995624238160786,0.01553096057833176,0.19364309098953433,0.6385903049372419,True,0.580929272968603,False
classmean_mae,leakfree,aptos_mixup,B5,B0,15,0.48130037252725005,0.49205485955697126,0.0107544870297213,0.039590647259177915,0.022278901700043617,-0.03702900475796158,0.05853797881740418,0.6367549006709602,0.3422194743259257,False,1.0,False
classmean_mae,leakfree,aptos_mixup,B5s,B0,15,0.48130037252725005,0.48657996810710863,0.005279595579858579,0.03358519654518882,0.018899445808718086,-0.0352556841997039,0.04581487535942107,0.7840592944918549,0.22450797987788274,False,1.0,False
classmean_mae,leakfree,aptos_d2,B1d,B0d,15,0.5068887947642153,0.5034024076885152,-0.003486387075700111,0.017718437533878285,0.009970721759395514,-0.024871458374183992,0.017898684222783772,0.7317961079545539,0.059956109535355594,True,0.816306541119487,False
classmean_mae,leakfree,aptos_d2,B3d,B0d,15,0.5068887947642153,0.45804232713534887,-0.0488464676288664,0.029548484948870173,0.016627861303997443,-0.08450968320222368,-0.01318325205550911,0.010807282832031164,0.9476390924015378,True,0.03242184849609349,True
classmean_mae,leakfree,aptos_d2,B4d,B0d,15,0.5068887947642153,0.49389823117508425,-0.01299056358913101,0.027071215395890993,0.015233823856364157,-0.04566386620234552,0.019682739024083497,0.4081532705597435,0.32624635636187327,True,0.816306541119487,False
classmean_mae,conflict_excluded,aptos_w1,B1,B0,15,0.4794459413786029,0.4822112441593437,0.0027653027807405675,0.017948806291949285,0.010100357500943919,-0.018897809530494688,0.02442841509197582,0.7882495152734718,0.05500906676660443,False,0.8235183046458994,False
classmean_mae,conflict_excluded,aptos_w1,B2,B0,15,0.4794459413786029,0.4636115293583831,-0.01583441202021985,0.033259118534516054,0.018715951462218352,-0.05597613556810152,0.024307311527661826,0.4117591523229497,0.4135427038543369,True,0.8235183046458994,False
classmean_mae,conflict_excluded,aptos_w1,B3,B0,15,0.4794459413786029,0.4150429641249453,-0.0644029772536577,0.02879746358380144,0.016205237974364458,-0.09915975593561467,-0.02964619857170074,0.0013843597856410552,0.9920230387488623,True,0.005537439142564221,True
classmean_mae,conflict_excluded,aptos_w1,B4,B0,15,0.4794459413786029,0.4524294719240686,-0.02701646945453432,0.03533735579585643,0.01988544089621685,-0.06966649837211651,0.01563355946304787,0.19576040468919076,0.6352695476570407,True,0.5872812140675723,False
classmean_mae,conflict_excluded,aptos_mixup,B5,B0,15,0.4794459413786029,0.4899818257153431,0.010535884336740112,0.04014345684772561,0.022589985032464774,-0.03791481484115278,0.058986583514633,0.6481062441314409,0.3408040158075234,False,1.0,False
classmean_mae,conflict_excluded,aptos_mixup,B5s,B0,15,0.4794459413786029,0.48430171753949713,0.004855776160894162,0.03333785540352665,0.018760259173415207,-0.03538097797613464,0.045092530297922956,0.7995307681218998,0.21651188004961255,False,1.0,False
classmean_mae,conflict_excluded,aptos_d2,B1d,B0d,15,0.5051522086608925,0.5009841456401768,-0.004168063020715803,0.01750140069213007,0.009848588306235674,-0.02529118411471303,0.01695505807328142,0.6785681666401879,0.06512454692890039,True,0.832668600624792,False
classmean_mae,conflict_excluded,aptos_d2,B3d,B0d,15,0.5051522086608925,0.45657781373441314,-0.048574394926479365,0.030293724853771565,0.017047231224260596,-0.08513706952213021,-0.012011720330828514,0.012865120802094279,0.9420599786039133,True,0.038595362406282835,True
classmean_mae,conflict_excluded,aptos_d2,B4d,B0d,15,0.5051522086608925,0.4916192977586231,-0.013532910902269416,0.028711863394735557,0.01615706805723177,-0.04818637538720209,0.021120553582663265,0.416334300312396,0.3475015851962034,True,0.832668600624792,False
sample_mae,full,aptos_w1,B1,B0,15,0.24831977774298805,0.2778079703392252,0.029488192596237243,0.012053350355835692,0.006782799128690607,0.01494053531820115,0.044035849874273336,0.0006692182900056754,0.9081915013657353,False,0.0026768731600227014,True
sample_mae,full,aptos_w1,B2,B0,15,0.24831977774298805,0.23411833993096715,-0.01420143781202086,0.016552851370789597,0.009314809786540259,-0.03417971784267888,0.0057768422186371664,0.14962478489743647,0.27180672509736004,True,0.2298916532119782,False
sample_mae,full,aptos_w1,B3,B0,15,0.24831977774298805,0.28227137521526185,0.03395159747227378,0.01910788223511662,0.010752605968408015,0.010889551330806744,0.057013643613740825,0.0069863813556310895,0.8922852112952872,False,0.020959144066893268,True
sample_mae,full,aptos_w1,B4,B0,15,0.24831977774298805,0.26579456136296425,0.017474783619976297,0.018474276412504542,0.010396056055340419,-0.0048225390143651105,0.03977210625431771,0.1149458266059891,0.4058022325202693,False,0.2298916532119782,False
sample_mae,full,aptos_mixup,B5,B0,15,0.24831977774298805,0.2541448298655375,0.005825052122549503,0.014581790315444012,0.008205631772618079,-0.011774277669317126,0.02342438191441613,0.48943165801482824,0.05303438838003902,False,0.9788633160296565,False
sample_mae,full,aptos_mixup,B5s,B0,15,0.24831977774298805,0.2521445416073377,0.003824763864349671,0.011699890262384093,0.006583896023486363,-0.010296288681458845,0.017945816410158185,0.5705238761651205,0.013839936120801699,False,0.9788633160296565,False
sample_mae,full,aptos_d2,B1d,B0d,15,0.2727117641650328,0.28518141629205523,0.012469652127022458,0.010385617154264132,0.00584431323285574,-6.515309482839869e-05,0.025004457348873313,0.0510475554368462,0.10923108029211248,False,0.1020951108736924,False
sample_mae,full,aptos_d2,B3d,B0d,15,0.2727117641650328,0.322864590710631,0.050152826545598224,0.018651540078007293,0.010495807892002038,0.027641557499889627,0.07266409559130682,0.0002942972591636768,0.9938582373521677,False,0.0008828917774910303,True
sample_mae,full,aptos_d2,B4d,B0d,15,0.2727117641650328,0.28163186445900645,0.008920100293973653,0.01099183387776691,0.006185450438909122,-0.004346371466173969,0.022186572054121275,0.17126753413599596,0.047441866265943634,False,0.17126753413599596,False
sample_mae,leakfree,aptos_w1,B1,B0,15,0.24480962583353938,0.2760605677964668,0.031250941962927443,0.012091270785811676,0.006804138146624002,0.016657517043294566,0.04584436688256032,0.00041804995168428095,0.9397702729562297,False,0.0016721998067371238,True
sample_mae,leakfree,aptos_w1,B2,B0,15,0.24480962583353938,0.22865585700660887,-0.01615376882693058,0.018219844389417837,0.010252879158166103,-0.03814400755819514,0.00583646990433398,0.1374548203038856,0.3565904329199683,True,0.2749096406077712,False
