dataset,arm,mode,fold,bacc,per_class_recall,n_train,n_test,exploratory
aptos2019,B0,full,10,0.6985592875123838,"[0.9916897506925207, 0.7837837837837838, 0.56, 0.5641025641025641, 0.5932203389830508]",2929,733,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,offset,10,0.6961990570713517,"[0.9833795013850416, 0.7027027027027027, 0.595, 0.5897435897435898, 0.6101694915254238]",2929,733,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,scale,10,0.6865072574081917,"[0.9944598337950139, 0.7027027027027027, 0.595, 0.5641025641025641, 0.576271186440678]",2929,733,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,none,11,0.6237506041183678,"[0.9750692520775623, 0.6216216216216216, 0.765, 0.3333333333333333, 0.423728813559322]",2929,733,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,full,11,0.6442132745667183,"[0.9695290858725761, 0.7567567567567568, 0.49, 0.5641025641025641, 0.4406779661016949]",2929,733,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,offset,11,0.6217413410947848,"[0.9695290858725761, 0.7432432432432432, 0.545, 0.41025641025641024, 0.4406779661016949]",2929,733,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,scale,11,0.6374698441556979,"[0.9833795013850416, 0.6891891891891891, 0.51, 0.5641025641025641, 0.4406779661016949]",2929,733,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,none,12,0.6377742198276025,"[0.9833795013850416, 0.6891891891891891, 0.775, 0.3684210526315789, 0.3728813559322034]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,full,12,0.6285693834122398,"[0.9833795013850416, 0.7702702702702703, 0.49, 0.5263157894736842, 0.3728813559322034]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,offset,12,0.6514912919398576,"[0.9833795013850416, 0.7972972972972973, 0.57, 0.5, 0.4067796610169492]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,scale,12,0.6294612753041318,"[0.9833795013850416, 0.7297297297297297, 0.535, 0.5263157894736842, 0.3728813559322034]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,none,13,0.668620569675267,"[0.9806094182825484, 0.6486486486486487, 0.82, 0.3684210526315789, 0.5254237288135594]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,full,13,0.6964088378720991,"[0.9806094182825484, 0.7162162162162162, 0.63, 0.5789473684210527, 0.576271186440678]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,offset,13,0.6829166614851859,"[0.9806094182825484, 0.7027027027027027, 0.655, 0.5, 0.576271186440678]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,scale,13,0.691464915876015,"[0.9833795013850416, 0.6756756756756757, 0.66, 0.5789473684210527, 0.559322033898305]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,none,14,0.6603350055989561,"[0.9806094182825484, 0.5675675675675675, 0.7839195979899497, 0.41025641025641024, 0.559322033898305]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,full,14,0.6832346329638651,"[0.9750692520775623, 0.6891891891891891, 0.49246231155778897, 0.6153846153846154, 0.6440677966101694]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,offset,14,0.6619612528965152,"[0.9750692520775623, 0.6351351351351351, 0.542713567839196, 0.5128205128205128, 0.6440677966101694]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,scale,14,0.6859724366788539,"[0.9806094182825484, 0.6621621621621622, 0.5276381909547738, 0.6153846153846154, 0.6440677966101694]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B1,none,0,0.653690343902936,"[0.9806094182825484, 0.6621621621621622, 0.69, 0.41025641025641024, 0.5254237288135594]",2929,733,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B1,full,0,0.7059429602741965,"[0.9806094182825484, 0.7837837837837838, 0.505, 0.717948717948718, 0.5423728813559322]",2929,733,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B1,offset,0,0.6780451404428587,"[0.9833795013850416, 0.7297297297297297, 0.545, 0.5897435897435898, 0.5423728813559322]",2929,733,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
