arm,dataset,fold,n_train,n_val,n_test,best_val_bacc,epochs_run,bacc,mcc,macro_mae,classmean_mae,per_class_recall,image_root,dp_on,lp,blocks,aug,std,wce,train_ce_best,bmix,alpha,split,splits_sha256
w16_ft0,aptos2019,12,2637,293,732,0.6272222222222222,40,0.5850769202462239,0.7088353479005208,0.2609289617486339,0.5635837553596603,"[0.9778393351800554, 0.5675675675675675, 0.855, 0.23684210526315788, 0.288135593220339]",/home/junkim/paper_ajou_dev/PanDerm/data/aptos2019_rs256/,True,False,[],,,,,,,,
w16_ft0,aptos2019,13,2637,293,732,0.6219444444444444,32,0.5885468484118654,0.6961703427418505,0.2718579234972678,0.5566940549169292,"[0.9667590027700831, 0.5675675675675675, 0.825, 0.21052631578947367, 0.3728813559322034]",/home/junkim/paper_ajou_dev/PanDerm/data/aptos2019_rs256/,True,False,[],,,,,,,,
w16_ft0,aptos2019,14,2637,293,732,0.6152777777777777,32,0.5641258914961103,0.690801044095074,0.2896174863387978,0.6200828296174741,"[0.9889196675900277, 0.3783783783783784, 0.8492462311557789, 0.28205128205128205, 0.3220338983050847]",/home/junkim/paper_ajou_dev/PanDerm/data/aptos2019_rs256/,True,False,[],,,,,,,,
w16_ft0,oral_diseases,0,370,42,104,0.8688775510204081,25,0.6035479871006186,0.5887982172481047,0.6730769230769231,0.7137551045445782,"[0.8125, 0.8666666666666667, 0.25, 0.6666666666666666, 0.2727272727272727, 0.8947368421052632, 0.46153846153846156]",/home/junkim/paper_ajou_dev/PanDerm/data/Oral_Diseases/,True,False,[],,,,,,,,
w16_ft0,oral_diseases,1,371,42,103,0.6801020408163266,30,0.8035999088630668,0.7438937712009814,0.3786407766990291,0.3200425305688463,"[1.0, 1.0, 1.0, 0.5, 0.8181818181818182, 0.47368421052631576, 0.8333333333333334]",/home/junkim/paper_ajou_dev/PanDerm/data/Oral_Diseases/,True,False,[],,,,,,,,
w16_ft0,oral_diseases,2,371,42,103,0.7010204081632653,30,0.7593937495253285,0.7384673689802735,0.3398058252427184,0.3640255942887522,"[0.9375, 1.0, 0.8333333333333334, 0.7777777777777778, 0.36363636363636365, 0.7368421052631579, 0.6666666666666666]",/home/junkim/paper_ajou_dev/PanDerm/data/Oral_Diseases/,True,False,[],,,,,,,,
w16_ft0,oral_diseases,3,371,42,103,0.6852040816326531,31,0.7053058053058053,0.6717436718835139,0.5339805825242718,0.5442668442668442,"[0.8, 1.0, 0.5384615384615384, 0.8333333333333334, 0.36363636363636365, 0.5555555555555556, 0.8461538461538461]",/home/junkim/paper_ajou_dev/PanDerm/data/Oral_Diseases/,True,False,[],,,,,,,,
w16_ft0,oral_diseases,4,371,42,103,0.7568027210884355,22,0.68079332947754,0.6375593539659997,0.6699029126213593,0.6566191118822698,"[0.625, 1.0, 0.75, 0.6666666666666666, 0.4, 0.631578947368421, 0.6923076923076923]",/home/junkim/paper_ajou_dev/PanDerm/data/Oral_Diseases/,True,False,[],,,,,,,,
w16_ft0,oral_diseases,5,370,42,104,0.7816326530612245,30,0.8177020348072981,0.7861775860491325,0.3076923076923077,0.2877699785594522,"[0.875, 1.0, 0.8333333333333334, 0.6666666666666666, 0.6363636363636364, 0.7894736842105263, 0.9230769230769231]",/home/junkim/paper_ajou_dev/PanDerm/data/Oral_Diseases/,True,False,[],,,,,,,,
w16_ft0,oral_diseases,6,371,42,103,0.6923469387755102,31,0.7847934229513177,0.7651185701625134,0.4174757281553398,0.4230177717019822,"[0.875, 1.0, 0.6666666666666666, 0.8888888888888888, 0.5454545454545454, 0.6842105263157895, 0.8333333333333334]",/home/junkim/paper_ajou_dev/PanDerm/data/Oral_Diseases/,True,False,[],,,,,,,,
w16_ft0,oral_diseases,7,371,42,103,0.8127551020408165,34,0.7182140958456749,0.6928796795773381,0.3980582524271844,0.4083589655958076,"[0.875, 0.9333333333333333, 0.5833333333333334, 0.7777777777777778, 0.45454545454545453, 0.7368421052631579, 0.6666666666666666]",/home/junkim/paper_ajou_dev/PanDerm/data/Oral_Diseases/,True,False,[],,,,,,,,
w16_ft0,oral_diseases,8,371,42,103,0.7841836734693878,22,0.667865467865468,0.6260899837194219,0.7087378640776699,0.7072705072705073,"[0.7333333333333333, 1.0, 0.46153846153846156, 0.7222222222222222, 0.45454545454545453, 0.6111111111111112, 0.6923076923076923]",/home/junkim/paper_ajou_dev/PanDerm/data/Oral_Diseases/,True,False,[],,,,,,,,
w16_ft0,oral_diseases,9,371,42,103,0.6784013605442177,27,0.7105343486922434,0.66937520433387,0.4757281553398058,0.4907878671036565,"[0.875, 0.9333333333333333, 0.8333333333333334, 0.5555555555555556, 0.4, 0.6842105263157895, 0.6923076923076923]",/home/junkim/paper_ajou_dev/PanDerm/data/Oral_Diseases/,True,False,[],,,,,,,,
w16_ft0,oral_diseases,10,370,42,104,0.7377551020408164,22,0.6723612644665276,0.6306800995251098,0.4615384615384615,0.453213088081509,"[0.75, 1.0, 0.6666666666666666, 0.4444444444444444, 0.36363636363636365, 0.7894736842105263, 0.6923076923076923]",/home/junkim/paper_ajou_dev/PanDerm/data/Oral_Diseases/,True,False,[],,,,,,,,
w16_ft0,oral_diseases,11,371,42,103,0.6408163265306123,27,0.6735019366598314,0.6355791655660996,0.6310679611650486,0.6417226779068885,"[0.75, 1.0, 0.75, 0.6666666666666666, 0.36363636363636365, 0.6842105263157895, 0.5]",/home/junkim/paper_ajou_dev/PanDerm/data/Oral_Diseases/,True,False,[],,,,,,,,
w16_ft0,oral_diseases,12,371,42,103,0.6897959183673469,20,0.7034679501784765,0.6506532331281117,0.6407766990291263,0.6390265436318068,"[0.8125, 1.0, 0.6666666666666666, 0.5555555555555556, 0.7272727272727273, 0.5789473684210527, 0.5833333333333334]",/home/junkim/paper_ajou_dev/PanDerm/data/Oral_Diseases/,True,False,[],,,,,,,,
w16_ft0,oral_diseases,13,371,42,103,0.7173469387755104,15,0.7202908202908203,0.6896441277643037,0.5048543689320388,0.5015651015651016,"[0.8, 1.0, 0.7692307692307693, 0.5, 0.5454545454545454, 0.8888888888888888, 0.5384615384615384]",/home/junkim/paper_ajou_dev/PanDerm/data/Oral_Diseases/,True,False,[],,,,,,,,
w16_ft0,oral_diseases,14,371,42,103,0.6865646258503403,32,0.7867135788188421,0.7615221074040228,0.4077669902912621,0.4015174153332048,"[0.75, 1.0, 0.6666666666666666, 0.7777777777777778, 0.6, 0.7894736842105263, 0.9230769230769231]",/home/junkim/paper_ajou_dev/PanDerm/data/Oral_Diseases/,True,False,[],,,,,,,,
w16_lpft2,aptos2019,0,2636,293,733,0.7183333333333334,24,0.6668305598501382,0.7047955460284255,0.2633015006821282,0.4395565221471132,"[0.9944598337950139, 0.7162162162162162, 0.62, 0.41025641025641024, 0.5932203389830508]",/home/junkim/paper_ajou_dev/PanDerm/data/aptos2019_rs256/,True,True,"[22, 23]",,,,,,,,
w16_lpft2,aptos2019,1,2636,293,733,0.7083333333333334,24,0.6789316380634283,0.7305451529920322,0.2482946793997271,0.4487184267156566,"[0.9722991689750693, 0.7297297297297297, 0.74, 0.41025641025641024, 0.5423728813559322]",/home/junkim/paper_ajou_dev/PanDerm/data/aptos2019_rs256/,True,True,"[22, 23]",,,,,,,,
w16_lpft2,aptos2019,2,2637,293,732,0.6725000000000001,35,0.6857701668521425,0.7586323243898944,0.1967213114754098,0.3957499514632713,"[0.9889196675900277, 0.6216216216216216, 0.825, 0.5526315789473685, 0.4406779661016949]",/home/junkim/paper_ajou_dev/PanDerm/data/aptos2019_rs256/,True,True,"[22, 23]",,,,,,,,
w16_lpft2,aptos2019,3,2637,293,732,0.6888888888888889,31,0.6833679756567685,0.7412605049080602,0.2144808743169398,0.3997623121501707,"[0.9722991689750693, 0.6486486486486487, 0.795, 0.5263157894736842, 0.4745762711864407]",/home/junkim/paper_ajou_dev/PanDerm/data/aptos2019_rs256/,True,True,"[22, 23]",,,,,,,,
w16_lpft2,aptos2019,4,2637,293,732,0.6849999999999999,23,0.60060970263431,0.6476827942567392,0.3333333333333333,0.5411764153122713,"[0.9750692520775623, 0.4864864864864865, 0.5979899497487438, 0.3333333333333333, 0.6101694915254238]",/home/junkim/paper_ajou_dev/PanDerm/data/aptos2019_rs256/,True,True,"[22, 23]",,,,,,,,
w16_lpft2,aptos2019,5,2636,293,733,0.7080555555555555,24,0.6528800653286311,0.7090782841703753,0.252387448840382,0.4737640024679791,"[0.9833795013850416, 0.7027027027027027, 0.71, 0.46153846153846156, 0.4067796610169492]",/home/junkim/paper_ajou_dev/PanDerm/data/aptos2019_rs256/,True,True,"[22, 23]",,,,,,,,
w16_lpft2,aptos2019,6,2636,293,733,0.6875,30,0.683552178357991,0.7670713691895603,0.1923601637107776,0.3911469925432553,"[0.9806094182825484, 0.6486486486486487, 0.845, 0.3333333333333333, 0.6101694915254238]",/home/junkim/paper_ajou_dev/PanDerm/data/aptos2019_rs256/,True,True,"[22, 23]",,,,,,,,
w16_lpft2,aptos2019,7,2637,293,732,0.7680555555555555,40,0.6256947528306747,0.7309237188252736,0.2363387978142076,0.4754416816929611,"[0.9861495844875346, 0.44594594594594594, 0.84, 0.2631578947368421, 0.5932203389830508]",/home/junkim/paper_ajou_dev/PanDerm/data/aptos2019_rs256/,True,True,"[22, 23]",,,,,,,,
w16_lpft2,aptos2019,8,2637,293,732,0.7033333333333334,25,0.6354417222988518,0.7180096700181984,0.2418032786885245,0.4800484288692654,"[0.9307479224376731, 0.6756756756756757, 0.85, 0.2631578947368421, 0.4576271186440678]",/home/junkim/paper_ajou_dev/PanDerm/data/aptos2019_rs256/,True,True,"[22, 23]",,,,,,,,
w16_lpft2,aptos2019,9,2637,293,732,0.7208333333333334,31,0.6612206718515529,0.7146911232643356,0.2513661202185792,0.4622992496188468,"[0.9861495844875346, 0.7297297297297297, 0.6884422110552764, 0.41025641025641024, 0.4915254237288136]",/home/junkim/paper_ajou_dev/PanDerm/data/aptos2019_rs256/,True,True,"[22, 23]",,,,,,,,
w16_lpft2,aptos2019,10,2636,293,733,0.7044444444444444,31,0.6833891580384843,0.7545228413701797,0.2060027285129604,0.400741129768455,"[0.9889196675900277, 0.7297297297297297, 0.78, 0.358974358974359, 0.559322033898305]",/home/junkim/paper_ajou_dev/PanDerm/data/aptos2019_rs256/,True,True,"[22, 23]",,,,,,,,
w16_lpft2,aptos2019,11,2636,293,733,0.7158333333333333,24,0.6590990791865952,0.7034863939677289,0.2592087312414734,0.4682375547093609,"[0.9584487534626038, 0.6891891891891891, 0.72, 0.48717948717948717, 0.4406779661016949]",/home/junkim/paper_ajou_dev/PanDerm/data/aptos2019_rs256/,True,True,"[22, 23]",,,,,,,,
w16_lpft2,aptos2019,12,2637,293,732,0.6955555555555556,32,0.6304764910927172,0.7230404681343804,0.2281420765027322,0.4637827102655498,"[0.9778393351800554, 0.6216216216216216, 0.825, 0.47368421052631576, 0.2542372881355932]",/home/junkim/paper_ajou_dev/PanDerm/data/aptos2019_rs256/,True,True,"[22, 23]",,,,,,,,
w16_lpft2,aptos2019,13,2637,293,732,0.7063888888888888,32,0.6849952846409487,0.7439268785895892,0.2117486338797814,0.403787991569202,"[0.9778393351800554, 0.7432432432432432, 0.765, 0.4473684210526316, 0.4915254237288136]",/home/junkim/paper_ajou_dev/PanDerm/data/aptos2019_rs256/,True,True,"[22, 23]",,,,,,,,
w16_lpft2,aptos2019,14,2637,293,732,0.6911111111111111,40,0.6740814086889267,0.7764504011120804,0.1939890710382513,0.4282386650816197,"[0.9944598337950139, 0.47297297297297297, 0.8994974874371859, 0.41025641025641024, 0.5932203389830508]",/home/junkim/paper_ajou_dev/PanDerm/data/aptos2019_rs256/,True,True,"[22, 23]",,,,,,,,
w16_lpft2,oral_diseases,0,370,42,104,0.9045918367346938,27,0.6346532122847913,0.6103925602312694,0.6442307692307693,0.6690523657628921,"[0.875, 0.8666666666666667, 0.4166666666666667, 0.7222222222222222, 0.36363636363636365, 0.7368421052631579, 0.46153846153846156]",/home/junkim/paper_ajou_dev/PanDerm/data/Oral_Diseases/,True,True,"[22, 23]",,,,,,,,
w16_lpft2,oral_diseases,1,371,42,103,0.7693877551020407,23,0.8053467000835421,0.7474504691931964,0.3786407766990291,0.3226817042606516,"[1.0, 1.0, 0.8333333333333334, 0.4444444444444444, 1.0, 0.5263157894736842, 0.8333333333333334]",/home/junkim/paper_ajou_dev/PanDerm/data/Oral_Diseases/,True,True,"[22, 23]",,,,,,,,
w16_lpft2,oral_diseases,2,371,42,103,0.7627551020408162,26,0.7540157211209843,0.7268430726770393,0.4077669902912621,0.4167758411179463,"[0.875, 1.0, 0.8333333333333334, 0.6666666666666666, 0.36363636363636365, 0.7894736842105263, 0.75]",/home/junkim/paper_ajou_dev/PanDerm/data/Oral_Diseases/,True,True,"[22, 23]",,,,,,,,
w16_lpft2,oral_diseases,3,371,42,103,0.7540816326530612,23,0.7422688422688423,0.7049072306874649,0.3592233009708738,0.3651792651792652,"[0.8, 1.0, 0.6153846153846154, 0.7777777777777778, 0.5454545454545454, 0.6111111111111112, 0.8461538461538461]",/home/junkim/paper_ajou_dev/PanDerm/data/Oral_Diseases/,True,True,"[22, 23]",,,,,,,,
w16_lpft2,oral_diseases,4,371,42,103,0.7756802721088435,35,0.7889210204999679,0.7513006131080157,0.4368932038834951,0.4185560053981106,"[0.75, 1.0, 0.75, 0.6111111111111112, 0.8, 0.8421052631578947, 0.7692307692307693]",/home/junkim/paper_ajou_dev/PanDerm/data/Oral_Diseases/,True,True,"[22, 23]",,,,,,,,
w16_lpft2,oral_diseases,5,370,42,104,0.8530612244897959,30,0.7871368397684188,0.7516896242142532,0.3365384615384615,0.3265769318400897,"[1.0, 1.0, 0.8333333333333334, 0.6111111111111112, 0.6363636363636364, 0.7368421052631579, 0.6923076923076923]",/home/junkim/paper_ajou_dev/PanDerm/data/Oral_Diseases/,True,True,"[22, 23]",,,,,,,,
w16_lpft2,oral_diseases,6,371,42,103,0.7209183673469388,33,0.7789103440419229,0.7512502362263582,0.4077669902912621,0.4029505582137161,"[0.8125, 0.9333333333333333, 0.75, 0.8333333333333334, 0.6363636363636364, 0.7368421052631579, 0.75]",/home/junkim/paper_ajou_dev/PanDerm/data/Oral_Diseases/,True,True,"[22, 23]",,,,,,,,
