row_kind,dataset,base_arm,class_idx,class_name,n_pool,pool_share,m_test_mean,recall_mean,var_term,var_share,exploratory,var_single_split,var_between_fold_base,arm,base,n_boot,n_folds_boot,var_total_between_fold,var_eval_boot,var_eval_closed_form,boot_vs_closed_rel_err,var_eval_boot_fpc,var_residual_fpc_raw,var_residual_raw,residual_negative,var_residual_train_split,share_eval,share_residual,share_residual_fpc,sd_total,sd_eval,sd_residual,mde80_R3_current,mde80_R3_infinite_test
delta_var_decomposition,aptos2019,,,,,,,,,,탐색적/exploratory,,,B4,B0,2000.0,15.0,0.0004424838810527827,0.0003590160054719671,0.0003599544828423739,0.002607211231253802,0.0002872377008223102,0.00015524618023047247,8.346787558081558e-05,False,8.346787558081558e-05,0.8113651611845745,0.18863483881542553,0.350851605850821,0.021035300831050235,0.018947717685039722,0.009136075502140708,0.03566368235919337,0.015489490610802294
delta_var_decomposition,aptos2019,,,,,,,,,,탐색적/exploratory,,,B5,B0,2000.0,15.0,0.00039872993768601495,0.0002737645757622425,0.00027595408816977657,0.007934335823961504,0.00021895631385315738,0.00017977362383285757,0.00012496536192377247,False,0.00012496536192377247,0.6865914742971267,0.31340852570287325,0.45086562818973136,0.019968223198021776,0.016545832579904902,0.01117879071830994,0.03385453695820379,0.018952752068523662
delta_var_decomposition,aptos2019,,,,,,,,,,탐색적/exploratory,,,B5s,B0,2000.0,15.0,0.00023856216817472428,0.00022365563732787796,0.00022623620440038217,0.011406516827595118,0.00017893582189168917,5.962634628303511e-05,1.4906530846846321e-05,False,1.4906530846846321e-05,0.9375151099568785,0.06248489004312156,0.2499404945018962,0.015445457849307164,0.014955120772761347,0.0038608976737083208,0.026186547416374585,0.00654584545105398
delta_var_decomposition,aptos2019,,,,,,,,,,탐색적/exploratory,,,B1d,B0d,2000.0,15.0,8.135977499909412e-05,0.00011135101490263693,0.00011203364118493357,0.0060930473657446775,8.907692288620107e-05,-7.717147887106946e-06,-2.999123990354281e-05,True,0.0,1.3686249120511547,-0.3686249120511548,-0.09485212916570715,0.009019965354650434,0.010552299033984818,,0.015292635074861501,
delta_var_decomposition,aptos2019,,,,,,,,,,탐색적/exploratory,,,B3d,B0d,2000.0,15.0,0.00027231402845983736,0.0004956574545977217,0.0004955077779943871,0.00030206711172215377,0.00039654896805402684,-0.00012423493959418948,-0.00022334342613788434,True,0.0,1.8201686391298952,-0.8201686391298951,-0.4562193886846063,0.016501940142293493,0.02226336575178429,,0.027977729259591213,
delta_var_decomposition,aptos2019,,,,,,,,,,탐색적/exploratory,,,B4d,B0d,2000.0,15.0,0.00022203052358613567,0.00035231595889509887,0.0003566975357395204,0.012283731748629739,0.00028186732466981023,-5.983680108367456e-05,-0.0001302854353089632,True,0.0,1.5867906502432743,-0.5867906502432743,-0.26949808574613016,0.014900688695028015,0.01877008148344324,,0.025262934569886573,
delta_var_decomposition,oral_diseases,,,,,,,,,,탐색적/exploratory,,,A1,A0,2000.0,15.0,0.0008962690844229287,0.0008654220852223337,0.0008658744262825404,0.0005224095393933354,0.000693024413758169,0.00020324467066475972,3.084699920059505e-05,False,3.084699920059505e-05,0.9655828815958143,0.0344171184041857,0.22676746771380688,0.02993775349659571,0.029418057128612923,0.005554007490145746,0.050757084000167985,0.009416378712148388
delta_var_decomposition,oral_diseases,,,,,,,,,,탐색적/exploratory,,,A2,A0,2000.0,15.0,0.00016961166074306577,0.00011818591544993,0.00012111308420973793,0.024168889587014408,9.496053241862256e-05,7.465112832444321e-05,5.1425745293135776e-05,False,5.1425745293135776e-05,0.6968030083082704,0.30319699169172964,0.4401296938983906,0.01302350416528001,0.010871334575383557,0.007171174610420232,0.022080317247879767,0.012158157161737656
delta_var_decomposition,oral_diseases,,,,,,,,,,탐색적/exploratory,,,A3,A0,2000.0,15.0,0.0010575263723978478,0.0009481089149369958,0.0009555937732729099,0.007832678011576517,0.000758504719527646,0.0002990216528702018,0.00010941745746085208,False,0.00010941745746085208,0.896534535386803,0.10346546461319696,0.282755740825826,0.03251963056982425,0.030791377282235945,0.010460279989601237,0.05513445157715971,0.017734574177646296
delta_var_decomposition,oral_diseases,,,,,,,,,,탐색적/exploratory,,,A4,A0,2000.0,15.0,0.0008513022313007129,0.0008812522526779915,0.0008843379210057679,0.0034892412215762527,0.0007056545580504014,0.00014564767325031156,-2.995002137727858e-05,True,0.0,1.0351814200363574,-0.0351814200363573,0.1710880905689335,0.02917708400955642,0.02968589315951251,,0.04946742928194044,
