dataset,arm,fold,variant,n,sample_mae,classmean_mae
aptos2019,B1,14,leakfree,689,0.2612481857764877,0.44450688546919015
aptos2019,B1,14,conflict_excluded,687,0.2590975254730713,0.4454589330299699
aptos2019,B1d,0,full,733,0.286493860845839,0.46418604141924485
aptos2019,B1d,0,leakfree,694,0.2896253602305475,0.4867766164565451
aptos2019,B1d,0,conflict_excluded,692,0.28901734104046245,0.4874257120889925
aptos2019,B1d,1,full,733,0.2755798090040928,0.4674620634423442
aptos2019,B1d,1,leakfree,702,0.27635327635327633,0.47840371107210655
aptos2019,B1d,1,conflict_excluded,698,0.2722063037249284,0.47512704516213466
aptos2019,B1d,2,full,732,0.26639344262295084,0.44006418141696796
aptos2019,B1d,2,leakfree,690,0.2608695652173913,0.4438085620152659
aptos2019,B1d,2,conflict_excluded,686,0.2594752186588921,0.4466226576837632
aptos2019,B1d,3,full,732,0.30191256830601093,0.5061823217179338
aptos2019,B1d,3,leakfree,696,0.3074712643678161,0.5343882919927487
aptos2019,B1d,3,conflict_excluded,690,0.30434782608695654,0.5359011158559364
aptos2019,B1d,4,full,732,0.3005464480874317,0.5386657010609677
aptos2019,B1d,4,leakfree,689,0.3018867924528302,0.5659378462226652
aptos2019,B1d,4,conflict_excluded,685,0.2934306569343066,0.5535028312683188
aptos2019,B1d,5,full,733,0.3015006821282401,0.5227494325993786
aptos2019,B1d,5,leakfree,698,0.30802292263610315,0.5554925129515293
aptos2019,B1d,5,conflict_excluded,695,0.3064748201438849,0.5525757575757575
aptos2019,B1d,6,full,733,0.252387448840382,0.43278463100877296
aptos2019,B1d,6,leakfree,697,0.25251076040172166,0.445860289875441
aptos2019,B1d,6,conflict_excluded,695,0.2503597122302158,0.44057929260664974
aptos2019,B1d,7,full,732,0.30601092896174864,0.5151204865600847
aptos2019,B1d,7,leakfree,695,0.29784172661870506,0.5193011656275414
aptos2019,B1d,7,conflict_excluded,695,0.29784172661870506,0.5193011656275414
aptos2019,B1d,8,full,732,0.2650273224043716,0.4718468447319567
aptos2019,B1d,8,leakfree,685,0.2569343065693431,0.48173992566650436
aptos2019,B1d,8,conflict_excluded,683,0.2562225475841874,0.47984869001339303
