bacc,mcc,macro_mae,per_class_recall,rank_violation_rows,head,lr,epochs,train_loss,grad_norm,w_norm,bias_ordered,biases,arm,setting,dataset,fold,n_train,n_test,feats,lever,recall_no_dr,recall_mild,recall_moderate,recall_severe,recall_prolif
0.5504392239628635,0.5135333285765906,0.46248294679399726,"[0.7894736842105263, 0.6891891891891891, 0.4, 0.07692307692307693, 0.7966101694915254]",0,coral_true,0.01,200,1.2232921123504639,0.21283046901226044,1.6747100353240967,True,"[1.087377905845642, -0.33495843410491943, -1.3873473405838013, -1.7029567956924438]",B3c_prereg,prereg,aptos2019,1,2929,733,panderm,rebalance,0.7894736842105263,0.6891891891891891,0.4,0.07692307692307693,0.7966101694915254
0.6695709392230355,0.6735035603496918,0.27967257844474763,"[0.9473684210526315, 0.7027027027027027, 0.6, 0.5384615384615384, 0.559322033898305]",549,legacy,0.01,200,0.537174642086029,0.09769818186759949,6.180569648742676,True,"[0.40892601013183594, -0.6822022199630737, -1.4363950490951538, -1.4817084074020386]",B3_prereg,prereg,aptos2019,1,2929,733,panderm,rebalance,0.9473684210526315,0.7027027027027027,0.6,0.5384615384615384,0.559322033898305
0.5574475543198958,0.5612927485479343,0.3620218579234973,"[0.9362880886426593, 0.5540540540540541, 0.42, 0.3684210526315789, 0.5084745762711864]",0,coral_true,0.03,800,0.5713202357292175,0.12835223972797394,8.513483047485352,True,"[1.6690508127212524, -2.4760162830352783, -5.446320533752441, -7.794004440307617]",B3c_conv,conv,aptos2019,2,2930,732,panderm,rebalance,0.9362880886426593,0.5540540540540541,0.42,0.3684210526315789,0.5084745762711864
0.6293165521030678,0.6749212209089113,0.2718579234972678,"[0.9667590027700831, 0.6756756756756757, 0.65, 0.4473684210526316, 0.4067796610169492]",532,legacy,0.03,800,0.12502071261405945,0.008739493787288666,24.935489654541016,True,"[1.1216399669647217, -2.1799395084381104, -5.138365268707275, -5.4080047607421875]",B3_conv,conv,aptos2019,2,2930,732,panderm,rebalance,0.9667590027700831,0.6756756756756757,0.65,0.4473684210526316,0.4067796610169492
0.5545418272397005,0.5719696760839786,0.35382513661202186,"[0.9279778393351801, 0.6621621621621622, 0.46, 0.3157894736842105, 0.4067796610169492]",0,coral_true,0.3,400,0.6769424080848694,1.3237290382385254,18.650819778442383,True,"[4.139548301696777, -7.134764194488525, -15.215088844299316, -20.467252731323242]",B3c_convAlt,convAlt,aptos2019,2,2930,732,panderm,rebalance,0.9279778393351801,0.6621621621621622,0.46,0.3157894736842105,0.4067796610169492
0.6095597280928048,0.6635654541745295,0.28415300546448086,"[0.9556786703601108, 0.6351351351351351, 0.68, 0.42105263157894735, 0.3559322033898305]",384,legacy,0.3,400,0.04765312373638153,0.002710015047341585,68.42733001708984,True,"[5.978823184967041, -4.2448296546936035, -13.357322692871094, -16.012775421142578]",B3_convAlt,convAlt,aptos2019,2,2930,732,panderm,rebalance,0.9556786703601108,0.6351351351351351,0.68,0.42105263157894735,0.3559322033898305
0.5294808295783459,0.48233673392853554,0.5095628415300546,"[0.7700831024930748, 0.581081081081081, 0.385, 0.13157894736842105, 0.7796610169491526]",0,coral_true,0.01,200,1.2246346473693848,0.21351569890975952,1.6627721786499023,True,"[1.0830292701721191, -0.3380754888057709, -1.3885960578918457, -1.703201174736023]",B3c_prereg,prereg,aptos2019,2,2930,732,panderm,rebalance,0.7700831024930748,0.581081081081081,0.385,0.13157894736842105,0.7796610169491526
0.6723366685150806,0.6609607619246742,0.28688524590163933,"[0.9473684210526315, 0.7297297297297297, 0.52, 0.6052631578947368, 0.559322033898305]",546,legacy,0.01,200,0.5471786260604858,0.09898889809846878,6.0763373374938965,True,"[0.3904171288013458, -0.7354162335395813, -1.4406734704971313, -1.4799261093139648]",B3_prereg,prereg,aptos2019,2,2930,732,panderm,rebalance,0.9473684210526315,0.7297297297297297,0.52,0.6052631578947368,0.559322033898305
0.580851544863799,0.5820643798065669,0.35792349726775957,"[0.9196675900277008, 0.5945945945945946, 0.485, 0.4473684210526316, 0.4576271186440678]",0,coral_true,0.03,800,0.5663120150566101,0.06070290505886078,8.59058666229248,True,"[1.6897839307785034, -2.4972970485687256, -5.456970691680908, -7.826420307159424]",B3c_conv,conv,aptos2019,3,2930,732,panderm,rebalance,0.9196675900277008,0.5945945945945946,0.485,0.4473684210526316,0.4576271186440678
0.6473813844832202,0.6849864950956238,0.26229508196721313,"[0.96398891966759, 0.6891891891891891, 0.66, 0.5, 0.423728813559322]",547,legacy,0.03,800,0.13118916749954224,0.008401895873248577,24.898733139038086,True,"[1.1552549600601196, -2.3082211017608643, -5.105043888092041, -5.333854675292969]",B3_conv,conv,aptos2019,3,2930,732,panderm,rebalance,0.96398891966759,0.6891891891891891,0.66,0.5,0.423728813559322
