bacc,mcc,macro_mae,per_class_recall,train_acc,train_bacc,train_loss,weight_norm,dataset,fold,setting,wd,epochs,n_train,n_test,ref_cell,exploratory
0.6780645246473689,0.7596045278432911,0.208731241473397,"[0.9861495844875346, 0.5945945945945946, 0.84, 0.41025641025641024, 0.559322033898305]",0.9631273472174804,0.9206919769265178,0.1439065784215927,7.4674177169799805,aptos2019,0,baseline,0.1,200,2929,733,False,탐색적/exploratory
0.6549462799359038,0.7252439883682915,0.23874488403819918,"[0.9861495844875346, 0.6081081081081081, 0.77, 0.4358974358974359, 0.4745762711864407]",0.9918060771594401,0.9824437215004874,0.030244221910834312,22.0008602142334,aptos2019,0,baseline,0.1,2000,2929,733,False,탐색적/exploratory
0.711937815624984,0.7334502604563454,0.23874488403819918,"[0.9806094182825484, 0.7567567567567568, 0.665, 0.5641025641025641, 0.5932203389830508]",0.8828951860703311,0.8745042129965498,0.3813803791999817,4.085142612457275,aptos2019,0,reweight,0.0,50,2929,733,False,탐색적/exploratory
0.653690343902936,0.7049616648752951,0.2605729877216917,"[0.9806094182825484, 0.6621621621621622, 0.69, 0.41025641025641024, 0.5254237288135594]",0.9569819050870604,0.9634273425663062,0.16780152916908264,9.012947082519531,aptos2019,0,reweight,0.0,200,2929,733,False,탐색적/exploratory
0.6564847965265825,0.720122143460045,0.24556616643929058,"[0.9833795013850416, 0.6216216216216216, 0.75, 0.4358974358974359, 0.4915254237288136]",0.9914646637077501,0.9927715057221217,0.024521226063370705,32.37806701660156,aptos2019,0,reweight,0.0,2000,2929,733,False,탐색적/exploratory
0.711937815624984,0.7334502604563454,0.23874488403819918,"[0.9806094182825484, 0.7567567567567568, 0.665, 0.5641025641025641, 0.5932203389830508]",0.8828951860703311,0.8745042129965498,0.3813822269439697,4.085022449493408,aptos2019,0,reweight,0.0001,50,2929,733,False,탐색적/exploratory
0.653690343902936,0.7049616648752951,0.2605729877216917,"[0.9806094182825484, 0.6621621621621622, 0.69, 0.41025641025641024, 0.5254237288135594]",0.9569819050870604,0.9634273425663062,0.16781330108642578,9.012247085571289,aptos2019,0,reweight,0.0001,200,2929,733,True,탐색적/exploratory
0.6564847965265825,0.720122143460045,0.24556616643929058,"[0.9833795013850416, 0.6216216216216216, 0.75, 0.4358974358974359, 0.4915254237288136]",0.9914646637077501,0.9927715057221217,0.024537445977330208,32.35697555541992,aptos2019,0,reweight,0.0001,2000,2929,733,False,탐색적/exploratory
0.711937815624984,0.7334502604563454,0.23874488403819918,"[0.9806094182825484, 0.7567567567567568, 0.665, 0.5641025641025641, 0.5932203389830508]",0.8825537726186412,0.8743657088414251,0.3815605640411377,4.073296546936035,aptos2019,0,reweight,0.01,50,2929,733,False,탐색적/exploratory
0.653690343902936,0.7049616648752951,0.2605729877216917,"[0.9806094182825484, 0.6621621621621622, 0.69, 0.41025641025641024, 0.5254237288135594]",0.9569819050870604,0.9634273425663062,0.16895902156829834,8.944595336914062,aptos2019,0,reweight,0.01,200,2929,733,False,탐색적/exploratory
0.6564847965265825,0.720122143460045,0.24556616643929058,"[0.9833795013850416, 0.6216216216216216, 0.75, 0.4358974358974359, 0.4915254237288136]",0.9911232502560601,0.991924048095003,0.026155153289437294,30.500370025634766,aptos2019,0,reweight,0.01,2000,2929,733,False,탐색적/exploratory
0.711937815624984,0.7334502604563454,0.23874488403819918,"[0.9806094182825484, 0.7567567567567568, 0.665, 0.5641025641025641, 0.5932203389830508]",0.8818709457152611,0.8729285033875991,0.3832480311393738,3.9692862033843994,aptos2019,0,reweight,0.1,50,2929,733,False,탐색적/exploratory
0.6530032160971642,0.7051499650843777,0.2605729877216917,"[0.9806094182825484, 0.6756756756756757, 0.69, 0.41025641025641024, 0.5084745762711864]",0.9528849436667804,0.9594610535678267,0.17927557229995728,8.376910209655762,aptos2019,0,reweight,0.1,200,2929,733,False,탐색적/exploratory
0.6274319677097272,0.7394592206064505,0.21964529331514324,"[0.9861495844875346, 0.5135135135135135, 0.88, 0.38461538461538464, 0.3728813559322034]",0.9313758962103107,0.8457629466588752,0.41338735818862915,22.720979690551758,aptos2019,0,reweight,0.1,2000,2929,733,False,탐색적/exploratory
0.637664702877295,0.7347041128255676,0.23465211459754434,"[0.9806094182825484, 0.6621621621621622, 0.815, 0.20512820512820512, 0.5254237288135594]",0.906452714236941,0.8030296925888851,0.27321866154670715,4.100235939025879,aptos2019,1,baseline,0.0,50,2929,733,False,탐색적/exploratory
