dataset,task,metric,arm,base,n_folds,mean_base,mean_arm,mean_diff,sd,wins,ci_lo,ci_hi,p_nb,se_nb,mde_post,mde_floor_bacc_ref,note,exploratory,gate,holm_p_within_w11_family
oral_diseases,oral_nonbenign,sens,A2d,A0d,15,0.8291666666666667,0.8208333333333333,-0.008333333333333333,0.01534975828360432,0,-0.026859553530895072,0.010192886864228408,0.3510386817244477,0.008637791488508033,0.02602429640125713,0.032,잡음 수준 — 부호 해석 금지,탐색적/exploratory,없음 (서술 · 판정 아님),1.0
oral_diseases,oral_nonbenign,spec,A2d,A0d,15,0.8501515151515152,0.8501298701298702,-2.1645021645026277e-05,0.011725915254848082,1,-0.014174108142924477,0.014130818099634424,0.9974290086157859,0.006598541104812109,0.019880358278614788,0.032,잡음 수준 — 부호 해석 금지,탐색적/exploratory,없음 (서술 · 판정 아님),1.0
oral_diseases,oral_nonbenign,sens,A3,A0,15,0.8626477541371158,0.8668144208037825,0.004166666666666667,0.03956218567684622,5,-0.04358247373047925,0.05191580706381258,0.8542223425725861,0.022262885473007858,0.06707454458325562,0.032,잡음 수준 — 부호 해석 금지,탐색적/exploratory,없음 (서술 · 판정 아님),1.0
oral_diseases,oral_nonbenign,spec,A3,A0,15,0.8861038961038961,0.8776406926406926,-0.00846320346320347,0.032445369677491176,6,-0.047622781870281204,0.030696374943874262,0.6501065685313262,0.018258029401093744,0.05500854813051313,0.032,잡음 수준 — 부호 해석 금지,탐색적/exploratory,없음 (서술 · 판정 아님),1.0
oral_diseases,oral_nonbenign,sens,A4,A0,15,0.8626477541371158,0.8598108747044917,-0.002836879432624103,0.02847387453632022,4,-0.03720310590936754,0.03152934704411933,0.8620058850311944,0.016023144245690357,0.04827519345479923,0.032,잡음 수준 — 부호 해석 금지,탐색적/exploratory,없음 (서술 · 판정 아님),1.0
oral_diseases,oral_nonbenign,spec,A4,A0,15,0.8861038961038961,0.8764285714285714,-0.00967532467532468,0.027182630135010686,4,-0.04248309806990583,0.02313244871925647,0.5372427294887852,0.015296520432263361,0.046085991096998145,0.032,잡음 수준 — 부호 해석 금지,탐색적/exploratory,없음 (서술 · 판정 아님),1.0
oral_diseases,oral_nonbenign,sens,A5,A0,15,0.8626477541371158,0.8710106382978723,0.008362884160756501,0.03713699640547624,7,-0.03645920099343126,0.05318496931494426,0.6950682707291426,0.020898155236920932,0.06296282873332623,0.032,잡음 수준 — 부호 해석 금지,탐색적/exploratory,없음 (서술 · 판정 아님),1.0
oral_diseases,oral_nonbenign,spec,A5,A0,15,0.8861038961038961,0.8464935064935066,-0.03961038961038961,0.0430674549596104,2,-0.09159017581865575,0.012369396597876538,0.12445221611763264,0.024235410682602206,0.07301745033430679,0.032,,탐색적/exploratory,없음 (서술 · 판정 아님),0.8711655128234285
oral_diseases,oral_nonbenign,sens,A5s,A0,15,0.8626477541371158,0.8655141843971631,0.002866430260047285,0.02969710083159099,7,-0.032976155601575845,0.038709016121670416,0.8662659245818478,0.016711492132776957,0.050349076514439386,0.032,잡음 수준 — 부호 해석 금지,탐색적/exploratory,없음 (서술 · 판정 아님),1.0
oral_diseases,oral_nonbenign,spec,A5s,A0,15,0.8861038961038961,0.8682467532467533,-0.017857142857142867,0.04352535381633054,4,-0.07038958500246505,0.03467529928817932,0.4779799943292423,0.02449308476281228,0.0737937814887726,0.032,잡음 수준 — 부호 해석 금지,탐색적/exploratory,없음 (서술 · 판정 아님),1.0
