cls,n_pos,prevalence,mean_p,ovr_intercept,ovr_slope,ovr_converged,ovr_brier,cw_ece_em,cw_ece_db,dataset,arm,scaling,repeat,exploratory
1,370,0.1010376843255052,0.11859952608945215,-0.40972256595162265,0.9202665017289455,True,0.05416861504139486,0.0184685580681475,0.03229438434756479,aptos2019,B5,temp,2,탐색적/exploratory
2,999,0.272801747678864,0.25301061269206027,0.1885468577725158,0.8806593719252216,True,0.09528810824909091,0.03958768653719876,0.05787474233806907,aptos2019,B5,temp,2,탐색적/exploratory
3,193,0.052703440742763515,0.06793780828789683,-0.8370287626844166,0.7337378636087823,True,0.04365415758953531,0.019925521705528224,0.052220102974505814,aptos2019,B5,temp,2,탐색적/exploratory
4,295,0.08055707263790278,0.08985820433141788,-0.5672486182974299,0.7618912938041976,True,0.051448313059773286,0.020486750516056314,0.03860775184778855,aptos2019,B5,temp,2,탐색적/exploratory
0,1805,0.4929000546149645,0.47282335877802284,0.6765188696217572,1.4060773090810006,True,0.01742500281442267,0.021193773157958243,0.03713575023150622,aptos2019,B5s,temp,0,탐색적/exploratory
1,370,0.1010376843255052,0.12213812214506488,-0.4068665591950449,0.9821035921498441,True,0.053150469528780726,0.02599289469483853,0.039667064873858515,aptos2019,B5s,temp,0,탐색적/exploratory
2,999,0.272801747678864,0.24379072655877748,0.3076330227822241,0.9421857843825369,True,0.09608623879390202,0.04196945640633968,0.062258903871542176,aptos2019,B5s,temp,0,탐색적/exploratory
3,193,0.052703440742763515,0.06885933621065632,-0.6757092424849683,0.8314148114160451,True,0.04216155625624513,0.01894780609344693,0.03763993369172455,aptos2019,B5s,temp,0,탐색적/exploratory
4,295,0.08055707263790278,0.09238845630747851,-0.44428360127586164,0.8612774009252452,True,0.049017124945075596,0.019051005463078044,0.02823550573325718,aptos2019,B5s,temp,0,탐색적/exploratory
0,1805,0.4929000546149645,0.47255115761552474,0.6765141151917218,1.398539096056244,True,0.01795660390618798,0.023326868110492265,0.035738308477067895,aptos2019,B5s,temp,1,탐색적/exploratory
1,370,0.1010376843255052,0.12395439535623282,-0.457363425715245,0.9563877648031849,True,0.054801400796869605,0.023666781922844167,0.0385226021266494,aptos2019,B5s,temp,1,탐색적/exploratory
2,999,0.272801747678864,0.24086321723555543,0.3218175372907242,0.917576150942324,True,0.10067698065709899,0.04281145512810333,0.07113680849631891,aptos2019,B5s,temp,1,탐색적/exploratory
3,193,0.052703440742763515,0.06940989528757818,-0.6059094553708628,0.8765053010389625,True,0.042481689668995286,0.017693491901042715,0.042122555152413546,aptos2019,B5s,temp,1,탐색적/exploratory
4,295,0.08055707263790278,0.09322133450510882,-0.4545822091296415,0.863773063541329,True,0.049942539543220095,0.017285869471315173,0.029473793095052818,aptos2019,B5s,temp,1,탐색적/exploratory
0,1805,0.4929000546149645,0.4744115429204325,0.6194138944823553,1.386495575929937,True,0.01693378087723745,0.020650421879525992,0.03438982948648344,aptos2019,B5s,temp,2,탐색적/exploratory
1,370,0.1010376843255052,0.12342597600803,-0.4695780280547014,0.9377058364843913,True,0.05475536015588913,0.022892910671873042,0.037506499520781916,aptos2019,B5s,temp,2,탐색적/exploratory
2,999,0.272801747678864,0.24269573786256687,0.3263993538756544,0.9459550866850139,True,0.09499347901442223,0.041152774979926234,0.060273198772314636,aptos2019,B5s,temp,2,탐색적/exploratory
3,193,0.052703440742763515,0.06941737059931849,-0.6906154973296672,0.8265916681309345,True,0.042735088093980036,0.019293300755066266,0.0464204627489269,aptos2019,B5s,temp,2,탐색적/exploratory
4,295,0.08055707263790278,0.09004937260965212,-0.448555960640686,0.8299068805754911,True,0.051064210055526416,0.015868964728756436,0.029564015841213504,aptos2019,B5s,temp,2,탐색적/exploratory
0,79,0.15310077519379844,0.15614729460376506,0.19916649398639635,1.3767698825027728,True,0.029971279920749584,0.01951778901032456,0.013864113754979562,oral_diseases,A0,temp,0,탐색적/exploratory
1,75,0.14534883720930233,0.15774475052710404,-0.4841509913352527,1.6228160171640396,True,0.011932874250396004,0.021314011293759105,0.030296423996327194,oral_diseases,A0,temp,0,탐색적/exploratory
2,61,0.1182170542635659,0.11222236384002507,0.16168239668229195,1.0325379151590057,True,0.050727033819820966,0.02273523084204407,0.01141814832949746,oral_diseases,A0,temp,0,탐색적/exploratory
3,90,0.1744186046511628,0.1541559044787866,0.10459522163409861,0.8581123743786863,True,0.09093130624100611,0.028974920091889723,0.0,oral_diseases,A0,temp,0,탐색적/exploratory
4,54,0.10465116279069768,0.11505827860146114,-0.04591566589882356,1.1235458876143527,True,0.05509071036900465,0.026709144500386316,0.015850430001682587,oral_diseases,A0,temp,0,탐색적/exploratory
5,94,0.1821705426356589,0.18046644393684882,-0.0906337734460823,0.853807235019468,True,0.09161260630197238,0.032579487931303774,0.0,oral_diseases,A0,temp,0,탐색적/exploratory
6,63,0.12209302325581395,0.12420496401200928,0.26993311138651466,1.285365826412286,True,0.04803598645546211,0.029156632304608174,0.014124030157050561,oral_diseases,A0,temp,0,탐색적/exploratory
0,79,0.15310077519379844,0.1539717172411345,0.21923283839306432,1.2749713265780016,True,0.02765517191707505,0.016302003439040754,0.0,oral_diseases,A0,temp,1,탐색적/exploratory
1,75,0.14534883720930233,0.1607954095449638,-0.8299853523405298,1.2797853076475372,True,0.01585318496098151,0.01607184207600062,0.023797557229892553,oral_diseases,A0,temp,1,탐색적/exploratory
2,61,0.1182170542635659,0.11155479005954608,0.13412346644624418,0.9941826313418111,True,0.0514489602299873,0.019463721656197835,0.0,oral_diseases,A0,temp,1,탐색적/exploratory
3,90,0.1744186046511628,0.15723553994764058,0.16712140511310075,0.9410206820151191,True,0.08340412793021783,0.03508461113752084,0.02036436797937355,oral_diseases,A0,temp,1,탐색적/exploratory
4,54,0.10465116279069768,0.11951564888987774,-0.051674998171851505,1.2610568967806373,True,0.047484848161485335,0.023282949236218462,0.0,oral_diseases,A0,temp,1,탐색적/exploratory
5,94,0.1821705426356589,0.17119388661573104,0.09314913631752955,0.9517856677653739,True,0.0797872695454788,0.04145639424944965,0.0398455177338754,oral_diseases,A0,temp,1,탐색적/exploratory
6,63,0.12209302325581395,0.1257330077011062,0.22301628175138893,1.28092623262573,True,0.044053221755142674,0.02206303896263921,0.0,oral_diseases,A0,temp,1,탐색적/exploratory
0,79,0.15310077519379844,0.1536592611651872,0.4575952630799843,1.524672384498731,True,0.027232499740404703,0.023210321098937097,0.029832507133736225,oral_diseases,A0,temp,2,탐색적/exploratory
1,75,0.14534883720930233,0.15922854996448138,-0.6558553207921705,1.9921695765490455,True,0.010401508982901769,0.026819576422350114,0.04565460024185877,oral_diseases,A0,temp,2,탐색적/exploratory
2,61,0.1182170542635659,0.11511871323565114,0.29444684135108956,1.1920254566066422,True,0.04338529585759382,0.02571189786350505,0.026281147219937843,oral_diseases,A0,temp,2,탐색적/exploratory
3,90,0.1744186046511628,0.1576199448215757,0.08316572975404025,0.8646396794394411,True,0.08951319951125561,0.03525546769695698,0.03231055745662882,oral_diseases,A0,temp,2,탐색적/exploratory
4,54,0.10465116279069768,0.11766242342635076,-0.20459260151128403,1.0191786769193176,True,0.052889989676694664,0.021080281709057826,0.0,oral_diseases,A0,temp,2,탐색적/exploratory
5,94,0.1821705426356589,0.17211465370323042,-0.04631917140992749,0.8209837112610985,True,0.0880875628557181,0.03553446595905652,0.016383476112485345,oral_diseases,A0,temp,2,탐색적/exploratory
6,63,0.12209302325581395,0.12459645368352334,0.2490146759974272,1.2524236484838076,True,0.04939682326891992,0.02089186616817722,0.0,oral_diseases,A0,temp,2,탐색적/exploratory
0,79,0.15310077519379844,0.1513325655344246,0.21170590887651214,1.1586243321790197,True,0.04444458756159534,0.015182746875502121,0.0,oral_diseases,A0d,temp,0,탐색적/exploratory
1,75,0.14534883720930233,0.15890903985451713,-0.34904777348211036,1.2740334075524589,True,0.017637076351233405,0.014079924533590488,0.0,oral_diseases,A0d,temp,0,탐색적/exploratory
2,61,0.1182170542635659,0.11134587004516919,0.22742788551117343,1.0901846483638635,True,0.057682901391959966,0.031887512998355606,0.028084586788738052,oral_diseases,A0d,temp,0,탐색적/exploratory
3,90,0.1744186046511628,0.15658333142834283,0.02420798114466413,0.8219921515399349,True,0.095119329563636,0.048937990570414286,0.05502674874033948,oral_diseases,A0d,temp,0,탐색적/exploratory
4,54,0.10465116279069768,0.10718079702218729,-0.20513556431087807,0.8794028805753423,True,0.06596556104039124,0.021608389650643385,0.0,oral_diseases,A0d,temp,0,탐색적/exploratory
