dataset,rep,space,fold,i,j,i_name,j_name,cdnv,exploratory
aptos2019,frozen,train_std,4,0,4,no_dr,proliferative,1.1616739197310655,탐색적/exploratory
aptos2019,frozen,train_std,4,1,2,mild,moderate,9.292209484881138,탐색적/exploratory
aptos2019,frozen,train_std,4,1,3,mild,severe,3.54303520840816,탐색적/exploratory
aptos2019,frozen,train_std,4,1,4,mild,proliferative,4.255678520784449,탐색적/exploratory
aptos2019,frozen,train_std,4,2,3,moderate,severe,9.710497970503813,탐색적/exploratory
aptos2019,frozen,train_std,4,2,4,moderate,proliferative,11.068694217594595,탐색적/exploratory
aptos2019,frozen,train_std,4,3,4,severe,proliferative,18.65438225261529,탐색적/exploratory
aptos2019,frozen,raw,4,0,1,no_dr,mild,1.1503983333893835,탐색적/exploratory
aptos2019,frozen,raw,4,0,2,no_dr,moderate,1.1140396307727725,탐색적/exploratory
aptos2019,frozen,raw,4,0,3,no_dr,severe,0.9085036942036118,탐색적/exploratory
aptos2019,frozen,raw,4,0,4,no_dr,proliferative,0.8968486741426622,탐색적/exploratory
aptos2019,frozen,raw,4,1,2,mild,moderate,9.242728491222683,탐색적/exploratory
aptos2019,frozen,raw,4,1,3,mild,severe,3.5190915172759007,탐색적/exploratory
aptos2019,frozen,raw,4,1,4,mild,proliferative,3.9908875745900243,탐색적/exploratory
aptos2019,frozen,raw,4,2,3,moderate,severe,9.719057676229435,탐색적/exploratory
aptos2019,frozen,raw,4,2,4,moderate,proliferative,10.367844624737671,탐색적/exploratory
aptos2019,frozen,raw,4,3,4,severe,proliferative,23.098293059182154,탐색적/exploratory
aptos2019,frozen,train_std,5,0,1,no_dr,mild,1.310165418736553,탐색적/exploratory
aptos2019,frozen,train_std,5,0,2,no_dr,moderate,1.4625269657394242,탐색적/exploratory
aptos2019,frozen,train_std,5,0,3,no_dr,severe,0.9182347697667701,탐색적/exploratory
aptos2019,frozen,train_std,5,0,4,no_dr,proliferative,1.0633550291793148,탐색적/exploratory
aptos2019,frozen,train_std,5,1,2,mild,moderate,5.471732965751783,탐색적/exploratory
aptos2019,frozen,train_std,5,1,3,mild,severe,2.367380364527842,탐색적/exploratory
aptos2019,frozen,train_std,5,1,4,mild,proliferative,3.52455135478408,탐색적/exploratory
aptos2019,frozen,train_std,5,2,3,moderate,severe,9.71070313451869,탐색적/exploratory
aptos2019,frozen,train_std,5,2,4,moderate,proliferative,12.729102734455584,탐색적/exploratory
aptos2019,frozen,train_std,5,3,4,severe,proliferative,11.930597889290155,탐색적/exploratory
aptos2019,frozen,raw,5,0,1,no_dr,mild,1.0341139804412869,탐색적/exploratory
aptos2019,frozen,raw,5,0,2,no_dr,moderate,1.1580850575761363,탐색적/exploratory
aptos2019,frozen,raw,5,0,3,no_dr,severe,0.7172523439277766,탐색적/exploratory
aptos2019,frozen,raw,5,0,4,no_dr,proliferative,0.818623533618723,탐색적/exploratory
aptos2019,frozen,raw,5,1,2,mild,moderate,5.586394018853536,탐색적/exploratory
aptos2019,frozen,raw,5,1,3,mild,severe,2.320529099337174,탐색적/exploratory
aptos2019,frozen,raw,5,1,4,mild,proliferative,3.3383820088332863,탐색적/exploratory
aptos2019,frozen,raw,5,2,3,moderate,severe,9.145697397112954,탐색적/exploratory
aptos2019,frozen,raw,5,2,4,moderate,proliferative,11.633926844804906,탐색적/exploratory
aptos2019,frozen,raw,5,3,4,severe,proliferative,13.672634536759245,탐색적/exploratory
aptos2019,frozen,train_std,6,0,1,no_dr,mild,1.424482609574929,탐색적/exploratory
aptos2019,frozen,train_std,6,0,2,no_dr,moderate,1.485053318358974,탐색적/exploratory
aptos2019,frozen,train_std,6,0,3,no_dr,severe,0.9114565443088943,탐색적/exploratory
aptos2019,frozen,train_std,6,0,4,no_dr,proliferative,1.2643038369894208,탐색적/exploratory
aptos2019,frozen,train_std,6,1,2,mild,moderate,7.406019695755503,탐색적/exploratory
aptos2019,frozen,train_std,6,1,3,mild,severe,2.9059610383363728,탐색적/exploratory
aptos2019,frozen,train_std,6,1,4,mild,proliferative,3.419516402176444,탐색적/exploratory
aptos2019,frozen,train_std,6,2,3,moderate,severe,6.843724164146385,탐색적/exploratory
aptos2019,frozen,train_std,6,2,4,moderate,proliferative,10.440288110562891,탐색적/exploratory
aptos2019,frozen,train_std,6,3,4,severe,proliferative,10.975627099100983,탐색적/exploratory
aptos2019,frozen,raw,6,0,1,no_dr,mild,1.130766150773872,탐색적/exploratory
aptos2019,frozen,raw,6,0,2,no_dr,moderate,1.1624065768517686,탐색적/exploratory
aptos2019,frozen,raw,6,0,3,no_dr,severe,0.7056889036999058,탐색적/exploratory
aptos2019,frozen,raw,6,0,4,no_dr,proliferative,1.0028537220897358,탐색적/exploratory
aptos2019,frozen,raw,6,1,2,mild,moderate,7.270142320389925,탐색적/exploratory
