arm,fold,n_test,rank_violation_rows,bias_ordered,rank_violation_frac,b0,b1,b2,b3,head
B3c,8,732,0,True,0.0,1.079202651977539,-0.3439137935638428,-1.3880600929260254,-1.7025039196014404,coral_true
B3c,9,732,0,True,0.0,1.0867549180984497,-0.3345249891281128,-1.3894933462142944,-1.7039293050765991,coral_true
B3c,10,733,0,True,0.0,1.084348201751709,-0.33823180198669434,-1.3894490003585815,-1.704122543334961,coral_true
B3c,11,733,0,True,0.0,1.0919914245605469,-0.3284761905670166,-1.386689305305481,-1.7033240795135498,coral_true
B3c,12,732,0,True,0.0,1.0874230861663818,-0.3307163119316101,-1.385512113571167,-1.7021794319152832,coral_true
B3c,13,732,0,True,0.0,1.0796782970428467,-0.34254249930381775,-1.3884304761886597,-1.7029776573181152,coral_true
B3c,14,732,0,True,0.0,1.0748720169067383,-0.35150280594825745,-1.3948471546173096,-1.7058587074279785,coral_true
B3nc,0,733,0,True,0.0,0.22865256667137146,-0.4980786442756653,-1.6145581007003784,-1.673431396484375,coral_true
B3nc,1,733,0,True,0.0,0.2293333262205124,-0.5006847381591797,-1.6163798570632935,-1.6749258041381836,coral_true
B3nc,2,732,0,True,0.0,0.22412312030792236,-0.5048669576644897,-1.6165016889572144,-1.6752249002456665,coral_true
B3nc,3,732,0,True,0.0,0.23678065836429596,-0.49380168318748474,-1.614761233329773,-1.6740039587020874,coral_true
B3nc,4,732,0,True,0.0,0.22036637365818024,-0.50657719373703,-1.6168428659439087,-1.6751664876937866,coral_true
B3nc,5,733,0,True,0.0,0.22603560984134674,-0.5010430812835693,-1.616503119468689,-1.6750874519348145,coral_true
B3nc,6,733,0,True,0.0,0.21517808735370636,-0.5112536549568176,-1.6162750720977783,-1.6745779514312744,coral_true
B3nc,7,732,0,True,0.0,0.2411922961473465,-0.4880423843860626,-1.6141728162765503,-1.6736561059951782,coral_true
B3nc,8,732,0,True,0.0,0.22315792739391327,-0.5072957277297974,-1.6165250539779663,-1.6751972436904907,coral_true
B3nc,9,732,0,True,0.0,0.2339806854724884,-0.4954338073730469,-1.6157091856002808,-1.6743862628936768,coral_true
B3nc,10,733,0,True,0.0,0.22141103446483612,-0.5056711435317993,-1.6167576313018799,-1.6751856803894043,coral_true
B3nc,11,733,0,True,0.0,0.23407615721225739,-0.4960360825061798,-1.6153736114501953,-1.674116611480713,coral_true
B3nc,12,732,0,True,0.0,0.24389885365962982,-0.48666131496429443,-1.6134332418441772,-1.6729627847671509,coral_true
B3nc,13,732,0,True,0.0,0.2174767106771469,-0.5093494653701782,-1.6166796684265137,-1.6753572225570679,coral_true
B3nc,14,732,0,True,0.0,0.22508549690246582,-0.5033160448074341,-1.6165965795516968,-1.6750223636627197,coral_true
B3dc,0,733,0,True,0.0,1.1012895107269287,-0.32224297523498535,-1.3940743207931519,-1.707292914390564,coral_true
B3dc,1,733,0,True,0.0,1.112216591835022,-0.3137194812297821,-1.3928430080413818,-1.7070674896240234,coral_true
B3dc,2,732,0,True,0.0,1.1000592708587646,-0.3283810615539551,-1.3990284204483032,-1.7098639011383057,coral_true
B3dc,3,732,0,True,0.0,1.0986590385437012,-0.33136430382728577,-1.402221441268921,-1.7112239599227905,coral_true
B3dc,4,732,0,True,0.0,1.104188084602356,-0.3191165328025818,-1.3975791931152344,-1.7099121809005737,coral_true
B3dc,5,733,0,True,0.0,1.0996053218841553,-0.3265150785446167,-1.3987915515899658,-1.7100043296813965,coral_true
B3dc,6,733,0,True,0.0,1.1068276166915894,-0.3188023269176483,-1.3945627212524414,-1.7081397771835327,coral_true
B3dc,7,732,0,True,0.0,1.1115213632583618,-0.31375065445899963,-1.3940726518630981,-1.7080081701278687,coral_true
B3dc,8,732,0,True,0.0,1.0913002490997314,-0.33799177408218384,-1.400930404663086,-1.7097889184951782,coral_true
B3dc,9,732,0,True,0.0,1.1041263341903687,-0.32407090067863464,-1.3981975317001343,-1.7092061042785645,coral_true
B3dc,10,733,0,True,0.0,1.1066356897354126,-0.3189968764781952,-1.3958802223205566,-1.7086312770843506,coral_true
B3dc,11,733,0,True,0.0,1.1044965982437134,-0.3213602602481842,-1.397566318511963,-1.7094813585281372,coral_true
B3dc,12,732,0,True,0.0,1.1006865501403809,-0.3266149163246155,-1.3978084325790405,-1.7092013359069824,coral_true
B3dc,13,732,0,True,0.0,1.1011124849319458,-0.32517009973526,-1.3979721069335938,-1.7093636989593506,coral_true
B3dc,14,732,0,True,0.0,1.1015981435775757,-0.32799866795539856,-1.399218201637268,-1.7098383903503418,coral_true
