arm,dataset,fold,n_train,n_test,bacc,mcc,macro_mae,macro_mae_true,per_class_recall
A1cp,oral_diseases,5,2060,104,0.7770413066465699,0.7418059649465099,0.3846153846153846,0.387779618042776,"[0.9375, 1.0, 0.5833333333333334, 0.5555555555555556, 0.7272727272727273, 0.7894736842105263, 0.8461538461538461]"
A2cp,oral_diseases,5,412,104,0.7899381320433951,0.7538244592484711,0.3269230769230769,0.32419335050914,"[1.0, 1.0, 0.6666666666666666, 0.5, 0.7272727272727273, 0.7894736842105263, 0.8461538461538461]"
A3cp,oral_diseases,5,2060,104,0.7250961027276815,0.6846505204703406,0.5288461538461539,0.5283317559633349,"[0.875, 0.9333333333333333, 0.5833333333333334, 0.5555555555555556, 0.5454545454545454, 0.7368421052631579, 0.8461538461538461]"
A4cp,oral_diseases,5,2060,104,0.7601762272814904,0.7210109938107815,0.4230769230769231,0.4195256497888077,"[0.875, 1.0, 0.5833333333333334, 0.5, 0.7272727272727273, 0.7894736842105263, 0.8461538461538461]"
A0cp,oral_diseases,6,413,103,0.7526989823042455,0.7262658661933595,0.4174757281553398,0.4196589959747854,"[0.9375, 0.9333333333333333, 0.6666666666666666, 0.7222222222222222, 0.6363636363636364, 0.7894736842105263, 0.5833333333333334]"
A1cp,oral_diseases,6,2065,103,0.7674897470950103,0.7501543668427758,0.3689320388349514,0.3817232475127212,"[0.9375, 0.9333333333333333, 0.6666666666666666, 0.8333333333333334, 0.5454545454545454, 0.7894736842105263, 0.6666666666666666]"
A2cp,oral_diseases,6,413,103,0.7526989823042455,0.7262658661933595,0.4174757281553398,0.4196589959747854,"[0.9375, 0.9333333333333333, 0.6666666666666666, 0.7222222222222222, 0.6363636363636364, 0.7894736842105263, 0.5833333333333334]"
A3cp,oral_diseases,6,2065,103,0.7378180299232932,0.7155365169361979,0.4077669902912621,0.4251272119693172,"[0.75, 0.9333333333333333, 0.5, 0.8888888888888888, 0.6363636363636364, 0.7894736842105263, 0.6666666666666666]"
A4cp,oral_diseases,6,2065,103,0.7794846965899599,0.7615287812425429,0.3398058252427184,0.3538552821447558,"[0.875, 0.9333333333333333, 0.6666666666666666, 0.8888888888888888, 0.6363636363636364, 0.7894736842105263, 0.6666666666666666]"
A0cp,oral_diseases,7,413,103,0.7249420900736689,0.681819003081383,0.3883495145631068,0.3857513100934153,"[0.8125, 1.0, 0.75, 0.5555555555555556, 0.6363636363636364, 0.7368421052631579, 0.5833333333333334]"
A1cp,oral_diseases,7,2065,103,0.733960849092428,0.6925803558783766,0.5145631067961165,0.5039255335307967,"[0.8125, 1.0, 0.6666666666666666, 0.6111111111111112, 0.7272727272727273, 0.7368421052631579, 0.5833333333333334]"
A2cp,oral_diseases,7,413,103,0.7379291030606819,0.6933555497528807,0.3786407766990291,0.3727642971064023,"[0.8125, 1.0, 0.75, 0.5555555555555556, 0.7272727272727273, 0.7368421052631579, 0.5833333333333334]"
A3cp,oral_diseases,7,2065,103,0.7154182805498596,0.6695495257394314,0.5048543689320388,0.4843728639781271,"[0.8125, 0.9333333333333333, 0.6666666666666666, 0.5555555555555556, 0.6363636363636364, 0.7368421052631579, 0.6666666666666666]"
A4cp,oral_diseases,7,2065,103,0.7458656109971898,0.7041881782149759,0.4951456310679611,0.4801160097212729,"[0.8125, 1.0, 0.75, 0.6111111111111112, 0.7272727272727273, 0.7368421052631579, 0.5833333333333334]"
A0cp,oral_diseases,8,413,103,0.7679542679542679,0.7279573852445216,0.4660194174757281,0.4591519591519591,"[1.0, 1.0, 0.6153846153846154, 0.6666666666666666, 0.6363636363636364, 0.6111111111111112, 0.8461538461538461]"
A1cp,oral_diseases,8,2065,103,0.7778887778887779,0.7398277993920505,0.4466019417475728,0.4504384504384505,"[1.0, 1.0, 0.5384615384615384, 0.7222222222222222, 0.7272727272727273, 0.6111111111111112, 0.8461538461538461]"
A2cp,oral_diseases,8,413,103,0.7679542679542679,0.7279573852445216,0.4660194174757281,0.4591519591519591,"[1.0, 1.0, 0.6153846153846154, 0.6666666666666666, 0.6363636363636364, 0.6111111111111112, 0.8461538461538461]"
A3cp,oral_diseases,8,2065,103,0.7598956598956599,0.7168415633620924,0.4660194174757281,0.4628149628149628,"[0.8666666666666667, 1.0, 0.6153846153846154, 0.6666666666666666, 0.6363636363636364, 0.6111111111111112, 0.9230769230769231]"
A4cp,oral_diseases,8,2065,103,0.7604284604284605,0.7176031113517273,0.5339805825242718,0.5313908313908314,"[0.9333333333333333, 1.0, 0.5384615384615384, 0.6666666666666666, 0.7272727272727273, 0.6111111111111112, 0.8461538461538461]"
A0cp,oral_diseases,9,413,103,0.7885659661975452,0.7383219674359368,0.3980582524271844,0.3785874943769681,"[0.875, 0.9333333333333333, 0.75, 0.5555555555555556, 0.9, 0.7368421052631579, 0.7692307692307693]"
A1cp,oral_diseases,9,2065,103,0.771975612107191,0.7274438572338275,0.3689320388349514,0.3553426836321573,"[0.9375, 0.9333333333333333, 0.75, 0.5, 0.7, 0.7368421052631579, 0.8461538461538461]"
A2cp,oral_diseases,9,413,103,0.7806294582610372,0.7277759728283644,0.3883495145631068,0.364545980335454,"[0.875, 0.9333333333333333, 0.75, 0.5, 0.9, 0.7368421052631579, 0.7692307692307693]"
A3cp,oral_diseases,9,2065,103,0.7591663453505559,0.7054160872182131,0.5728155339805825,0.5460044341623289,"[0.8125, 0.9333333333333333, 0.8333333333333334, 0.6111111111111112, 0.8, 0.631578947368421, 0.6923076923076923]"
A4cp,oral_diseases,9,2065,103,0.771975612107191,0.7278565521699497,0.3689320388349514,0.3553426836321573,"[0.9375, 0.9333333333333333, 0.75, 0.5, 0.7, 0.7368421052631579, 0.8461538461538461]"
A0cp,oral_diseases,10,412,104,0.7701008786535102,0.7316967553273157,0.3846153846153846,0.3848538157748684,"[0.9375, 1.0, 0.75, 0.3888888888888889, 0.7272727272727273, 0.8947368421052632, 0.6923076923076923]"
A1cp,oral_diseases,10,2060,104,0.7796176776439935,0.7449658975558526,0.4134615384615384,0.4227632747369589,"[0.9375, 1.0, 0.75, 0.3888888888888889, 0.8181818181818182, 0.9473684210526315, 0.6153846153846154]"
A2cp,oral_diseases,10,412,104,0.7701008786535102,0.7316967553273157,0.3846153846153846,0.3848538157748684,"[0.9375, 1.0, 0.75, 0.3888888888888889, 0.7272727272727273, 0.8947368421052632, 0.6923076923076923]"
A3cp,oral_diseases,10,2060,104,0.8153319633582792,0.7878845500885877,0.3557692307692308,0.3711759731496573,"[0.9375, 1.0, 0.8333333333333334, 0.5555555555555556, 0.8181818181818182, 0.9473684210526315, 0.6153846153846154]"
A4cp,oral_diseases,10,2060,104,0.7720988806515123,0.7333162889743872,0.4230769230769231,0.4302820717294401,"[0.9375, 1.0, 0.75, 0.3888888888888889, 0.8181818181818182, 0.8947368421052632, 0.6153846153846154]"
A0cp,oral_diseases,11,413,103,0.6963222450064555,0.6483264238845232,0.6893203883495146,0.6951868307131465,"[0.875, 0.9333333333333333, 0.75, 0.5555555555555556, 0.5454545454545454, 0.631578947368421, 0.5833333333333334]"
A1cp,oral_diseases,11,2065,103,0.6725127211969317,0.625945051995183,0.6796116504854369,0.7095978582820689,"[0.875, 0.9333333333333333, 0.6666666666666666, 0.5555555555555556, 0.5454545454545454, 0.631578947368421, 0.5]"
A2cp,oral_diseases,11,413,103,0.6888034480139743,0.6373621867829058,0.6990291262135923,0.7027056277056277,"[0.875, 0.9333333333333333, 0.75, 0.5555555555555556, 0.5454545454545454, 0.5789473684210527, 0.5833333333333334]"
A3cp,oral_diseases,11,2065,103,0.6616000227842334,0.6150141187131684,0.6310679611650486,0.6619788106630213,"[0.9375, 0.9333333333333333, 0.6666666666666666, 0.5, 0.5454545454545454, 0.631578947368421, 0.4166666666666667]"
A4cp,oral_diseases,11,2065,103,0.6844174831016936,0.6375131328687864,0.6699029126213593,0.697693096377307,"[0.875, 0.9333333333333333, 0.6666666666666666, 0.5555555555555556, 0.5454545454545454, 0.631578947368421, 0.5833333333333334]"
A0cp,oral_diseases,12,413,103,0.8229190400243033,0.7956790659986978,0.3009708737864077,0.3081899825320877,"[0.875, 1.0, 0.75, 0.7777777777777778, 0.8181818181818182, 0.7894736842105263, 0.75]"
A1cp,oral_diseases,12,2065,103,0.7567602718918508,0.7068129287148576,0.4757281553398058,0.455019176729703,"[0.8125, 0.8666666666666667, 0.6666666666666666, 0.5555555555555556, 0.9090909090909091, 0.7368421052631579, 0.75]"
A2cp,oral_diseases,12,413,103,0.8229190400243033,0.7956790659986978,0.3009708737864077,0.3081899825320877,"[0.875, 1.0, 0.75, 0.7777777777777778, 0.8181818181818182, 0.7894736842105263, 0.75]"
A3cp,oral_diseases,12,2065,103,0.6935957317536265,0.6493583485686599,0.5728155339805825,0.5911122503227766,"[0.875, 0.8666666666666667, 0.5, 0.6111111111111112, 0.8181818181818182, 0.6842105263157895, 0.5]"
A4cp,oral_diseases,12,2065,103,0.7413049669628616,0.6849385031910356,0.4951456310679611,0.4704744816586922,"[0.8125, 0.8666666666666667, 0.6666666666666666, 0.5, 0.9090909090909091, 0.6842105263157895, 0.75]"
A0cp,oral_diseases,13,413,103,0.7581418581418582,0.7281045317501182,0.4466019417475728,0.457165057165057,"[0.8666666666666667, 0.9333333333333333, 0.7692307692307693, 0.7777777777777778, 0.5454545454545454, 0.7222222222222222, 0.6923076923076923]"
A1cp,oral_diseases,13,2065,103,0.7855366855366854,0.7634902587131348,0.4077669902912621,0.4256965256965256,"[0.9333333333333333, 0.9333333333333333, 0.7692307692307693, 0.7777777777777778, 0.6363636363636364, 0.8333333333333334, 0.6153846153846154]"
A2cp,oral_diseases,13,413,103,0.7581418581418582,0.7281045317501182,0.4466019417475728,0.457165057165057,"[0.8666666666666667, 0.9333333333333333, 0.7692307692307693, 0.7777777777777778, 0.5454545454545454, 0.7222222222222222, 0.6923076923076923]"
A3cp,oral_diseases,13,2065,103,0.7506160506160507,0.7174129590128281,0.5145631067961165,0.5301032301032301,"[0.8666666666666667, 0.8666666666666667, 0.6923076923076923, 0.7222222222222222, 0.6363636363636364, 0.7777777777777778, 0.6923076923076923]"
A4cp,oral_diseases,13,2065,103,0.7776001776001775,0.7512347614552356,0.4174757281553398,0.4336330336330336,"[0.9333333333333333, 0.9333333333333333, 0.7692307692307693, 0.7777777777777778, 0.6363636363636364, 0.7777777777777778, 0.6153846153846154]"
A0cp,oral_diseases,14,413,103,0.7795016387121649,0.7274136582235132,0.47572815533980584,0.441185495790759,"[0.875, 1.0, 0.6666666666666666, 0.6666666666666666, 0.9, 0.5789473684210527, 0.7692307692307693]"
A1cp,oral_diseases,14,2065,103,0.8103319195424458,0.7616467926173699,0.4174757281553398,0.38555362765889084,"[0.875, 1.0, 0.75, 0.7222222222222222, 0.9, 0.5789473684210527, 0.8461538461538461]"
A2cp,oral_diseases,14,413,103,0.7980094466936573,0.7505258481858359,0.44660194174757284,0.4151588908167856,"[0.875, 1.0, 0.6666666666666666, 0.6666666666666666, 0.9, 0.631578947368421, 0.8461538461538461]"
A3cp,oral_diseases,14,2065,103,0.7867344643660433,0.7492247523414917,0.44660194174757284,0.43496561917614557,"[0.875, 0.8666666666666667, 0.5833333333333334, 0.7222222222222222, 0.8, 0.7368421052631579, 0.9230769230769231]"
A4cp,oral_diseases,14,2065,103,0.8103319195424458,0.7616467926173699,0.4174757281553398,0.38555362765889084,"[0.875, 1.0, 0.75, 0.7222222222222222, 0.9, 0.5789473684210527, 0.8461538461538461]"
