arm,fold,bacc,bacc_leakex,bacc_leaked_only,n_test,n_leaked,exploratory
B3,8,0.6831477711807304,0.6816049946977766,0.6518518518518519,732,47,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B3,9,0.612489678210012,0.6112569807797332,0.4594896331738437,732,41,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B3,10,0.6833396972004419,0.6765119021987528,0.645054945054945,733,45,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B3,11,0.6405587536490397,0.6351788851788852,0.6533333333333333,733,34,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B3,12,0.6465779131871436,0.6458126746328994,0.6466666666666667,732,39,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B3,13,0.671303277783629,0.6584783938576375,0.6404761904761904,732,44,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B3,14,0.6643687307845462,0.6662238387157563,0.661904761904762,732,43,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B3d,0,0.6533423935226836,0.6344540811582384,0.7333333333333333,733,39,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B3d,1,0.6436925997098306,0.642874074112453,0.7275,733,31,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B3d,2,0.6765525103957425,0.6698099740110912,0.6297777777777778,732,42,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B3d,3,0.6342479484508219,0.6231625005310079,0.6733333333333333,732,36,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B3d,4,0.606021777685439,0.5880795578706441,0.7533333333333333,732,43,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B3d,5,0.6494043202064705,0.6346781633666879,0.8058823529411765,733,35,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B3d,6,0.6297206235984583,0.6223278689526324,0.7333333333333333,733,36,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B3d,7,0.6313526075960931,0.6308430468961779,0.5619047619047619,732,37,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B3d,8,0.6387706833083142,0.6270591406686872,0.7203703703703703,732,47,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B3d,9,0.6473152060512781,0.6445388814247976,0.5033492822966508,732,41,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B3d,10,0.6244032138586343,0.6061065140754819,0.7783882783882783,733,45,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B3d,11,0.6291198558347719,0.6183997633997633,0.731111111111111,733,34,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B3d,12,0.6079233474988675,0.6021795266739087,0.6648484848484848,732,39,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B3d,13,0.626835061410065,0.6128041956627722,0.6904761904761905,732,44,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B3d,14,0.6359587670410766,0.6351733136368108,0.6666666666666666,732,43,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B4,0,0.6656601257019117,0.651811208710352,0.6833333333333333,733,39,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B4,1,0.6550806332124235,0.6568227648221806,0.6775,733,31,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B4,2,0.6523972410835175,0.6468873609320537,0.6217777777777778,732,42,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B4,3,0.6953603315978545,0.6859322113246413,0.61,732,36,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B4,4,0.6698928076051497,0.6600426240008413,0.8016666666666665,732,43,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B4,5,0.6389113164419986,0.6272837666280289,0.7511764705882353,733,35,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B4,6,0.7208816627539573,0.7137887493131968,0.8095238095238095,733,36,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B4,7,0.6745185359546129,0.6813631517122978,0.5087301587301587,732,37,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B4,8,0.6762499825521563,0.6702573809836709,0.7185185185185186,732,47,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B4,9,0.6192744777151151,0.6146130216403013,0.5244019138755981,732,41,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B4,10,0.6719828254327057,0.6584063561853174,0.7194139194139193,733,45,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B4,11,0.6282434773453132,0.6138410988410988,0.7822222222222223,733,34,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B4,12,0.6747672521105545,0.6712499527106268,0.6921212121212121,732,39,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B4,13,0.6624598325260798,0.6434251338240597,0.7119047619047619,732,44,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B4,14,0.6690050162108798,0.6717238042485738,0.6523809523809524,732,43,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B4d,0,0.6770344561805663,0.6635188976682643,0.6944444444444444,733,39,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B4d,1,0.6368293786351911,0.6296260366808708,0.765,733,31,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B4d,2,0.6450672293966345,0.6365356102618672,0.6297777777777778,732,42,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B4d,3,0.63930507459429,0.6255463051825496,0.6933333333333335,732,36,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B4d,4,0.626500604956762,0.608875763347908,0.7699999999999999,732,43,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B4d,5,0.6183417095021396,0.5963276007538302,0.8294117647058823,733,35,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B4d,6,0.6416541397494024,0.631816923132545,0.7619047619047619,733,36,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B4d,7,0.6201199333048246,0.6146261859582542,0.5968253968253968,732,37,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B4d,8,0.6355170436881314,0.6212265619678341,0.7499999999999999,732,47,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B4d,9,0.6429376611076933,0.6403715355721898,0.5138755980861245,732,41,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B4d,10,0.6286640847437128,0.6102999960338595,0.7728937728937728,733,45,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B4d,11,0.6274997378675016,0.6145938195938196,0.7533333333333333,733,34,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B4d,12,0.6307670148198812,0.622202684955494,0.7012121212121212,732,39,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B4d,13,0.6406672943660595,0.6246793907429085,0.7190476190476189,732,44,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B4d,14,0.6445938737743081,0.6392220419190219,0.6952380952380952,732,43,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B5,0,0.644197530120672,0.6326903295894729,0.6444444444444445,733,39,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B5,1,0.6250542088965488,0.6240648580878617,0.6875,733,31,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B5,2,0.6529838325108525,0.6533909727764476,0.47911111111111104,732,42,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B5,3,0.6548901661415394,0.6431217538083014,0.6833333333333333,732,36,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B5,4,0.6462077960284283,0.633110155818373,0.6433333333333333,732,43,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B5,5,0.5952435574183074,0.5867565585598372,0.668235294117647,733,35,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B5,6,0.6478956526871453,0.6432212628621216,0.7238095238095239,733,36,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B5,7,0.6658605339928407,0.6627295563386644,0.6222222222222221,732,37,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B5,8,0.6682427927716439,0.661794791694871,0.6240740740740741,732,47,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B5,9,0.5969253016436207,0.5973490422319209,0.4182615629984051,732,41,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B5,10,0.6499979965808408,0.6461021978623853,0.6721611721611721,733,45,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B5,11,0.6291658216379095,0.6197597147597147,0.6950000000000001,733,34,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B5,12,0.6220073610866137,0.6132968529597743,0.6943939393939395,732,39,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B5,13,0.6715928688442421,0.6548288543652417,0.738095238095238,732,44,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
