bacc,mcc,macro_mae,classmean_mae,per_class_recall,arm,dataset,fold,n_train,n_test,splitter,splits_sha256,class_weight_range
0.6529261829158068,0.7190073243146148,0.24965893587994542,0.4551999072571869,"[0.9861495844875346, 0.6486486486486487, 0.745, 0.41025641025641024, 0.4745762711864407]",w16_fz_ce_g,aptos2019,5,2929,733,"StratifiedGroupKFold(5,shuffle,rs=1)",8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85,"[0.4056786703601108, 3.803896103896104]"
0.6660856281274141,0.6980204293520961,0.2810368349249659,0.4564614423479159,"[0.9833795013850416, 0.7027027027027027, 0.64, 0.5128205128205128, 0.4915254237288136]",w16_fz_wce_g,aptos2019,5,2929,733,"StratifiedGroupKFold(5,shuffle,rs=1)",8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85,"[0.4056786703601108, 3.803896103896104]"
0.6686225047021328,0.7339947560954895,0.24420190995907232,0.44947367633662766,"[0.9750692520775623, 0.581081081081081, 0.8, 0.46153846153846156, 0.5254237288135594]",w16_fz_ce_g,aptos2019,6,2929,733,"StratifiedGroupKFold(5,shuffle,rs=1)",8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85,"[0.4056786703601108, 3.803896103896104]"
0.685597666781619,0.7138245057062587,0.2728512960436562,0.4334526308696457,"[0.9695290858725761, 0.6756756756756757, 0.685, 0.5384615384615384, 0.559322033898305]",w16_fz_wce_g,aptos2019,6,2929,733,"StratifiedGroupKFold(5,shuffle,rs=1)",8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85,"[0.4056786703601108, 3.803896103896104]"
0.6385432268739936,0.7206683558284135,0.23224043715846995,0.4483459165066752,"[0.9778393351800554, 0.581081081081081, 0.785, 0.2894736842105263, 0.559322033898305]",w16_fz_ce_g,aptos2019,7,2930,732,"StratifiedGroupKFold(5,shuffle,rs=1)",8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85,"[0.40581717451523547, 3.7806451612903227]"
0.652610976533602,0.6836453946553002,0.2786885245901639,0.4442012085328203,"[0.9750692520775623, 0.581081081081081, 0.64, 0.47368421052631576, 0.5932203389830508]",w16_fz_wce_g,aptos2019,7,2930,732,"StratifiedGroupKFold(5,shuffle,rs=1)",8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85,"[0.40581717451523547, 3.7806451612903227]"
0.6476065879135502,0.7126568041802449,0.26366120218579236,0.48588260389576465,"[0.9806094182825484, 0.5405405405405406, 0.7638190954773869, 0.46153846153846156, 0.4915254237288136]",w16_fz_ce_g,aptos2019,8,2930,732,"StratifiedGroupKFold(5,shuffle,rs=1)",8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85,"[0.40581717451523547, 3.8051948051948052]"
0.6585829320665292,0.6983223254426438,0.2773224043715847,0.4687568687198745,"[0.9750692520775623, 0.6081081081081081, 0.6884422110552764, 0.5128205128205128, 0.5084745762711864]",w16_fz_wce_g,aptos2019,8,2930,732,"StratifiedGroupKFold(5,shuffle,rs=1)",8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85,"[0.40581717451523547, 3.8051948051948052]"
0.6326584651227123,0.7239534542417236,0.2581967213114754,0.5214838509103968,"[0.9916897506925207, 0.6351351351351351, 0.78, 0.3157894736842105, 0.4406779661016949]",w16_fz_ce_g,aptos2019,9,2930,732,"StratifiedGroupKFold(5,shuffle,rs=1)",8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85,"[0.40581717451523547, 3.7806451612903227]"
0.6491966746313429,0.696182649245723,0.2978142076502732,0.5066179607467931,"[0.9750692520775623, 0.7027027027027027, 0.665, 0.39473684210526316, 0.5084745762711864]",w16_fz_wce_g,aptos2019,9,2930,732,"StratifiedGroupKFold(5,shuffle,rs=1)",8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85,"[0.40581717451523547, 3.7806451612903227]"
0.6496644078013157,0.7329967293618087,0.24283765347885403,0.4819749616855115,"[0.997229916897507, 0.5675675675675675, 0.79, 0.4358974358974359, 0.4576271186440678]",w16_fz_ce_g,aptos2019,10,2929,733,"StratifiedGroupKFold(5,shuffle,rs=2)",8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85,"[0.4056786703601108, 3.803896103896104]"
0.645655129355303,0.6965671951035862,0.29195088676671216,0.5081537316569478,"[0.9889196675900277, 0.7297297297297297, 0.65, 0.4358974358974359, 0.423728813559322]",w16_fz_wce_g,aptos2019,10,2929,733,"StratifiedGroupKFold(5,shuffle,rs=2)",8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85,"[0.4056786703601108, 3.803896103896104]"
0.6374083829104252,0.7119175882571124,0.25648021828103684,0.4480968520771328,"[0.9778393351800554, 0.6621621621621622, 0.74, 0.23076923076923078, 0.576271186440678]",w16_fz_ce_g,aptos2019,11,2929,733,"StratifiedGroupKFold(5,shuffle,rs=2)",8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85,"[0.4056786703601108, 3.803896103896104]"
0.6607889503953169,0.6982975069341543,0.2755798090040928,0.423285167686548,"[0.9722991689750693, 0.7837837837837838, 0.63, 0.3076923076923077, 0.6101694915254238]",w16_fz_wce_g,aptos2019,11,2929,733,"StratifiedGroupKFold(5,shuffle,rs=2)",8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85,"[0.4056786703601108, 3.803896103896104]"
0.7027963525758728,0.75070237886953,0.22950819672131148,0.39406771286052,"[0.9833795013850416, 0.6486486486486487, 0.77, 0.5526315789473685, 0.559322033898305]",w16_fz_ce_g,aptos2019,12,2930,732,"StratifiedGroupKFold(5,shuffle,rs=2)",8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85,"[0.40581717451523547, 3.7806451612903227]"
0.7014152764436347,0.7169217735584248,0.28005464480874315,0.4155318191565902,"[0.9778393351800554, 0.7027027027027027, 0.645, 0.6052631578947368, 0.576271186440678]",w16_fz_wce_g,aptos2019,12,2930,732,"StratifiedGroupKFold(5,shuffle,rs=2)",8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85,"[0.40581717451523547, 3.7806451612903227]"
0.6025446856163187,0.6925062726707399,0.25956284153005466,0.5117700724116295,"[0.9806094182825484, 0.5405405405405406, 0.7688442211055276, 0.28205128205128205, 0.4406779661016949]",w16_fz_ce_g,aptos2019,13,2930,732,"StratifiedGroupKFold(5,shuffle,rs=2)",8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85,"[0.40581717451523547, 3.8051948051948052]"
0.6235570261755463,0.6827245084854571,0.27595628415300544,0.49586463549975657,"[0.9806094182825484, 0.5675675675675675, 0.6934673366834171, 0.38461538461538464, 0.4915254237288136]",w16_fz_wce_g,aptos2019,13,2930,732,"StratifiedGroupKFold(5,shuffle,rs=2)",8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85,"[0.40581717451523547, 3.8051948051948052]"
0.6307783273672283,0.6848347296346597,0.2677595628415301,0.4850215566521966,"[0.96398891966759, 0.5405405405405406, 0.735, 0.47368421052631576, 0.4406779661016949]",w16_fz_ce_g,aptos2019,14,2930,732,"StratifiedGroupKFold(5,shuffle,rs=2)",8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85,"[0.40581717451523547, 3.7806451612903227]"
0.652443444242402,0.6699181585730883,0.2978142076502732,0.4711961594441054,"[0.961218836565097, 0.6081081081081081, 0.63, 0.6052631578947368, 0.4576271186440678]",w16_fz_wce_g,aptos2019,14,2930,732,"StratifiedGroupKFold(5,shuffle,rs=2)",8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85,"[0.40581717451523547, 3.7806451612903227]"
0.6755957492799597,0.6167974606309454,0.5384615384615384,0.5215830952673057,"[0.8666666666666667, 0.9333333333333333, 0.7692307692307693, 0.4444444444444444, 0.5454545454545454, 0.631578947368421, 0.5384615384615384]",w16_fz_ce_g,oral_diseases,0,412,104,"StratifiedGroupKFold(5,shuffle,rs=0)",8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85,"[0.7847619047619048, 1.3687707641196014]"
0.6851195588037692,0.6283121202309517,0.5192307692307693,0.5025354762196867,"[0.8666666666666667, 1.0, 0.7692307692307693, 0.4444444444444444, 0.5454545454545454, 0.631578947368421, 0.5384615384615384]",w16_fz_wce_g,oral_diseases,0,412,104,"StratifiedGroupKFold(5,shuffle,rs=0)",8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85,"[0.7847619047619048, 1.3687707641196014]"
0.714431401931402,0.6821776364434959,0.49514563106796117,0.48520229770229767,"[0.9375, 1.0, 0.5833333333333334, 0.6666666666666666, 0.45454545454545453, 0.6666666666666666, 0.6923076923076923]",w16_fz_ce_g,oral_diseases,1,413,103,"StratifiedGroupKFold(5,shuffle,rs=0)",8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85,"[0.7763157894736842, 1.372093023255814]"
0.7254204129204129,0.6937729533642918,0.5242718446601942,0.5059593184593185,"[0.9375, 1.0, 0.5833333333333334, 0.6666666666666666, 0.45454545454545453, 0.6666666666666666, 0.7692307692307693]",w16_fz_wce_g,oral_diseases,1,413,103,"StratifiedGroupKFold(5,shuffle,rs=0)",8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85,"[0.7763157894736842, 1.372093023255814]"
0.747095010252905,0.7046702109960519,0.5242718446601942,0.5061137692716641,"[0.75, 1.0, 0.6666666666666666, 0.6666666666666666, 0.5454545454545454, 0.6842105263157895, 0.9166666666666666]",w16_fz_ce_g,oral_diseases,2,413,103,"StratifiedGroupKFold(5,shuffle,rs=0)",8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85,"[0.7866666666666666, 1.372093023255814]"
