dataset,task,task_label,mapping_assumed,arm,base,fold,repeat,n,tp,fp,fn,tn,prevalence,sens,spec,ppv,npv,tp_rate,fp_rate,exploratory
oral_diseases,oral_nonbenign,"cancer-suspect + OPMD surveillance (MC, OC, OLP) [ASSUMED]",True,A3,A0,7,1,103,41,11,7,44,0.46601941747572817,0.8541666666666666,0.8,0.7884615384615384,0.8627450980392157,0.39805825242718446,0.10679611650485436,탐색적/exploratory
oral_diseases,oral_nonbenign,"cancer-suspect + OPMD surveillance (MC, OC, OLP) [ASSUMED]",True,A3,A0,8,1,103,39,5,8,51,0.4563106796116505,0.8297872340425532,0.9107142857142857,0.8863636363636364,0.864406779661017,0.3786407766990291,0.04854368932038835,탐색적/exploratory
oral_diseases,oral_nonbenign,"cancer-suspect + OPMD surveillance (MC, OC, OLP) [ASSUMED]",True,A3,A0,9,1,103,38,7,9,49,0.4563106796116505,0.8085106382978723,0.875,0.8444444444444444,0.8448275862068966,0.36893203883495146,0.06796116504854369,탐색적/exploratory
oral_diseases,oral_nonbenign,"cancer-suspect + OPMD surveillance (MC, OC, OLP) [ASSUMED]",True,A3,A0,10,2,104,41,3,7,53,0.46153846153846156,0.8541666666666666,0.9464285714285714,0.9318181818181818,0.8833333333333333,0.3942307692307692,0.028846153846153848,탐색적/exploratory
oral_diseases,oral_nonbenign,"cancer-suspect + OPMD surveillance (MC, OC, OLP) [ASSUMED]",True,A3,A0,11,2,103,45,9,3,46,0.46601941747572817,0.9375,0.8363636363636363,0.8333333333333334,0.9387755102040817,0.4368932038834951,0.08737864077669903,탐색적/exploratory
oral_diseases,oral_nonbenign,"cancer-suspect + OPMD surveillance (MC, OC, OLP) [ASSUMED]",True,A3,A0,12,2,103,42,6,6,49,0.46601941747572817,0.875,0.8909090909090909,0.875,0.8909090909090909,0.4077669902912621,0.05825242718446602,탐색적/exploratory
oral_diseases,oral_nonbenign,"cancer-suspect + OPMD surveillance (MC, OC, OLP) [ASSUMED]",True,A3,A0,13,2,103,44,10,3,46,0.4563106796116505,0.9361702127659575,0.8214285714285714,0.8148148148148148,0.9387755102040817,0.42718446601941745,0.0970873786407767,탐색적/exploratory
oral_diseases,oral_nonbenign,"cancer-suspect + OPMD surveillance (MC, OC, OLP) [ASSUMED]",True,A3,A0,14,2,103,40,7,7,49,0.4563106796116505,0.851063829787234,0.875,0.851063829787234,0.875,0.3883495145631068,0.06796116504854369,탐색적/exploratory
oral_diseases,oral_nonbenign,"cancer-suspect + OPMD surveillance (MC, OC, OLP) [ASSUMED]",True,A4,A0,0,0,104,45,12,3,44,0.46153846153846156,0.9375,0.7857142857142857,0.7894736842105263,0.9361702127659575,0.4326923076923077,0.11538461538461539,탐색적/exploratory
oral_diseases,oral_nonbenign,"cancer-suspect + OPMD surveillance (MC, OC, OLP) [ASSUMED]",True,A4,A0,1,0,103,37,4,11,51,0.46601941747572817,0.7708333333333334,0.9272727272727272,0.9024390243902439,0.8225806451612904,0.3592233009708738,0.038834951456310676,탐색적/exploratory
oral_diseases,oral_nonbenign,"cancer-suspect + OPMD surveillance (MC, OC, OLP) [ASSUMED]",True,A4,A0,2,0,103,41,8,7,47,0.46601941747572817,0.8541666666666666,0.8545454545454545,0.8367346938775511,0.8703703703703703,0.39805825242718446,0.07766990291262135,탐색적/exploratory
oral_diseases,oral_nonbenign,"cancer-suspect + OPMD surveillance (MC, OC, OLP) [ASSUMED]",True,A4,A0,3,0,103,39,4,8,52,0.4563106796116505,0.8297872340425532,0.9285714285714286,0.9069767441860465,0.8666666666666667,0.3786407766990291,0.038834951456310676,탐색적/exploratory
oral_diseases,oral_nonbenign,"cancer-suspect + OPMD surveillance (MC, OC, OLP) [ASSUMED]",True,A4,A0,4,0,103,40,6,7,50,0.4563106796116505,0.851063829787234,0.8928571428571429,0.8695652173913043,0.8771929824561403,0.3883495145631068,0.05825242718446602,탐색적/exploratory
oral_diseases,oral_nonbenign,"cancer-suspect + OPMD surveillance (MC, OC, OLP) [ASSUMED]",True,A4,A0,5,1,104,42,4,6,52,0.46153846153846156,0.875,0.9285714285714286,0.9130434782608695,0.896551724137931,0.40384615384615385,0.038461538461538464,탐색적/exploratory
oral_diseases,oral_nonbenign,"cancer-suspect + OPMD surveillance (MC, OC, OLP) [ASSUMED]",True,A4,A0,6,1,103,45,9,3,46,0.46601941747572817,0.9375,0.8363636363636363,0.8333333333333334,0.9387755102040817,0.4368932038834951,0.08737864077669903,탐색적/exploratory
oral_diseases,oral_nonbenign,"cancer-suspect + OPMD surveillance (MC, OC, OLP) [ASSUMED]",True,A4,A0,7,1,103,42,10,6,45,0.46601941747572817,0.875,0.8181818181818182,0.8076923076923077,0.8823529411764706,0.4077669902912621,0.0970873786407767,탐색적/exploratory
oral_diseases,oral_nonbenign,"cancer-suspect + OPMD surveillance (MC, OC, OLP) [ASSUMED]",True,A4,A0,8,1,103,39,4,8,52,0.4563106796116505,0.8297872340425532,0.9285714285714286,0.9069767441860465,0.8666666666666667,0.3786407766990291,0.038834951456310676,탐색적/exploratory
oral_diseases,oral_nonbenign,"cancer-suspect + OPMD surveillance (MC, OC, OLP) [ASSUMED]",True,A4,A0,9,1,103,35,8,12,48,0.4563106796116505,0.7446808510638298,0.8571428571428571,0.813953488372093,0.8,0.33980582524271846,0.07766990291262135,탐색적/exploratory
oral_diseases,oral_nonbenign,"cancer-suspect + OPMD surveillance (MC, OC, OLP) [ASSUMED]",True,A4,A0,10,2,104,39,3,9,53,0.46153846153846156,0.8125,0.9464285714285714,0.9285714285714286,0.8548387096774194,0.375,0.028846153846153848,탐색적/exploratory
oral_diseases,oral_nonbenign,"cancer-suspect + OPMD surveillance (MC, OC, OLP) [ASSUMED]",True,A4,A0,11,2,103,42,7,6,48,0.46601941747572817,0.875,0.8727272727272727,0.8571428571428571,0.8888888888888888,0.4077669902912621,0.06796116504854369,탐색적/exploratory
oral_diseases,oral_nonbenign,"cancer-suspect + OPMD surveillance (MC, OC, OLP) [ASSUMED]",True,A4,A0,12,2,103,43,6,5,49,0.46601941747572817,0.8958333333333334,0.8909090909090909,0.8775510204081632,0.9074074074074074,0.4174757281553398,0.05825242718446602,탐색적/exploratory
oral_diseases,oral_nonbenign,"cancer-suspect + OPMD surveillance (MC, OC, OLP) [ASSUMED]",True,A4,A0,13,2,103,44,10,3,46,0.4563106796116505,0.9361702127659575,0.8214285714285714,0.8148148148148148,0.9387755102040817,0.42718446601941745,0.0970873786407767,탐색적/exploratory
oral_diseases,oral_nonbenign,"cancer-suspect + OPMD surveillance (MC, OC, OLP) [ASSUMED]",True,A4,A0,14,2,103,41,8,6,48,0.4563106796116505,0.8723404255319149,0.8571428571428571,0.8367346938775511,0.8888888888888888,0.39805825242718446,0.07766990291262135,탐색적/exploratory
oral_diseases,oral_nonbenign,"cancer-suspect + OPMD surveillance (MC, OC, OLP) [ASSUMED]",True,A5,A0,0,0,104,47,13,1,43,0.46153846153846156,0.9791666666666666,0.7678571428571429,0.7833333333333333,0.9772727272727273,0.4519230769230769,0.125,탐색적/exploratory
oral_diseases,oral_nonbenign,"cancer-suspect + OPMD surveillance (MC, OC, OLP) [ASSUMED]",True,A5,A0,1,0,103,37,9,11,46,0.46601941747572817,0.7708333333333334,0.8363636363636363,0.8043478260869565,0.8070175438596491,0.3592233009708738,0.08737864077669903,탐색적/exploratory
oral_diseases,oral_nonbenign,"cancer-suspect + OPMD surveillance (MC, OC, OLP) [ASSUMED]",True,A5,A0,2,0,103,44,8,4,47,0.46601941747572817,0.9166666666666666,0.8545454545454545,0.8461538461538461,0.9215686274509803,0.42718446601941745,0.07766990291262135,탐색적/exploratory
oral_diseases,oral_nonbenign,"cancer-suspect + OPMD surveillance (MC, OC, OLP) [ASSUMED]",True,A5,A0,3,0,103,39,7,8,49,0.4563106796116505,0.8297872340425532,0.875,0.8478260869565217,0.8596491228070176,0.3786407766990291,0.06796116504854369,탐색적/exploratory
