dataset,arm,base,role,rep,lever,loss,preregistered,side,fold,cls,class_name,cos_centred,cos_raw,relnorm_centred,relnorm_raw,scale_ratio,bias_arm,bias_base,bias_diff,bias_diff_centred,neg_log_prior,prior,margin_spearman,margin_spearman_p,recall_base,recall_arm,bias_slope,bias_r,flip_repro,n_flip,relnorm_fro_centred,margin_spearman_true,bacc_base,bacc_arm,bacc_base_offset,offset_identified,train_agree_before,flip_repro_ceiling,exploratory
oral_diseases,A1,A0,primary,panderm,aug,ce,True,False,13,3,MC,0.8151279091835022,0.8165126442909241,0.6623879671096802,0.65198814868927,1.1363619565963745,0.3907491862773895,0.2839505672454834,0.10679861903190613,0.10153409838676453,1.7467814739449776,0.17433414043583534,0.9791656370295931,9.515172594549273e-72,0.6666666666666666,0.7777777777777778,-0.18970610763398407,-0.6022083284047265,0.0,11,0.6965104341506958,0.9541358461969326,0.7233433233433233,0.7251748251748252,0.7233433233433233,False,1.0,0.36363636363636365,탐색적/exploratory
oral_diseases,A1,A0,primary,panderm,aug,ce,True,False,13,4,OC,0.7577242255210876,0.7511587142944336,0.7734249234199524,0.7830899357795715,1.1728533506393433,-0.2740710377693176,-0.18563967943191528,-0.08843135833740234,-0.09369587898254395,2.2622474772674703,0.10411622276029056,0.954366484901402,8.095035642067838e-55,0.5454545454545454,0.5454545454545454,-0.18970610763398407,-0.6022083284047265,0.0,11,0.6965104341506958,0.9541358461969326,0.7233433233433233,0.7251748251748252,0.7233433233433233,False,1.0,0.36363636363636365,탐색적/exploratory
oral_diseases,A1,A0,primary,panderm,aug,ce,True,False,13,5,OLP,0.7930620312690735,0.7904238700866699,0.7322596311569214,0.741940438747406,1.1994502544403076,0.13227631151676178,0.0973595604300499,0.034916751086711884,0.029652222990989685,1.6927142526747017,0.18401937046004843,0.9840969121870591,1.2801720663858543e-77,0.6666666666666666,0.7222222222222222,-0.18970610763398407,-0.6022083284047265,0.0,11,0.6965104341506958,0.9541358461969326,0.7233433233433233,0.7251748251748252,0.7233433233433233,False,1.0,0.36363636363636365,탐색적/exploratory
oral_diseases,A1,A0,primary,panderm,aug,ce,True,False,13,6,OT,0.7824012041091919,0.7782464027404785,0.7706405520439148,0.7724164128303528,1.2363159656524658,-0.009126703254878521,-0.07544373720884323,0.06631703674793243,0.061052508652210236,2.1114245875328868,0.12106537530266344,0.947392409790064,8.954463029245328e-52,0.6153846153846154,0.46153846153846156,-0.18970610763398407,-0.6022083284047265,0.0,11,0.6965104341506958,0.9541358461969326,0.7233433233433233,0.7251748251748252,0.7233433233433233,False,1.0,0.36363636363636365,탐색적/exploratory
oral_diseases,A2,A0,primary,panderm,rebalance,ce,True,False,13,0,CaS,0.9961792230606079,0.9962225556373596,0.08742192387580872,0.08751469105482101,1.0001220703125,0.07428116351366043,0.07164180278778076,0.002639360725879669,0.0029198452830314636,1.8645645096013608,0.1549636803874092,0.9990335140003185,6.964759618482779e-139,0.8666666666666667,0.8666666666666667,0.09180145946256615,0.48476798567152446,,0,0.10907959938049316,0.9988138580913,0.7233433233433233,0.7233433233433233,0.7233433233433233,False,1.0,,탐색적/exploratory
oral_diseases,A2,A0,primary,panderm,rebalance,ce,True,False,13,1,CoS,0.993930459022522,0.9944397211074829,0.11070434749126434,0.10584554821252823,1.0062979459762573,-0.15803208947181702,-0.1381227970123291,-0.019909292459487915,-0.019628793001174927,1.929103030738932,0.14527845036319612,0.9980560452051861,1.4416881363211295e-123,0.9333333333333333,0.9333333333333333,0.09180145946256615,0.48476798567152446,,0,0.10907959938049316,0.9988138580913,0.7233433233433233,0.7233433233433233,0.7233433233433233,False,1.0,,탐색적/exploratory
oral_diseases,A2,A0,primary,panderm,rebalance,ce,True,False,13,2,Gum,0.9950479865074158,0.9942867755889893,0.1003759354352951,0.1114034578204155,0.9810490012168884,-0.13933156430721283,-0.14469867944717407,0.005367115139961243,0.005647614598274231,2.1522465820531416,0.1162227602905569,0.9991323591593768,3.0042882120184546e-141,0.7692307692307693,0.7692307692307693,0.09180145946256615,0.48476798567152446,,0,0.10907959938049316,0.9988138580913,0.7233433233433233,0.7233433233433233,0.7233433233433233,False,1.0,,탐색적/exploratory
oral_diseases,A2,A0,primary,panderm,rebalance,ce,True,False,13,3,MC,0.996046781539917,0.9946533441543579,0.09093664586544037,0.11119505017995834,1.0155048370361328,0.2426820993423462,0.2839505672454834,-0.04126846790313721,-0.04098796844482422,1.7467814739449776,0.17433414043583534,0.9994728258183556,3.5796924837146404e-152,0.6666666666666666,0.6666666666666666,0.09180145946256615,0.48476798567152446,,0,0.10907959938049316,0.9988138580913,0.7233433233433233,0.7233433233433233,0.7233433233433233,False,1.0,,탐색적/exploratory
oral_diseases,A2,A0,primary,panderm,rebalance,ce,True,False,13,4,OC,0.986453652381897,0.9829643964767456,0.16404671967029572,0.18401522934436798,0.987916111946106,-0.19714069366455078,-0.18563967943191528,-0.011501014232635498,-0.01122051477432251,2.2622474772674703,0.10411622276029056,0.9991762903411806,2.180873680489624e-142,0.5454545454545454,0.5454545454545454,0.09180145946256615,0.48476798567152446,,0,0.10907959938049316,0.9988138580913,0.7233433233433233,0.7233433233433233,0.7233433233433233,False,1.0,,탐색적/exploratory
oral_diseases,A2,A0,primary,panderm,rebalance,ce,True,False,13,5,OLP,0.996296763420105,0.9952354431152344,0.08968917280435562,0.1083454117178917,1.021817684173584,0.07516010105609894,0.0973595604300499,-0.022199459373950958,-0.021918974816799164,1.6927142526747017,0.18401937046004843,0.999549705386512,1.251867900563005e-155,0.6666666666666666,0.6666666666666666,0.09180145946256615,0.48476798567152446,,0,0.10907959938049316,0.9988138580913,0.7233433233433233,0.7233433233433233,0.7233433233433233,False,1.0,,탐색적/exploratory
oral_diseases,A2,A0,primary,panderm,rebalance,ce,True,False,13,6,OT,0.9950534105300903,0.9945183992385864,0.10189222544431686,0.11428837478160858,0.9724001884460449,0.00946457777172327,-0.07544373720884323,0.08490831404924393,0.08518880605697632,2.1114245875328868,0.12106537530266344,0.9986491161595361,1.522949397327613e-131,0.6153846153846154,0.6153846153846154,0.09180145946256615,0.48476798567152446,,0,0.10907959938049316,0.9988138580913,0.7233433233433233,0.7233433233433233,0.7233433233433233,False,1.0,,탐색적/exploratory
oral_diseases,A5,A0,primary,panderm,mixup,mixup,True,False,13,0,CaS,0.569952130317688,0.5798096656799316,0.8386958837509155,0.8360365033149719,0.7380478978157043,0.022997787222266197,0.07164180278778076,-0.048644013702869415,-0.039192453026771545,1.8645645096013608,0.1549636803874092,0.5871127878178833,7.12001915654017e-11,0.8666666666666667,0.7333333333333333,-0.5192324341027326,-0.8637644630894049,0.0,12,0.7390027046203613,0.7036182819613077,0.7233433233433233,0.6897213897213899,0.7233433233433233,False,1.0,0.16666666666666666,탐색적/exploratory
oral_diseases,A5,A0,primary,panderm,mixup,mixup,True,False,13,1,CoS,0.5444146990776062,0.5389046669006348,0.8407000303268433,0.8464435935020447,0.6006637215614319,-0.01891670748591423,-0.1381227970123291,0.11920608580112457,0.12865766882896423,1.929103030738932,0.14527845036319612,0.5126164862742514,3.1014616178745737e-08,0.9333333333333333,0.8666666666666667,-0.5192324341027326,-0.8637644630894049,0.0,12,0.7390027046203613,0.7036182819613077,0.7233433233433233,0.6897213897213899,0.7233433233433233,False,1.0,0.16666666666666666,탐색적/exploratory
oral_diseases,A5,A0,primary,panderm,mixup,mixup,True,False,13,2,Gum,0.6540895104408264,0.6682920455932617,0.7782753705978394,0.7639892101287842,0.8372446298599243,-0.2402154505252838,-0.14469867944717407,-0.09551677107810974,-0.08606520295143127,2.1522465820531416,0.1162227602905569,0.7145132150486263,2.3547536334783324e-17,0.7692307692307693,0.7692307692307693,-0.5192324341027326,-0.8637644630894049,0.0,12,0.7390027046203613,0.7036182819613077,0.7233433233433233,0.6897213897213899,0.7233433233433233,False,1.0,0.16666666666666666,탐색적/exploratory
oral_diseases,A5,A0,primary,panderm,mixup,mixup,True,False,13,3,MC,0.746062695980072,0.7427511215209961,0.7068363428115845,0.7084863781929016,0.9831849932670593,0.3406186103820801,0.2839505672454834,0.05666804313659668,0.06611961126327515,1.7467814739449776,0.17433414043583534,0.6499563433880825,1.0984044534717028e-13,0.6666666666666666,0.7222222222222222,-0.5192324341027326,-0.8637644630894049,0.0,12,0.7390027046203613,0.7036182819613077,0.7233433233433233,0.6897213897213899,0.7233433233433233,False,1.0,0.16666666666666666,탐색적/exploratory
oral_diseases,A5,A0,primary,panderm,mixup,mixup,True,False,13,4,OC,0.714508593082428,0.7207221388816833,0.7019978165626526,0.6949016451835632,0.7721601128578186,-0.3549388647079468,-0.18563967943191528,-0.1692991852760315,-0.15984761714935303,2.2622474772674703,0.10411622276029056,0.7337001587013943,1.1996585723159665e-18,0.5454545454545454,0.45454545454545453,-0.5192324341027326,-0.8637644630894049,0.0,12,0.7390027046203613,0.7036182819613077,0.7233433233433233,0.6897213897213899,0.7233433233433233,False,1.0,0.16666666666666666,탐색적/exploratory
oral_diseases,A5,A0,primary,panderm,mixup,mixup,True,False,13,5,OLP,0.7569389939308167,0.7558608651161194,0.6605544090270996,0.6613298654556274,0.8533182740211487,0.2761699855327606,0.0973595604300499,0.17881041765213013,0.1882619857788086,1.6927142526747017,0.18401937046004843,0.7556657496032465,2.849601932005167e-20,0.6666666666666666,0.6666666666666666,-0.5192324341027326,-0.8637644630894049,0.0,12,0.7390027046203613,0.7036182819613077,0.7233433233433233,0.6897213897213899,0.7233433233433233,False,1.0,0.16666666666666666,탐색적/exploratory
oral_diseases,A5,A0,primary,panderm,mixup,mixup,True,False,13,6,OT,0.7177866697311401,0.7173699736595154,0.7132335901260376,0.7095547318458557,0.87244713306427,-0.18282932043075562,-0.07544373720884323,-0.10738558322191238,-0.09793402254581451,2.1114245875328868,0.12106537530266344,0.5745265042311221,2.2148804789082078e-10,0.6153846153846154,0.6153846153846154,-0.5192324341027326,-0.8637644630894049,0.0,12,0.7390027046203613,0.7036182819613077,0.7233433233433233,0.6897213897213899,0.7233433233433233,False,1.0,0.16666666666666666,탐색적/exploratory
oral_diseases,A5s,A0,primary,panderm,mixup,mixup,True,False,13,0,CaS,0.6438897252082825,0.652169942855835,0.769130289554596,0.7641158699989319,0.722345769405365,0.015224268659949303,0.07164180278778076,-0.05641753226518631,-0.04856277257204056,1.8645645096013608,0.1549636803874092,0.7835291016622461,1.3469823650644934e-22,0.8666666666666667,0.8666666666666667,-0.24768200847919378,-0.5154725958936116,0.0,11,0.6972552537918091,0.9125769482106282,0.7233433233433233,0.7217560217560217,0.7233433233433233,False,1.0,0.36363636363636365,탐색적/exploratory
