dataset,arm,source,family,frontier_base,axis,primary,target_class,target_idx,target_is_minority,recall_mean,recall_ci_lo,recall_ci_hi,bacc_mean,bacc_ci_lo,bacc_ci_hi,frontier_mean,frontier_ci_lo,frontier_ci_hi,n_folds_total,n_folds_unreachable,comparable,gap_n_folds,gap_mean,gap_sd,gap_n_above,gap_ci_lo,gap_ci_hi,gap_ttest_p_nb,gap_se_nb,gap_mde_post,gap_tost_p,gap_equivalent,gap_zero_var,gap_noise_flag,above_band,note,mde_floor,exploratory,holm_p,holm_sig
aptos2019,S1_ce_e2e,w10_decouple,dinov2,B0d,union,False,severe,3,True,0.435357624831309,0.16482973927721928,0.7058855103853987,0.6681761515362736,0.6011082920343773,0.7352440110381699,0.6652258894559895,0.6283542941904665,0.7020974847215125,5,0,True,5,0.0029502620802841937,0.025190993623784196,4,-0.04396786271216593,0.04986838687273431,0.8698854845844095,0.016898632249063565,0.06281913914254302,0.18503956656233872,False,False,True,False,잡음 수준 — 부호 해석 금지,0.019,탐색적/exploratory,1.0,False
aptos2019,S1_ce__B0,w10_decouple,panderm,B0,tau,False,severe,3,True,0.40944669365722,0.3442447605797059,0.47464862673473407,0.6796260987245566,0.6366928046580658,0.7225593927910474,0.682245376249136,0.623645216564707,0.740845535933565,5,0,True,5,-0.0026192775245793554,0.016931454005513394,2,-0.0341540428384127,0.028915487789253992,0.8289312794364548,0.011357964634271715,0.042222207704172975,0.10034760175893044,False,False,True,False,잡음 수준 — 부호 해석 금지,0.019,탐색적/exploratory,1.0,False
aptos2019,S1_ce__B0,w10_decouple,panderm,B0,offset,False,severe,3,True,0.40944669365722,0.3442447605797059,0.47464862673473407,0.6796260987245566,0.6366928046580658,0.7225593927910474,0.6692105717701169,0.6150579810382388,0.723363162501995,5,0,True,5,0.010415526954439725,0.033395953095701,4,-0.0517843020125105,0.07261535592138994,0.6661677758160308,0.022402686388614593,0.08327996329354531,0.3454024790049017,False,False,True,False,잡음 수준 — 부호 해석 금지,0.019,탐색적/exploratory,1.0,False
aptos2019,S1_ce__B0,w10_decouple,panderm,B0,union,True,severe,3,True,0.40944669365722,0.3442447605797059,0.47464862673473407,0.6796260987245566,0.6366928046580658,0.7225593927910474,0.6862550353168072,0.626006026480917,0.7465040441526974,5,0,True,5,-0.006628936592250523,0.02169622780279112,2,-0.04703807403158046,0.03378020084707942,0.6724041197818457,0.014554272066708554,0.05410419190154616,0.20511811549089679,False,False,True,False,잡음 수준 — 부호 해석 금지,0.019,탐색적/exploratory,1.0,False
aptos2019,S1_ce__B0,w10_decouple,dinov2,B0d,tau,False,severe,3,True,0.40944669365722,0.3442447605797059,0.47464862673473407,0.6796260987245566,0.6366928046580658,0.7225593927910474,0.6634970050920749,0.6225744327831859,0.7044195774009638,5,0,True,5,0.016129093632481717,0.03462922008577323,4,-0.04836769016708721,0.08062587743205064,0.5256971587626791,0.023229987035877014,0.0863553787299617,0.4378711006667198,False,False,True,False,잡음 수준 — 부호 해석 금지,0.019,탐색적/exploratory,1.0,False
aptos2019,S1_ce__B0,w10_decouple,dinov2,B0d,offset,False,severe,3,True,0.40944669365722,0.3442447605797059,0.47464862673473407,0.6796260987245566,0.6366928046580658,0.7225593927910474,0.6560396795027763,0.6118469236366453,0.7002324353689073,5,0,True,5,0.02358641922178024,0.03835756102217695,4,-0.047854384648431406,0.0950272230919919,0.4111903547810343,0.025731034169005195,0.09565279555887363,0.5520574322353318,False,False,True,False,잡음 수준 — 부호 해석 금지,0.019,탐색적/exploratory,1.0,False
aptos2019,S1_ce__B0,w10_decouple,dinov2,B0d,union,False,severe,3,True,0.40944669365722,0.3442447605797059,0.47464862673473407,0.6796260987245566,0.6366928046580658,0.7225593927910474,0.6652258894559895,0.6283542941904665,0.7020974847215125,5,0,True,5,0.014400209268567176,0.034521551391197634,4,-0.04989604201831957,0.07869646055545393,0.5677410594300173,0.023157760679841103,0.08608688377470695,0.4104089793833957,False,False,True,False,잡음 수준 — 부호 해석 금지,0.019,탐색적/exploratory,1.0,False
aptos2019,S1_ce__B1,w10_decouple,panderm,B0,tau,False,severe,3,True,0.4769230769230769,0.4251564730319634,0.5286896808141903,0.6862809481912603,0.6485625910801093,0.7239993053024113,0.6815291517913556,0.6217521548827176,0.7413061486999937,5,0,True,5,0.004751796399904773,0.0174066293630875,3,-0.027667981115428633,0.037171573915238176,0.7048821734381832,0.011676721954502258,0.04340715925274438,0.13081778100033473,False,False,True,False,잡음 수준 — 부호 해석 금지,0.019,탐색적/exploratory,1.0,False
aptos2019,S1_ce__B1,w10_decouple,panderm,B0,offset,False,severe,3,True,0.4769230769230769,0.4251564730319634,0.5286896808141903,0.6862809481912603,0.6485625910801093,0.7239993053024113,0.6692105717701169,0.6150579810382388,0.723363162501995,5,0,True,5,0.017070376421143462,0.021860325935549995,4,-0.023644393133615212,0.05778514597590213,0.3090930730384273,0.014664352440657443,0.05451340574950961,0.42569949997674494,False,False,True,False,잡음 수준 — 부호 해석 금지,0.019,탐색적/exploratory,1.0,False
aptos2019,S1_ce__B1,w10_decouple,panderm,B0,union,True,severe,3,True,0.4769230769230769,0.4251564730319634,0.5286896808141903,0.6862809481912603,0.6485625910801093,0.7239993053024113,0.6862550353168072,0.626006026480917,0.7465040441526974,5,0,True,5,2.5912874453215552e-05,0.017495151554519035,3,-0.03255873686809414,0.03261056261700057,0.9983440300662775,0.011736104445769703,0.043627908300748974,0.08199134774139638,False,False,True,False,잡음 수준 — 부호 해석 금지,0.019,탐색적/exploratory,1.0,False
aptos2019,S1_ce__B1,w10_decouple,dinov2,B0d,tau,False,severe,3,True,0.4769230769230769,0.4251564730319634,0.5286896808141903,0.6862809481912603,0.6485625910801093,0.7239993053024113,0.6634970050920749,0.6225744327831859,0.7044195774009638,5,0,True,5,0.022783943099185456,0.024119241448026445,4,-0.022138047555812234,0.06770593375418314,0.23184689507702533,0.016179679033055276,0.06014649549613748,0.564129153513441,False,False,True,False,잡음 수준 — 부호 해석 금지,0.019,탐색적/exploratory,1.0,False
aptos2019,S1_ce__B1,w10_decouple,dinov2,B0d,offset,False,severe,3,True,0.4769230769230769,0.4251564730319634,0.5286896808141903,0.6862809481912603,0.6485625910801093,0.7239993053024113,0.6560396795027763,0.6118469236366453,0.7002324353689073,5,0,True,5,0.03024126868848398,0.031266317785783856,4,-0.027992123038024792,0.08847466041499275,0.22280206624997825,0.020974083592537024,0.07796926142705574,0.6745458180830107,False,False,True,False,잡음 수준 — 부호 해석 금지,0.019,탐색적/exploratory,1.0,False
aptos2019,S1_ce__B1,w10_decouple,dinov2,B0d,union,False,severe,3,True,0.4769230769230769,0.4251564730319634,0.5286896808141903,0.6862809481912603,0.6485625910801093,0.7239993053024113,0.6652258894559895,0.6283542941904665,0.7020974847215125,5,0,True,5,0.021055058735270915,0.02496544273084462,4,-0.025442978421890534,0.06755309589243236,0.2770750835734686,0.016747328110363967,0.06225667967234895,0.5236049731136041,False,False,True,False,잡음 수준 — 부호 해석 금지,0.019,탐색적/exploratory,1.0,False
aptos2019,S1_ce__B3,w10_decouple,panderm,B0,tau,False,severe,3,True,0.559919028340081,0.3877440545793649,0.7320940021007971,0.6861839572629161,0.6393231749935951,0.7330447395322371,0.6766354528333758,0.6005311180211055,0.7527397876456461,5,0,True,5,0.00954850442954045,0.01883495446379472,3,-0.025531522868711326,0.04462853172779223,0.4918758708907953,0.012634871560247427,0.04696899387436081,0.2273094096923068,False,False,True,False,잡음 수준 — 부호 해석 금지,0.019,탐색적/exploratory,1.0,False
aptos2019,S1_ce__B3,w10_decouple,panderm,B0,offset,False,severe,3,True,0.559919028340081,0.3877440545793649,0.7320940021007971,0.6861839572629161,0.6393231749935951,0.7330447395322371,0.6661735816938797,0.6113433529693815,0.721003810418378,5,0,True,5,0.020010375569036464,0.026266408737504444,4,-0.028910705568159615,0.06893145670623255,0.31952857672125123,0.01762004263855631,0.06550091710945109,0.50022081888151,False,False,True,False,잡음 수준 — 부호 해석 금지,0.019,탐색적/exploratory,1.0,False
aptos2019,S1_ce__B3,w10_decouple,panderm,B0,union,True,severe,3,True,0.559919028340081,0.3877440545793649,0.7320940021007971,0.6861839572629161,0.6393231749935951,0.7330447395322371,0.6826335955343715,0.6110031100522862,0.7542640810164568,5,0,True,5,0.003550361728544682,0.01905778309250332,3,-0.03194468299876197,0.03904540645585134,0.7949965310989189,0.012784349548585077,0.0475246647955178,0.13380794119055342,False,False,True,False,잡음 수준 — 부호 해석 금지,0.019,탐색적/exploratory,1.0,False
aptos2019,S1_ce__B3,w10_decouple,dinov2,B0d,tau,False,severe,3,True,0.559919028340081,0.3877440545793649,0.7320940021007971,0.6861839572629161,0.6393231749935951,0.7330447395322371,0.6676127069217115,0.6157691491256873,0.7194562647177357,5,1,False,4,0.012511792186363446,0.011333218470764218,3,-0.012991682118277278,0.038015266491004174,0.2163783264370769,0.008013795633346012,0.033344751448807754,0.20951004402375872,False,False,True,False,이 축의 recall 범위 밖 — 비교 불가 · 잡음 수준 — 부호 해석 금지,0.019,탐색적/exploratory,,False
aptos2019,S1_ce__B3,w10_decouple,dinov2,B0d,offset,False,severe,3,True,0.559919028340081,0.3877440545793649,0.7320940021007971,0.6861839572629161,0.6393231749935951,0.7330447395322371,0.652712208443177,0.6051914582304124,0.7002329586559416,5,0,True,5,0.03347174881973913,0.03509201965968984,4,-0.03188699733380425,0.09883049497328251,0.22812176479142204,0.023540442428047658,0.08750946861078038,0.7011200840310137,False,False,True,False,잡음 수준 — 부호 해석 금지,0.019,탐색적/exploratory,1.0,False
aptos2019,S1_ce__B3,w10_decouple,dinov2,B0d,union,False,severe,3,True,0.559919028340081,0.3877440545793649,0.7320940021007971,0.6861839572629161,0.6393231749935951,0.7330447395322371,0.6607765865449278,0.6117377885082587,0.7098153845815969,5,0,True,5,0.02540737071798842,0.03533829068523824,4,-0.040410054234891205,0.09122479567086804,0.3441764426064438,0.0237056460542521,0.0881235981704058,0.5846245337632006,False,False,True,False,잡음 수준 — 부호 해석 금지,0.019,탐색적/exploratory,1.0,False
aptos2019,S1_ce__B4,w10_decouple,panderm,B0,tau,False,severe,3,True,0.5187584345479082,0.3900957382070543,0.6474211308887621,0.6923077089305488,0.6378042706593027,0.746811147201795,0.6767936124846101,0.6005795479187412,0.753007677050479,5,0,True,5,0.015514096445938753,0.013883972731826498,4,-0.010344747193788837,0.041372940085666346,0.1710953606265053,0.009313652047835252,0.03462266030143447,0.3276107620216764,False,False,True,False,잡음 수준 — 부호 해석 금지,0.019,탐색적/exploratory,1.0,False
aptos2019,S1_ce__B4,w10_decouple,panderm,B0,offset,False,severe,3,True,0.5187584345479082,0.3900957382070543,0.6474211308887621,0.6923077089305488,0.6378042706593027,0.746811147201795,0.6691931313608871,0.6149797559215546,0.7234065068002196,5,0,True,5,0.02311457756966191,0.015826268729590205,5,-0.006361784591483361,0.05259093973080718,0.09504002664937942,0.01061658381286288,0.03946619146029766,0.6080843974383362,False,False,False,False,,0.019,탐색적/exploratory,1.0,False
aptos2019,S1_ce__B4,w10_decouple,panderm,B0,union,True,severe,3,True,0.5187584345479082,0.3900957382070543,0.6474211308887621,0.6923077089305488,0.6378042706593027,0.746811147201795,0.6827917551856061,0.6111020538427422,0.75448145652847,5,0,True,5,0.009515953744942985,0.010006521348762771,4,-0.009121152214081172,0.028153059703967143,0.22927163551087976,0.006712578586240931,0.024953404630584288,0.09667595595890155,False,False,True,False,잡음 수준 — 부호 해석 금지,0.019,탐색적/exploratory,1.0,False
aptos2019,S1_ce__B4,w10_decouple,dinov2,B0d,tau,False,severe,3,True,0.5187584345479082,0.3900957382070543,0.6474211308887621,0.6923077089305488,0.6378042706593027,0.746811147201795,0.6618497489716886,0.6176129117621678,0.7060865861812093,5,0,True,5,0.03045795995886036,0.030013453220782596,5,-0.025441976530167484,0.0863578964478882,0.2048807949046364,0.020133636492353967,0.07484497523926252,0.6845596478384564,False,False,True,False,잡음 수준 — 부호 해석 금지,0.019,탐색적/exploratory,1.0,False
aptos2019,S1_ce__B4,w10_decouple,dinov2,B0d,offset,False,severe,3,True,0.5187584345479082,0.3900957382070543,0.6474211308887621,0.6923077089305488,0.6378042706593027,0.746811147201795,0.6556156326943359,0.6105453999301058,0.7006858654585659,5,0,True,5,0.036692076236213025,0.03318469185839776,5,-0.025114279521874068,0.09849843199430011,0.1746426040763545,0.022260968042328366,0.08275313814088249,0.752476031853899,False,False,True,False,잡음 수준 — 부호 해석 금지,0.019,탐색적/exploratory,1.0,False
aptos2019,S1_ce__B4,w10_decouple,dinov2,B0d,union,False,severe,3,True,0.5187584345479082,0.3900957382070543,0.6474211308887621,0.6923077089305488,0.6378042706593027,0.746811147201795,0.6635786333356031,0.6227564193879792,0.7044008472832269,5,0,True,5,0.028729075594945818,0.03159468430828301,5,-0.0301158974653668,0.08757404865525843,0.2467408158487067,0.02119435855229002,0.07878811369523905,0.649221378669707,False,False,True,False,잡음 수준 — 부호 해석 금지,0.019,탐색적/exploratory,1.0,False
