dataset,wd,epochs,n_folds,bacc_baseline,bacc_reweight,train_acc_baseline,train_acc_reweight,train_bacc_baseline,train_bacc_reweight,wnorm_baseline,wnorm_reweight,mean_diff,sd,wins,ties,exploratory,se_nb,ci_lo,ci_hi,p_nb,mde_post,tost_p,equivalent,note,holm_family,holm_p
aptos2019,0.01,2000,15,0.6340563496833734,0.6356947420094351,0.9928999441076272,0.9925358552096235,0.9844552746926087,0.9925066902499585,29.43166821797689,29.955470911661784,0.001638392326061681,0.009761028913777772,7,0,탐색적/exploratory,0.0054928377967078,-0.01014257305920897,0.01341935771133233,0.7698721131591398,0.016549049499022184,0.0024162204591764848,True,잡음 수준 — 부호 해석 금지,w11-10 aptos2019 (12칸),1.0
aptos2019,0.1,2000,15,0.6329548125954186,0.6379213779780756,0.9927179113109615,0.9879155562961262,0.983816474221297,0.9811012910826477,21.62115109761556,22.114518483479817,0.0049665653826568065,0.013045116508445385,12,0,탐색적/exploratory,0.007340897117813521,-0.010778093033003809,0.02071122379831742,0.5097086863483048,0.022116959259699732,0.02990472418561541,True,잡음 수준 — 부호 해석 금지,w11-10 aptos2019 (12칸),1.0
oral_diseases,0.0,50,15,0.7473992430571379,0.745538998038998,1.0,0.9996771589991928,1.0,0.9997354497354498,6.59003963470459,6.6006540616353355,-0.0018602450181397722,0.008931366681459814,4,5,탐색적/exploratory,0.005025960779086787,-0.012639858791122107,0.008919368754842562,0.7168270138477433,0.01514242305918868,0.0014229959152522284,True,잡음 수준 — 부호 해석 금지,w11-10 oral_diseases (12칸),1.0
oral_diseases,0.0001,50,15,0.7473992430571379,0.745538998038998,1.0,0.9996771589991928,1.0,0.9997354497354498,6.589809576670329,6.6004226048787435,-0.0018602450181397722,0.008931366681459814,4,5,탐색적/exploratory,0.005025960779086787,-0.012639858791122107,0.008919368754842562,0.7168270138477433,0.01514242305918868,0.0014229959152522284,True,잡음 수준 — 부호 해석 금지,w11-10 oral_diseases (12칸),1.0
oral_diseases,0.01,50,15,0.7466055922634871,0.7463326488326488,1.0,0.9996771589991928,1.0,0.9997354497354498,6.567426935831706,6.577907148996989,-0.00027294343083817584,0.011130569156234598,5,4,탐색적/exploratory,0.006263521141089755,-0.013706860193739213,0.013160973332062863,0.96585727220648,0.018870996238809994,0.0035492363166203383,True,잡음 수준 — 부호 해석 금지,w11-10 oral_diseases (12칸),1.0
oral_diseases,0.1,50,15,0.7460372765635923,0.7473630024945815,1.0,0.9995157384987893,1.0,0.9996031746031747,6.368474801381429,6.377766927083333,0.0013257259309890745,0.012206124738573163,6,4,탐색적/exploratory,0.006868770076147243,-0.013406320690699693,0.016057772552677842,0.8497248727828424,0.02069451532970691,0.008317559829639148,True,잡음 수준 — 부호 해석 금지,w11-10 oral_diseases (12칸),1.0
oral_diseases,0.0,200,15,0.7438928663928664,0.7470267743951955,1.0,1.0,1.0,1.0,7.59374574025472,7.595416577657064,0.003133908002329059,0.01302350416528001,4,8,탐색적/exploratory,0.007328735172954754,-0.012584665635899283,0.0188524816405574,0.6754327424381351,0.022080317247879767,0.018626873757097817,True,잡음 수준 — 부호 해석 금지,w11-10 oral_diseases (12칸),1.0
oral_diseases,0.0001,200,15,0.7438928663928664,0.7470267743951955,1.0,1.0,1.0,1.0,7.592711480458577,7.594375801086426,0.003133908002329059,0.01302350416528001,4,8,탐색적/exploratory,0.007328735172954754,-0.012584665635899283,0.0188524816405574,0.6754327424381351,0.022080317247879767,0.018626873757097817,True,잡음 수준 — 부호 해석 금지,w11-10 oral_diseases (12칸),1.0
oral_diseases,0.01,200,15,0.7431602656602656,0.7469546243230454,1.0,1.0,1.0,1.0,7.493194929758707,7.494251314798991,0.0037943586627797064,0.012633564994641031,5,8,탐색적/exploratory,0.00710930414433856,-0.01145358222635651,0.01904229955191592,0.6019088468234083,0.02141920634517529,0.01941459226499932,True,잡음 수준 — 부호 해석 금지,w11-10 oral_diseases (12칸),1.0
oral_diseases,0.1,200,15,0.7417992241676451,0.7463540309592941,1.0,1.0,1.0,1.0,6.70679038365682,6.702702490488688,0.0045548067916489025,0.012076835048823446,6,6,탐색적/exploratory,0.0067960147036496285,-0.01002119507563248,0.019130808658930284,0.5136235039600646,0.02047531492631898,0.019666382466051385,True,잡음 수준 — 부호 해석 금지,w11-10 oral_diseases (12칸),1.0
oral_diseases,0.0,2000,15,0.7289270962955174,0.729383968857653,1.0,1.0,1.0,1.0,11.14898452758789,11.120889218648275,0.0004568725621357128,0.009726164304685567,5,6,탐색적/exploratory,0.005473218385241987,-0.011282013370598278,0.012195758494869705,0.9346563146327344,0.016489939322551286,0.001536068089426891,True,잡음 수준 — 부호 해석 금지,w11-10 oral_diseases (12칸),1.0
