dataset,arm,base,scope,fold,n_test,n_boot,bacc_point,bacc_boot_lo,bacc_boot_hi,delta_point,delta_boot_lo,delta_boot_hi,cv_delta,cv_ci_lo,cv_ci_hi,cv_se_nb,cv_ttest_p_nb,cv_mde_post,mde_floor,note
aptos2019,B3,B0,fold3,3.0,732,2000,0.6642890606461667,0.6150619466602802,0.7091634014248848,0.006355618776671457,-0.03925618156790731,0.04958848401904099,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B4,B0,fold3,3.0,732,2000,0.6953603315978545,0.647540685981512,0.7401895728707314,0.03742688972835928,0.0017713049054145173,0.07379938900470732,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B5,B0,fold3,3.0,732,2000,0.6548901661415394,0.6048460893332959,0.7021099916100502,-0.0030432757279558187,-0.031033455878496128,0.02554321050643918,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B5s,B0,fold3,3.0,732,2000,0.6595565633712026,0.6114624504745007,0.7058230456709862,0.001623121501707403,-0.02787257999181754,0.03289011895656579,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0d,,fold3,3.0,732,2000,0.6249031156138533,0.578954002186656,0.6736994533240794,,,,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B1d,B0d,fold3,3.0,732,2000,0.6140582402675927,0.5683693666011096,0.6634308077394961,-0.010844875346260552,-0.02588769227266314,0.005701378583908075,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B3d,B0d,fold3,3.0,732,2000,0.6342479484508219,0.5862576326727866,0.6842195051908493,0.00934483283696863,-0.03236685246229172,0.05075185984373085,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B4d,B0d,fold3,3.0,732,2000,0.63930507459429,0.5907251095771789,0.6889023271203041,0.014401958980436724,-0.01944000281393519,0.048466655239462794,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,,fold4,4.0,732,2000,0.6217396951613836,0.5735836777836085,0.6690244305133819,,,,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B1,B0,fold4,4.0,732,2000,0.639772900608512,0.5907102887332439,0.6867740039527416,0.018033205447128386,-0.004199310392141428,0.04301304936408996,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B2,B0,fold4,4.0,732,2000,0.6361195979695775,0.588392521366477,0.683299393504858,0.0143799028081939,-0.01740045294165607,0.04717282861471179,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B3,B0,fold4,4.0,732,2000,0.6442905882279614,0.5952810615301132,0.691238097846508,0.02255089306657776,-0.019572440534830073,0.06386099986731995,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B4,B0,fold4,4.0,732,2000,0.6698928076051497,0.6212846146523953,0.7158462464809418,0.04815311244376608,0.009701253324747087,0.08760784730315212,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B5,B0,fold4,4.0,732,2000,0.6462077960284283,0.5982523126155138,0.6928077210485935,0.02446810086704465,-0.0037329620122908912,0.05438247770071028,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B5s,B0,fold4,4.0,732,2000,0.6374074194027758,0.5889601569250227,0.6828054563701152,0.015667724241392178,-0.009970970749855063,0.04093329563736913,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
