n_folds,mean_diff,sd,se_nb,wins,ci_lo,ci_hi,p_nb,tost_p,equivalent,mde_post,arm,ref,scoring,mde_floor,passes_floor,exploratory
15,0.013923943241671507,0.018835171734836197,0.010599143197553498,12,-0.008808957991775782,0.0366568444751188,0.21007331338292923,0.28778112692418945,False,0.03193353816649541,B4,B1,leak_excluded,0.019,False,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
15,0.0038582719254135257,0.009019965354650434,0.005075818037490424,11,-0.0070282750316890095,0.01474481888251606,0.45978825330634493,0.0033397019661394736,True,0.015292635074861501,B1d,B0d,full,0.019,False,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
15,0.003858388323125032,0.009677335662285722,0.005445740973290341,11,-0.007821564422236638,0.0155383410684867,0.4902555829906924,0.005127994312889252,True,0.016407154236349513,B1d,B0d,leak_excluded,0.019,False,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
15,0.007416021244600679,0.016501940142293493,0.009286160437928504,12,-0.012500812044537343,0.0273328545337387,0.43785513735950765,0.0984189999968443,False,0.027977729259591213,B3d,B0d,full,0.019,False,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
15,0.010094732514784648,0.017979557479473742,0.010117662160792797,13,-0.011605494600533426,0.03179495963010272,0.3353418711132498,0.17209592103483495,False,0.03048291213217685,B3d,B0d,leak_excluded,0.019,False,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
15,0.008805242612504113,0.014900688695028015,0.008385085915020567,13,-0.009178978035079078,0.026789463260087305,0.31145851051795453,0.10157734795880781,False,0.025262934569886573,B4d,B0d,full,0.019,False,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
15,0.009226649270122133,0.01728458375672258,0.009726578601286274,12,-0.01163478703290284,0.030088085573147107,0.35891145284179604,0.14334678335542392,False,0.029304639366065616,B4d,B0d,leak_excluded,0.019,False,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
15,0.0035577493191871535,0.01915913807555135,0.01078144924099012,9,-0.019566159489349966,0.026681658127724276,0.7462948196257873,0.07475771486187589,False,0.03248279737429722,B3d,B1d,full,0.019,False,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
15,0.006236344191659615,0.020439863973364104,0.011502153961862192,9,-0.01843332250812344,0.030906010891442674,0.5962133703467264,0.12566408096199436,False,0.034654166444587166,B3d,B1d,leak_excluded,0.019,False,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
15,0.004946970687090587,0.013976691592424009,0.007865123700579438,9,-0.011922041924739005,0.02181598329892018,0.5394929407816864,0.038150448215916594,True,0.02369637084765817,B4d,B1d,full,0.019,False,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
15,0.005368260946997102,0.016123757636927877,0.009073345254419132,10,-0.01409212916956323,0.024828651063557434,0.5635163203433086,0.06456850944015351,False,0.027336550849380192,B4d,B1d,leak_excluded,0.019,False,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
