bacc,mcc,macro_mae,per_class_recall,arm,dataset,fold,seed,backbone,n_train,n_test
0.6920850452311553,0.7497861879088066,0.2185792349726776,"[0.9778393351800554, 0.6621621621621622, 0.795, 0.5, 0.5254237288135594]",B4n,aptos2019,3,4,panderm,2930,732
0.6259497225102517,0.703769781034256,0.2581967213114754,"[0.9861495844875346, 0.47297297297297297, 0.7688442211055276, 0.41025641025641024, 0.4915254237288136]",B4n,aptos2019,4,4,panderm,2930,732
0.5903457419794338,0.6805399510155944,0.2810368349249659,"[0.9861495844875346, 0.581081081081081, 0.73, 0.23076923076923078, 0.423728813559322]",B4n,aptos2019,5,4,panderm,2929,733
0.6888188735203619,0.7508989092776905,0.2100954979536153,"[0.9861495844875346, 0.6351351351351351, 0.785, 0.46153846153846156, 0.576271186440678]",B4n,aptos2019,6,4,panderm,2929,733
0.6378886916401354,0.7175687746325314,0.2540983606557377,"[0.9861495844875346, 0.6756756756756757, 0.76, 0.39473684210526316, 0.3728813559322034]",B4n,aptos2019,7,4,panderm,2930,732
0.63353823108051,0.7159570592338291,0.24043715846994534,"[0.9889196675900277, 0.6216216216216216, 0.765, 0.3684210526315789, 0.423728813559322]",B4n,aptos2019,8,4,panderm,2930,732
0.5777539306515471,0.685550628410077,0.2814207650273224,"[0.9750692520775623, 0.5, 0.7939698492462312, 0.1282051282051282, 0.4915254237288136]",B4n,aptos2019,9,4,panderm,2930,732
0.6587414409826731,0.7330992000387242,0.23328785811732605,"[0.9916897506925207, 0.5945945945945946, 0.78, 0.4358974358974359, 0.4915254237288136]",B4n,aptos2019,10,4,panderm,2929,733
0.609965328621228,0.6918032370791668,0.27148703956343795,"[0.9750692520775623, 0.6081081081081081, 0.76, 0.38461538461538464, 0.3220338983050847]",B4n,aptos2019,11,4,panderm,2929,733
0.6378181718974244,0.7171487173886653,0.2527322404371585,"[0.9833795013850416, 0.6756756756756757, 0.77, 0.42105263157894735, 0.3389830508474576]",B4n,aptos2019,12,4,panderm,2930,732
0.644222059657667,0.7342772969387026,0.22540983606557377,"[0.9806094182825484, 0.6351351351351351, 0.815, 0.3157894736842105, 0.4745762711864407]",B4n,aptos2019,13,4,panderm,2930,732
0.6498068483263248,0.729773465838643,0.23633879781420766,"[0.9861495844875346, 0.5675675675675675, 0.7939698492462312, 0.358974358974359, 0.5423728813559322]",B4n,aptos2019,14,4,panderm,2930,732
0.6913154855802398,0.7268337364966162,0.22510231923601637,"[0.9778393351800554, 0.6216216216216216, 0.725, 0.5897435897435898, 0.5423728813559322]",B3nd,aptos2019,0,0,dinov2,2929,733
0.6337314071304398,0.6807182418579326,0.26330150068212826,"[0.9806094182825484, 0.581081081081081, 0.63, 0.28205128205128205, 0.6949152542372882]",B3nd,aptos2019,1,0,dinov2,2929,733
0.6814993471334145,0.7123380942942567,0.22540983606557377,"[0.9778393351800554, 0.5405405405405406, 0.7, 0.5789473684210527, 0.6101694915254238]",B3nd,aptos2019,2,0,dinov2,2930,732
0.6665094567312512,0.6911973407943107,0.27049180327868855,"[0.961218836565097, 0.6081081081081081, 0.67, 0.5, 0.5932203389830508]",B3nd,aptos2019,3,0,dinov2,2930,732
0.5980018096144528,0.6593534897586579,0.3005464480874317,"[0.9806094182825484, 0.3783783783783784, 0.678391959798995, 0.41025641025641024, 0.5423728813559322]",B3nd,aptos2019,4,0,dinov2,2930,732
0.6312381389396272,0.6828850833580065,0.25375170532060026,"[0.9861495844875346, 0.5135135135135135, 0.67, 0.41025641025641024, 0.576271186440678]",B3nd,aptos2019,5,0,dinov2,2929,733
0.646601566378739,0.6860772319132725,0.24693042291950887,"[0.9695290858725761, 0.5135135135135135, 0.67, 0.4358974358974359, 0.6440677966101694]",B3nd,aptos2019,6,0,dinov2,2929,733
