dataset,arm,base,role,rep,lever,loss,preregistered,side,fold,cos_centred_mean,relnorm_fro_centred,relnorm_fro_raw,bias_slope,bias_r,bias_p,margin_spearman_true,n_test,n_flip,flip_rate,n_train,n_train_flip,train_agree_before,offset_identified,offset_method,offset_delta,train_agree_ls,train_agree_greedy,flip_repro,flip_repro_ls,flip_repro_greedy,n_flip_repro,n_flip_repro_ls,n_flip_repro_greedy,flip_repro_ceiling,n_flip_repro_ceiling,test_agree_ceiling,test_agree,test_agree_ls,test_agree_greedy,bacc_base,bacc_arm,bacc_base_offset,bacc_offset_minus_arm,exploratory
oral_diseases,A4,A1,secondary,panderm,aug,logitadj,True,False,0,0.9982608386448452,0.06199633702635765,0.06589974462985992,-0.12315316221402418,-0.30966562041940815,0.49913414603662565,0.9984530033073724,104,2,0.019230769230769232,412,0,1.0,False,ls,0.0673;-0.1188;-0.0352;0.0165;-0.0628;0.0382;0.0947,1.0,1.0,0.0,0.0,0.0,0,0,0,1.0,2,1.0,0.9807692307692307,0.9807692307692307,0.9807692307692307,0.7031429827482459,0.6866956143271932,0.7031429827482459,0.016447368421052766,탐색적/exploratory
oral_diseases,A2d,A0d,primary,dinov2,rebalance,ce,True,False,1,0.9954847012247358,0.09430590271949768,0.10862062126398087,0.116179411453318,0.811804650060124,0.02659040883544654,0.9985502710004778,103,0,0.0,413,0,1.0,False,ls,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000,1.0,1.0,,,,0,0,0,,0,1.0,1.0,1.0,1.0,0.6660068732437152,0.6660068732437152,0.6660068732437152,0.0,탐색적/exploratory
oral_diseases,A1,A0,primary,panderm,aug,ce,True,False,1,0.8251421025821141,0.652707040309906,0.657649040222168,-0.15144404180102392,-0.611350165504592,0.14466959764231171,0.9495340549029945,103,11,0.10679611650485436,413,0,1.0,False,ls,0.0617;0.0014;-0.0075;0.0024;-0.0541;-0.0086;0.0047,1.0,1.0,0.0,0.0,0.0,0,0,0,0.36363636363636365,4,0.9223300970873787,0.8932038834951457,0.8932038834951457,0.8932038834951457,0.7911900964532543,0.7644945697577278,0.7911900964532543,0.02669552669552655,탐색적/exploratory
oral_diseases,A2,A0,primary,panderm,rebalance,ce,True,False,1,0.9941475731985909,0.11284851282835007,0.1260088086128235,0.10544668715219573,0.4396559330461131,0.3236111764339898,0.9984843742277721,103,3,0.02912621359223301,413,0,1.0,False,ls,0.0617;0.0014;-0.0075;0.0024;-0.0541;-0.0086;0.0047,1.0,1.0,0.0,0.0,0.0,0,0,0,0.6666666666666666,2,0.9902912621359223,0.970873786407767,0.970873786407767,0.970873786407767,0.7911900964532543,0.8041771094402673,0.7911900964532543,-0.012987012987012991,탐색적/exploratory
oral_diseases,A5,A0,primary,panderm,mixup,mixup,True,False,1,0.6792727708816528,0.7350560426712036,0.7303647398948669,-0.521818202777176,-0.8072407490966805,0.02815823864671118,0.7166987913433606,103,24,0.23300970873786409,413,0,1.0,False,ls,0.0617;0.0014;-0.0075;0.0024;-0.0541;-0.0086;0.0047,1.0,1.0,0.0,0.0,0.0,0,0,0,0.25,6,0.8252427184466019,0.7669902912621359,0.7669902912621359,0.7669902912621359,0.7911900964532543,0.6792160325055062,0.7911900964532543,0.11197406394774811,탐색적/exploratory
oral_diseases,A5s,A0,primary,panderm,mixup,mixup,True,False,1,0.714482741696494,0.6961647272109985,0.6945892572402954,-0.4248310523239709,-0.73924960591174,0.05760887530645243,0.8556421365930271,103,15,0.14563106796116504,413,0,1.0,False,ls,0.0617;0.0014;-0.0075;0.0024;-0.0541;-0.0086;0.0047,1.0,1.0,0.0,0.0,0.0,0,0,0,0.3333333333333333,5,0.9029126213592233,0.8543689320388349,0.8543689320388349,0.8543689320388349,0.7911900964532543,0.7758221310852891,0.7911900964532543,0.015367965367965253,탐색적/exploratory
oral_diseases,A3,A0,primary,panderm,aug,ldam,True,False,1,0.8035514610154288,0.6070834994316101,0.6150954365730286,0.43879103738249475,0.8097685519561496,0.027283638115145014,0.9303580940456775,103,12,0.11650485436893204,413,0,1.0,False,ls,0.0617;0.0014;-0.0075;0.0024;-0.0541;-0.0086;0.0047,1.0,1.0,0.0,0.0,0.0,0,0,0,0.5,6,0.9320388349514563,0.883495145631068,0.883495145631068,0.883495145631068,0.7911900964532543,0.7922723475355055,0.7911900964532543,-0.0010822510822511289,탐색적/exploratory
oral_diseases,A3,A1,secondary,panderm,aug,ldam,True,False,1,0.9064196859087262,0.5151107907295227,0.5211918950080872,0.5902350791835187,0.8840560278071868,0.008251854603107865,0.9578919622411493,103,9,0.08737864077669903,413,0,1.0,False,ls,0.0608;-0.0503;-0.0198;0.0039;-0.0991;0.0279;0.0765,1.0,1.0,0.0,0.0,0.0,0,0,0,0.7777777777777778,7,0.970873786407767,0.9029126213592233,0.9029126213592233,0.912621359223301,0.7644945697577278,0.7922723475355055,0.7525898078529657,-0.039682539682539764,탐색적/exploratory
oral_diseases,A4,A0,primary,panderm,aug,logitadj,True,False,1,0.8232811689376831,0.6597652435302734,0.6654471158981323,-0.2134145991759786,-0.39259754918828205,0.38365965217563003,0.9483698785851963,103,9,0.08737864077669903,413,0,1.0,False,ls,0.0617;0.0014;-0.0075;0.0024;-0.0541;-0.0086;0.0047,1.0,1.0,0.0,0.0,0.0,0,0,0,0.4444444444444444,4,0.941747572815534,0.912621359223301,0.912621359223301,0.912621359223301,0.7911900964532543,0.7688805346700083,0.7911900964532543,0.022309561783246057,탐색적/exploratory
oral_diseases,A4,A1,secondary,panderm,aug,logitadj,True,False,1,0.998075544834137,0.06734998524188995,0.07137097418308258,-0.06197055737495474,-0.16000943386955366,0.7318235603347919,0.9980011312279314,103,2,0.019417475728155338,413,0,1.0,False,ls,0.0608;-0.0503;-0.0198;0.0039;-0.0991;0.0279;0.0765,1.0,1.0,0.0,0.0,0.0,0,0,0,1.0,2,1.0,0.970873786407767,0.970873786407767,0.9805825242718447,0.7644945697577278,0.7688805346700083,0.7525898078529657,-0.016290726817042578,탐색적/exploratory
oral_diseases,A2d,A0d,primary,dinov2,rebalance,ce,True,False,2,0.9956787824630737,0.09286951273679733,0.10836903005838394,0.10100958314946044,0.5649719616373693,0.1863096859550112,0.9980340796142843,103,2,0.019417475728155338,413,0,1.0,False,ls,0.0341;-0.0029;0.0233;-0.0016;-0.0234;0.0005;-0.0300,1.0,1.0,0.0,0.0,0.0,0,0,0,0.5,1,0.9805825242718447,0.9805825242718447,0.9805825242718447,0.9805825242718447,0.7229968861547809,0.7075415812257917,0.7229968861547809,0.015455304928989166,탐색적/exploratory
oral_diseases,A1,A0,primary,panderm,aug,ce,True,False,2,0.8128538131713867,0.6808076500892639,0.684593915939331,-0.21038163870471846,-0.7673579751915026,0.04403371558783357,0.9299956617957968,103,15,0.14563106796116504,413,0,1.0,False,ls,0.0733;-0.0111;-0.0214;0.0127;-0.0471;0.0003;-0.0066,1.0,1.0,0.06666666666666667,0.06666666666666667,0.0,1,1,0,0.7333333333333333,11,0.9514563106796117,0.8640776699029126,0.8640776699029126,0.8543689320388349,0.7217190704032809,0.6589485076327181,0.7087320574162679,0.04978354978354982,탐색적/exploratory
oral_diseases,A2,A0,primary,panderm,rebalance,ce,True,False,2,0.9940716879708427,0.11112849414348602,0.12402383238077164,0.06739590778064691,0.25455584222465105,0.5817167109723744,0.9984733914323213,103,2,0.019417475728155338,413,0,1.0,False,ls,0.0733;-0.0111;-0.0214;0.0127;-0.0471;0.0003;-0.0066,1.0,1.0,0.0,0.0,0.0,0,0,0,1.0,2,0.9902912621359223,0.970873786407767,0.970873786407767,0.9805825242718447,0.7217190704032809,0.7227111338953444,0.7087320574162679,-0.01397907647907648,탐색적/exploratory
oral_diseases,A5,A0,primary,panderm,mixup,mixup,True,False,2,0.6848294734954834,0.7231945395469666,0.7189087271690369,-0.5054593411618464,-0.8330173453420374,0.019958774197004814,0.7564235624893605,103,20,0.1941747572815534,413,1,0.9975786924939467,True,ls,0.0442;-0.0305;-0.1971;-0.5161;0.8905;-0.0876;-0.1034,0.9975786924939467,0.9975786924939467,0.0,0.0,0.0,0,0,0,0.3,6,0.8640776699029126,0.7864077669902912,0.7864077669902912,0.8058252427184466,0.7217190704032809,0.6393265360370624,0.718833067517278,0.07950653148021569,탐색적/exploratory
oral_diseases,A5s,A0,primary,panderm,mixup,mixup,True,False,2,0.7142066104071481,0.6947619915008545,0.6928759217262268,-0.2612176749158792,-0.5581547909057952,0.1928658633743344,0.8865916541737368,103,16,0.1553398058252427,413,0,1.0,False,ls,0.0733;-0.0111;-0.0214;0.0127;-0.0471;0.0003;-0.0066,1.0,1.0,0.0,0.0,0.0,0,0,0,0.375,6,0.883495145631068,0.8349514563106796,0.8349514563106796,0.8446601941747572,0.7217190704032809,0.6986310473152579,0.7087320574162679,0.010101010101009944,탐색적/exploratory
oral_diseases,A3,A0,primary,panderm,aug,ldam,True,False,2,0.7978780525071281,0.618927538394928,0.6252490878105164,0.5042870886884561,0.7178526040909623,0.0692840716251966,0.905544954081474,103,16,0.1553398058252427,413,0,1.0,False,ls,0.0733;-0.0111;-0.0214;0.0127;-0.0471;0.0003;-0.0066,1.0,1.0,0.0,0.0,0.0,0,0,0,0.4375,7,0.9029126213592233,0.8349514563106796,0.8349514563106796,0.8446601941747572,0.7217190704032809,0.6802897395002657,0.7087320574162679,0.028442317916002158,탐색적/exploratory
oral_diseases,A3,A1,secondary,panderm,aug,ldam,True,False,2,0.9106919680322919,0.5222384333610535,0.5276266932487488,0.7146687255304203,0.8614885128781542,0.01271034391993795,0.959789129751974,103,12,0.11650485436893204,413,0,1.0,False,ls,0.1045;-0.1003;-0.0852;-0.0098;-0.0189;0.0244;0.0853,1.0,1.0,0.0,0.0,0.0,0,0,0,0.5,6,0.941747572815534,0.883495145631068,0.883495145631068,0.883495145631068,0.6589485076327181,0.6802897395002657,0.6589485076327181,-0.02134123186754766,탐색적/exploratory
oral_diseases,A4,A0,primary,panderm,aug,logitadj,True,False,2,0.8113779936517987,0.6847187876701355,0.6893135905265808,-0.2848200706859344,-0.5109942844374962,0.24118098994647844,0.9311927864999479,103,17,0.1650485436893204,413,0,1.0,False,ls,0.0733;-0.0111;-0.0214;0.0127;-0.0471;0.0003;-0.0066,1.0,1.0,0.0,0.0,0.0,0,0,0,0.47058823529411764,8,0.9029126213592233,0.8252427184466019,0.8252427184466019,0.8349514563106796,0.7217190704032809,0.6679672666514771,0.7087320574162679,0.04076479076479078,탐색적/exploratory
oral_diseases,A4,A1,secondary,panderm,aug,logitadj,True,False,2,0.997638361794608,0.07102470099925995,0.07625548541545868,-0.07443843011846175,-0.20571625656838938,0.6581077523230072,0.9985722365913797,103,4,0.038834951456310676,413,0,1.0,False,ls,0.1045;-0.1003;-0.0852;-0.0098;-0.0189;0.0244;0.0853,1.0,1.0,0.0,0.0,0.0,0,0,0,1.0,4,1.0,0.9611650485436893,0.9611650485436893,0.9611650485436893,0.6589485076327181,0.6679672666514771,0.6589485076327181,-0.009018759018759037,탐색적/exploratory
