dataset,arm,fold,repeat,target_prior,target_prior_source,target_assumed,n_test,exploratory,method,source_prior,bacc,bacc_weighted,bacc_sklearn,acc,acc_weighted,em_prior_l1_err,em_iters,em_min_prior,em_degenerate,changed_vs_raw,changed_vs_argmax_p,rec_0,recw_0,rec_1,recw_1,rec_2,recw_2,rec_3,recw_3,rec_4,recw_4,class_names,em_pi_0,em_pi_1,em_pi_2,em_pi_3,em_pi_4,rec_5,recw_5,rec_6,recw_6,em_pi_5,em_pi_6
aptos2019,B4,4,0,uniform,정의상 균등,False,732,탐색적/exploratory,em,train,0.635510023454936,0.635510023454936,0.635510023454936,0.7103825136612022,0.635510023454936,0.1777923473513604,38.0,0.11317881640448675,0.0,0.14617486338797814,0.1489071038251366,0.9667590027700831,0.9667590027700831,0.6891891891891891,0.6891891891891891,0.2964824120603015,0.29648241206030157,0.5641025641025641,0.5641025641025641,0.6610169491525424,0.6610169491525423,no_dr|mild|moderate|severe|proliferative,0.19792500991983308,0.20285933532635403,0.11317881640448675,0.2229546290868412,0.26308220926248505,,,,,,
aptos2019,B4,4,0,uniform,정의상 균등,False,732,탐색적/exploratory,em,uniform,0.6391559748273125,0.6391559748273125,0.6391559748273125,0.8073770491803278,0.6391559748273125,0.256859590291646,30.0,0.13467476174252288,0.0,0.06420765027322405,0.05191256830601093,0.9861495844875346,0.9861495844875346,0.5,0.5,0.7487437185929648,0.7487437185929651,0.38461538461538464,0.38461538461538464,0.576271186440678,0.5762711864406779,no_dr|mild|moderate|severe|proliferative,0.2153255682236284,0.13689544311165405,0.31167638789070096,0.13467476174252288,0.20142783903149364,,,,,,
aptos2019,B4,5,1,aptos_pool,관측 · 이 프로젝트 pool 분포,False,733,탐색적/exploratory,raw,none,0.6389113164419986,0.6389113164419987,0.6389113164419986,0.7885402455661664,0.7888041423349997,,,,,0.0,0.019099590723055934,0.9889196675900277,0.9889196675900277,0.6486486486486487,0.6486486486486486,0.63,0.63,0.38461538461538464,0.38461538461538486,0.5423728813559322,0.5423728813559323,no_dr|mild|moderate|severe|proliferative,,,,,,,,,,,
aptos2019,B4,5,1,aptos_pool,관측 · 이 프로젝트 pool 분포,False,733,탐색적/exploratory,argmax_p,none,0.6388756445249708,0.6388756445249707,0.6388756445249708,0.7885402455661664,0.7888195115461638,,,,,0.019099590723055934,0.0,0.9889196675900277,0.9889196675900277,0.6621621621621622,0.6621621621621622,0.625,0.6249999999999999,0.358974358974359,0.3589743589743592,0.559322033898305,0.559322033898305,no_dr|mild|moderate|severe|proliferative,,,,,,,,,,,
aptos2019,B4,5,1,aptos_pool,관측 · 이 프로젝트 pool 분포,False,733,탐색적/exploratory,oracle,train,0.6388756445249708,0.6388756445249707,0.6388756445249708,0.7885402455661664,0.7888195115461638,,,,,0.019099590723055934,0.0,0.9889196675900277,0.9889196675900277,0.6621621621621622,0.6621621621621622,0.625,0.6249999999999999,0.358974358974359,0.3589743589743592,0.559322033898305,0.559322033898305,no_dr|mild|moderate|severe|proliferative,,,,,,,,,,,
aptos2019,B4,5,1,aptos_pool,관측 · 이 프로젝트 pool 분포,False,733,탐색적/exploratory,oracle,uniform,0.570555646322302,0.570555646322302,0.570555646322302,0.7926330150068213,0.7929880687308323,,,,,0.09549795361527967,0.0941336971350614,0.9916897506925207,0.9916897506925206,0.5135135135135135,0.5135135135135135,0.77,0.7700000000000001,0.15384615384615385,0.1538461538461539,0.423728813559322,0.423728813559322,no_dr|mild|moderate|severe|proliferative,,,,,,,,,,,
aptos2019,B4,5,1,aptos_pool,관측 · 이 프로젝트 pool 분포,False,733,탐색적/exploratory,em,train,0.6694925406686052,0.6694925406686053,0.6694925406686052,0.7530695770804912,0.753284564970802,0.2625944086389443,39.0,0.08878784104105455,0.0,0.11732605729877217,0.1077762619372442,0.9861495844875346,0.9861495844875346,0.7837837837837838,0.7837837837837838,0.395,0.395,0.5384615384615384,0.5384615384615389,0.6440677966101694,0.6440677966101697,no_dr|mild|moderate|severe|proliferative,0.4899639310319244,0.14262931160363146,0.14444066694243193,0.08878784104105455,0.13417824938095763,,,,,,
aptos2019,B4,5,1,aptos_pool,관측 · 이 프로젝트 pool 분포,False,733,탐색적/exploratory,em,uniform,0.5633193330859887,0.5633193330859887,0.5633193330859887,0.7953615279672579,0.7957246285482223,0.10310299668710818,41.0,0.022070017387080386,0.0,0.10914051841746249,0.11050477489768076,0.9916897506925207,0.9916897506925206,0.47297297297297297,0.4729729729729729,0.8,0.7999999999999998,0.1282051282051282,0.12820512820512828,0.423728813559322,0.423728813559322,no_dr|mild|moderate|severe|proliferative,0.5065288305853297,0.08011960933763429,0.3095166469336746,0.022070017387080386,0.08176489575628113,,,,,,
aptos2019,B4,5,1,idrid_like,가정 · IDRiD 공개 등급 분포로 알려진 값(413 train + 103 test) — 미검증,True,733,탐색적/exploratory,raw,none,0.6389113164419986,0.6389113164419986,0.6389113164419986,0.7885402455661664,0.6930059491950377,,,,,0.0,0.019099590723055934,0.9889196675900277,0.9889196675900279,0.6486486486486487,0.6486486486486486,0.63,0.63,0.38461538461538464,0.38461538461538447,0.5423728813559322,0.5423728813559322,no_dr|mild|moderate|severe|proliferative,,,,,,,,,,,
aptos2019,B4,5,1,idrid_like,가정 · IDRiD 공개 등급 분포로 알려진 값(413 train + 103 test) — 미검증,True,733,탐색적/exploratory,argmax_p,none,0.6388756445249708,0.6388756445249708,0.6388756445249708,0.7885402455661664,0.6894479451462966,,,,,0.019099590723055934,0.0,0.9889196675900277,0.9889196675900279,0.6621621621621622,0.6621621621621621,0.625,0.6250000000000001,0.358974358974359,0.35897435897435886,0.559322033898305,0.559322033898305,no_dr|mild|moderate|severe|proliferative,,,,,,,,,,,
aptos2019,B4,5,1,idrid_like,가정 · IDRiD 공개 등급 분포로 알려진 값(413 train + 103 test) — 미검증,True,733,탐색적/exploratory,oracle,train,0.637879164580653,0.637879164580653,0.637879164580653,0.7694406548431105,0.6994509780387378,,,,,0.07366984993178717,0.0723055934515689,0.9861495844875346,0.9861495844875348,0.5135135135135135,0.5135135135135135,0.575,0.5750000000000001,0.5384615384615384,0.5384615384615384,0.576271186440678,0.576271186440678,no_dr|mild|moderate|severe|proliferative,,,,,,,,,,,
aptos2019,B4,5,1,idrid_like,가정 · IDRiD 공개 등급 분포로 알려진 값(413 train + 103 test) — 미검증,True,733,탐색적/exploratory,oracle,uniform,0.5871700442926323,0.5871700442926322,0.5871700442926323,0.7926330150068213,0.7050393194623735,,,,,0.08594815825375171,0.08867667121418826,0.9916897506925207,0.9916897506925209,0.3918918918918919,0.39189189189189194,0.77,0.77,0.3076923076923077,0.3076923076923076,0.4745762711864407,0.4745762711864407,no_dr|mild|moderate|severe|proliferative,,,,,,,,,,,
aptos2019,B4,5,1,idrid_like,가정 · IDRiD 공개 등급 분포로 알려진 값(413 train + 103 test) — 미검증,True,733,탐색적/exploratory,em,train,0.6480196051291877,0.6480196051291878,0.6480196051291877,0.7394270122783083,0.6533461481185471,0.29149534964953117,40.0,0.10077465988812197,0.0,0.1145975443383356,0.11323328785811733,0.9833795013850416,0.9833795013850417,0.6891891891891891,0.6891891891891893,0.385,0.385,0.5384615384615384,0.5384615384615384,0.6440677966101694,0.6440677966101696,no_dr|mild|moderate|severe|proliferative,0.32168015658031046,0.10077465988812197,0.1837349592925984,0.18543310810383268,0.20837711613513651,,,,,,
