bacc,mcc,macro_mae,per_class_recall,train_ce_best,step,fold,epochs_run
0.6146014397819222,0.69026442702831,0.27459016393442626,"[0.9806094182825484, 0.47297297297297297, 0.7437185929648241, 0.3333333333333333, 0.5423728813559322]",,2_post_scaler_full_100,4,
0.5814447298429962,,,"[0.9806094182825484, 0.40540540540540543, 0.8241206030150754, 0.2564102564102564, 0.4406779661016949]",0.4096636474132538,3_post_noscaler_full_100,4,200.0
0.5963731960107094,,,"[0.9806094182825484, 0.43243243243243246, 0.8291457286432161, 0.28205128205128205, 0.4576271186440678]",0.40533876419067383,4_post_noscaler_full_90,4,200.0
0.6011945531104075,,,"[0.9806094182825484, 0.47297297297297297, 0.8040201005025126, 0.3076923076923077, 0.4406779661016949]",0.4569097233981621,5_post_noscaler_mb_90,4,40.0
0.6469513263273369,,,"[0.9889196675900277, 0.5, 0.7336683417085427, 0.4358974358974359, 0.576271186440678]",0.3866936133765593,6_post_scaler_mb_90,4,20.0
0.6216648776322939,0.7116133714718393,0.252387448840382,"[0.997229916897507, 0.5540540540540541, 0.75, 0.23076923076923078, 0.576271186440678]",,1_pre_scaler_full_100,5,
0.6294957854632018,0.7157312833938716,0.24829467939972716,"[0.997229916897507, 0.5675675675675675, 0.75, 0.2564102564102564, 0.576271186440678]",,2_post_scaler_full_100,5,
0.5956065840694696,,,"[0.9889196675900277, 0.5135135135135135, 0.855, 0.23076923076923078, 0.3898305084745763]",0.41902849078178406,3_post_noscaler_full_100,5,200.0
0.5877400043215338,,,"[0.9889196675900277, 0.5135135135135135, 0.85, 0.1794871794871795, 0.4067796610169492]",0.4144705832004547,4_post_noscaler_full_90,5,200.0
0.5832686933756468,,,"[0.9889196675900277, 0.5945945945945946, 0.84, 0.15384615384615385, 0.3389830508474576]",0.5329815083887519,5_post_noscaler_mb_90,5,22.0
0.6391257429080331,,,"[0.9944598337950139, 0.5135135135135135, 0.795, 0.3333333333333333, 0.559322033898305]",0.4114548344074226,6_post_scaler_mb_90,5,17.0
0.6681058110445875,0.7335939014819487,0.2291950886766712,"[0.9861495844875346, 0.5945945945945946, 0.765, 0.38461538461538464, 0.6101694915254238]",,1_pre_scaler_full_100,6,
0.6625923723981849,0.7278884153225395,0.23601637107776263,"[0.9806094182825484, 0.5675675675675675, 0.77, 0.38461538461538464, 0.6101694915254238]",,2_post_scaler_full_100,6,
0.6224120314538175,,,"[0.9833795013850416, 0.527027027027027, 0.905, 0.20512820512820512, 0.4915254237288136]",0.42018577456474304,3_post_noscaler_full_100,6,200.0
0.6119296677341657,,,"[0.9833795013850416, 0.5135135135135135, 0.9, 0.20512820512820512, 0.4576271186440678]",0.4097546637058258,4_post_noscaler_full_90,6,200.0
0.5897541777946491,,,"[0.9861495844875346, 0.44594594594594594, 0.87, 0.3076923076923077, 0.3389830508474576]",0.5191253601777844,5_post_noscaler_mb_90,6,24.0
0.6560244165042513,,,"[0.9889196675900277, 0.6081081081081081, 0.8, 0.20512820512820512, 0.6779661016949152]",0.33025973580959367,6_post_scaler_mb_90,6,34.0
0.6499067993294952,0.7215755642917921,0.2581967213114754,"[0.9833795013850416, 0.6081081081081081, 0.77, 0.4473684210526316, 0.4406779661016949]",,1_pre_scaler_full_100,7,
0.6253660418012266,0.7040298306492038,0.2718579234972678,"[0.9833795013850416, 0.5675675675675675, 0.765, 0.42105263157894735, 0.3898305084745763]",,2_post_scaler_full_100,7,
0.6099763584891055,,,"[0.9778393351800554, 0.5540540540540541, 0.865, 0.2631578947368421, 0.3898305084745763]",0.4139000475406647,3_post_noscaler_full_100,7,200.0
0.6177715944029855,,,"[0.9778393351800554, 0.581081081081081, 0.86, 0.2631578947368421, 0.4067796610169492]",0.4126821458339691,4_post_noscaler_full_90,7,200.0
0.5986946360887391,,,"[0.9778393351800554, 0.5945945945945946, 0.785, 0.2631578947368421, 0.3728813559322034]",0.46663934483033853,5_post_noscaler_mb_90,7,40.0
0.6324093175291823,,,"[0.9861495844875346, 0.5945945945945946, 0.84, 0.3684210526315789, 0.3728813559322034]",0.30852805641366216,6_post_scaler_mb_90,7,40.0
0.6385841893351165,0.7007058962560602,0.2677595628415301,"[0.9778393351800554, 0.6351351351351351, 0.72, 0.3684210526315789, 0.4915254237288136]",,1_pre_scaler_full_100,8,
0.6260862507185339,0.6900894299698124,0.2718579234972678,"[0.9778393351800554, 0.5945945945945946, 0.715, 0.3684210526315789, 0.4745762711864407]",,2_post_scaler_full_100,8,
0.6151458500145293,,,"[0.9778393351800554, 0.5540540540540541, 0.84, 0.2631578947368421, 0.4406779661016949]",0.4172327518463135,3_post_noscaler_full_100,8,200.0
0.6273684299351703,,,"[0.9806094182825484, 0.581081081081081, 0.845, 0.2894736842105263, 0.4406779661016949]",0.41328322887420654,4_post_noscaler_full_90,8,200.0
0.5602812528947558,,,"[0.9722991689750693, 0.4594594594594595, 0.875, 0.34210526315789475, 0.15254237288135594]",0.5387297552533266,5_post_noscaler_mb_90,8,21.0
0.640048971973053,,,"[0.9889196675900277, 0.5945945945945946, 0.755, 0.42105263157894735, 0.4406779661016949]",0.3800317586922064,6_post_scaler_mb_90,8,23.0
0.5892626060102722,0.6777541897220332,0.2923497267759563,"[0.9722991689750693, 0.5405405405405406, 0.7537688442211056, 0.20512820512820512, 0.4745762711864407]",,1_pre_scaler_full_100,9,
0.5859489574906417,0.6898319194418752,0.28688524590163933,"[0.9750692520775623, 0.5405405405405406, 0.7939698492462312, 0.1794871794871795, 0.4406779661016949]",,2_post_scaler_full_100,9,
0.6092703104463159,,,"[0.9778393351800554, 0.4864864864864865, 0.8592964824120602, 0.28205128205128205, 0.4406779661016949]",0.410002738237381,3_post_noscaler_full_100,9,200.0
0.6170605212345677,,,"[0.9778393351800554, 0.5135135135135135, 0.8542713567839196, 0.28205128205128205, 0.4576271186440678]",0.4057130813598633,4_post_noscaler_full_90,9,200.0
0.6109790373147395,,,"[0.9778393351800554, 0.5540540540540541, 0.8341708542713567, 0.28205128205128205, 0.4067796610169492]",0.4585014140097106,5_post_noscaler_mb_90,9,40.0
0.6330211512036408,,,"[0.9833795013850416, 0.5945945945945946, 0.8391959798994975, 0.2564102564102564, 0.4915254237288136]",0.3313689130108531,6_post_scaler_mb_90,9,29.0
0.6643416500574583,0.7452201549704509,0.21145975443383355,"[0.9916897506925207, 0.581081081081081, 0.805, 0.38461538461538464, 0.559322033898305]",,1_pre_scaler_full_100,10,
0.6389362292296232,0.72835590438368,0.24283765347885403,"[0.9889196675900277, 0.5945945945945946, 0.795, 0.3076923076923077, 0.5084745762711864]",,2_post_scaler_full_100,10,
0.6159095707140686,,,"[0.9833795013850416, 0.5540540540540541, 0.905, 0.1794871794871795, 0.4576271186440678]",0.42236408591270447,3_post_noscaler_full_100,10,200.0
0.632438275190611,,,"[0.9861495844875346, 0.5945945945945946, 0.91, 0.23076923076923078, 0.4406779661016949]",0.4179651439189911,4_post_noscaler_full_90,10,200.0
0.618309377061713,,,"[0.9861495844875346, 0.527027027027027, 0.83, 0.3076923076923077, 0.4406779661016949]",0.4738511374083961,5_post_noscaler_mb_90,10,33.0
0.6744701642524544,,,"[0.9944598337950139, 0.5945945945945946, 0.865, 0.358974358974359, 0.559322033898305]",0.4029030808951797,6_post_scaler_mb_90,10,20.0
0.6237506041183678,0.7039971028144936,0.26193724420190995,"[0.9750692520775623, 0.6216216216216216, 0.765, 0.3333333333333333, 0.423728813559322]",,1_pre_scaler_full_100,11,
0.6400946415288873,0.7068575433479796,0.2660300136425648,"[0.9778393351800554, 0.6486486486486487, 0.74, 0.41025641025641024, 0.423728813559322]",,2_post_scaler_full_100,11,
0.5909798970582105,,,"[0.9778393351800554, 0.4864864864864865, 0.81, 0.3076923076923077, 0.3728813559322034]",0.4066425859928131,3_post_noscaler_full_100,11,200.0
0.6041649634805651,,,"[0.9778393351800554, 0.5135135135135135, 0.815, 0.3076923076923077, 0.4067796610169492]",0.40537282824516296,4_post_noscaler_full_90,11,200.0
0.5917543275288709,,,"[0.9750692520775623, 0.527027027027027, 0.81, 0.3076923076923077, 0.3389830508474576]",0.4696669654875267,5_post_noscaler_mb_90,11,31.0
0.6256284113950672,,,"[0.9916897506925207, 0.6081081081081081, 0.72, 0.38461538461538464, 0.423728813559322]",0.3777773445699273,6_post_scaler_mb_90,11,20.0
0.6377742198276025,0.7209997845774234,0.24863387978142076,"[0.9833795013850416, 0.6891891891891891, 0.775, 0.3684210526315789, 0.3728813559322034]",,1_pre_scaler_full_100,12,
0.6413346750196367,0.7231355794772482,0.24180327868852458,"[0.9833795013850416, 0.6756756756756757, 0.78, 0.39473684210526316, 0.3728813559322034]",,2_post_scaler_full_100,12,
0.5898940947614595,,,"[0.9806094182825484, 0.5675675675675675, 0.85, 0.2631578947368421, 0.288135593220339]",0.4109039604663849,3_post_noscaler_full_100,12,200.0
0.5972342109704426,,,"[0.9806094182825484, 0.5540540540540541, 0.84, 0.2894736842105263, 0.3220338983050847]",0.4081195592880249,4_post_noscaler_full_90,12,200.0
0.5851490045846589,,,"[0.9861495844875346, 0.6351351351351351, 0.8, 0.13157894736842105, 0.3728813559322034]",0.47877020588735253,5_post_noscaler_mb_90,12,33.0
0.61900273201508,,,"[0.9833795013850416, 0.581081081081081, 0.75, 0.5263157894736842, 0.2542372881355932]",0.47969367082526043,6_post_scaler_mb_90,12,14.0
